=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiFYk8AXy3AAYMrwsJp4qkFNs95wCde-zKNAIz1sNBKOoYAzJJoAWUY3ws2FMRjRyMANm0ptADiVQVrNOqlC6gjEJG2hEx7Ian4QpBcdbHexwYAuhgAUGDuiKjs4ACeZmqUQrSSSQ7YSc7pMikYiomaOf5ZBvnG+QCcOdZVaeCpmRCchACGrW2SAO74CJap0gA6AHZDQzQ2cMrM5pRN3Hz8vXa+WUJFdXYlExGe3isDwwfCVfIjh3bgwWGTkegz+Nxt7ZRdHl6WCMluszzzeO-nlA+mXAH1c2A+eXBBUBukkH02IIwZShlRh1TRtQ+ThMLzgO3+Qn2pyS42uql2iKEy0payxm2uyDYdy4RBIxE6+E8TOwAAtus8JK9ojzBXjKJBRQBacmWaR2E4HIapC6hcJMG7Rb6PVoc17oWWfLbfX5-Shy2py4FysHgOWQ23Q7BytZyhFy5EO1FOuzjB32EzfNns57dcwGwmnJWG67yLzMwgmgTeiOKwbKy7hLXa3V4sOUeS0SODc2SAtCIsltzqljRXGMikFqgV6O4e4-eZJ8AF4EFm0F+0F6kFtYFhEFj0Fr1dn2luxpRpt7XNHPIfX5uwIIsfUnbPPYMtFa6eW7YXHHhsbrcA-fyq8iDMMqIhoWWTBN1ONySYcsfltnt6UJgm6-juxq-DmKCvroRafl8i7Zs+uYUt+P6nLB2DfsBaF-pyAEYbeIEmNWe7gN+1Lfms35BKqj4nrE8S1rhCT4e+2HzuA-7MaRdgwdeECcchGBYQcZYBm2iaIToJGYDovHsVmjw5lygnWHJOJMSpqEiXxHEaVBThqW4An6QqbEXIEQA
13:28:49: [INFO] Add Net-(D77-A) net
13:28:49: [INFO] Add Net-(D78-A) net
13:28:49: [INFO] Add Net-(D79-A) net
13:28:49: [INFO] Add Net-(D8-A) net
13:28:49: [INFO] Add Net-(D80-A) net
13:28:49: [INFO] Add Net-(D81-A) net
13:28:49: [INFO] Add Net-(D82-A) net
13:28:49: [INFO] Add Net-(D83-A) net
13:28:49: [INFO] Add Net-(D84-A) net
13:28:49: [INFO] Add Net-(D85-A) net
13:28:49: [INFO] Add Net-(D86-A) net
13:28:49: [INFO] Add Net-(D87-A) net
13:28:49: [INFO] Add Net-(D88-A) net
13:28:49: [INFO] Add Net-(D89-A) net
13:28:49: [INFO] Add Net-(D9-A) net
13:28:49: [INFO] Add Net-(D90-A) net
13:28:49: [INFO] Add Net-(D91-A) net
13:28:49: [INFO] Add ROW0 net
13:28:49: [INFO] Add ROW1 net
13:28:49: [INFO] Add ROW2 net
13:28:49: [INFO] Add ROW3 net
13:28:49: [INFO] Add ROW4 net
13:28:49: [INFO] Add ROW5 net
13:28:49: [INFO] Add SW1 footprint
13:28:49: [INFO] Add D1 footprint
13:28:49: [INFO] Add SW2 footprint
13:28:49: [INFO] Add D2 footprint
13:28:49: [INFO] Add SW3 footprint
13:28:49: [INFO] Add D3 footprint
13:28:49: [INFO] Add SW4 footprint
13:28:49: [INFO] Add D4 footprint
13:28:49: [INFO] Add SW5 footprint
13:28:49: [INFO] Add D5 footprint
13:28:49: [INFO] Add SW6 footprint
13:28:49: [INFO] Add D6 footprint
13:28:49: [INFO] Add SW7 footprint
13:28:50: [INFO] Add D7 footprint
13:28:50: [INFO] Add SW8 footprint
13:28:50: [INFO] Add D8 footprint
13:28:50: [INFO] Add SW9 footprint
13:28:50: [INFO] Add D9 footprint
13:28:50: [INFO] Add SW10 footprint
13:28:50: [INFO] Add D10 footprint
13:28:50: [INFO] Add SW11 footprint
13:28:50: [INFO] Add D11 footprint
13:28:50: [INFO] Add SW12 footprint
13:28:50: [INFO] Add D12 footprint
13:28:50: [INFO] Add SW13 footprint
13:28:50: [INFO] Add D13 footprint
13:28:50: [INFO] Add SW14 footprint
13:28:50: [INFO] Add D14 footprint
13:28:50: [INFO] Add SW15 footprint
13:28:50: [INFO] Add D15 footprint
13:28:50: [INFO] Add SW16 footprint
13:28:50: [INFO] Add D16 footprint
13:28:50: [INFO] Add SW17 footprint
13:28:50: [INFO] Add D17 footprint
13:28:50: [INFO] Add SW18 footprint
13:28:50: [INFO] Add D18 footprint
13:28:50: [INFO] Add SW19 footprint
13:28:50: [INFO] Add D19 footprint
13:28:50: [INFO] Add SW20 footprint
13:28:50: [INFO] Add D20 footprint
13:28:50: [INFO] Add SW21 footprint
13:28:50: [INFO] Add D21 footprint
13:28:50: [INFO] Add SW22 footprint
13:28:50: [INFO] Add D22 footprint
13:28:50: [INFO] Add SW23 footprint
13:28:50: [INFO] Add D23 footprint
13:28:51: [INFO] Add SW24 footprint
13:28:51: [INFO] Add D24 footprint
13:28:51: [INFO] Add SW25 footprint
13:28:51: [INFO] Add D25 footprint
13:28:51: [INFO] Add SW26 footprint
13:28:51: [INFO] Add D26 footprint
13:28:51: [INFO] Add SW27 footprint
13:28:51: [INFO] Add D27 footprint
13:28:51: [INFO] Add SW28 footprint
13:28:51: [INFO] Add D28 footprint
13:28:51: [INFO] Add SW29 footprint
13:28:51: [INFO] Add D29 footprint
13:28:51: [INFO] Add SW30 footprint
13:28:51: [INFO] Add D30 footprint
13:28:51: [INFO] Add ST30 footprint
13:28:51: [INFO] Add SW30a footprint
13:28:51: [INFO] Add SW31 footprint
13:28:51: [INFO] Add D31 footprint
13:28:51: [INFO] Add SW32 footprint
13:28:51: [INFO] Add D32 footprint
13:28:51: [INFO] Add SW33 footprint
13:28:51: [INFO] Add D33 footprint
13:28:51: [INFO] Add SW34 footprint
13:28:51: [INFO] Add D34 footprint
13:28:51: [INFO] Add SW35 footprint
13:28:51: [INFO] Add D35 footprint
13:28:51: [INFO] Add SW36 footprint
13:28:51: [INFO] Add D36 footprint
13:28:51: [INFO] Add SW37 footprint
13:28:51: [INFO] Add D37 footprint
13:28:51: [INFO] Add SW38 footprint
13:28:51: [INFO] Add D38 footprint
13:28:51: [INFO] Add SW39 footprint
13:28:51: [INFO] Add D39 footprint
13:28:51: [INFO] Add SW40 footprint
13:28:52: [INFO] Add D40 footprint
13:28:52: [INFO] Add SW41 footprint
13:28:52: [INFO] Add D41 footprint
13:28:52: [INFO] Add SW42 footprint
13:28:52: [INFO] Add D42 footprint
13:28:52: [INFO] Add SW43 footprint
13:28:52: [INFO] Add D43 footprint
13:28:52: [INFO] Add SW44 footprint
13:28:52: [INFO] Add D44 footprint
13:28:52: [INFO] Add SW45 footprint
13:28:52: [INFO] Add D45 footprint
13:28:52: [INFO] Add SW46 footprint
13:28:52: [INFO] Add D46 footprint
13:28:52: [INFO] Add SW47 footprint
13:28:52: [INFO] Add D47 footprint
13:28:52: [INFO] Add SW48 footprint
13:28:52: [INFO] Add D48 footprint
13:28:52: [INFO] Add SW49 footprint
13:28:52: [INFO] Add D49 footprint
13:28:52: [INFO] Add SW50 footprint
13:28:52: [INFO] Add D50 footprint
13:28:52: [INFO] Add SW51 footprint
13:28:52: [INFO] Add D51 footprint
13:28:52: [INFO] Add SW52 footprint
13:28:52: [INFO] Add D52 footprint
13:28:52: [INFO] Add SW53 footprint
13:28:52: [INFO] Add D53 footprint
13:28:52: [INFO] Add SW54 footprint
13:28:52: [INFO] Add D54 footprint
13:28:52: [INFO] Add SW55 footprint
13:28:52: [INFO] Add D55 footprint
13:28:52: [INFO] Add SW56 footprint
13:28:53: [INFO] Add D56 footprint
13:28:53: [INFO] Add SW57 footprint
13:28:53: [INFO] Add D57 footprint
13:28:53: [INFO] Add SW58 footprint
13:28:53: [INFO] Add D58 footprint
13:28:53: [INFO] Add SW59 footprint
13:28:53: [INFO] Add D59 footprint
13:28:53: [INFO] Add SW60 footprint
13:28:53: [INFO] Add D60 footprint
13:28:53: [INFO] Add SW61 footprint
13:28:53: [INFO] Add D61 footprint
13:28:53: [INFO] Add SW62 footprint
13:28:53: [INFO] Add D62 footprint
13:28:53: [INFO] Add SW63 footprint
13:28:53: [INFO] Add D63 footprint
13:28:53: [INFO] Add SW64 footprint
13:28:53: [INFO] Add D64 footprint
13:28:53: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:53: [INFO] Add ST64 footprint
13:28:53: [INFO] Add SW64a footprint
13:28:53: [INFO] Add SW65 footprint
13:28:53: [INFO] Add D65 footprint
13:28:53: [INFO] Add ST65 footprint
13:28:53: [INFO] Add SW66 footprint
13:28:53: [INFO] Add D66 footprint
13:28:53: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:53: [INFO] Add ST66 footprint
13:28:53: [INFO] Add SW66a footprint
13:28:53: [INFO] Add SW67 footprint
13:28:53: [INFO] Add D67 footprint
13:28:53: [INFO] Add SW68 footprint
13:28:53: [INFO] Add D68 footprint
13:28:53: [INFO] Add SW69 footprint
13:28:53: [INFO] Add D69 footprint
13:28:53: [INFO] Add SW70 footprint
13:28:53: [INFO] Add D70 footprint
13:28:54: [INFO] Add SW71 footprint
13:28:54: [INFO] Add D71 footprint
13:28:54: [INFO] Add SW72 footprint
13:28:54: [INFO] Add D72 footprint
13:28:54: [INFO] Add SW73 footprint
13:28:54: [INFO] Add D73 footprint
13:28:54: [INFO] Add SW74 footprint
13:28:54: [INFO] Add D74 footprint
13:28:54: [INFO] Add SW75 footprint
13:28:54: [INFO] Add D75 footprint
13:28:54: [INFO] Add SW76 footprint
13:28:54: [INFO] Add D76 footprint
13:28:54: [INFO] Add SW77 footprint
13:28:54: [INFO] Add D77 footprint
13:28:54: [INFO] Add SW78 footprint
13:28:54: [INFO] Add D78 footprint
13:28:54: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:54: [INFO] Add ST78 footprint
13:28:54: [INFO] Add SW78a footprint
13:28:54: [INFO] Add SW79 footprint
13:28:54: [INFO] Add D79 footprint
13:28:54: [INFO] Add SW80 footprint
13:28:54: [INFO] Add D80 footprint
13:28:54: [INFO] Add SW81 footprint
13:28:54: [INFO] Add D81 footprint
13:28:54: [INFO] Add SW81a footprint
13:28:54: [INFO] Add SW82 footprint
13:28:54: [INFO] Add D82 footprint
13:28:54: [INFO] Add SW82a footprint
13:28:54: [INFO] Add SW83 footprint
13:28:54: [INFO] Add D83 footprint
13:28:54: [INFO] Add SW83a footprint
13:28:54: [INFO] Add SW84 footprint
13:28:55: [INFO] Add D84 footprint
13:28:55: [INFO] Add ST84 footprint
13:28:55: [INFO] Add SW84a footprint
13:28:55: [INFO] Add ST84a footprint
13:28:55: [INFO] Add SW85 footprint
13:28:55: [INFO] Add D85 footprint
13:28:55: [INFO] Add SW86 footprint
13:28:55: [INFO] Add D86 footprint
13:28:55: [INFO] Add SW86a footprint
13:28:55: [INFO] Add SW87 footprint
13:28:55: [INFO] Add D87 footprint
13:28:55: [INFO] Add SW87a footprint
13:28:55: [INFO] Add SW88 footprint
13:28:55: [INFO] Add D88 footprint
