=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbZAHQDsyzCFxcIBjWPAYgEM33wc8qA2C80lXABdbACgw4AJ6N86LLgLZ8NbkVURo8ORkUN44JnWMnOiwmlVKAzFcIAWO9iROeTgOxOAHE4CcThBVzImpghEsw2zDHWnB9ZnYORQB3RjQuJQQ+AUplDShZeQyqTzCfMP9gtBVRCXAEPMUG0LhNQt08VPgEFAU8BojWuMZDE1MMhqj+7BjplybsNwXS6fLpyunAq2aW+qJBvYQpw9mILsReiaIkfjJrRqGtOB0+w5XDtcON+hHWRJYrAALNIZNDYaq3UhIB5tbRFBYQnJQ9S1YDgMFBPBglqw57yFKMHruV5gwY-AxGMYMUHYY5g2bo5xWMFLLHYd5gz5gjaMraKbG7bEHbFTckJf5Wc5oeFskhI+6Y3EvPS-KnU-lEDlELlEb4Fbr4vDxQz-AE0xH8aHUVHgBVWe44-V4jrgKUy23gyENRXDClqsx4e4M+7zQOLe3siOfe48h2Yj0IXYOg4O0W+8WJSVpFDEjIOm5IjH5J7Ko2qqkBhPvB3R3X5Y1-TOKYHwdKKe4WgQ8GFOl558H4SHd63iNH2B7gceOkuG12Ey6KcdoSHj+Pj6wrnvnHqvcf2Tc+hv+gnwdwZcdeA-136mrMG3dEDdI1dWKf759b+cPuX8F+xGcukeFYnnAbZ4FOl5Iu4E5TnqTw9IBN4SueA5Diio64kcvSKDIcIutus4tqBKSWPezakYgiiQBRAC0fYLFkkIOsW86EJ0X7NmkJHZi6gIUQ0eDUYwdE5tCeBSPxNI-gIHYsXhYnpqMFYoQg7iQtBuwQep6ESJh0okkQ778MxqK4tK+Hzhg-bLkizQRk+-B2f+hJyGximNkk7EGrm7aGZC2LXn6ym+YxhbqM58n9ggRkCKSgUZp5c7ea8+b+eCIgYU65kKQRD42b+4VDEBYxWAAJowAAuABOACuACmKEOQIU7xSaEogTuKExWQLWxMVpggWei7YJBBWOg2t4dQu4GPpu43liVijlfA1X1Sp3WkL1RVIU2XkXN+BZjRlulZbOuHOgp-XGHe+1LZVtUNcN+XNelfU7RwjWbmSSX7V1X2tZSi17UNM2jS930Te1e2dcNRz-bDG1LgDx7Q9heDLXAq2PTN0k9elpmnS652lu5k2o3lm7HOulPI8B0P4ChYN42mkOZutNOxLlKmHS9tgE082U4e0OVfihz146c7ko+AGNY59H6S9uDPDUzm0zPkssPezCsA2TP0wzjPMS8dkgC2dwtTVZT2bqGZyWQ+TV47b+vunuNu00DP08K7I3u29FJ6wRVs4wgftDEH36O2rzsR9rBUx-b3Pu-zPEKcTs6x9bH6snbBrB5OtKbjnLv5272cewNe3ZSh2QFcXrOJZnoNFxX10gdKPk44O5f+wlbA3Qh36hz34eJ7DUfjsXTcF9FLec2Phstynrbm-JU0Ux+7zU5v+Rc8NiORr3Sme+cPCM5uKxim1u0u0PF+vrNO8I-f8-3knO-L6Bq8XevYubp828CprFzr9fe-9W4MBAtYGu4DX5wGgbDbuQDdZQ1vipYeyDx6wJxgfYBaDYZGzVj4T+gtxIW3Jn-D8PJAEvT1HvGaB89RXUgVXaaBda60JQWzFWm4mELUrj9fSKkkGcKPh5fuv9YYYNETjCe2BqF+SobvUWBDeEmzMt-EmzCB5oxlvdNaWcxqHnev3eWRjlFvzAR+Pk20gon0YGfHh1jjEB1QfQme0i8Y2JnnImxV9AYCM1gYnBc0fS5TuitLWqjnHqMJmncht8ImYyiTNcWatExcI+sNXxjp3FlzGvNOxAjzgIJmhwrxuTGClJniIipmSJEUKkXNTSj8CkQLKvo7GM8D4ZLgTuJJctoltJIZojOHF0adMoWNCGJizTZLmt9PJMwFntPbmwyeKyxG3nPtYmZRS26sO-LU9Jey+4AkkSHTZsirkQCCV0t8NypZ00SRMyJwSZ6EKnJYEZRMEkNwafg1Jc0qaF2sWmJZPTwUqLKcC1ZhydljRZrMnRRzYV9PWSENFo9LHXLBQ-WeeL0UHVhT8+Ja9GlAusZLbRAyUkF18dS5FFyC49MVtC9hc1GX7JYYIjFqs3z1PORSmpnKLGgMuVSsVBsfGirEdLO5ccXrRUFSi9+Y1HDCGEEAA
13:32:44: [INFO] Add Net-(D61-A) net
13:32:44: [INFO] Add Net-(D62-A) net
13:32:44: [INFO] Add Net-(D63-A) net
13:32:44: [INFO] Add Net-(D64-A) net
13:32:44: [INFO] Add Net-(D65-A) net
13:32:44: [INFO] Add Net-(D66-A) net
13:32:44: [INFO] Add Net-(D67-A) net
13:32:44: [INFO] Add Net-(D68-A) net
13:32:44: [INFO] Add Net-(D69-A) net
13:32:44: [INFO] Add Net-(D7-A) net
13:32:44: [INFO] Add Net-(D70-A) net
13:32:44: [INFO] Add Net-(D71-A) net
13:32:44: [INFO] Add Net-(D72-A) net
13:32:44: [INFO] Add Net-(D73-A) net
13:32:44: [INFO] Add Net-(D74-A) net
13:32:44: [INFO] Add Net-(D75-A) net
13:32:44: [INFO] Add Net-(D76-A) net
13:32:44: [INFO] Add Net-(D77-A) net
13:32:44: [INFO] Add Net-(D78-A) net
13:32:44: [INFO] Add Net-(D79-A) net
13:32:44: [INFO] Add Net-(D8-A) net
13:32:44: [INFO] Add Net-(D80-A) net
13:32:44: [INFO] Add Net-(D81-A) net
13:32:44: [INFO] Add Net-(D82-A) net
13:32:44: [INFO] Add Net-(D83-A) net
13:32:44: [INFO] Add Net-(D84-A) net
13:32:44: [INFO] Add Net-(D85-A) net
13:32:44: [INFO] Add Net-(D86-A) net
13:32:44: [INFO] Add Net-(D87-A) net
13:32:44: [INFO] Add Net-(D88-A) net
13:32:44: [INFO] Add Net-(D89-A) net
13:32:44: [INFO] Add Net-(D9-A) net
13:32:44: [INFO] Add Net-(D90-A) net
13:32:44: [INFO] Add Net-(D91-A) net
13:32:44: [INFO] Add Net-(D92-A) net
13:32:44: [INFO] Add Net-(D93-A) net
13:32:44: [INFO] Add Net-(D94-A) net
13:32:44: [INFO] Add Net-(D95-A) net
13:32:44: [INFO] Add Net-(D96-A) net
13:32:44: [INFO] Add Net-(D97-A) net
13:32:44: [INFO] Add Net-(D98-A) net
13:32:44: [INFO] Add Net-(D99-A) net
13:32:44: [INFO] Add ROW0 net
13:32:44: [INFO] Add ROW1 net
13:32:44: [INFO] Add ROW2 net
13:32:44: [INFO] Add ROW3 net
13:32:44: [INFO] Add ROW4 net
13:32:44: [INFO] Add SW1 footprint
13:32:44: [INFO] Add D1 footprint
13:32:44: [INFO] Add SW2 footprint
13:32:44: [INFO] Add D2 footprint
13:32:44: [INFO] Add SW3 footprint
13:32:44: [INFO] Add D3 footprint
13:32:44: [INFO] Add SW4 footprint
13:32:44: [INFO] Add D4 footprint
13:32:44: [INFO] Add SW5 footprint
13:32:44: [INFO] Add D5 footprint
13:32:44: [INFO] Add SW6 footprint
13:32:44: [INFO] Add D6 footprint
13:32:44: [INFO] Add SW7 footprint
13:32:44: [INFO] Add D7 footprint
13:32:44: [INFO] Add SW8 footprint
13:32:44: [INFO] Add D8 footprint
13:32:44: [INFO] Add SW9 footprint
13:32:44: [INFO] Add D9 footprint
13:32:44: [INFO] Add SW10 footprint
13:32:44: [INFO] Add D10 footprint
13:32:44: [INFO] Add SW11 footprint
13:32:44: [INFO] Add D11 footprint
13:32:45: [INFO] Add SW12 footprint
13:32:45: [INFO] Add D12 footprint
13:32:45: [INFO] Add SW13 footprint
13:32:45: [INFO] Add D13 footprint
13:32:45: [INFO] Add SW14 footprint
13:32:45: [INFO] Add D14 footprint
13:32:45: [INFO] Add SW15 footprint
13:32:45: [INFO] Add D15 footprint
13:32:45: [INFO] Add SW16 footprint
13:32:45: [INFO] Add D16 footprint
13:32:45: [INFO] Add SW17 footprint
13:32:45: [INFO] Add D17 footprint
13:32:45: [INFO] Add ST17 footprint
13:32:45: [INFO] Add SW17a footprint
13:32:45: [INFO] Add SW18 footprint
13:32:45: [INFO] Add D18 footprint
13:32:45: [INFO] Add SW19 footprint
13:32:45: [INFO] Add D19 footprint
13:32:45: [INFO] Add SW20 footprint
13:32:45: [INFO] Add D20 footprint
13:32:45: [INFO] Add SW21 footprint
13:32:45: [INFO] Add D21 footprint
13:32:45: [INFO] Add SW22 footprint
13:32:45: [INFO] Add D22 footprint
13:32:45: [INFO] Add SW23 footprint
13:32:45: [INFO] Add D23 footprint
13:32:45: [INFO] Add SW24 footprint
13:32:45: [INFO] Add D24 footprint
