=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsAaO4Ces4CYkBGAVg3AGNdwBiAQ3ofAF8yE0FwBdNAKDClyECAdlKYc8ALTIAnGIpVq5ZSuas0hQl179o8QklFkJcaUjllK8Gg0YtMbLRghXMSlcrUO0ecM4H6yAj24I6+6oQAzH5wLoq29F6hGijafBB6iEh4xrhmhCGE7Gm6gkjE8iZmMmQA7mV4xIUaMXHW7h5JReGxAXAySJFNZEWaMeCjPW1uwrNz4-X6hsOYo6nc6dh5yEWYrjYJSTkcG6VLkblSsnVloiE5Tr37Har3Pq19ABxInwVkD48MtskAhdgp2glaAsGitwA8enCNNF-M8PJ43oR1jogedLPFDiELoC+pofoSNAiicjMESsZsAE6CHKYTIoQaVPLEEF49poyghNjU5KpdTEcZsABsJRxcDZEuaQqKItWaDFIzQUtOMq5CFhOSFOWViLVmBymuxfQl7J5Mzms2h8Dw5JN0wOtiSF3Nm0yOo5V3M8kWcAMjXJ0S14EZUiEZEywh+l1MyBQ8lRaKSbGE4rQn2zMmzhBOFrjAeaWfVufV+fVhelfXjerQ5dNOfGOWrLdrEZLqcUdvtN0dy3Jue7gmQF3EwIse3x7vJXc4QA
13:27:59: [INFO] Add Net-(D52-A) net
13:27:59: [INFO] Add Net-(D53-A) net
13:27:59: [INFO] Add Net-(D6-A) net
13:27:59: [INFO] Add Net-(D7-A) net
13:27:59: [INFO] Add Net-(D8-A) net
13:27:59: [INFO] Add Net-(D9-A) net
13:27:59: [INFO] Add ROW0 net
13:27:59: [INFO] Add ROW1 net
13:27:59: [INFO] Add ROW2 net
13:27:59: [INFO] Add ROW3 net
13:27:59: [INFO] Add SW1 footprint
13:27:59: [INFO] Add D1 footprint
13:27:59: [INFO] Add SW2 footprint
13:27:59: [INFO] Add D2 footprint
13:27:59: [INFO] Add SW3 footprint
13:27:59: [INFO] Add D3 footprint
13:27:59: [INFO] Add SW4 footprint
13:27:59: [INFO] Add D4 footprint
13:27:59: [INFO] Add SW5 footprint
13:27:59: [INFO] Add D5 footprint
13:27:59: [INFO] Add SW6 footprint
13:27:59: [INFO] Add D6 footprint
13:27:59: [INFO] Add SW7 footprint
13:27:59: [INFO] Add D7 footprint
13:28:00: [INFO] Add SW8 footprint
13:28:00: [INFO] Add D8 footprint
13:28:00: [INFO] Add SW9 footprint
13:28:00: [INFO] Add D9 footprint
13:28:00: [INFO] Add SW10 footprint
13:28:00: [INFO] Add D10 footprint
13:28:00: [INFO] Add SW11 footprint
13:28:00: [INFO] Add D11 footprint
13:28:00: [INFO] Add SW12 footprint
13:28:00: [INFO] Add D12 footprint
13:28:00: [INFO] Add SW13 footprint
13:28:00: [INFO] Add D13 footprint
13:28:00: [INFO] Add SW14 footprint
13:28:00: [INFO] Add D14 footprint
13:28:00: [INFO] Add SW15 footprint
13:28:00: [INFO] Add D15 footprint
13:28:00: [INFO] Add SW16 footprint
13:28:00: [INFO] Add D16 footprint
13:28:00: [INFO] Add SW17 footprint
13:28:00: [INFO] Add D17 footprint
13:28:00: [INFO] Add SW18 footprint
13:28:00: [INFO] Add D18 footprint
13:28:00: [INFO] Add SW19 footprint
13:28:00: [INFO] Add D19 footprint
13:28:00: [INFO] Add SW20 footprint
13:28:00: [INFO] Add D20 footprint
13:28:00: [INFO] Add SW21 footprint
13:28:00: [INFO] Add D21 footprint
13:28:00: [INFO] Add SW22 footprint
13:28:00: [INFO] Add D22 footprint
13:28:01: [INFO] Add SW23 footprint
13:28:01: [INFO] Add D23 footprint
13:28:01: [INFO] Add SW24 footprint
13:28:01: [INFO] Add D24 footprint
13:28:01: [INFO] Add SW25 footprint
13:28:01: [INFO] Add D25 footprint
13:28:01: [INFO] Add SW26 footprint
13:28:01: [INFO] Add D26 footprint
13:28:01: [INFO] Add SW27 footprint
13:28:01: [INFO] Add D27 footprint
13:28:01: [INFO] Add SW28 footprint
13:28:01: [INFO] Add D28 footprint
13:28:01: [INFO] Add SW29 footprint
13:28:01: [INFO] Add D29 footprint
13:28:01: [INFO] Add SW30 footprint
13:28:01: [INFO] Add D30 footprint
13:28:01: [INFO] Add SW31 footprint
13:28:01: [INFO] Add D31 footprint
13:28:01: [INFO] Add SW32 footprint
13:28:01: [INFO] Add D32 footprint
13:28:01: [INFO] Add SW33 footprint
13:28:01: [INFO] Add D33 footprint
13:28:01: [INFO] Add SW34 footprint
13:28:01: [INFO] Add D34 footprint
13:28:01: [INFO] Add SW35 footprint
13:28:01: [INFO] Add D35 footprint
13:28:01: [INFO] Add SW36 footprint
13:28:01: [INFO] Add D36 footprint
13:28:01: [INFO] Add SW37 footprint
13:28:01: [INFO] Add D37 footprint
13:28:01: [INFO] Add SW38 footprint
13:28:01: [INFO] Add D38 footprint
13:28:01: [INFO] Add SW39 footprint
13:28:02: [INFO] Add D39 footprint
13:28:02: [INFO] Add SW40 footprint
13:28:02: [INFO] Add D40 footprint
13:28:02: [INFO] Add SW41 footprint
13:28:02: [INFO] Add D41 footprint
13:28:02: [INFO] Add SW42 footprint
13:28:02: [INFO] Add D42 footprint
13:28:02: [INFO] Add SW43 footprint
13:28:02: [INFO] Add D43 footprint
13:28:02: [INFO] Add SW44 footprint
13:28:02: [INFO] Add D44 footprint
13:28:02: [INFO] Add SW45 footprint
13:28:02: [INFO] Add D45 footprint
13:28:02: [INFO] Add SW46 footprint
13:28:02: [INFO] Add D46 footprint
13:28:02: [INFO] Add SW47 footprint
13:28:02: [INFO] Add D47 footprint
13:28:02: [INFO] Add ST47 footprint
13:28:02: [INFO] Add SW48 footprint
13:28:02: [INFO] Add D48 footprint
13:28:02: [INFO] Add SW49 footprint
13:28:02: [INFO] Add D49 footprint
13:28:02: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:02: [INFO] Add ST49 footprint
13:28:02: [INFO] Add SW50 footprint
13:28:02: [INFO] Add D50 footprint
13:28:02: [INFO] Add SW51 footprint
13:28:02: [INFO] Add D51 footprint
13:28:02: [INFO] Add SW52 footprint
13:28:02: [INFO] Add D52 footprint
