=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BWVdQ7cAXRQCgwpY4BmNcATwYFoMA6AThMwpGuOPgYBGAVkIix8RgLIy89eJJZlhVWnLgA2Fu3hduADmIsse2arjrSKa9rpG4J3mXQBjBuADEAOxBweBSKBg2BHYsPvD+XgmJoZYoAEyRDPwaaRlqMb6BwUHJDhHOuuKGnDy8+XF+iUlh4rl29uBkLeW2CFXGPMgslTgqURboBjjdUczoru4ClcKjEosoyqK2CiwGGxUCBlo0dFEGc9Vm4+CV1itqB46UxxDzNZ7gseh+AIa-fyXXcKtSreAqNBIAyrpO5wLITHIwkEfAp-f4PMrPWxI158OpfcE+NYtRHtAxdTFRXrnfrcQboVLkGFXALkaYMWZsC5w8AM5abKLtBl7LYCFnCgWioRPHS2M6cmnmAQM2781YsFlOTE4jx4-xFYpKoGI3UNcEAhnQ1Xwbksy0VE36gIAlkYmUCvpuGomgnmlDEq1tSXkt0MKnyz20gTMEYBq6mVkU9kehYsZh8-ap9atbboePitW5qVs+BynGKzMqjOFzUy7XvT7+VG-AHMCLG0H1H1RhEB7nxu1Yk1N74A+Ouk4SZNejv4s3d-0Vdrx4MT+BhnFhhs-JsA3ox3RXWpTRPyKd8AS9dNYi9ZmE58C1fP3Fi1I61i6mG9tgPtXoDqLcrU-4Fg+QLFtE1IRtyvQLli7S1Cuuh6NwqTvNq3pziwvSVrYPCHo8FAUEAA
13:34:10: [INFO] Routing pad 'SW70:2' at (188277500, 118745000) with pad 'D70:2' at (190817500, 126425000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(188277500, 118745000), (188277500, 123885000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(188277500, 123885000), (190817500, 126425000)]
13:34:10: [INFO] Routing SW69 with D69
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW69:2' at (212090000, 111125000) with pad 'D69:2' at (214630000, 118805000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(212090000, 111125000), (212090000, 116265000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(212090000, 116265000), (214630000, 118805000)]
13:34:10: [INFO] Routing SW68 with D68
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW68:2' at (231140000, 109220000) with pad 'D68:2' at (233680000, 116900000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(231140000, 109220000), (231140000, 114360000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(231140000, 114360000), (233680000, 116900000)]
13:34:10: [INFO] Routing SW67 with D67
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW67:2' at (250190000, 111125000) with pad 'D67:2' at (252730000, 118805000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(250190000, 111125000), (250190000, 116265000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(250190000, 116265000), (252730000, 118805000)]
13:34:10: [INFO] Routing SW66 with D66
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW66:2' at (269240000, 114935000) with pad 'D66:2' at (271780000, 122615000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(269240000, 114935000), (269240000, 120075000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(269240000, 120075000), (271780000, 122615000)]
13:34:10: [INFO] Routing SW65 with D65
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW65:2' at (288290000, 116840000) with pad 'D65:2' at (290830000, 124520000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(288290000, 116840000), (288290000, 121980000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(288290000, 121980000), (290830000, 124520000)]
13:34:10: [INFO] Routing SW64 with D64
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW64:2' at (307340000, 114935000) with pad 'D64:2' at (309880000, 122615000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(307340000, 114935000), (307340000, 120075000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(307340000, 120075000), (309880000, 122615000)]
13:34:10: [INFO] Routing SW63 with D63
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW63:2' at (193040000, 94932500) with pad 'D63:2' at (195580000, 102612500) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(193040000, 94932500), (193040000, 100072500)]
13:34:10: [INFO] Adding track segment (B.Cu): [(193040000, 100072500), (195580000, 102612500)]
13:34:10: [INFO] Routing SW62 with D62
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW62:2' at (212090000, 92075000) with pad 'D62:2' at (214630000, 99755000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(212090000, 92075000), (212090000, 97215000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(212090000, 97215000), (214630000, 99755000)]
13:34:10: [INFO] Routing SW61 with D61
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW61:2' at (231140000, 90170000) with pad 'D61:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(231140000, 90170000), (231140000, 95310000)]
