=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdLADnAF0UAoMKWOAJjXAE9GBaDAOjMICsJTCia44+RgEZhWACzjJ8IayyFFDeDNUoAnFVr0CcAaw7xufQbJQCNx5DoBsBuhHNxL-FaRQZxIlL20tq+Uv46UkHUbpqIZly8CNasUtjBRMJpFDFGjCzoHl4p6GlieHGh4GkKFcY+1SjqddJZeq55ygkWvN5tdi3wjqUoLrnuiVYNaREjQYNwUW3hAWlRHUrxhZPJDSw4C8SsLDmGmwXsk33HohmLwiy1EnF7TXdVLPrjL92evSXgFgDZ4OB6jDaXHpTMGzQEoeYgkJglY3dbfBy-SxMAEIW6HYS4r5ncAAJ2kuPQJIcPFMlI8ZBprGMllpkM8Ah4cgJ6W+ZPgTCcTMmrKKUh4GG5Cl5jAQuiFUJFXDFEtYuLs0osstYVJCjPQzN4iosHK5qvBGs8Avlfz1bM4yu56gt9opcRZmIdZpylCAA
13:40:33: [INFO] Add Net-(D7-A) net
13:40:33: [INFO] Add Net-(D8-A) net
13:40:33: [INFO] Add Net-(D9-A) net
13:40:33: [INFO] Add ROW0 net
13:40:33: [INFO] Add ROW1 net
13:40:33: [INFO] Add ROW2 net
13:40:33: [INFO] Add ROW3 net
13:40:33: [INFO] Add SW1 footprint
13:40:33: [INFO] Add D1 footprint
13:40:33: [INFO] Add SW2 footprint
13:40:33: [INFO] Add D2 footprint
13:40:33: [INFO] Add SW3 footprint
13:40:33: [INFO] Add D3 footprint
13:40:33: [INFO] Add SW4 footprint
13:40:34: [INFO] Add D4 footprint
13:40:34: [INFO] Add SW5 footprint
13:40:34: [INFO] Add D5 footprint
13:40:34: [INFO] Add SW6 footprint
13:40:34: [INFO] Add D6 footprint
13:40:34: [INFO] Add SW7 footprint
13:40:34: [INFO] Add D7 footprint
13:40:34: [INFO] Add SW8 footprint
13:40:34: [INFO] Add D8 footprint
13:40:34: [INFO] Add SW9 footprint
13:40:34: [INFO] Add D9 footprint
13:40:34: [INFO] Add SW10 footprint
13:40:34: [INFO] Add D10 footprint
13:40:34: [INFO] Add SW11 footprint
13:40:34: [INFO] Add D11 footprint
13:40:34: [INFO] Add SW12 footprint
13:40:34: [INFO] Add D12 footprint
13:40:34: [INFO] Add SW13 footprint
13:40:34: [INFO] Add D13 footprint
13:40:34: [INFO] Add SW14 footprint
13:40:34: [INFO] Add D14 footprint
13:40:34: [INFO] Add SW15 footprint
13:40:34: [INFO] Add D15 footprint
13:40:34: [INFO] Add SW16 footprint
13:40:34: [INFO] Add D16 footprint
13:40:34: [INFO] Add SW17 footprint
13:40:34: [INFO] Add D17 footprint
13:40:34: [INFO] Add SW18 footprint
13:40:34: [INFO] Add D18 footprint
13:40:34: [INFO] Add SW19 footprint
13:40:34: [INFO] Add D19 footprint
13:40:34: [INFO] Add SW20 footprint
13:40:34: [INFO] Add D20 footprint
13:40:34: [INFO] Add SW21 footprint
13:40:34: [INFO] Add D21 footprint
13:40:34: [INFO] Add SW22 footprint
13:40:34: [INFO] Add D22 footprint
13:40:35: [INFO] Add SW23 footprint
13:40:35: [INFO] Add D23 footprint
13:40:35: [INFO] Add SW24 footprint
13:40:35: [INFO] Add D24 footprint
13:40:35: [INFO] Add SW25 footprint
13:40:35: [INFO] Add D25 footprint
13:40:35: [INFO] Add SW26 footprint
13:40:35: [INFO] Add D26 footprint
13:40:35: [INFO] Add SW27 footprint
13:40:35: [INFO] Add D27 footprint
13:40:35: [INFO] Add SW28 footprint
13:40:35: [INFO] Add D28 footprint
13:40:35: [INFO] Add SW29 footprint
13:40:35: [INFO] Add D29 footprint
13:40:35: [INFO] Add SW30 footprint
13:40:35: [INFO] Add D30 footprint
13:40:35: [INFO] Add SW31 footprint
13:40:35: [INFO] Add D31 footprint
13:40:35: [INFO] Add SW32 footprint
13:40:35: [INFO] Add D32 footprint
13:40:35: [INFO] Add SW33 footprint
13:40:35: [INFO] Add D33 footprint
13:40:35: [INFO] Add SW34 footprint
13:40:35: [INFO] Add D34 footprint
13:40:35: [INFO] Add SW35 footprint
13:40:35: [INFO] Add D35 footprint
13:40:35: [INFO] Add SW36 footprint
13:40:35: [INFO] Add D36 footprint
13:40:35: [INFO] Add SW37 footprint
13:40:35: [INFO] Add D37 footprint
13:40:35: [INFO] Add SW38 footprint
13:40:35: [INFO] Add D38 footprint
13:40:35: [INFO] Add SW39 footprint
13:40:35: [INFO] Add D39 footprint
13:40:35: [INFO] Add SW40 footprint
13:40:36: [INFO] Add D40 footprint
13:40:36: [INFO] Add SW41 footprint
13:40:36: [INFO] Add D41 footprint
13:40:36: [INFO] Add SW42 footprint
13:40:36: [INFO] Add D42 footprint
13:40:36: [INFO] Add SW43 footprint
13:40:36: [INFO] Add D43 footprint
13:40:36: [INFO] Add SW44 footprint
13:40:36: [INFO] Add D44 footprint
13:40:36: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:36: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:36: [INFO] Layout offset: (28575000, 28575000)
13:40:36: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:36: [INFO] Placing additional elements for SW44
13:40:36: [INFO] Placing additional elements for SW43
13:40:36: [INFO] Placing additional elements for SW42
13:40:36: [INFO] Placing additional elements for SW41
13:40:36: [INFO] Placing additional elements for SW40
13:40:36: [INFO] Placing additional elements for SW39
13:40:36: [INFO] Placing additional elements for SW38
13:40:36: [INFO] Placing additional elements for SW37
13:40:36: [INFO] Placing additional elements for SW36
13:40:36: [INFO] Placing additional elements for SW35
13:40:36: [INFO] Placing additional elements for SW34
13:40:36: [INFO] Placing additional elements for SW33
13:40:36: [INFO] Placing additional elements for SW32
13:40:36: [INFO] Placing additional elements for SW31
13:40:36: [INFO] Placing additional elements for SW30
13:40:36: [INFO] Placing additional elements for SW29
13:40:36: [INFO] Placing additional elements for SW28
13:40:36: [INFO] Placing additional elements for SW27
13:40:36: [INFO] Placing additional elements for SW26
13:40:36: [INFO] Placing additional elements for SW25
13:40:36: [INFO] Placing additional elements for SW24
13:40:36: [INFO] Placing additional elements for SW23
13:40:36: [INFO] Placing additional elements for SW22
13:40:36: [INFO] Placing additional elements for SW21
13:40:36: [INFO] Placing additional elements for SW20
13:40:36: [INFO] Placing additional elements for SW19
13:40:36: [INFO] Placing additional elements for SW18
13:40:36: [INFO] Placing additional elements for SW17
13:40:36: [INFO] Placing additional elements for SW16
13:40:36: [INFO] Placing additional elements for SW15
13:40:36: [INFO] Placing additional elements for SW14
13:40:36: [INFO] Placing additional elements for SW13
13:40:36: [INFO] Placing additional elements for SW12
13:40:36: [INFO] Placing additional elements for SW11
13:40:36: [INFO] Placing additional elements for SW10
13:40:36: [INFO] Placing additional elements for SW9
13:40:36: [INFO] Placing additional elements for SW8
13:40:36: [INFO] Placing additional elements for SW7
