=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwF8A0dwAYUfGzKFc4IAPWODAOgFZV0sAmI-AZmawBZ2VruA2bgHZuADm4BObghx4sCQrIJNFCNiq5oIAd3IM6+BL03gy8KrRUCVwgLooAUMHAJszFwuIny5vDvgIafRdldBc1UJQNCKMIqwjhPBcxRJRJFOk3Ag9nJUzVPKjtcgCLCMMiUm9A9LichFsHJwZXPGaPSrMaX2LKQVLwZpCBlHDhqOGY4drmhPRm5LnU5jaZRfll3NaCcKL4BkoGfrauO0dwFhb0C-avTupuvYP+i6GL8YvJi9qL2fOUBb+aSuBFWf3WeGur22FXAfjg+z6+muhVuFGqwIQAlOTg4l3AuJupjR93QcICh30uJCu0QT0pIxhZLpeFxKLhfGZ6FxCxp5P6BOpsJ6FJZ0OMTJFXIIKKJVERovKCtqBNsNiAA
13:32:49: [INFO] Add Net-(D70-A) net
13:32:49: [INFO] Add Net-(D71-A) net
13:32:49: [INFO] Add Net-(D72-A) net
13:32:49: [INFO] Add Net-(D73-A) net
13:32:49: [INFO] Add Net-(D74-A) net
13:32:49: [INFO] Add Net-(D75-A) net
13:32:49: [INFO] Add Net-(D76-A) net
13:32:49: [INFO] Add Net-(D77-A) net
13:32:49: [INFO] Add Net-(D78-A) net
13:32:49: [INFO] Add Net-(D8-A) net
13:32:49: [INFO] Add Net-(D9-A) net
13:32:49: [INFO] Add ROW0 net
13:32:49: [INFO] Add ROW1 net
13:32:49: [INFO] Add ROW2 net
13:32:49: [INFO] Add ROW3 net
13:32:49: [INFO] Add ROW4 net
13:32:49: [INFO] Add SW1 footprint
13:32:49: [INFO] Add D1 footprint
13:32:49: [INFO] Add SW2 footprint
13:32:49: [INFO] Add D2 footprint
13:32:49: [INFO] Add SW3 footprint
13:32:49: [INFO] Add D3 footprint
13:32:49: [INFO] Add SW4 footprint
13:32:49: [INFO] Add D4 footprint
13:32:49: [INFO] Add SW5 footprint
13:32:49: [INFO] Add D5 footprint
13:32:49: [INFO] Add SW6 footprint
13:32:49: [INFO] Add D6 footprint
13:32:49: [INFO] Add SW7 footprint
13:32:49: [INFO] Add D7 footprint
13:32:49: [INFO] Add SW8 footprint
13:32:49: [INFO] Add D8 footprint
13:32:49: [INFO] Add SW9 footprint
13:32:49: [INFO] Add D9 footprint
13:32:49: [INFO] Add SW10 footprint
13:32:49: [INFO] Add D10 footprint
13:32:49: [INFO] Add SW11 footprint
13:32:49: [INFO] Add D11 footprint
13:32:49: [INFO] Add SW12 footprint
13:32:49: [INFO] Add D12 footprint
13:32:49: [INFO] Add SW13 footprint
13:32:49: [INFO] Add D13 footprint
13:32:49: [INFO] Add SW14 footprint
13:32:49: [INFO] Add D14 footprint
13:32:49: [INFO] Add SW15 footprint
13:32:49: [INFO] Add D15 footprint
13:32:49: [INFO] Add SW16 footprint
13:32:49: [INFO] Add D16 footprint
13:32:49: [INFO] Add ST16 footprint
13:32:49: [INFO] Add SW17 footprint
13:32:50: [INFO] Add D17 footprint
13:32:50: [INFO] Add SW18 footprint
13:32:50: [INFO] Add D18 footprint
13:32:50: [INFO] Add SW19 footprint
13:32:50: [INFO] Add D19 footprint
13:32:50: [INFO] Add SW20 footprint
13:32:50: [INFO] Add D20 footprint
13:32:50: [INFO] Add SW21 footprint
13:32:50: [INFO] Add D21 footprint
13:32:50: [INFO] Add SW22 footprint
13:32:50: [INFO] Add D22 footprint
13:32:50: [INFO] Add SW23 footprint
13:32:50: [INFO] Add D23 footprint
13:32:50: [INFO] Add SW24 footprint
13:32:50: [INFO] Add D24 footprint
13:32:50: [INFO] Add SW25 footprint
13:32:50: [INFO] Add D25 footprint
13:32:50: [INFO] Add SW26 footprint
13:32:50: [INFO] Add D26 footprint
13:32:50: [INFO] Add SW27 footprint
13:32:50: [INFO] Add D27 footprint
13:32:50: [INFO] Add SW28 footprint
13:32:50: [INFO] Add D28 footprint
13:32:50: [INFO] Add SW29 footprint
13:32:50: [INFO] Add D29 footprint
13:32:50: [INFO] Add SW30 footprint
13:32:50: [INFO] Add D30 footprint
13:32:50: [INFO] Add SW31 footprint
13:32:50: [INFO] Add D31 footprint
13:32:50: [INFO] Add SW32 footprint
13:32:50: [INFO] Add D32 footprint
13:32:50: [INFO] Add SW33 footprint
13:32:50: [INFO] Add D33 footprint
13:32:51: [INFO] Add SW34 footprint
13:32:51: [INFO] Add D34 footprint
13:32:51: [INFO] Add SW35 footprint
13:32:51: [INFO] Add D35 footprint
13:32:51: [INFO] Add SW36 footprint
13:32:51: [INFO] Add D36 footprint
13:32:51: [INFO] Add SW37 footprint
13:32:51: [INFO] Add D37 footprint
13:32:51: [INFO] Add SW38 footprint
13:32:51: [INFO] Add D38 footprint
13:32:51: [INFO] Add SW39 footprint
13:32:51: [INFO] Add D39 footprint
13:32:51: [INFO] Add SW40 footprint
13:32:51: [INFO] Add D40 footprint
13:32:51: [INFO] Add SW41 footprint
13:32:51: [INFO] Add D41 footprint
13:32:51: [INFO] Add SW42 footprint
13:32:51: [INFO] Add D42 footprint
13:32:51: [INFO] Add SW43 footprint
13:32:51: [INFO] Add D43 footprint
13:32:51: [INFO] Add SW44 footprint
13:32:51: [INFO] Add D44 footprint
13:32:51: [INFO] Add SW45 footprint
13:32:51: [INFO] Add D45 footprint
13:32:51: [INFO] Add SW46 footprint
13:32:51: [INFO] Add D46 footprint
13:32:51: [INFO] Add SW47 footprint
13:32:51: [INFO] Add D47 footprint
13:32:51: [INFO] Add SW48 footprint
13:32:51: [INFO] Add D48 footprint
13:32:51: [INFO] Add SW49 footprint
13:32:51: [INFO] Add D49 footprint
13:32:51: [INFO] Add SW50 footprint
13:32:52: [INFO] Add D50 footprint
13:32:52: [INFO] Add SW51 footprint
13:32:52: [INFO] Add D51 footprint
13:32:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:52: [INFO] Add ST51 footprint
13:32:52: [INFO] Add SW52 footprint
13:32:52: [INFO] Add D52 footprint
13:32:52: [INFO] Add SW53 footprint
13:32:52: [INFO] Add D53 footprint
13:32:52: [INFO] Add SW54 footprint
13:32:52: [INFO] Add D54 footprint
13:32:52: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:52: [INFO] Add ST54 footprint
13:32:52: [INFO] Add SW55 footprint
13:32:52: [INFO] Add D55 footprint
13:32:52: [INFO] Add SW56 footprint
13:32:52: [INFO] Add D56 footprint
13:32:52: [INFO] Add SW57 footprint
13:32:52: [INFO] Add D57 footprint
13:32:52: [INFO] Add SW58 footprint
13:32:52: [INFO] Add D58 footprint
13:32:52: [INFO] Add SW59 footprint
13:32:52: [INFO] Add D59 footprint
13:32:52: [INFO] Add SW60 footprint
13:32:52: [INFO] Add D60 footprint
13:32:52: [INFO] Add SW61 footprint
13:32:52: [INFO] Add D61 footprint
13:32:52: [INFO] Add SW62 footprint
13:32:52: [INFO] Add D62 footprint
13:32:52: [INFO] Add SW63 footprint
13:32:52: [INFO] Add D63 footprint
13:32:52: [INFO] Add SW64 footprint
13:32:52: [INFO] Add D64 footprint
13:32:52: [INFO] Add SW65 footprint
13:32:52: [INFO] Add D65 footprint
13:32:52: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:52: [INFO] Add ST65 footprint
13:32:53: [INFO] Add SW66 footprint
13:32:53: [INFO] Add D66 footprint
13:32:53: [INFO] Add SW67 footprint
13:32:53: [INFO] Add D67 footprint
13:32:53: [INFO] Add SW68 footprint
13:32:53: [INFO] Add D68 footprint
13:32:53: [INFO] Add SW69 footprint
13:32:53: [INFO] Add D69 footprint
13:32:53: [INFO] Add SW70 footprint
13:32:53: [INFO] Add D70 footprint
13:32:53: [INFO] Add SW71 footprint
13:32:53: [INFO] Add D71 footprint
13:32:53: [INFO] Add SW72 footprint
13:32:53: [INFO] Add D72 footprint
13:32:53: [INFO] Add ST72 footprint
13:32:53: [INFO] Add SW73 footprint
13:32:53: [INFO] Add D73 footprint
13:32:53: [INFO] Add SW74 footprint
13:32:53: [INFO] Add D74 footprint
13:32:53: [INFO] Add SW75 footprint
13:32:53: [INFO] Add D75 footprint
13:32:53: [INFO] Add SW76 footprint
13:32:53: [INFO] Add D76 footprint
13:32:53: [INFO] Add SW77 footprint
13:32:53: [INFO] Add D77 footprint
13:32:53: [INFO] Add SW78 footprint
13:32:53: [INFO] Add D78 footprint
13:32:53: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:53: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:53: [INFO] Layout offset: (28575000, 28575000)
13:32:53: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:53: [INFO] Placing additional elements for SW78
13:32:53: [INFO] Placing additional elements for SW77
13:32:53: [INFO] Placing additional elements for SW76
13:32:53: [INFO] Placing additional elements for SW75
13:32:53: [INFO] Placing additional elements for SW74
13:32:53: [INFO] Placing additional elements for SW73
13:32:53: [INFO] Placing additional elements for SW72
13:32:53: [INFO] Placing additional elements for SW71
13:32:53: [INFO] Placing additional elements for SW70
13:32:53: [INFO] Placing additional elements for SW69
13:32:53: [INFO] Placing additional elements for SW68
13:32:53: [INFO] Placing additional elements for SW67
13:32:53: [INFO] Placing additional elements for SW66
13:32:53: [INFO] Placing additional elements for SW65
13:32:53: [INFO] Placing additional elements for SW64
13:32:53: [INFO] Placing additional elements for SW63
13:32:53: [INFO] Placing additional elements for SW62
13:32:53: [INFO] Placing additional elements for SW61
13:32:53: [INFO] Placing additional elements for SW60
13:32:53: [INFO] Placing additional elements for SW59
13:32:53: [INFO] Placing additional elements for SW58
13:32:53: [INFO] Placing additional elements for SW57
13:32:53: [INFO] Placing additional elements for SW56
13:32:53: [INFO] Placing additional elements for SW55
13:32:53: [INFO] Placing additional elements for SW54
13:32:53: [INFO] Placing additional elements for SW53
13:32:53: [INFO] Placing additional elements for SW52
13:32:53: [INFO] Placing additional elements for SW51
13:32:53: [INFO] Placing additional elements for SW50
13:32:53: [INFO] Placing additional elements for SW49
13:32:53: [INFO] Placing additional elements for SW48
13:32:53: [INFO] Placing additional elements for SW47
13:32:53: [INFO] Placing additional elements for SW46
13:32:53: [INFO] Placing additional elements for SW45
13:32:53: [INFO] Placing additional elements for SW44
13:32:53: [INFO] Placing additional elements for SW43
13:32:53: [INFO] Placing additional elements for SW42
13:32:53: [INFO] Placing additional elements for SW41
13:32:53: [INFO] Placing additional elements for SW40
13:32:53: [INFO] Placing additional elements for SW39
13:32:53: [INFO] Placing additional elements for SW38
13:32:53: [INFO] Placing additional elements for SW37
13:32:53: [INFO] Placing additional elements for SW36
13:32:53: [INFO] Placing additional elements for SW35
13:32:53: [INFO] Placing additional elements for SW34
13:32:53: [INFO] Placing additional elements for SW33
13:32:53: [INFO] Placing additional elements for SW32
13:32:53: [INFO] Placing additional elements for SW31
13:32:53: [INFO] Placing additional elements for SW30
13:32:53: [INFO] Placing additional elements for SW29
13:32:53: [INFO] Placing additional elements for SW28
13:32:53: [INFO] Placing additional elements for SW27
13:32:53: [INFO] Placing additional elements for SW26
13:32:53: [INFO] Placing additional elements for SW25
13:32:53: [INFO] Placing additional elements for SW24
13:32:53: [INFO] Placing additional elements for SW23
13:32:53: [INFO] Placing additional elements for SW22
13:32:53: [INFO] Placing additional elements for SW21
13:32:53: [INFO] Placing additional elements for SW20
13:32:53: [INFO] Placing additional elements for SW19
13:32:53: [INFO] Placing additional elements for SW18
13:32:53: [INFO] Placing additional elements for SW17
13:32:53: [INFO] Placing additional elements for SW16
13:32:53: [INFO] Placing additional elements for SW15
13:32:53: [INFO] Placing additional elements for SW14
13:32:53: [INFO] Placing additional elements for SW13
13:32:53: [INFO] Placing additional elements for SW12
13:32:53: [INFO] Placing additional elements for SW11
13:32:53: [INFO] Placing additional elements for SW10
13:32:53: [INFO] Placing additional elements for SW9
13:32:53: [INFO] Placing additional elements for SW8
13:32:53: [INFO] Placing additional elements for SW7
13:32:53: [INFO] Placing additional elements for SW6
13:32:53: [INFO] Placing additional elements for SW5
13:32:53: [INFO] Placing additional elements for SW4
13:32:53: [INFO] Placing additional elements for SW3
13:32:53: [INFO] Placing additional elements for SW2
13:32:53: [INFO] Placing additional elements for SW1
13:32:53: [INFO] Routing SW78 with D78
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW78:2' at (402590000, 128270000) with pad 'D78:2' at (405130000, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(402590000, 128270000), (402590000, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(402590000, 133410000), (405130000, 135950000)]
13:32:53: [INFO] Routing SW77 with D77
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW77:2' at (383540000, 128270000) with pad 'D77:2' at (386080000, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(383540000, 128270000), (383540000, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(383540000, 133410000), (386080000, 135950000)]
13:32:53: [INFO] Routing SW76 with D76
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW76:2' at (364490000, 128270000) with pad 'D76:2' at (367030000, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(364490000, 128270000), (364490000, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(364490000, 133410000), (367030000, 135950000)]
13:32:53: [INFO] Routing SW75 with D75
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW75:2' at (328771250, 128270000) with pad 'D75:2' at (331311250, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(328771250, 128270000), (328771250, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(328771250, 133410000), (331311250, 135950000)]
13:32:53: [INFO] Routing SW74 with D74
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW74:2' at (304958750, 128270000) with pad 'D74:2' at (307498750, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(304958750, 128270000), (304958750, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(304958750, 133410000), (307498750, 135950000)]
13:32:53: [INFO] Routing SW73 with D73
13:32:53: [INFO] Using internal autorouter method
13:32:53: [INFO] Routing pad 'SW73:2' at (281146250, 128270000) with pad 'D73:2' at (283686250, 135950000) using coordinate system rotated by 0 degree(s)
13:32:53: [INFO] Adding track segment (B.Cu): [(281146250, 128270000), (281146250, 133410000)]
13:32:53: [INFO] Adding track segment (B.Cu): [(281146250, 133410000), (283686250, 135950000)]
13:32:53: [INFO] Routing SW72 with D72
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW72:2' at (209708750, 128270000) with pad 'D72:2' at (212248750, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(209708750, 128270000), (209708750, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(209708750, 133410000), (212248750, 135950000)]
13:32:54: [INFO] Routing SW71 with D71
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW71:2' at (138271250, 128270000) with pad 'D71:2' at (140811250, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(138271250, 128270000), (138271250, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(138271250, 133410000), (140811250, 135950000)]
13:32:54: [INFO] Routing SW70 with D70
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW70:2' at (114458750, 128270000) with pad 'D70:2' at (116998750, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(114458750, 128270000), (114458750, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(114458750, 133410000), (116998750, 135950000)]
13:32:54: [INFO] Routing SW69 with D69
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW69:2' at (90646250, 128270000) with pad 'D69:2' at (93186250, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(90646250, 128270000), (90646250, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(90646250, 133410000), (93186250, 135950000)]
13:32:54: [INFO] Routing SW68 with D68
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW68:2' at (59690000, 128270000) with pad 'D68:2' at (62230000, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(59690000, 128270000), (59690000, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(59690000, 133410000), (62230000, 135950000)]
13:32:54: [INFO] Routing SW67 with D67
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW67:2' at (40640000, 128270000) with pad 'D67:2' at (43180000, 135950000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(40640000, 128270000), (40640000, 133410000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(40640000, 133410000), (43180000, 135950000)]
13:32:54: [INFO] Routing SW66 with D66
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW66:2' at (383540000, 109220000) with pad 'D66:2' at (386080000, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(383540000, 109220000), (383540000, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(383540000, 114360000), (386080000, 116900000)]
13:32:54: [INFO] Routing SW65 with D65
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW65:2' at (338296250, 109220000) with pad 'D65:2' at (340836250, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(338296250, 109220000), (338296250, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(338296250, 114360000), (340836250, 116900000)]
13:32:54: [INFO] Routing SW64 with D64
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW64:2' at (302577500, 109220000) with pad 'D64:2' at (305117500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(302577500, 109220000), (302577500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(302577500, 114360000), (305117500, 116900000)]
13:32:54: [INFO] Routing SW63 with D63
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW63:2' at (283527500, 109220000) with pad 'D63:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(283527500, 109220000), (283527500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(283527500, 114360000), (286067500, 116900000)]
13:32:54: [INFO] Routing SW62 with D62
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW62:2' at (264477500, 109220000) with pad 'D62:2' at (267017500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(264477500, 109220000), (264477500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(264477500, 114360000), (267017500, 116900000)]
13:32:54: [INFO] Routing SW61 with D61
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW61:2' at (245427500, 109220000) with pad 'D61:2' at (247967500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(245427500, 109220000), (245427500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(245427500, 114360000), (247967500, 116900000)]
13:32:54: [INFO] Routing SW60 with D60
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW60:2' at (226377500, 109220000) with pad 'D60:2' at (228917500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(226377500, 109220000), (226377500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(226377500, 114360000), (228917500, 116900000)]
13:32:54: [INFO] Routing SW59 with D59
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW59:2' at (207327500, 109220000) with pad 'D59:2' at (209867500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(207327500, 109220000), (207327500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(207327500, 114360000), (209867500, 116900000)]
13:32:54: [INFO] Routing SW58 with D58
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW58:2' at (188277500, 109220000) with pad 'D58:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(188277500, 109220000), (188277500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(188277500, 114360000), (190817500, 116900000)]
13:32:54: [INFO] Routing SW57 with D57
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW57:2' at (169227500, 109220000) with pad 'D57:2' at (171767500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(169227500, 109220000), (169227500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(169227500, 114360000), (171767500, 116900000)]
13:32:54: [INFO] Routing SW56 with D56
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW56:2' at (150177500, 109220000) with pad 'D56:2' at (152717500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(150177500, 109220000), (150177500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(150177500, 114360000), (152717500, 116900000)]
13:32:54: [INFO] Routing SW55 with D55
13:32:54: [INFO] Using internal autorouter method
13:32:54: [INFO] Routing pad 'SW55:2' at (131127500, 109220000) with pad 'D55:2' at (133667500, 116900000) using coordinate system rotated by 0 degree(s)
13:32:54: [INFO] Adding track segment (B.Cu): [(131127500, 109220000), (131127500, 114360000)]
13:32:54: [INFO] Adding track segment (B.Cu): [(131127500, 114360000), (133667500, 116900000)]
