=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwGYC+AaO4FuQHQHYEEAMO4G4SOALEYfqQuALpoBQYUsiSAdAOwBWCgGNu4AMT9pM8pgDu3BLwBMwzAAtuKivJVLe68Bv3xsmSKbgBaYqsHpMOvPQLYmrDhGhmVAo2LwkiIhoeCOlDhIdG5knpw+iH5qouISAIaZWXLgimb+EdRRMfjOOUUItK6lceycAJ7cdimYgZhSMtLhFKTEct5KqUEZWZndmKT6PWhIOaTUc2iC-Vzwdg7TAGyL-IsAHIsAnCuJ6xGMTNMIUxNRi5UnTYbnOMtX21e78RCNa4ZD7VCYQi2D6FHcOWwNywM0haAW4KWcI+mGwu0RB0Rx0RCDBqJwl3x1xWbUkozGum0IOK1V6jz+GyJbyJKJhCC+dQgeUQzwoOjxEFJEiBIXG4DKfLQ0J0s0lCKcSMlrJ06IVmIV2IVuJyzkJ4pwNy5BkZ+pcdFB9Lg6wBZPJYuczNNypwHK8uQMQgiVAF4CFIrEXrIFCo0KosswVHlkUdVFZVFVkXVkU1kW1wYJJLSnS6lPgyRNVDN9At319aXJ6Ry3PzhTQPr9IrFFXKUpb4fARSjRUdRVZRQTRSTRRTFXr5btubgfk9FAq0Wq-MtygCWezTZw21LQorVYMagiwmIJW9K25yn3FGECGPddPe5NwhUN7Hw39u-gm3sB7Qm2fmeGO6TueD5oIcf4YEa+QXpgV5HtUJ4Qe6UEgdc4FwJBPLQeAV5VHQCHoasVr-K0q6dGKV6OlerJXq6DRPC0ZYAROCjGt+cF4UGME4DehIYcu35PvBnGCmkb6Tvw36-kJvGMe0gEsfkKHsfQhY5FegkcTJZ68lxlQ8SwzBAA
13:30:02: [INFO] Add Net-(D77-A) net
13:30:02: [INFO] Add Net-(D78-A) net
13:30:02: [INFO] Add Net-(D79-A) net
13:30:02: [INFO] Add Net-(D8-A) net
13:30:02: [INFO] Add Net-(D80-A) net
13:30:02: [INFO] Add Net-(D81-A) net
13:30:02: [INFO] Add Net-(D82-A) net
13:30:02: [INFO] Add Net-(D83-A) net
13:30:02: [INFO] Add Net-(D84-A) net
13:30:02: [INFO] Add Net-(D85-A) net
13:30:02: [INFO] Add Net-(D86-A) net
13:30:02: [INFO] Add Net-(D87-A) net
13:30:02: [INFO] Add Net-(D88-A) net
13:30:02: [INFO] Add Net-(D89-A) net
13:30:02: [INFO] Add Net-(D9-A) net
13:30:02: [INFO] Add ROW0 net
13:30:02: [INFO] Add ROW1 net
13:30:02: [INFO] Add ROW2 net
13:30:02: [INFO] Add ROW3 net
13:30:02: [INFO] Add ROW4 net
13:30:02: [INFO] Add ROW5 net
13:30:02: [INFO] Add SW1 footprint
13:30:02: [INFO] Add D1 footprint
13:30:02: [INFO] Add SW2 footprint
13:30:02: [INFO] Add D2 footprint
13:30:02: [INFO] Add SW3 footprint
13:30:02: [INFO] Add D3 footprint
13:30:02: [INFO] Add SW4 footprint
13:30:02: [INFO] Add D4 footprint
13:30:02: [INFO] Add SW5 footprint
13:30:02: [INFO] Add D5 footprint
13:30:02: [INFO] Add SW6 footprint
13:30:02: [INFO] Add D6 footprint
13:30:02: [INFO] Add SW7 footprint
13:30:02: [INFO] Add D7 footprint
13:30:03: [INFO] Add SW8 footprint
13:30:03: [INFO] Add D8 footprint
13:30:03: [INFO] Add SW9 footprint
13:30:03: [INFO] Add D9 footprint
13:30:03: [INFO] Add SW10 footprint
13:30:03: [INFO] Add D10 footprint
13:30:03: [INFO] Add SW11 footprint
13:30:03: [INFO] Add D11 footprint
13:30:03: [INFO] Add SW12 footprint
13:30:03: [INFO] Add D12 footprint
13:30:03: [INFO] Add SW13 footprint
13:30:03: [INFO] Add D13 footprint
13:30:03: [INFO] Add SW14 footprint
13:30:03: [INFO] Add D14 footprint
13:30:03: [INFO] Add SW15 footprint
13:30:03: [INFO] Add D15 footprint
13:30:03: [INFO] Add SW16 footprint
13:30:03: [INFO] Add D16 footprint
13:30:03: [INFO] Add SW17 footprint
13:30:03: [INFO] Add D17 footprint
13:30:03: [INFO] Add SW18 footprint
13:30:03: [INFO] Add D18 footprint
13:30:03: [INFO] Add SW19 footprint
13:30:03: [INFO] Add D19 footprint
13:30:03: [INFO] Add SW20 footprint
13:30:03: [INFO] Add D20 footprint
13:30:03: [INFO] Add SW21 footprint
13:30:03: [INFO] Add D21 footprint
13:30:03: [INFO] Add SW22 footprint
13:30:03: [INFO] Add D22 footprint
13:30:03: [INFO] Add SW23 footprint
13:30:04: [INFO] Add D23 footprint
13:30:04: [INFO] Add SW24 footprint
13:30:04: [INFO] Add D24 footprint
13:30:04: [INFO] Add SW25 footprint
13:30:04: [INFO] Add D25 footprint
13:30:04: [INFO] Add SW26 footprint
13:30:04: [INFO] Add D26 footprint
13:30:04: [INFO] Add SW27 footprint
13:30:04: [INFO] Add D27 footprint
13:30:04: [INFO] Add SW28 footprint
13:30:04: [INFO] Add D28 footprint
13:30:04: [INFO] Add SW29 footprint
13:30:04: [INFO] Add D29 footprint
13:30:04: [INFO] Add SW30 footprint
13:30:04: [INFO] Add D30 footprint
13:30:04: [INFO] Add ST30 footprint
13:30:04: [INFO] Add SW30a footprint
13:30:04: [INFO] Add SW31 footprint
13:30:04: [INFO] Add D31 footprint
13:30:04: [INFO] Add SW32 footprint
13:30:04: [INFO] Add D32 footprint
13:30:04: [INFO] Add SW33 footprint
13:30:04: [INFO] Add D33 footprint
13:30:04: [INFO] Add SW34 footprint
13:30:04: [INFO] Add D34 footprint
13:30:04: [INFO] Add SW35 footprint
13:30:04: [INFO] Add D35 footprint
13:30:04: [INFO] Add SW36 footprint
13:30:04: [INFO] Add D36 footprint
13:30:04: [INFO] Add SW37 footprint
13:30:04: [INFO] Add D37 footprint
13:30:04: [INFO] Add SW38 footprint
13:30:04: [INFO] Add D38 footprint
13:30:05: [INFO] Add SW39 footprint
13:30:05: [INFO] Add D39 footprint
13:30:05: [INFO] Add SW40 footprint
13:30:05: [INFO] Add D40 footprint
13:30:05: [INFO] Add SW41 footprint
13:30:05: [INFO] Add D41 footprint
13:30:05: [INFO] Add SW42 footprint
13:30:05: [INFO] Add D42 footprint
13:30:05: [INFO] Add SW43 footprint
13:30:05: [INFO] Add D43 footprint
13:30:05: [INFO] Add SW44 footprint
13:30:05: [INFO] Add D44 footprint
13:30:05: [INFO] Add SW45 footprint
13:30:05: [INFO] Add D45 footprint
13:30:05: [INFO] Add SW46 footprint
13:30:05: [INFO] Add D46 footprint
13:30:05: [INFO] Add SW47 footprint
13:30:05: [INFO] Add D47 footprint
13:30:05: [INFO] Add SW47a footprint
13:30:05: [INFO] Add ST47a footprint
13:30:05: [INFO] Add SW48 footprint
13:30:05: [INFO] Add D48 footprint
13:30:05: [INFO] Add SW49 footprint
13:30:05: [INFO] Add D49 footprint
13:30:05: [INFO] Add SW50 footprint
13:30:05: [INFO] Add D50 footprint
13:30:05: [INFO] Add SW51 footprint
13:30:05: [INFO] Add D51 footprint
13:30:05: [INFO] Add SW52 footprint
13:30:05: [INFO] Add D52 footprint
13:30:05: [INFO] Add SW53 footprint
13:30:05: [INFO] Add D53 footprint
13:30:05: [INFO] Add SW54 footprint
13:30:05: [INFO] Add D54 footprint
13:30:05: [INFO] Add SW55 footprint
13:30:06: [INFO] Add D55 footprint
13:30:06: [INFO] Add SW56 footprint
13:30:06: [INFO] Add D56 footprint
13:30:06: [INFO] Add SW57 footprint
13:30:06: [INFO] Add D57 footprint
13:30:06: [INFO] Add SW58 footprint
13:30:06: [INFO] Add D58 footprint
13:30:06: [INFO] Add SW59 footprint
13:30:06: [INFO] Add D59 footprint
13:30:06: [INFO] Add SW60 footprint
13:30:06: [INFO] Add D60 footprint
13:30:06: [INFO] Add SW61 footprint
13:30:06: [INFO] Add D61 footprint
13:30:06: [INFO] Add SW62 footprint
13:30:06: [INFO] Add D62 footprint
13:30:06: [INFO] Add SW63 footprint
13:30:06: [INFO] Add D63 footprint
13:30:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:06: [INFO] Add ST63 footprint
13:30:06: [INFO] Add SW63a footprint
13:30:06: [INFO] Add SW64 footprint
13:30:06: [INFO] Add D64 footprint
13:30:06: [INFO] Add SW65 footprint
13:30:06: [INFO] Add D65 footprint
13:30:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:06: [INFO] Add ST65 footprint
13:30:06: [INFO] Add SW66 footprint
13:30:06: [INFO] Add D66 footprint
13:30:06: [INFO] Add SW67 footprint
13:30:06: [INFO] Add D67 footprint
13:30:06: [INFO] Add SW68 footprint
13:30:06: [INFO] Add D68 footprint
13:30:06: [INFO] Add SW69 footprint
13:30:06: [INFO] Add D69 footprint
13:30:06: [INFO] Add SW70 footprint
13:30:06: [INFO] Add D70 footprint
13:30:06: [INFO] Add SW71 footprint
13:30:07: [INFO] Add D71 footprint
13:30:07: [INFO] Add SW72 footprint
13:30:07: [INFO] Add D72 footprint
13:30:07: [INFO] Add SW73 footprint
13:30:07: [INFO] Add D73 footprint
13:30:07: [INFO] Add SW74 footprint
13:30:07: [INFO] Add D74 footprint
13:30:07: [INFO] Add SW75 footprint
13:30:07: [INFO] Add D75 footprint
13:30:07: [INFO] Add SW76 footprint
13:30:07: [INFO] Add D76 footprint
13:30:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:30:07: [INFO] Add ST76 footprint
13:30:07: [INFO] Add SW76a footprint
13:30:07: [INFO] Add SW77 footprint
13:30:07: [INFO] Add D77 footprint
13:30:07: [INFO] Add SW78 footprint
13:30:07: [INFO] Add D78 footprint
13:30:07: [INFO] Add SW79 footprint
13:30:07: [INFO] Add D79 footprint
13:30:07: [INFO] Add SW79a footprint
13:30:07: [INFO] Add SW80 footprint
13:30:07: [INFO] Add D80 footprint
13:30:07: [INFO] Add SW80a footprint
13:30:07: [INFO] Add SW81 footprint
13:30:07: [INFO] Add D81 footprint
13:30:07: [INFO] Add SW81a footprint
13:30:07: [INFO] Add SW82 footprint
13:30:07: [INFO] Add D82 footprint
13:30:07: [INFO] Add ST82 footprint
13:30:07: [INFO] Add SW82a footprint
13:30:07: [INFO] Add ST82a footprint
13:30:07: [INFO] Add SW83 footprint
13:30:07: [INFO] Add D83 footprint
13:30:07: [INFO] Add SW84 footprint
13:30:07: [INFO] Add D84 footprint
13:30:07: [INFO] Add SW84a footprint
13:30:07: [INFO] Add SW85 footprint
13:30:07: [INFO] Add D85 footprint
13:30:08: [INFO] Add SW85a footprint
13:30:08: [INFO] Add SW86 footprint
13:30:08: [INFO] Add D86 footprint
13:30:08: [INFO] Add SW86a footprint
