=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGLAOgHbfds28eQwZRaY4EAB4EWAOgBMAVmZ4C4RszadhXLeIjR4SAIamzGhDXb6oaxJAeOLrDPWZW3CNvPHgrPzQwAZl8rEMCAFlCMKMDFaPjAgDZBbisxdwwUnXSbQwREM3NmAHcCeSYvDGRUrnlrLCkZBWUEMvgK5NqPPLtHJ0qXGp16zz9q2tHwAF0MACgwcGl4GllkVtsjQqLjX3a4VcVBoIaJTYL+h2cp5hOx+oCEE8fwevCn4N962I+f14xEh9Af9soIThkPqChODelsdrtSgRDoN6sMwacmvA5OtEStZEdmPUodw7rCLpdnCdiVxSYSJjpSbMFpiDvjmPkTDs9ki1gSEMoIQY+hTBhFXL5lGMxS9lC8xe9wMoFWK-so-mLgcpgWLqWLBedOUVuR0WoNlLqMUseWw2uVTcwdbUxZ4hVtLtAzVkneKmYtlgd2XZ4ca4PJ7QhkJaOfYRcwkuLmJGxvGXpGXvGFZGFfG-pG-vHgZHAa6CsHcaz1oN49SBWSkGh0FX6YJa40DdsjYNI2ihPH9f65Bt9mHK3GvTpJXWUA3kL5VEYSBRqHRnN3avGBDpapR6L6WVYENGyzh8EYQ6slIMABzsWqR-X7C988AATktj-D4BvLvb7pDSU-G8glqG99SPLlrwBWo3whV8oJ0GDfBvalELbaMZ1nQY3ySJDql8N9Zz3K0VhUU8iDIKhaDGD9L2YUC71cWpt0eFkww2cCjVItRz0-N95BAhMzmjP9yzDWiECAgSf2HXksJiKSp2PcAaOfG9FGgwSIBUuT1IQzTfwpctB2YAATAhSEIABXShBg03d5j9AgIl5UTZOYPiBJY9slO0ujgk8qcRNtE1xLgiIArQoMuXLJ9IN0wQ+MCwzgrgbENjM+ALOs2y9K8jjzEglCMB8Ij-WcnFD2FfoQxHZ8PJ0ICpwwucyPARdKJXGLAP8hqeqYoRKDyqqnC4s9XNCt9wt694S0NAq-PioQ3wVN9Fu4ZampnFq1Ha5d6EKjTgK3HQdxmaYgA
13:31:21: [INFO] Add Net-(D69-A) net
13:31:21: [INFO] Add Net-(D7-A) net
13:31:21: [INFO] Add Net-(D8-A) net
13:31:21: [INFO] Add Net-(D9-A) net
13:31:21: [INFO] Add ROW0 net
13:31:21: [INFO] Add ROW1 net
13:31:21: [INFO] Add ROW2 net
13:31:21: [INFO] Add ROW3 net
13:31:21: [INFO] Add ROW4 net
13:31:21: [INFO] Add ROW5 net
13:31:21: [INFO] Add ROW6 net
13:31:21: [INFO] Add ROW7 net
13:31:21: [INFO] Add ROW8 net
13:31:21: [INFO] Add ROW9 net
13:31:21: [INFO] Add SW1 footprint
13:31:21: [INFO] Add D1 footprint
13:31:21: [INFO] Add SW1a footprint
13:31:21: [INFO] Add SW2 footprint
13:31:21: [INFO] Add D2 footprint
13:31:21: [INFO] Add SW3 footprint
13:31:21: [INFO] Add D3 footprint
13:31:21: [INFO] Add SW4 footprint
13:31:21: [INFO] Add D4 footprint
13:31:21: [INFO] Add SW5 footprint
13:31:21: [INFO] Add D5 footprint
13:31:21: [INFO] Add SW6 footprint
13:31:21: [INFO] Add D6 footprint
13:31:21: [INFO] Add SW7 footprint
13:31:21: [INFO] Add D7 footprint
13:31:21: [INFO] Add SW7a footprint
13:31:21: [INFO] Add ST7a footprint
13:31:21: [INFO] Add SW8 footprint
13:31:22: [INFO] Add D8 footprint
13:31:22: [INFO] Add ST8 footprint
13:31:22: [INFO] Add SW8a footprint
13:31:22: [INFO] Add SW9 footprint
13:31:22: [INFO] Add D9 footprint
13:31:22: [INFO] Add SW10 footprint
13:31:22: [INFO] Add D10 footprint
13:31:22: [INFO] Add SW11 footprint
13:31:22: [INFO] Add D11 footprint
13:31:22: [INFO] Add SW12 footprint
13:31:22: [INFO] Add D12 footprint
13:31:22: [INFO] Add SW13 footprint
13:31:22: [INFO] Add D13 footprint
13:31:22: [INFO] Add SW14 footprint
13:31:22: [INFO] Add D14 footprint
13:31:22: [INFO] Add SW15 footprint
13:31:22: [INFO] Add D15 footprint
13:31:22: [INFO] Add SW16 footprint
13:31:22: [INFO] Add D16 footprint
13:31:22: [INFO] Add SW17 footprint
13:31:22: [INFO] Add D17 footprint
