=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:44: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYB+ACw9S5KnQbR4SAIbKV7XrVFYAbJuSaAHJPBl4M2tl4BOTZ0Icsnbvc79ix6TXoIA7uWoXBBxE3X3h-ZwkAXSwAKDBwAE8POgDOAgE0pwQ012ysYLyJBjSNNxM4IVSsPWKsQ1rrWtsMhyzwTNz2oKNQuHC8zijY4HBqdIYxtrHOsYLRrCKEMdK4KXhKie0BMZqluu2sRr3mzccDl3O5yaG48CFxhHu2+877ufvFu6wVtYpKZC8jAUKDQqAEvU4lHMDHuOjKHgBciYiFYbAC912X3qj0OAiedhxZxhDlyEHkCEQKlUDF6-S+nHeDhuIzED3ArLarM6rLmrM+rJ+7lMUKRwNBYJpfgCrLhqyFf0B5OYqOg0uqAlZ2PZuIYHIJ2qJCA5pPlkPwCCVlKpijUBpE0Vu9H19CyEFpAXoJvdDHoizJyPFmIhUI93x65Eh0IQ9Fl-uBKugkrCod2cYp1ptSb6oaO4BdztaAhdnRdcxdUUiQA
13:35:45: [INFO] Add Net-(D79-A) net
13:35:45: [INFO] Add Net-(D8-A) net
13:35:45: [INFO] Add Net-(D80-A) net
13:35:45: [INFO] Add Net-(D81-A) net
13:35:45: [INFO] Add Net-(D82-A) net
13:35:45: [INFO] Add Net-(D83-A) net
13:35:45: [INFO] Add Net-(D84-A) net
13:35:45: [INFO] Add Net-(D85-A) net
13:35:45: [INFO] Add Net-(D86-A) net
13:35:45: [INFO] Add Net-(D9-A) net
13:35:45: [INFO] Add ROW0 net
13:35:45: [INFO] Add ROW1 net
13:35:45: [INFO] Add ROW2 net
13:35:45: [INFO] Add ROW3 net
13:35:45: [INFO] Add ROW4 net
13:35:45: [INFO] Add ROW5 net
13:35:45: [INFO] Add SW1 footprint
13:35:45: [INFO] Add D1 footprint
13:35:45: [INFO] Add SW2 footprint
13:35:45: [INFO] Add D2 footprint
13:35:45: [INFO] Add SW3 footprint
13:35:45: [INFO] Add D3 footprint
13:35:45: [INFO] Add SW4 footprint
13:35:45: [INFO] Add D4 footprint
13:35:45: [INFO] Add SW5 footprint
13:35:45: [INFO] Add D5 footprint
13:35:45: [INFO] Add SW6 footprint
13:35:45: [INFO] Add D6 footprint
13:35:46: [INFO] Add SW7 footprint
13:35:46: [INFO] Add D7 footprint
13:35:46: [INFO] Add SW8 footprint
13:35:46: [INFO] Add D8 footprint
13:35:46: [INFO] Add SW9 footprint
13:35:46: [INFO] Add D9 footprint
13:35:46: [INFO] Add SW10 footprint
13:35:46: [INFO] Add D10 footprint
13:35:46: [INFO] Add SW11 footprint
13:35:46: [INFO] Add D11 footprint
13:35:46: [INFO] Add SW12 footprint
13:35:46: [INFO] Add D12 footprint
13:35:46: [INFO] Add SW13 footprint
13:35:46: [INFO] Add D13 footprint
13:35:46: [INFO] Add SW14 footprint
13:35:46: [INFO] Add D14 footprint
13:35:46: [INFO] Add ST14 footprint
13:35:46: [INFO] Add SW15 footprint
13:35:46: [INFO] Add D15 footprint
13:35:46: [INFO] Add ST15 footprint
13:35:46: [INFO] Add SW16 footprint
13:35:46: [INFO] Add D16 footprint
13:35:46: [INFO] Add SW17 footprint
13:35:46: [INFO] Add D17 footprint
13:35:46: [INFO] Add SW18 footprint
13:35:46: [INFO] Add D18 footprint
13:35:46: [INFO] Add SW19 footprint
13:35:46: [INFO] Add D19 footprint
13:35:46: [INFO] Add SW20 footprint
13:35:46: [INFO] Add D20 footprint
13:35:46: [INFO] Add SW21 footprint
13:35:46: [INFO] Add D21 footprint
13:35:46: [INFO] Add SW22 footprint
13:35:46: [INFO] Add D22 footprint
13:35:46: [INFO] Add SW23 footprint
13:35:46: [INFO] Add D23 footprint
13:35:47: [INFO] Add SW24 footprint
13:35:47: [INFO] Add D24 footprint
13:35:47: [INFO] Add SW25 footprint
13:35:47: [INFO] Add D25 footprint
13:35:47: [INFO] Add SW26 footprint
13:35:47: [INFO] Add D26 footprint
13:35:47: [INFO] Add SW27 footprint
13:35:47: [INFO] Add D27 footprint
13:35:47: [INFO] Add SW28 footprint
13:35:47: [INFO] Add D28 footprint
13:35:47: [INFO] Add SW29 footprint
13:35:47: [INFO] Add D29 footprint
13:35:47: [INFO] Add ST29 footprint
13:35:47: [INFO] Add SW30 footprint
13:35:47: [INFO] Add D30 footprint
13:35:47: [INFO] Add SW31 footprint
13:35:47: [INFO] Add D31 footprint
13:35:47: [INFO] Add SW32 footprint
13:35:47: [INFO] Add D32 footprint
13:35:47: [INFO] Add SW33 footprint
13:35:47: [INFO] Add D33 footprint
13:35:47: [INFO] Add SW34 footprint
13:35:47: [INFO] Add D34 footprint
13:35:47: [INFO] Add SW35 footprint
13:35:47: [INFO] Add D35 footprint
13:35:47: [INFO] Add SW36 footprint
13:35:47: [INFO] Add D36 footprint
13:35:47: [INFO] Add SW37 footprint
13:35:47: [INFO] Add D37 footprint
13:35:47: [INFO] Add SW38 footprint
13:35:47: [INFO] Add D38 footprint
13:35:47: [INFO] Add SW39 footprint
13:35:47: [INFO] Add D39 footprint
13:35:47: [INFO] Add SW40 footprint
13:35:48: [INFO] Add D40 footprint
13:35:48: [INFO] Add SW41 footprint
13:35:48: [INFO] Add D41 footprint
13:35:48: [INFO] Add SW42 footprint
13:35:48: [INFO] Add D42 footprint
13:35:48: [INFO] Add SW43 footprint
13:35:48: [INFO] Add D43 footprint
13:35:48: [INFO] Add SW44 footprint
13:35:48: [INFO] Add D44 footprint
13:35:48: [INFO] Add SW45 footprint
13:35:48: [INFO] Add D45 footprint
13:35:48: [INFO] Add SW46 footprint
13:35:48: [INFO] Add D46 footprint
13:35:48: [INFO] Add SW47 footprint
13:35:48: [INFO] Add D47 footprint
13:35:48: [INFO] Add SW48 footprint
13:35:48: [INFO] Add D48 footprint
13:35:48: [INFO] Add SW49 footprint
13:35:48: [INFO] Add D49 footprint
13:35:48: [INFO] Add SW50 footprint
13:35:48: [INFO] Add D50 footprint
13:35:48: [INFO] Add SW51 footprint
13:35:48: [INFO] Add D51 footprint
13:35:48: [INFO] Add SW52 footprint
13:35:48: [INFO] Add D52 footprint
13:35:48: [INFO] Add SW53 footprint
13:35:48: [INFO] Add D53 footprint
13:35:48: [INFO] Add SW54 footprint
13:35:48: [INFO] Add D54 footprint
13:35:48: [INFO] Add SW55 footprint
13:35:48: [INFO] Add D55 footprint
13:35:48: [INFO] Add SW56 footprint
13:35:49: [INFO] Add D56 footprint
13:35:49: [INFO] Add SW57 footprint
13:35:49: [INFO] Add D57 footprint
13:35:49: [INFO] Add SW58 footprint
13:35:49: [INFO] Add D58 footprint
13:35:49: [INFO] Add ST58 footprint
13:35:49: [INFO] Add SW59 footprint
13:35:49: [INFO] Add D59 footprint
13:35:49: [INFO] Add SW60 footprint
13:35:49: [INFO] Add D60 footprint
13:35:49: [INFO] Add SW61 footprint
13:35:49: [INFO] Add D61 footprint
