=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+yfgA5+ATn51CxKLASIAhuo3UmdBgF0sAKDDgA7sroA6AdgR0CjEsvKUKW8HYY07rL5zZ2+XyFfUV9xXylfWUVSFTR0GjN4S2tfHXB9I0cyNQ11N2Z7GkLPOGyVF1cbcEKfBEKuYqxA+sE2QtDW8NbI1ukAHQA7IZHhsdHRrHaseQnx+bmLByUcvPzqkr1DYyS4S2ZUhA4istNzCwPq49KIXf3D8GO62-PLmmOW8ucXNl3mC2QD2OnS+uTyv1eQKwvUeWGiRxmCgR6V0uiAA
13:37:44: [INFO] Add Net-(D34-A) net
13:37:44: [INFO] Add Net-(D35-A) net
13:37:44: [INFO] Add Net-(D36-A) net
13:37:44: [INFO] Add Net-(D37-A) net
13:37:44: [INFO] Add Net-(D38-A) net
13:37:44: [INFO] Add Net-(D39-A) net
13:37:44: [INFO] Add Net-(D4-A) net
13:37:44: [INFO] Add Net-(D40-A) net
13:37:44: [INFO] Add Net-(D41-A) net
13:37:44: [INFO] Add Net-(D42-A) net
13:37:44: [INFO] Add Net-(D43-A) net
13:37:44: [INFO] Add Net-(D44-A) net
13:37:44: [INFO] Add Net-(D5-A) net
13:37:44: [INFO] Add Net-(D6-A) net
13:37:44: [INFO] Add Net-(D7-A) net
13:37:44: [INFO] Add Net-(D8-A) net
13:37:44: [INFO] Add Net-(D9-A) net
13:37:44: [INFO] Add ROW0 net
13:37:44: [INFO] Add ROW1 net
13:37:44: [INFO] Add ROW2 net
13:37:44: [INFO] Add ROW3 net
13:37:44: [INFO] Add SW1 footprint
13:37:44: [INFO] Add D1 footprint
13:37:44: [INFO] Add SW2 footprint
13:37:44: [INFO] Add D2 footprint
13:37:44: [INFO] Add SW3 footprint
13:37:44: [INFO] Add D3 footprint
13:37:44: [INFO] Add SW4 footprint
13:37:44: [INFO] Add D4 footprint
13:37:44: [INFO] Add SW5 footprint
13:37:44: [INFO] Add D5 footprint
13:37:44: [INFO] Add SW6 footprint
13:37:44: [INFO] Add D6 footprint
13:37:44: [INFO] Add SW7 footprint
13:37:44: [INFO] Add D7 footprint
13:37:44: [INFO] Add SW8 footprint
13:37:44: [INFO] Add D8 footprint
13:37:44: [INFO] Add SW9 footprint
13:37:44: [INFO] Add D9 footprint
13:37:44: [INFO] Add SW10 footprint
13:37:44: [INFO] Add D10 footprint
13:37:44: [INFO] Add SW11 footprint
13:37:44: [INFO] Add D11 footprint
13:37:44: [INFO] Add SW12 footprint
13:37:44: [INFO] Add D12 footprint
13:37:45: [INFO] Add SW13 footprint
13:37:45: [INFO] Add D13 footprint
13:37:45: [INFO] Add SW14 footprint
13:37:45: [INFO] Add D14 footprint
13:37:45: [INFO] Add SW15 footprint
13:37:45: [INFO] Add D15 footprint
13:37:45: [INFO] Add SW16 footprint
13:37:45: [INFO] Add D16 footprint
13:37:45: [INFO] Add SW17 footprint
13:37:45: [INFO] Add D17 footprint
13:37:45: [INFO] Add SW18 footprint
13:37:45: [INFO] Add D18 footprint
13:37:45: [INFO] Add SW19 footprint
13:37:45: [INFO] Add D19 footprint
13:37:45: [INFO] Add SW20 footprint
13:37:45: [INFO] Add D20 footprint
13:37:45: [INFO] Add SW21 footprint
13:37:45: [INFO] Add D21 footprint
13:37:45: [INFO] Add SW22 footprint
13:37:45: [INFO] Add D22 footprint
13:37:45: [INFO] Add SW23 footprint
13:37:45: [INFO] Add D23 footprint
13:37:45: [INFO] Add SW24 footprint
13:37:45: [INFO] Add D24 footprint
13:37:45: [INFO] Add SW25 footprint
13:37:45: [INFO] Add D25 footprint
13:37:45: [INFO] Add SW26 footprint
13:37:45: [INFO] Add D26 footprint
13:37:45: [INFO] Add SW27 footprint
13:37:45: [INFO] Add D27 footprint
13:37:45: [INFO] Add SW28 footprint
