=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQIxoLgYTTwBMSP6TOXhVSY8YxII0PDnC65CSaiiaZ0sgLpoAUGCi5mywdlwBaZIWJCKlAIYPHkzNPacyt8RLXhpzOQrwzMgqPuj+7sKY9o4OcuAA7rg8YWjUADoAdllZrgEGQfyqJOgIOdmZfvHoGRW5aP7aeoF4AiQ48BZIzDwkUVR09D69bvIFcD1I0jYilF5izuAAbDLgTfrcE6jt5pbWHrOxcSRJhcWYrBFj-XPzi6yy7pvBRT4rV8ts+adb55-Ua10+g6cC6PT6tkGtEW+C+6xaRjamBBXSsEMOR3iPyMoRIvSuEBu83Iw1WT1wAE5jD5qGTMLSCQdolCASdkq8SLSAfDxqwZtEjnYseyBD5YYyiXcxXSWlTRSRiI9MMQJbZBcLeNSFWlyllWKMWsgTNitcq2LrMpd4sRauUrTznmyzj4ACwNfLPfDbTAmv4UuFAiAAJ0MvUwQc2LuMJCDIKMJhRRmmTNEUqkaHw8WkLqzaBQuaWgOa4y6f1YmZYaBzlfzlcLDt2HMwvQrzar8V6tbb9cD42Q8swsNb4Fh1cHefisJ7xee3sSIr+bq7hLVmNdaGnwMbaJ9hlQ68zPJDnXB4eebvDcaKJE2ZijCfMSfR0WJi3QhZKE8-Y-A6EPvdvP4Vg-TAVi7T4fxWf8Z3MKNcXpDd4lpcDaR-WloI2cwUCbcBiBA3CvzNH9iAwlozGwpF501eDwH9fMG06PgH06SxaX5Kh1SdX4fH9Q9NCAA
13:36:03: [INFO] Add SW5 footprint
13:36:03: [INFO] Add D5 footprint
13:36:03: [INFO] Add SW6 footprint
13:36:04: [INFO] Add D6 footprint
13:36:04: [INFO] Add SW7 footprint
13:36:04: [INFO] Add D7 footprint
13:36:04: [INFO] Add SW8 footprint
13:36:04: [INFO] Add D8 footprint
13:36:04: [INFO] Add SW9 footprint
13:36:04: [INFO] Add D9 footprint
13:36:04: [INFO] Add SW10 footprint
13:36:04: [INFO] Add D10 footprint
13:36:04: [INFO] Add SW11 footprint
13:36:04: [INFO] Add D11 footprint
13:36:04: [INFO] Add SW12 footprint
13:36:04: [INFO] Add D12 footprint
13:36:04: [INFO] Add SW13 footprint
13:36:04: [INFO] Add D13 footprint
13:36:04: [INFO] Add SW14 footprint
13:36:04: [INFO] Add D14 footprint
13:36:04: [INFO] Add SW15 footprint
13:36:04: [INFO] Add D15 footprint
13:36:04: [INFO] Add SW16 footprint
13:36:04: [INFO] Add D16 footprint
13:36:04: [INFO] Add SW17 footprint
13:36:04: [INFO] Add D17 footprint
13:36:04: [INFO] Add SW18 footprint
13:36:04: [INFO] Add D18 footprint
13:36:04: [INFO] Add SW19 footprint
13:36:04: [INFO] Add D19 footprint
13:36:04: [INFO] Add SW20 footprint
13:36:04: [INFO] Add D20 footprint
13:36:04: [INFO] Add SW21 footprint
13:36:04: [INFO] Add D21 footprint
13:36:04: [INFO] Add SW22 footprint
13:36:04: [INFO] Add D22 footprint
13:36:04: [INFO] Add SW23 footprint
13:36:05: [INFO] Add D23 footprint
13:36:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:05: [INFO] Add ST23 footprint
13:36:05: [INFO] Add SW24 footprint
13:36:05: [INFO] Add D24 footprint
