=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGAbADoB2PPbAJj68Rwyi0xwIeAuEbM2XUdzb0FGAOzCeNDGqngZ8cCQrU68hGy3LdQ5du6V9EAB4EWAOgEBWZkYRJcAB3AhpPHyYrDAksCGhjREhklMtWPSDBTIwAZmyAFmyfbKVhNljom2FdCvSADmyATmyaWtUaRxyYlvthLor42RQ0VCDQ+HDI9Roczu648Hd4Lw0-BHG4Saj0ujn9Hd6RLv3VWeVjyTcPT1XmDa3pjvOMAR6514WEhEQNX7+ggImMhUWj0band6ORzOcAAXQwACgwFAhiNRttdKURIIocpKB8DICggALMIRDEcRyqS7gUkTcnMXRVES6FyGfDGUwgiwU5k6F64sR5BZLOBeXz+DmBO5kqYIGo0r5IFKpCn7OxBXTC+UYQqMjDFfVY-jzHV87gK-UNfXNfWtTV6J7CfKm8Csw48F0DFGJNHIMaytVnZ2mq7LG5rEKBu1OkQu9V6D3ceMOmaOFMi663dbRnW7ZQugluxPpl6KoZ-f6S2Rc8xgu3BuMChx4vLwpGDX1otICSnKHEtsR6gyigTbXvmuyCkSUQ0j64SnBSuQy+ly8C971KpIq6DjjLMXtF3vaje6oK9udn40qV0TxyWhC961PjC21-2w+Oxx+Wq9mhJr+5ZdiMAZrvuabKEBmbhtmUbgV++bCH4+z-oBB4fo2PAoTSoorJG9wMh+sbYWWnwVpWGgAsutagj2JZQc206UMOZ6QchTGDk4c5hmK3iRtuu7QNWxj0UhIh+NqnbfH6YGbERbHoae-5YdwklwoiyKiroCAAJ4EAAtF4kZ0vJ65dDe1ILKZDwIF0k4ZO2yL6fARkRCJRDAnWaQWVSnG4pQ7C4QQY7MPZD7+S2lBUTBfGLuyshybZ4D9MB3xCT5GEpWRdm5EEXSsV0V6+f2rrhbYZUYC+2Xvtln65eJPDsJVAGOM1W6ot2q5mdsxyqe1wWwQRuZ1SR3DNfsxxJhN+V6P1GG8fh3XJccY3NUWU1tTl0lIJRMVLjWXl0b1c1bUm0JUU5vH5PxzDbrJHkrjmCEIF6QTxo4dSuoWjiNN9uQPuUg1wAZ4RsM9fGRgAJgQpCEAArpQ2y-aGiyGcZzAw-AcOI8jyibu9uqOATzAuj4xP-TeJOvZoFO1C6dR04TjRM7FbkCUMGXdRjCBY3AONI8wjgaKj93dts8YsML-2NdwIv0wxwjyzShHrvGqnK+RiRcxDPPgHzAt40rC0+jJ4uk3oUvKCL+zxmNNtpbtlHUYdZjHRbrXW3o048NFjvDKBj1JQp6vS2ygm7nJesGwjgsINLBI7QH6AS5bCcqyNdvpx7SYi0Wode4npvKpH3PubzsOx0bIgi1JxfJ+iHtW8bdeq6nsu14Tnst-7e0u5yR08h7GsA1xvsddrpcHaJZdwTHuNC17w5Jw9EPhL47fNzX54e-bO80932+sQXxvL-XOv65XC-x17PH16v8E9bv0tXvGucGhnL3gCf293xHKpBHnnHcA0sgpazNoHNeIdvxezAQYbcfdHq0SHgfd+N4Lr+wfkSZa0D2LbyCldNG8AfARjuhRSs-dPJuxQd-b2ygvpjWhHA2hSY-qMLxMwl0qlWh0OYnA3ioNPDg3vl1ae0pdbl0vtjKui9hBsOBuzMhk8AGYyvsAimbINg5FTuTfGJstGp0Zno+ghDRTsFIQgMWkDH7JR+soP6RdRSKIrtI6+IC9GOMMmDVRrj1G2CyBbfIFMi7-1SN1UKNMqbbUfhE2h5ojyYPNjTFmHiNIdiIXADQFipH8xkTfYQJ5-YXw2LEl0QS9GtxCqnKJlT4ClKqhTNsmleJZLghsaOajq48F7GfDYGhqkU0KKYggrThrhmhp02RIhLyfzgNowJFNX59gKR-BYBiLYpJWcUYZ8BRllwmb4rp3Bez8MfvMmm5SVmnIQc7JBg96yRIpug1sRSp4JRnhDc5tDNnTI4GkrSIzskbHMRvC2UT9orySd8iml1mkZL2S43JbiKYviTsUqpCy9GopiQMrFiTQKGJRczIlOzMnZKAUc3s740VvJKanS5vzaouiidSnFFt4lvnxegHBoLkkU2aLCWEQA
13:31:40: [INFO] Add ROW4 net
13:31:40: [INFO] Add SW1 footprint
13:31:41: [INFO] Add D1 footprint
13:31:41: [INFO] Add SW2 footprint
13:31:41: [INFO] Add D2 footprint
13:31:41: [INFO] Add SW3 footprint
13:31:41: [INFO] Add D3 footprint
13:31:41: [INFO] Add SW4 footprint
13:31:41: [INFO] Add D4 footprint
13:31:41: [INFO] Add SW5 footprint
13:31:41: [INFO] Add D5 footprint
13:31:41: [INFO] Add SW6 footprint
13:31:41: [INFO] Add D6 footprint
13:31:41: [INFO] Add SW7 footprint
13:31:41: [INFO] Add D7 footprint
13:31:41: [INFO] Add SW7a footprint
13:31:41: [INFO] Add SW8 footprint
13:31:41: [INFO] Add D8 footprint
13:31:41: [INFO] Add SW8a footprint
13:31:41: [INFO] Add SW9 footprint
13:31:41: [INFO] Add D9 footprint
13:31:41: [INFO] Add SW10 footprint
13:31:41: [INFO] Add D10 footprint
13:31:41: [INFO] Add SW11 footprint
13:31:41: [INFO] Add D11 footprint
13:31:41: [INFO] Add SW12 footprint
13:31:41: [INFO] Add D12 footprint
13:31:41: [INFO] Add SW12a footprint
13:31:41: [INFO] Add SW13 footprint
13:31:41: [INFO] Add D13 footprint
13:31:41: [INFO] Add SW13a footprint
13:31:41: [INFO] Add SW14 footprint
13:31:41: [INFO] Add D14 footprint
13:31:41: [INFO] Add SW14a footprint
13:31:41: [INFO] Add SW14b footprint
13:31:41: [INFO] Add SW15 footprint
13:31:41: [INFO] Add D15 footprint
13:31:41: [INFO] Add SW16 footprint
13:31:42: [INFO] Add D16 footprint
13:31:42: [INFO] Add SW17 footprint
13:31:42: [INFO] Add D17 footprint
13:31:42: [INFO] Add SW18 footprint
13:31:42: [INFO] Add D18 footprint
13:31:42: [INFO] Add SW19 footprint
13:31:42: [INFO] Add D19 footprint
13:31:42: [INFO] Add SW20 footprint
13:31:42: [INFO] Add D20 footprint
13:31:42: [INFO] Add SW21 footprint
13:31:42: [INFO] Add D21 footprint
13:31:42: [INFO] Add SW21a footprint
13:31:42: [INFO] Add SW21b footprint
13:31:42: [INFO] Add SW22 footprint
13:31:42: [INFO] Add D22 footprint
13:31:42: [INFO] Add SW22a footprint
13:31:42: [INFO] Add SW22b footprint
13:31:42: [INFO] Add SW23 footprint
13:31:42: [INFO] Add D23 footprint
13:31:42: [INFO] Add SW24 footprint
13:31:42: [INFO] Add D24 footprint
13:31:42: [INFO] Add SW25 footprint
13:31:42: [INFO] Add D25 footprint
13:31:42: [INFO] Add SW26 footprint
13:31:42: [INFO] Add D26 footprint
13:31:42: [INFO] Add SW26a footprint
13:31:42: [INFO] Add SW27 footprint
13:31:42: [INFO] Add D27 footprint
13:31:42: [INFO] Add SW27a footprint
13:31:42: [INFO] Add SW28 footprint
13:31:42: [INFO] Add D28 footprint
13:31:42: [INFO] Add SW28a footprint
13:31:42: [INFO] Add SW28b footprint
13:31:43: [INFO] Add SW29 footprint
13:31:43: [INFO] Add D29 footprint
13:31:43: [INFO] Add SW30 footprint
13:31:43: [INFO] Add D30 footprint
13:31:43: [INFO] Add SW31 footprint
13:31:43: [INFO] Add D31 footprint
13:31:43: [INFO] Add SW32 footprint
13:31:43: [INFO] Add D32 footprint
13:31:43: [INFO] Add SW33 footprint
13:31:43: [INFO] Add D33 footprint
13:31:43: [INFO] Add SW34 footprint
13:31:43: [INFO] Add D34 footprint
13:31:43: [INFO] Add SW35 footprint
13:31:43: [INFO] Add D35 footprint
13:31:43: [INFO] Add SW35a footprint
13:31:43: [INFO] Add SW36 footprint
13:31:43: [INFO] Add D36 footprint
13:31:43: [INFO] Add SW36a footprint
13:31:43: [INFO] Add SW37 footprint
13:31:43: [INFO] Add D37 footprint
13:31:43: [INFO] Add SW38 footprint
13:31:43: [INFO] Add D38 footprint
13:31:43: [INFO] Add SW39 footprint
13:31:43: [INFO] Add D39 footprint
13:31:43: [INFO] Add SW40 footprint
13:31:43: [INFO] Add D40 footprint
13:31:43: [INFO] Add SW40a footprint
13:31:43: [INFO] Add SW41 footprint
13:31:43: [INFO] Add D41 footprint
13:31:43: [INFO] Add SW41a footprint
13:31:43: [INFO] Add SW41b footprint
