=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYepclTrZeAFgH5acrADZR4MvAm0pgrMkUAORQE5wAXSwAoMGvLJKyLQ066Bzw06wnzViAE9yALRUDgzQ8EgAhlHR7AjOhMSM4YisbNrO3B78HiIesh4KiWEIiNExDADu5JyUjnHKADoAds3N+ITe1lXwNXXg1AStLU3tqsXMqdDaA5xDbQQCA9RzIwsMA0Iro+tY0ltrCAO0+wlwEOOlZRGx-Y3D86diPTT0CBdo6NNYhp3nTJdlATdOA1SQMISDe5NeICCGzKEwor-SbQSrkITaCGbBEHP7JK7XTFYY44x7gYGgvoQpQrRFnGwaF6hf4fVA3CF6cHfWGeMyWazqOBKJkIfyM17k6oi8AAC3IAwQFX4zwlMuVIIYJHVQReXxpUK4fJ8SRKKKBUrBh0hQ0NO3hNqwmStywNjsWWGxDqdtz2ru9R323F+4DFFGlFwJ7OtwwyPPtMbdSOSZrR8AxXM9CadeJKkdTIN1XJJQ1jiQphYQ1Npbs64AhuGr2Xp5ctdcdjbGyMm5rTRMzzWcTZzkSuPYLrYhxYTTbb+pLfCNXQtVOjA49qhbK-ja9y9IuKcV8vsK-70PXSdzo-zlKJU53PLnCZEwc3RIbOPyzeXRO3Z8-w5Sbt83TSsPWrf8TRHQFb3Ah9YJfb8uXfedClA39nFQgCD0leBqGPPtq0wyCAXKQ9ngnYlCI3RDQMfNcFAQ8iV2QhMVESQUanwN4u1SMcQLbU9nDY+kOMoLjiLzMjxxXOizxUUxTCAA
13:42:31: [INFO] Add SW24a footprint
13:42:31: [INFO] Add SW25 footprint
13:42:31: [INFO] Add D25 footprint
13:42:31: [INFO] Add SW25a footprint
13:42:31: [INFO] Add SW26 footprint
13:42:31: [INFO] Add D26 footprint
13:42:31: [INFO] Add SW26a footprint
13:42:31: [INFO] Add SW27 footprint
13:42:31: [INFO] Add D27 footprint
13:42:31: [INFO] Add SW27a footprint
13:42:31: [INFO] Add ST27a footprint
13:42:31: [INFO] Add SW28 footprint
13:42:31: [INFO] Add D28 footprint
13:42:31: [INFO] Add SW29 footprint
13:42:31: [INFO] Add D29 footprint
13:42:31: [INFO] Add SW29a footprint
13:42:31: [INFO] Add SW30 footprint
13:42:31: [INFO] Add D30 footprint
13:42:31: [INFO] Add SW30a footprint
13:42:31: [INFO] Add SW30b footprint
13:42:31: [INFO] Add SW30c footprint
13:42:31: [INFO] Add SW31 footprint
13:42:31: [INFO] Add D31 footprint
13:42:31: [INFO] Add ST31 footprint
13:42:31: [INFO] Add SW31a footprint
13:42:31: [INFO] Add ST31a footprint
13:42:31: [INFO] Add SW31b footprint
13:42:31: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:42:31: [INFO] Add ST31b footprint
13:42:31: [INFO] Add SW31c footprint
13:42:31: [INFO] Add ST31c footprint
13:42:32: [INFO] Add SW31d footprint
13:42:32: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:42:32: [INFO] Add ST31d footprint
13:42:32: [INFO] Add SW32 footprint
13:42:32: [INFO] Add D32 footprint
13:42:32: [INFO] Add SW32a footprint
13:42:32: [INFO] Add SW32b footprint
13:42:32: [INFO] Add SW32c footprint
13:42:32: [INFO] Add SW33 footprint
