=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4DGscBiAQ1LPG3AHcCkBfShTAdgB0A7DjgBkwXAC6mAFBhwATwLc0WHPnjhCzZSvAMcTbhTgRo8aRnXgm-bBHlFcV62sq9TOXkm3HMzxpgDML3t7uYAFhcmII90H0xw-wA2YMxork52Xi0PNiSeTFSdPAJFFVUjXmZBEWBwTyztXSkZSgtFMnJKGngEGSNKh3M8wmsbIyQ+FyH3HEqxiq8R6coh0PHAl0qonCHV8CHYs1yFJQKSloJ25nROlkSOTRn0xOudvTgDWV3Lfvxz26STatf8g5crUQKFOgwuGXYPyEonAWGyNX0dTkvSapEBxxBZ0oWG6fz671sOACw0oxMmWHJsyJVPAxIWsKW2MiLmJqx6e1RxHRbQ6TISEKG8LxBxKRiwXw4gpZLF+j2e9V67w+fMu7CGuIa+wK3OBhiZErVw2h5WYVQetQwCo5qJ17T1OFNCFVxOy4GifGdZpyQLtWJw7qQnqFmqVOs8RlNniDvyB4copoC0Z2ms5hLdkSTOTlKBempFadN-MSlVdpoNJZc7vLVWNCN1L0kiMtyOtTVtvIdHohxIc6ad3ZJ3ox9vTgYHGsVBKO8FQoPjXk9uKBqBHCcXvxTNojGfHlZ3iR7stqLx9Oe31aXGL96YvpVEdd90-r2-7B7ce9fSTJMeH14DnrGdk3n6HVmCMd0owHZxaygX8rSIVMn19F9PT8f0uzfNCIFPEd-wHLC8VDJ8407SDMI3FEt0oCDUIovYiJwWNt3QWiYMeR8WwQm0kI7cBHU9el3U-Dg6R-HlcLcAS6OAmwn2icCFwHBYgMaKj0JYpS7zEdjeP4gc2WoX8FOE9hWT3Mc3wMkMp0Yghol4mj9Ok1S2wUjTLMEAQgA
13:29:27: [INFO] Add SW13 footprint
13:29:27: [INFO] Add D13 footprint
13:29:27: [INFO] Add SW14 footprint
13:29:28: [INFO] Add D14 footprint
13:29:28: [INFO] Add SW15 footprint
13:29:28: [INFO] Add D15 footprint
13:29:28: [INFO] Add SW15a footprint
13:29:28: [INFO] Add ST15a footprint
13:29:28: [INFO] Add SW16 footprint
13:29:28: [INFO] Add D16 footprint
13:29:28: [INFO] Add SW17 footprint
13:29:28: [INFO] Add D17 footprint
13:29:28: [INFO] Add SW18 footprint
13:29:28: [INFO] Add D18 footprint
13:29:28: [INFO] Add SW19 footprint
13:29:28: [INFO] Add D19 footprint
13:29:28: [INFO] Add SW20 footprint
13:29:28: [INFO] Add D20 footprint
13:29:28: [INFO] Add SW21 footprint
13:29:28: [INFO] Add D21 footprint
13:29:28: [INFO] Add SW22 footprint
13:29:28: [INFO] Add D22 footprint
13:29:28: [INFO] Add SW22a footprint
13:29:28: [INFO] Add SW23 footprint
13:29:28: [INFO] Add D23 footprint
13:29:28: [INFO] Add SW24 footprint
13:29:28: [INFO] Add D24 footprint
13:29:28: [INFO] Add SW25 footprint
13:29:28: [INFO] Add D25 footprint
13:29:28: [INFO] Add SW26 footprint
13:29:28: [INFO] Add D26 footprint
13:29:28: [INFO] Add SW27 footprint
13:29:28: [INFO] Add D27 footprint
13:29:28: [INFO] Add SW28 footprint
13:29:28: [INFO] Add D28 footprint
13:29:28: [INFO] Add SW29 footprint
13:29:28: [INFO] Add D29 footprint
13:29:28: [INFO] Add SW29a footprint
13:29:29: [INFO] Add SW30 footprint
13:29:29: [INFO] Add D30 footprint
13:29:29: [INFO] Add SW31 footprint
13:29:29: [INFO] Add D31 footprint
13:29:29: [INFO] Add SW32 footprint
13:29:29: [INFO] Add D32 footprint
13:29:29: [INFO] Add SW33 footprint
13:29:29: [INFO] Add D33 footprint
13:29:29: [INFO] Add SW34 footprint
13:29:29: [INFO] Add D34 footprint
13:29:29: [INFO] Add SW35 footprint
13:29:29: [INFO] Add D35 footprint
13:29:29: [INFO] Add SW36 footprint
13:29:29: [INFO] Add D36 footprint
13:29:29: [INFO] Add SW37 footprint
13:29:29: [INFO] Add D37 footprint
13:29:29: [INFO] Add SW38 footprint
13:29:29: [INFO] Add D38 footprint
13:29:29: [INFO] Add SW39 footprint
13:29:29: [INFO] Add D39 footprint
13:29:29: [INFO] Add SW40 footprint
13:29:29: [INFO] Add D40 footprint
13:29:29: [INFO] Add SW41 footprint
13:29:29: [INFO] Add D41 footprint
13:29:29: [INFO] Add SW42 footprint
13:29:29: [INFO] Add D42 footprint
13:29:29: [INFO] Add SW42a footprint
13:29:29: [INFO] Add SW43 footprint
13:29:29: [INFO] Add D43 footprint
13:29:29: [INFO] Add SW43a footprint
13:29:29: [INFO] Add SW44 footprint
13:29:29: [INFO] Add D44 footprint
13:29:29: [INFO] Add SW44a footprint
13:29:30: [INFO] Add SW45 footprint
13:29:30: [INFO] Add D45 footprint
13:29:30: [INFO] Add SW45a footprint
13:29:30: [INFO] Add SW46 footprint
13:29:30: [INFO] Add D46 footprint
13:29:30: [INFO] Add ST46 footprint
13:29:30: [INFO] Add SW46a footprint
13:29:30: [INFO] Add ST46a footprint
13:29:30: [INFO] Add SW46b footprint
13:29:30: [INFO] Add ST46b footprint
13:29:30: [INFO] Add SW47 footprint
13:29:30: [INFO] Add D47 footprint
13:29:30: [INFO] Add SW48 footprint
13:29:30: [INFO] Add D48 footprint
13:29:30: [INFO] Add SW48a footprint
13:29:30: [INFO] Add SW49 footprint
13:29:30: [INFO] Add D49 footprint
13:29:30: [INFO] Add SW50 footprint
13:29:30: [INFO] Add D50 footprint
13:29:30: [INFO] Add SW50a footprint
13:29:30: [INFO] Add SW51 footprint
13:29:30: [INFO] Add D51 footprint
13:29:30: [INFO] Add ST51 footprint
13:29:30: [INFO] Add SW51a footprint
13:29:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:30: [INFO] Add ST51a footprint
13:29:30: [INFO] Add SW52 footprint
13:29:30: [INFO] Add D52 footprint
13:29:30: [INFO] Add ST52 footprint
13:29:30: [INFO] Add SW52a footprint
13:29:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:30: [INFO] Add ST52a footprint
13:29:30: [INFO] Add SW53 footprint
13:29:30: [INFO] Add D53 footprint
13:29:30: [INFO] Add SW54 footprint
13:29:30: [INFO] Add D54 footprint
13:29:30: [INFO] Add SW55 footprint
13:29:30: [INFO] Add D55 footprint
13:29:30: [INFO] Add SW55a footprint
13:29:30: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:30: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:30: [INFO] Layout offset: (28575000, 23812500)
13:29:30: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:30: [INFO] Placing additional elements for SW55a
13:29:30: [INFO] Placing additional elements for SW55
13:29:30: [INFO] Placing additional elements for SW54
13:29:30: [INFO] Placing additional elements for SW53
13:29:30: [INFO] Placing additional elements for SW52a
13:29:30: [INFO] Placing additional elements for SW52
13:29:30: [INFO] Placing additional elements for SW51a
13:29:30: [INFO] Placing additional elements for SW51
13:29:30: [INFO] Placing additional elements for SW50a
13:29:30: [INFO] Placing additional elements for SW50
13:29:30: [INFO] Placing additional elements for SW49
13:29:30: [INFO] Placing additional elements for SW48a
13:29:30: [INFO] Placing additional elements for SW48
13:29:30: [INFO] Placing additional elements for SW47
13:29:30: [INFO] Placing additional elements for SW46b
13:29:30: [INFO] Placing additional elements for SW46a
13:29:30: [INFO] Placing additional elements for SW46
13:29:30: [INFO] Placing additional elements for SW45a
13:29:30: [INFO] Placing additional elements for SW45
13:29:30: [INFO] Placing additional elements for SW44a
13:29:30: [INFO] Placing additional elements for SW44
13:29:30: [INFO] Placing additional elements for SW43a
13:29:30: [INFO] Placing additional elements for SW43
13:29:30: [INFO] Placing additional elements for SW42a
13:29:30: [INFO] Placing additional elements for SW42
13:29:30: [INFO] Placing additional elements for SW41
13:29:30: [INFO] Placing additional elements for SW40
13:29:30: [INFO] Placing additional elements for SW39
13:29:30: [INFO] Placing additional elements for SW38
13:29:30: [INFO] Placing additional elements for SW37
13:29:30: [INFO] Placing additional elements for SW36
13:29:30: [INFO] Placing additional elements for SW35
13:29:30: [INFO] Placing additional elements for SW34
13:29:30: [INFO] Placing additional elements for SW33
13:29:30: [INFO] Placing additional elements for SW32
13:29:30: [INFO] Placing additional elements for SW31
13:29:30: [INFO] Placing additional elements for SW30
13:29:30: [INFO] Placing additional elements for SW29a
13:29:30: [INFO] Placing additional elements for SW29
13:29:30: [INFO] Placing additional elements for SW28
13:29:30: [INFO] Placing additional elements for SW27
13:29:30: [INFO] Placing additional elements for SW26
13:29:30: [INFO] Placing additional elements for SW25
13:29:30: [INFO] Placing additional elements for SW24
13:29:30: [INFO] Placing additional elements for SW23
13:29:30: [INFO] Placing additional elements for SW22a
13:29:30: [INFO] Placing additional elements for SW22
13:29:30: [INFO] Placing additional elements for SW21
13:29:30: [INFO] Placing additional elements for SW20
13:29:30: [INFO] Placing additional elements for SW19
13:29:30: [INFO] Placing additional elements for SW18
13:29:30: [INFO] Placing additional elements for SW17
13:29:30: [INFO] Placing additional elements for SW16
13:29:30: [INFO] Placing additional elements for SW15a
13:29:30: [INFO] Placing additional elements for SW15
13:29:30: [INFO] Placing additional elements for SW14
13:29:30: [INFO] Placing additional elements for SW13
13:29:30: [INFO] Placing additional elements for SW12
13:29:30: [INFO] Placing additional elements for SW11
13:29:30: [INFO] Placing additional elements for SW10
13:29:30: [INFO] Placing additional elements for SW9
13:29:30: [INFO] Placing additional elements for SW8
13:29:30: [INFO] Placing additional elements for SW7
13:29:30: [INFO] Placing additional elements for SW6
13:29:30: [INFO] Placing additional elements for SW5
13:29:30: [INFO] Placing additional elements for SW4
13:29:30: [INFO] Placing additional elements for SW3
13:29:30: [INFO] Placing additional elements for SW2
13:29:30: [INFO] Placing additional elements for SW1
13:29:30: [INFO] Routing SW55a with D55
13:29:30: [INFO] Using internal autorouter method
13:29:30: [INFO] Routing pad 'SW55a:2' at (278765000, 109220000) with pad 'D55:2' at (295592500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:30: [INFO] Adding track segment (B.Cu): [(278765000, 109220000), (286445000, 116900000)]
13:29:30: [INFO] Adding track segment (B.Cu): [(286445000, 116900000), (295592500, 116900000)]
13:29:30: [INFO] Routing SW55 with D55
13:29:30: [INFO] Using internal autorouter method
13:29:30: [INFO] Routing pad 'SW55:2' at (293052500, 109220000) with pad 'D55:2' at (295592500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:30: [INFO] Adding track segment (B.Cu): [(293052500, 109220000), (293052500, 114360000)]
13:29:30: [INFO] Adding track segment (B.Cu): [(293052500, 114360000), (295592500, 116900000)]
13:29:30: [INFO] Routing SW54 with D54
13:29:30: [INFO] Using internal autorouter method
13:29:30: [INFO] Routing pad 'SW54:2' at (274002500, 109220000) with pad 'D54:2' at (276542500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:30: [INFO] Routing SW53 with D53
13:29:30: [INFO] Using internal autorouter method
13:29:30: [INFO] Routing pad 'SW53:2' at (226377500, 109220000) with pad 'D53:2' at (228917500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:30: [INFO] Adding track segment (B.Cu): [(226377500, 109220000), (226377500, 114360000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(226377500, 114360000), (228917500, 116900000)]
13:29:31: [INFO] Routing SW52a with D52
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW52a:2' at (195421250, 109220000) with pad 'D52:2' at (209867500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW52 with D52
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW52:2' at (207327500, 109220000) with pad 'D52:2' at (209867500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(207327500, 109220000), (207327500, 114360000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(207327500, 114360000), (209867500, 116900000)]
13:29:31: [INFO] Routing SW51a with D51
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW51a:2' at (147796250, 109220000) with pad 'D51:2' at (152717500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW51 with D51
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW51:2' at (150177500, 109220000) with pad 'D51:2' at (152717500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW50a with D50
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW50a:2' at (64452500, 109220000) with pad 'D50:2' at (69373750, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW50 with D50
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW50:2' at (66833750, 109220000) with pad 'D50:2' at (69373750, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW49 with D49
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW49:2' at (40640000, 109220000) with pad 'D49:2' at (43180000, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(40640000, 109220000), (40640000, 114360000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(40640000, 114360000), (43180000, 116900000)]
13:29:31: [INFO] Routing SW48a with D48
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW48a:2' at (307340000, 109220000) with pad 'D48:2' at (314642500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW48 with D48
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW48:2' at (312102500, 109220000) with pad 'D48:2' at (314642500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(312102500, 109220000), (312102500, 114360000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(312102500, 114360000), (314642500, 116900000)]
13:29:31: [INFO] Routing SW47 with D47
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW47:2' at (245427500, 109220000) with pad 'D47:2' at (247967500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(245427500, 109220000), (245427500, 114360000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(245427500, 114360000), (247967500, 116900000)]
13:29:31: [INFO] Routing SW46b with D46
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW46b:2' at (176371250, 109220000) with pad 'D46:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW46a with D46
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW46a:2' at (178752500, 109220000) with pad 'D46:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW46 with D46
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW46:2' at (188277500, 109220000) with pad 'D46:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW45a with D45
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW45a:2' at (107315000, 109220000) with pad 'D45:2' at (112236250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW45 with D45
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW45:2' at (109696250, 109220000) with pad 'D45:2' at (112236250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW44a with D44
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW44a:2' at (85883750, 109220000) with pad 'D44:2' at (90805000, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW44 with D44
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW44:2' at (88265000, 109220000) with pad 'D44:2' at (90805000, 116900000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW43a with D43
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW43a:2' at (290671250, 90170000) with pad 'D43:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW43 with D43
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW43:2' at (293052500, 90170000) with pad 'D43:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW42a with D42
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW42a:2' at (269240000, 90170000) with pad 'D42:2' at (274161250, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW42 with D42
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW42:2' at (271621250, 90170000) with pad 'D42:2' at (274161250, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Routing SW41 with D41
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW41:2' at (231140000, 90170000) with pad 'D41:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(231140000, 90170000), (231140000, 95310000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(231140000, 95310000), (233680000, 97850000)]
13:29:31: [INFO] Routing SW40 with D40
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW40:2' at (212090000, 90170000) with pad 'D40:2' at (214630000, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(212090000, 90170000), (212090000, 95310000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(212090000, 95310000), (214630000, 97850000)]
13:29:31: [INFO] Routing SW39 with D39
13:29:31: [INFO] Using internal autorouter method
13:29:31: [INFO] Routing pad 'SW39:2' at (154940000, 90170000) with pad 'D39:2' at (157480000, 97850000) using coordinate system rotated by 0 degree(s)
13:29:31: [INFO] Adding track segment (B.Cu): [(154940000, 90170000), (154940000, 95310000)]
13:29:31: [INFO] Adding track segment (B.Cu): [(154940000, 95310000), (157480000, 97850000)]
13:29:31: [INFO] Routing SW38 with D38
