=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3BjggCwA6AdhRQAxHh4FEZWXm0LgC6OAUGOAE9YcaigBMhfAGNh4AMRpFS8Lny1q9OBGjxRk8DPjypJ0yobtN4WmKu0AzHZzEnGJ0idpN24WPHYGQgAOK0IATlCiDUCiDhiEW3jHPAhDfDkAQyzsqwB3X1VGEhYaHA1uPlTZOVMzQoQy7yhhPQY0+Wychnz4BBQA-Aa4rQNq2pNzQZxEqeSplwYGt0WcDxTm+D9MQqQcLwZdkIOcCOOEaPxdhGHwK5nbojmIHsR+naIyVgoG8t5gcDEjXWOhE-Ta1U6WTywj62wYgOGVSMNXGkwB0ysgLm6IW+EByzxqyaIK2A3AaD2VgpR3wFNOtKiVNiTISTXaCiUimhm38hQpxS+5B+XD+SPS4xkhXsQJGINa0ghkO5cD8EilRBKQplYuMqPV2OluPA0oJxqJDGl+1lvl5DCCOBp4Ht9KdjLtzPdrPW7MhGWVqrJ9oQ9k1gIuOpRtTRQbcFX4IL6+h9Su6MNt+GI2vALz6aoYmcRG1eSbGevzq010vD2ZteYze0rWZJ-lTPLh+DCDs1merzZLyN9ysThU7wdDWZzbwYo+YgrDIsqRYwYPwQl0K9GyIlQ-QZMzSEbhcne4bgulhebElbr3b4E7QW7dGnJ0fF9r-fSg+vucDj3HhfZbdCiDT4WARBd4xhVA6zvP85yfDsPn-KwZ2QuMfF6e1VxaXdwWRTkuW-Ft8AAC18bpbF6DcSMoxAGEgWiAFpRBg-lZxYIYIIwxAKQVLcywZMdBU49Ci0TPDPxTfBJxg89NU471SyjdUxHkuhOE4IA
13:29:47: [INFO] Add ROW1 net
13:29:47: [INFO] Add ROW2 net
13:29:47: [INFO] Add ROW3 net
13:29:47: [INFO] Add ROW4 net
13:29:47: [INFO] Add ROW5 net
13:29:47: [INFO] Add ROW6 net
13:29:47: [INFO] Add ROW7 net
13:29:47: [INFO] Add ROW8 net
13:29:47: [INFO] Add ROW9 net
13:29:47: [INFO] Add SW1 footprint
13:29:47: [INFO] Add D1 footprint
13:29:47: [INFO] Add SW2 footprint
13:29:47: [INFO] Add D2 footprint
13:29:47: [INFO] Add SW3 footprint
13:29:47: [INFO] Add D3 footprint
13:29:47: [INFO] Add SW4 footprint
13:29:47: [INFO] Add D4 footprint
13:29:47: [INFO] Add SW5 footprint
13:29:47: [INFO] Add D5 footprint
13:29:47: [INFO] Add SW6 footprint
13:29:47: [INFO] Add D6 footprint
13:29:47: [INFO] Add SW7 footprint
13:29:47: [INFO] Add D7 footprint
13:29:47: [INFO] Add SW8 footprint
13:29:47: [INFO] Add D8 footprint
13:29:47: [INFO] Add SW9 footprint
13:29:47: [INFO] Add D9 footprint
13:29:47: [INFO] Add SW10 footprint
13:29:47: [INFO] Add D10 footprint
13:29:47: [INFO] Add SW11 footprint
13:29:47: [INFO] Add D11 footprint
13:29:47: [INFO] Add SW12 footprint
13:29:47: [INFO] Add D12 footprint
13:29:47: [INFO] Add SW13 footprint
13:29:47: [INFO] Add D13 footprint
13:29:47: [INFO] Add SW14 footprint
13:29:47: [INFO] Add D14 footprint
13:29:47: [INFO] Add SW15 footprint
13:29:47: [INFO] Add D15 footprint
13:29:47: [INFO] Add SW16 footprint
13:29:47: [INFO] Add D16 footprint
13:29:47: [INFO] Add SW17 footprint
13:29:48: [INFO] Add D17 footprint
13:29:48: [INFO] Add SW18 footprint
13:29:48: [INFO] Add D18 footprint
13:29:48: [INFO] Add SW19 footprint
13:29:48: [INFO] Add D19 footprint
13:29:48: [INFO] Add SW20 footprint
13:29:48: [INFO] Add D20 footprint
13:29:48: [INFO] Add SW21 footprint
13:29:48: [INFO] Add D21 footprint
13:29:48: [INFO] Add SW22 footprint
13:29:48: [INFO] Add D22 footprint
13:29:48: [INFO] Add SW23 footprint
13:29:48: [INFO] Add D23 footprint
13:29:48: [INFO] Add SW24 footprint
13:29:48: [INFO] Add D24 footprint
13:29:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:48: [INFO] Add ST24 footprint
13:29:48: [INFO] Add SW24a footprint
13:29:48: [INFO] Add SW25 footprint
13:29:48: [INFO] Add D25 footprint
13:29:48: [INFO] Add SW26 footprint
13:29:48: [INFO] Add D26 footprint
13:29:48: [INFO] Add SW27 footprint
13:29:48: [INFO] Add D27 footprint
13:29:48: [INFO] Add SW28 footprint
13:29:48: [INFO] Add D28 footprint
13:29:48: [INFO] Add SW29 footprint
13:29:48: [INFO] Add D29 footprint
13:29:48: [INFO] Add SW30 footprint
13:29:48: [INFO] Add D30 footprint
13:29:48: [INFO] Add SW31 footprint
13:29:48: [INFO] Add D31 footprint
13:29:48: [INFO] Add SW32 footprint
13:29:48: [INFO] Add D32 footprint
13:29:48: [INFO] Add SW33 footprint
13:29:48: [INFO] Add D33 footprint
13:29:48: [INFO] Add SW33a footprint
13:29:48: [INFO] Add SW34 footprint
13:29:48: [INFO] Add D34 footprint
13:29:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:48: [INFO] Add ST34 footprint
13:29:48: [INFO] Add SW34a footprint
13:29:49: [INFO] Add SW35 footprint
13:29:49: [INFO] Add D35 footprint
13:29:49: [INFO] Add SW36 footprint
13:29:49: [INFO] Add D36 footprint
13:29:49: [INFO] Add SW37 footprint
13:29:49: [INFO] Add D37 footprint
13:29:49: [INFO] Add SW38 footprint
13:29:49: [INFO] Add D38 footprint
13:29:49: [INFO] Add SW39 footprint
13:29:49: [INFO] Add D39 footprint
13:29:49: [INFO] Add SW40 footprint
13:29:49: [INFO] Add D40 footprint
13:29:49: [INFO] Add SW41 footprint
13:29:49: [INFO] Add D41 footprint
13:29:49: [INFO] Add ST41 footprint
13:29:49: [INFO] Add SW41a footprint
13:29:49: [INFO] Add SW42 footprint
13:29:49: [INFO] Add D42 footprint
13:29:49: [INFO] Add SW43 footprint
13:29:49: [INFO] Add D43 footprint
13:29:49: [INFO] Add SW44 footprint
13:29:49: [INFO] Add D44 footprint
13:29:49: [INFO] Add SW45 footprint
13:29:49: [INFO] Add D45 footprint
13:29:49: [INFO] Add SW46 footprint
13:29:49: [INFO] Add D46 footprint
13:29:49: [INFO] Add SW47 footprint
13:29:49: [INFO] Add D47 footprint
13:29:49: [INFO] Add SW48 footprint
13:29:49: [INFO] Add D48 footprint
13:29:49: [INFO] Add SW49 footprint
13:29:49: [INFO] Add D49 footprint
13:29:49: [INFO] Add SW50 footprint
13:29:49: [INFO] Add D50 footprint
13:29:49: [INFO] Add SW51 footprint
13:29:49: [INFO] Add D51 footprint
13:29:49: [INFO] Add SW52 footprint
13:29:49: [INFO] Add D52 footprint
13:29:49: [INFO] Add SW53 footprint
13:29:49: [INFO] Add D53 footprint
13:29:50: [INFO] Add SW54 footprint
13:29:50: [INFO] Add D54 footprint
13:29:50: [INFO] Add SW55 footprint
13:29:50: [INFO] Add D55 footprint
13:29:50: [INFO] Add SW56 footprint
13:29:50: [INFO] Add D56 footprint
13:29:50: [INFO] Add SW57 footprint
13:29:50: [INFO] Add D57 footprint
13:29:50: [INFO] Add SW58 footprint
13:29:50: [INFO] Add D58 footprint
13:29:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:50: [INFO] Add ST58 footprint
13:29:50: [INFO] Add SW59 footprint
13:29:50: [INFO] Add D59 footprint
13:29:50: [INFO] Add ST59 footprint
13:29:50: [INFO] Add SW60 footprint
13:29:50: [INFO] Add D60 footprint
13:29:50: [INFO] Add SW61 footprint
13:29:50: [INFO] Add D61 footprint
13:29:50: [INFO] Add SW62 footprint
13:29:50: [INFO] Add D62 footprint
13:29:50: [INFO] Add SW63 footprint
13:29:50: [INFO] Add D63 footprint
