=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGNZYMQCGxJ4AvpuAMzoBsAOgHZNMAM6C4lATOgOwtmjdpwC66AFBgoebmkoBPPKxTcMWXPHD4+uveUrtWXOBGjwVaypoLY79g1gTpjhjifDPOb7ibPLVdRw8bRJSCid0XzcqD2dYtwAWPxkLQOsQ-HsHCM90ZLckOPQit1oU8zhLIJtQsMJHPPLMfzS1XOc+D3YADmK+8SlWuDkgpTaazOy7Rt5XLBp58F5vBfceKI8aaKxeBLX95fyt443StfOj5tNgrSJ6jwB3WVyaBiE2FwqA9soaLo2fT+6AGkmklW4vCw4zgAFpqhk7np9JRnvAEOksAALWSo3zo+TY-GISiQYnwwK5IyCJhecCDcGyQngGEUviTO71BqovAYpC5RJfFq3WzTRoYJaC1bgDDSwU7GWbSiCw4YQ6CgpYDCa8CCy4YS6C64QNGINC5DDvQTOebDBEaTJc8X8DyCoFakH0sHDbjOaF4ClWB13aa4KkuGmMOkMn3M1kqdmIghOnkE9m5WhCm61LJi3J8LPgTPSgvSzMKgsKzOHAuHTM6gs6zOXAvnCA55G6J5M35YAtWoQ2r1DVIjP0sgP2kV1MLdtP8yg9OiRlYeACcy4+jFXMYn8DZQVNGN74CXrEjNGlG-PW8v3wmqZGlMXEdvWfbUzzL6v6ywS4VG4KkuhwbocS46huOpLpcG5ttO9yzo+cjpi+A5MHM95mkG8Gdl0uRLqCI4QsyOYplgR7mpQCBGHEQ7ChRC5OCIKQ5qGc5wHwHTxCxjoPI+fIdOw1yeM4xrgAxgkusKlRTh2naNAgnRxL0tGeqIohAA
13:32:29: [INFO] Add Net-(D84-A) net
13:32:29: [INFO] Add Net-(D85-A) net
13:32:29: [INFO] Add Net-(D86-A) net
13:32:29: [INFO] Add Net-(D87-A) net
13:32:29: [INFO] Add Net-(D88-A) net
13:32:29: [INFO] Add Net-(D89-A) net
13:32:29: [INFO] Add Net-(D9-A) net
13:32:29: [INFO] Add Net-(D90-A) net
13:32:29: [INFO] Add ROW0 net
13:32:29: [INFO] Add ROW1 net
13:32:29: [INFO] Add ROW10 net
13:32:29: [INFO] Add ROW11 net
13:32:29: [INFO] Add ROW2 net
13:32:29: [INFO] Add ROW3 net
13:32:29: [INFO] Add ROW4 net
13:32:29: [INFO] Add ROW5 net
13:32:29: [INFO] Add ROW6 net
13:32:29: [INFO] Add ROW7 net
13:32:29: [INFO] Add ROW8 net
13:32:29: [INFO] Add ROW9 net
13:32:29: [INFO] Add SW1 footprint
13:32:29: [INFO] Add D1 footprint
13:32:29: [INFO] Add SW1a footprint
13:32:29: [INFO] Add ST1a footprint
13:32:29: [INFO] Add SW1b footprint
13:32:29: [INFO] Add SW2 footprint
13:32:29: [INFO] Add D2 footprint
13:32:29: [INFO] Add SW3 footprint
13:32:29: [INFO] Add D3 footprint
13:32:29: [INFO] Add SW4 footprint
13:32:29: [INFO] Add D4 footprint
13:32:29: [INFO] Add SW5 footprint
13:32:29: [INFO] Add D5 footprint
13:32:29: [INFO] Add SW6 footprint
13:32:29: [INFO] Add D6 footprint
13:32:29: [INFO] Add SW7 footprint
13:32:29: [INFO] Add D7 footprint
13:32:29: [INFO] Add SW8 footprint
13:32:29: [INFO] Add D8 footprint
13:32:29: [INFO] Add SW9 footprint
13:32:29: [INFO] Add D9 footprint
