=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:22: [INFO] Add D18 footprint
13:35:22: [INFO] Add SW19 footprint
13:35:22: [INFO] Add D19 footprint
13:35:22: [INFO] Add SW20 footprint
13:35:22: [INFO] Add D20 footprint
13:35:22: [INFO] Add SW21 footprint
13:35:22: [INFO] Add D21 footprint
13:35:22: [INFO] Add SW22 footprint
13:35:22: [INFO] Add D22 footprint
13:35:22: [INFO] Add SW23 footprint
13:35:22: [INFO] Add D23 footprint
13:35:22: [INFO] Add SW24 footprint
13:35:22: [INFO] Add D24 footprint
13:35:22: [INFO] Add SW24a footprint
13:35:22: [INFO] Add SW25 footprint
13:35:22: [INFO] Add D25 footprint
13:35:22: [INFO] Add SW26 footprint
13:35:22: [INFO] Add D26 footprint
13:35:22: [INFO] Add SW27 footprint
13:35:22: [INFO] Add D27 footprint
13:35:22: [INFO] Add SW28 footprint
13:35:22: [INFO] Add D28 footprint
13:35:22: [INFO] Add SW29 footprint
13:35:22: [INFO] Add D29 footprint
13:35:22: [INFO] Add SW30 footprint
13:35:22: [INFO] Add D30 footprint
13:35:22: [INFO] Add SW31 footprint
13:35:22: [INFO] Add D31 footprint
13:35:22: [INFO] Add SW31a footprint
13:35:22: [INFO] Add SW32 footprint
13:35:22: [INFO] Add D32 footprint
13:35:22: [INFO] Add SW33 footprint
13:35:22: [INFO] Add D33 footprint
13:35:22: [INFO] Add SW34 footprint
13:35:22: [INFO] Add D34 footprint
13:35:22: [INFO] Add SW35 footprint
13:35:22: [INFO] Add D35 footprint
13:35:22: [INFO] Add SW36 footprint
13:35:23: [INFO] Add D36 footprint
13:35:23: [INFO] Add SW37 footprint
13:35:23: [INFO] Add D37 footprint
13:35:23: [INFO] Add SW38 footprint
13:35:23: [INFO] Add D38 footprint
13:35:23: [INFO] Add SW39 footprint
13:35:23: [INFO] Add D39 footprint
13:35:23: [INFO] Add SW40 footprint
13:35:23: [INFO] Add D40 footprint
