=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAFm3AF0UAoMKWOAJjXAE9GBaDAOkIHYSmFE1xx8jAIxCspMRPgA2IeTl4G8aa3KjqdBXACsrDvG59irLIfka4pFSht76puOYGsAxo3ABifkCg8BkUDAAdADsoqKwMWx94fy8U1JCrFElbAjhJJkcs9UT0PwBDcor0sjCY6MjJMKpaehyEEy5eBEJvXz9UtKEGnHUcy3RjHBcDFnQ3D0FWBtERqUGUNXE7ZVZjDYMtcZEm-TtjWY6LNZsV+Acdp2PXC890Yv8KyrWIutjGot7+ikquAGoVNjk8kJjGCIG8yh9SsDjN9ag14lM7G1zmZOt1XgDAcCWMNwYwxuBFBQMTkZuxngt0CxlqTNEIWHstkJKRyIVyjtTGGc6TjLqwWNcWfY+c5mhA5rwXuA4QjEWyaj9InEEgT+kTMtkpPlWJSYUreirgZSUXU0Y8DAgeEL5TxJMhWG1mQZ+DwMEJ+PzZXZSI72iKBEI2iSDIYfX6qYG4UFgqwACaMAAuACcAK4AU1C1t+poh5HxSXhHzE4DT8Czecchfq+oxNbgdfzi3VtSwxakperGZzHcOjdBdoHtaHasbPYNmn7rfbfNHzcDmcYCCw6Ezo1YOV4DWxiB4TCFiaT-GBbRlJ33Loj63H67Mm73XEkLtD7iYsdY-pvLTvvef6PpQlBAA
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW26:2' at (269240000, 33020000) with pad 'D26:2' at (271780000, 40700000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(269240000, 33020000), (269240000, 38160000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(269240000, 38160000), (271780000, 40700000)]
13:34:03: [INFO] Routing SW25 with D25
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW25:2' at (288290000, 35496500) with pad 'D25:2' at (290830000, 43176500) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(288290000, 35496500), (288290000, 40636500)]
13:34:03: [INFO] Adding track segment (B.Cu): [(288290000, 40636500), (290830000, 43176500)]
13:34:03: [INFO] Routing SW24 with D24
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW24:2' at (307340000, 40259000) with pad 'D24:2' at (309880000, 47939000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(307340000, 40259000), (307340000, 45399000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(307340000, 45399000), (309880000, 47939000)]
13:34:03: [INFO] Routing SW23 with D23
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW23:2' at (326390000, 40259000) with pad 'D23:2' at (328930000, 47939000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(326390000, 40259000), (326390000, 45399000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(326390000, 45399000), (328930000, 47939000)]
13:34:03: [INFO] Routing SW22 with D22
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW22:2' at (159894625, 93027281) with pad 'D22:2' at (158254329, 100948355) using coordinate system rotated by 30.0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(159894625, 93027281), (157324624, 97478651)]
