=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:48: [INFO] Add D18 footprint
13:28:48: [INFO] Add SW18a footprint
13:28:48: [INFO] Add SW19 footprint
13:28:48: [INFO] Add D19 footprint
13:28:48: [INFO] Add SW19a footprint
13:28:48: [INFO] Add SW20 footprint
13:28:48: [INFO] Add D20 footprint
13:28:48: [INFO] Add SW20a footprint
13:28:48: [INFO] Add SW21 footprint
13:28:48: [INFO] Add D21 footprint
13:28:48: [INFO] Add SW21a footprint
13:28:48: [INFO] Add SW22 footprint
13:28:48: [INFO] Add D22 footprint
13:28:48: [INFO] Add SW22a footprint
13:28:48: [INFO] Add SW23 footprint
13:28:48: [INFO] Add D23 footprint
13:28:48: [INFO] Add SW23a footprint
13:28:48: [INFO] Add SW24 footprint
13:28:48: [INFO] Add D24 footprint
13:28:48: [INFO] Add SW24a footprint
13:28:48: [INFO] Add SW25 footprint
13:28:48: [INFO] Add D25 footprint
13:28:49: [INFO] Add SW26 footprint
13:28:49: [INFO] Add D26 footprint
13:28:49: [INFO] Add SW27 footprint
13:28:49: [INFO] Add D27 footprint
13:28:49: [INFO] Add SW28 footprint
13:28:49: [INFO] Add D28 footprint
13:28:49: [INFO] Add SW29 footprint
13:28:49: [INFO] Add D29 footprint
13:28:49: [INFO] Add SW30 footprint
13:28:49: [INFO] Add D30 footprint
13:28:49: [INFO] Add SW31 footprint
13:28:49: [INFO] Add D31 footprint
13:28:49: [INFO] Add SW32 footprint
13:28:49: [INFO] Add D32 footprint
13:28:49: [INFO] Add SW33 footprint
13:28:49: [INFO] Add D33 footprint
13:28:49: [INFO] Add SW34 footprint
13:28:49: [INFO] Add D34 footprint
13:28:49: [INFO] Add SW35 footprint
13:28:49: [INFO] Add D35 footprint
13:28:49: [INFO] Add SW36 footprint
13:28:49: [INFO] Add D36 footprint
13:28:49: [INFO] Add SW37 footprint
13:28:49: [INFO] Add D37 footprint
13:28:49: [INFO] Add SW38 footprint
13:28:49: [INFO] Add D38 footprint
13:28:49: [INFO] Add SW39 footprint
13:28:49: [INFO] Add D39 footprint
13:28:49: [INFO] Add SW40 footprint
13:28:49: [INFO] Add D40 footprint
13:28:49: [INFO] Add SW41 footprint
13:28:49: [INFO] Add D41 footprint
13:28:49: [INFO] Add SW42 footprint
13:28:49: [INFO] Add D42 footprint
13:28:49: [INFO] Add SW43 footprint
13:28:50: [INFO] Add D43 footprint
13:28:50: [INFO] Add SW44 footprint
13:28:50: [INFO] Add D44 footprint
13:28:50: [INFO] Add SW45 footprint
13:28:50: [INFO] Add D45 footprint
13:28:50: [INFO] Add SW46 footprint
13:28:50: [INFO] Add D46 footprint
13:28:50: [INFO] Add SW47 footprint
13:28:50: [INFO] Add D47 footprint
13:28:50: [INFO] Add SW48 footprint
13:28:50: [INFO] Add D48 footprint
13:28:50: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:50: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:50: [INFO] Layout offset: (33337500, 28575000)
13:28:50: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:50: [INFO] Placing additional elements for SW48
13:28:50: [INFO] Placing additional elements for SW47
13:28:50: [INFO] Placing additional elements for SW46
13:28:50: [INFO] Placing additional elements for SW45
13:28:50: [INFO] Placing additional elements for SW44
13:28:50: [INFO] Placing additional elements for SW43
13:28:50: [INFO] Placing additional elements for SW42
13:28:50: [INFO] Placing additional elements for SW41
13:28:50: [INFO] Placing additional elements for SW40
13:28:50: [INFO] Placing additional elements for SW39
13:28:50: [INFO] Placing additional elements for SW38
13:28:50: [INFO] Placing additional elements for SW37
13:28:50: [INFO] Placing additional elements for SW36
13:28:50: [INFO] Placing additional elements for SW35
13:28:50: [INFO] Placing additional elements for SW34
13:28:50: [INFO] Placing additional elements for SW33
13:28:50: [INFO] Placing additional elements for SW32
