=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JAaO4Ces4AGFANm3AGMDwBiAQwcfHIHcCAmAX3IUxIB0AdkKGFMCcAF1MAKDBQCCABwoAzFhz54AWmIbK1GhWMnw3HLzRTZ86PATp9WuLtLkq8WoybnwYwsxwEB44RibGZjyYAdJyEHaIqo7kzq4AnL68SIF+fIHBht4MkRZ8IsKC-jliaOWi0dZxCvYoACwpBK68OGwtSL7sDdgFnmHhJeCqDbG2iklkmp3EGeRT2eSDJDlTW8MGo0V0Ob2IKP0bmFZ7CcTs+iG04RG+U1Yz8YptHTrE3fuhh2OnwwvnaAT2DzGpl8WBiNg+9iSSicSxQKxwWHWOHauyC-y8RSB8HYKDuoMu+WaRFJ90MTyoMIp7ypDju3xcv3chUJrA4NN8ZHBeMh9ImZAkzISCCSKJ+aN8aEwWPAZFxIwBPJ6wPOOEVapZZy5o1FCqZ8JZaENizlGCNoTQDsdYrNTSlNPZrnUdoJ3iJpzJ5CUQzxJ1ZOvAaWm5qlrXd1o58vIkeVQa2ksUJCteFRtpwkMdTt8kdx4CDVxwkbe5oATooxDhqwkpg3nLG2TgblnUkl6-ioc9yGIJFFhzgxOwcrwJ4PMKpGrN7ANxNtlxdpzgphP0y0A9jVxj9+B2uvwFgt9HtabRyrMCfFSeyHPt3BBlriXHwCwJ+-c+BBAQABdqwAVwAUyLcQ6kEXghQRal9FDfkk1vKCYPnODX0-T5dwjSCKiEXhRwgE4SXbT9vxfZIcH-eAgLAiD2FQ5dmVrHQEF7RtFBJfQEm0biPRJVpw14OcZ1aSdMHEmdsmfbQexeWcckGKSN0kpSlXQqk+McRlRL3FTTzU8h2hki8dCSHDFT0m8DMVAyyFM11Oh7Xkd3DSNVCgwZYKwlpfy-PkyJouA6PA5DWi8qMnPMlBe0Q-yKNI-RgtCiDPPwwRBiIqk9Fc-13MkyKJUkIA
13:37:28: [INFO] Add ROW5 net
13:37:28: [INFO] Add ROW6 net
13:37:28: [INFO] Add ROW7 net
13:37:28: [INFO] Add ROW8 net
13:37:28: [INFO] Add ROW9 net
13:37:28: [INFO] Add SW1 footprint
13:37:28: [INFO] Add D1 footprint
13:37:28: [INFO] Add SW2 footprint
13:37:28: [INFO] Add D2 footprint
13:37:28: [INFO] Add SW3 footprint
13:37:28: [INFO] Add D3 footprint
13:37:28: [INFO] Add SW4 footprint
13:37:28: [INFO] Add D4 footprint
13:37:28: [INFO] Add SW5 footprint
13:37:28: [INFO] Add D5 footprint
13:37:28: [INFO] Add SW6 footprint
13:37:28: [INFO] Add D6 footprint
13:37:29: [INFO] Add SW7 footprint
13:37:29: [INFO] Add D7 footprint
13:37:29: [INFO] Add SW8 footprint
13:37:29: [INFO] Add D8 footprint
13:37:29: [INFO] Add SW9 footprint
13:37:29: [INFO] Add D9 footprint
13:37:29: [INFO] Add SW10 footprint
13:37:29: [INFO] Add D10 footprint
13:37:29: [INFO] Add SW11 footprint
13:37:29: [INFO] Add D11 footprint
13:37:29: [INFO] Add SW12 footprint
13:37:29: [INFO] Add D12 footprint
13:37:29: [INFO] Add SW13 footprint
13:37:29: [INFO] Add D13 footprint
13:37:29: [INFO] Add SW14 footprint
13:37:29: [INFO] Add D14 footprint
13:37:29: [INFO] Add SW15 footprint
13:37:29: [INFO] Add D15 footprint
13:37:29: [INFO] Add SW15a footprint
13:37:29: [INFO] Add ST15a footprint
13:37:29: [INFO] Add SW16 footprint
13:37:29: [INFO] Add D16 footprint
13:37:29: [INFO] Add SW17 footprint
13:37:29: [INFO] Add D17 footprint
13:37:29: [INFO] Add SW18 footprint
13:37:29: [INFO] Add D18 footprint
13:37:29: [INFO] Add SW19 footprint
13:37:29: [INFO] Add D19 footprint
13:37:29: [INFO] Add SW20 footprint
13:37:29: [INFO] Add D20 footprint
13:37:29: [INFO] Add SW21 footprint
13:37:29: [INFO] Add D21 footprint
