=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:31: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoBMBWANHcBPWcBGJTbAY33AGIB2Wu8AXy3AAYMXwBdDAKDCnwFqzPPAC0LJAE5m5eFVKKljZpgIouvftHgA2YiPwTpaJtjYJNfCDrgAWA9lFxjUs6wwFwzNhqw3BIlNVT0t-cDlsSgBDWLjvbAB3fBR3NTQAHQA7bOy2DnDbFGI0zztcnKy2LxCCTMq8zyttfARDcUl0dwJ2ZoD4An1qElwjSQAOEciFJUUVbF1PDW5rAXgHdHaXSRkyChi42ITwZIGS5h6auAhpylm57ow-a7XCIhZ3RYIwhbKEiFOhHOvzqfVexWGW2Mmz28gOh3m4BQvRWLXWUMkkKSgiQw3cyKuN3293I+Ke-1eBEkwWwwnUxzpPyJcLo9GYgOKXWYdLQYNsyCxEX2hyO7JSqBp4DahKFcJJiLaz36cCkwPA4yWxw13wptxF0WOHNxku19QqPQKL1sQTFZzxzG15QaWUuWs8ZsqrsKOMFt1ZtERjoq2R6StlUX1hp9JvdwZd5NRyoFI0BQXcdia3oGDhTOMlMjqcYtFKKxttQPzsedXqt+ExU32-uoiILCCL5OYBad5o72ALHpDCa0EAAToI2NhbNQkJMofoEA25fdEWw7Mc2LyfBhdOuMM3E69p1zsD0fuAemuLhhNyft8cevvh4e1ciz8jL9hkTekXeD7Zxu4bRnm0H5StexxtDuf74KqMInOKx7gBmN7MhGIqIhmUFPlOZZOGM0jlmmzAZpYB5juIVLMNanIjM4YjvLIxLLqU4zHJgUhsZ4lrgGoXjQQMRCTJ8GCscwiwcWJXHHF8fHYYIxR1O4wiibSGASapVIMp4smrNaRCIRqKnqmpbqaQ62l8oEErlhClYcfxhAZnhHQmIxcKRoRaoFnxnBAA
13:31:36: [INFO] Placing additional elements for SW9
13:31:36: [INFO] Placing additional elements for SW8
13:31:36: [INFO] Placing additional elements for SW7
13:31:36: [INFO] Placing additional elements for SW6
13:31:36: [INFO] Placing additional elements for SW5
13:31:36: [INFO] Placing additional elements for SW4
13:31:36: [INFO] Placing additional elements for SW3
13:31:36: [INFO] Placing additional elements for SW2
13:31:36: [INFO] Placing additional elements for SW1
13:31:36: [INFO] Routing SW69a with D69
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW69a:2' at (426402500, 133032500) with pad 'D69:2' at (419417500, 159762500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Adding track segment (B.Cu): [(426402500, 133032500), (426402500, 152777500)]
13:31:36: [INFO] Adding track segment (B.Cu): [(426402500, 152777500), (419417500, 159762500)]
13:31:36: [INFO] Routing SW69 with D69
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW69:2' at (416877500, 152082500) with pad 'D69:2' at (419417500, 159762500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Adding track segment (B.Cu): [(416877500, 152082500), (416877500, 157222500)]
13:31:36: [INFO] Adding track segment (B.Cu): [(416877500, 157222500), (419417500, 159762500)]
13:31:36: [INFO] Routing SW68 with D68
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW68:2' at (407352500, 133032500) with pad 'D68:2' at (409892500, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW67 with D67
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW67:2' at (388302500, 133032500) with pad 'D67:2' at (390842500, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW66 with D66
13:31:36: [INFO] Using internal autorouter method
