=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcBjW2BiAQxNPAF8twAGDa8AXQwCgwp8UlNsBPfAWmpIA7N1z5wBYdJkUqCOuCwQ88STg2a52WgiXYFeqrRT7wC08YwBmMwttWALHYzOraFx6sA2F7+XiasSkJGYA7hyUOhjCADoAdgkJtPQB0PBC6FE0MUmJ8boucfnJGHpMrBDpiKho2SiKafiZYhHwyHVU1o1wKhIEmlr1ZWbdRtgNltjdU+ANDtM2Zg1ui6tzGF6LWxv+i3t9QSGhVG01nRO5JfEK9BVs1QgAnCJifPCCXFSqhDKyp-hkOgqAALDinUztL7YEGQxBUSBwz5ZKiOK55QyMFgPQG1KjvOCfMQ-STHIjacBo1K9dgZPHYM7IUTZTDUw6EQYaClo8bgTC8tGzTCzNELPlLVGuMyYdZonaYHZog6BX5-YThDi1bJo4oYnrs0nHCmYdX3KqAgAcr3xAiEF3F3jyCUxZtpNWBvFtXGy3n1bpaAPgnBR2GEdCd8QabJV6k5FLDvN9szDs19YrDYt96zD619OzDO19ypJwRCGqhzKoYeL-TV6p9MX0BtLZGyYdN2PNUJD4AtfuqAYZuJ7T3D1260cZWqofYQEYnTfAU5HZXnfrO3mn2D71jX1PAo7Qe8XU-tfcd4-7zWhMakaopo72vcbVFHHcqbs4xP6ZPL7vto7UGu4wQMuZ6rpeIFLsOAEQXkYwnpqlbbhgKDAYh3bgbukEYXAwbgY46GvpsRE0qe2TnuhrpgW2Y55A0iZwfkDGLgO9LQVCsFAZesyzmuUygbisFzjxuHCBRNj8bhHQSRe8GoYwDBAA
13:28:52: [INFO] Add ROW8 net
13:28:52: [INFO] Add ROW9 net
13:28:52: [INFO] Add SW1 footprint
13:28:52: [INFO] Add D1 footprint
13:28:52: [INFO] Add SW2 footprint
13:28:52: [INFO] Add D2 footprint
13:28:52: [INFO] Add SW3 footprint
13:28:52: [INFO] Add D3 footprint
13:28:52: [INFO] Add SW4 footprint
13:28:52: [INFO] Add D4 footprint
13:28:52: [INFO] Add SW5 footprint
13:28:52: [INFO] Add D5 footprint
13:28:52: [INFO] Add SW6 footprint
13:28:52: [INFO] Add D6 footprint
13:28:52: [INFO] Add SW7 footprint
13:28:52: [INFO] Add D7 footprint
13:28:52: [INFO] Add SW8 footprint
13:28:52: [INFO] Add D8 footprint
13:28:52: [INFO] Add ST8 footprint
13:28:52: [INFO] Add SW8a footprint
13:28:52: [INFO] Add SW9 footprint
13:28:53: [INFO] Add D9 footprint
13:28:53: [INFO] Add SW10 footprint
13:28:53: [INFO] Add D10 footprint
13:28:53: [INFO] Add SW11 footprint
13:28:53: [INFO] Add D11 footprint
13:28:53: [INFO] Add SW12 footprint
13:28:53: [INFO] Add D12 footprint
13:28:53: [INFO] Add SW13 footprint
13:28:53: [INFO] Add D13 footprint
13:28:53: [INFO] Add SW14 footprint
13:28:53: [INFO] Add D14 footprint
13:28:53: [INFO] Add SW15 footprint
13:28:53: [INFO] Add D15 footprint
13:28:53: [INFO] Add SW16 footprint
13:28:53: [INFO] Add D16 footprint
13:28:53: [INFO] Add SW17 footprint
13:28:53: [INFO] Add D17 footprint
13:28:53: [INFO] Add SW18 footprint
13:28:53: [INFO] Add D18 footprint
13:28:53: [INFO] Add SW19 footprint
13:28:53: [INFO] Add D19 footprint
