=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwA4B0BmNAaO4Ces4AGFBAFm3AGMDwBiAQ0afAF8LDMzwBdTAKDBQCCAJwoA7AFYK+eAFpiIhAgoB3AgCY2ODgg0AdAHZGjunv0HR4G9OJkEFKEdJzV4dcZ6+t2mQuGwINxxaSjDwnx1OALgIKzgxcQA2bXBdf19lGKCaBiZGSLTOA2NSjgyohDQTMr9zATjhVFIXPAdiMj1UlS5eBqFrFA1yHFk4RyQktWEUSW66wKpc8Ij5hGyBhJRCBDWK8B71ih6NDfV4BFm1tHrLJpQklVH2klI9CmC6fILUjU5SW6NQZPNryYiTLA4c6ICRzCh-Co5dyhFbUX7RRbxMRoXbwzj7P5ZRafWhebzTQYaOE4Qk3Pp3C5OVok770GLgaE2KmpLCIpbI1FoihYI6xTaoJJaYX49ki0VIkKs9nQy5SHnFQGbBDiCR2Z5glBIdVVTXxS7OewGjQ7JAUmHcijkPkqobU8DkeWbMSSu2XB04D3Omb+92cdb0oGIJK6y3jcGpD2nR2cG7J3oWCAAJwItpwmfipFmFEzY2II1BcaGH2WqMKHCTUVTUQBx0wknZHHbEc2xDdKgbB0wTcHLZpbdNBGIarxA7+w7+o-AWC7Ga1rvVA6ww6wi-IK-6Ztd1eRSt96+TDYVdEFys0sITmAB3ez8lz4HzwkLrXici-sccUpREkHaYOIIFICBIgTvIkjbPMwGtmBrYQa2UHdj+hbTmOCFjkhY4oWOaGrj+sEhlgOFLqBsqYARlFEQeDika0nLngGVHErkp5QsGbrkBB3DcEAA
13:36:00: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:36:00: [INFO] Matrix size: 4x14
13:36:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:01: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:01: [INFO] Add COL0 net
13:36:01: [INFO] Add COL1 net
13:36:01: [INFO] Add COL10 net
13:36:01: [INFO] Add COL11 net
13:36:01: [INFO] Add COL12 net
13:36:01: [INFO] Add COL13 net
13:36:01: [INFO] Add COL14 net
13:36:01: [INFO] Add COL2 net
13:36:01: [INFO] Add COL3 net
13:36:01: [INFO] Add COL4 net
13:36:01: [INFO] Add COL5 net
13:36:01: [INFO] Add COL6 net
13:36:01: [INFO] Add COL7 net
13:36:01: [INFO] Add COL8 net
13:36:01: [INFO] Add COL9 net
13:36:01: [INFO] Add Net-(D1-A) net
13:36:01: [INFO] Add Net-(D10-A) net
13:36:01: [INFO] Add Net-(D11-A) net
13:36:01: [INFO] Add Net-(D12-A) net
13:36:01: [INFO] Add Net-(D13-A) net
13:36:01: [INFO] Add Net-(D14-A) net
13:36:01: [INFO] Add Net-(D15-A) net
13:36:01: [INFO] Add Net-(D16-A) net
13:36:01: [INFO] Add Net-(D17-A) net
13:36:01: [INFO] Add Net-(D18-A) net
13:36:01: [INFO] Add Net-(D19-A) net
13:36:01: [INFO] Add Net-(D2-A) net
13:36:01: [INFO] Add Net-(D20-A) net
13:36:01: [INFO] Add Net-(D21-A) net
13:36:01: [INFO] Add Net-(D22-A) net
13:36:01: [INFO] Add Net-(D23-A) net
13:36:01: [INFO] Add Net-(D24-A) net
13:36:01: [INFO] Add Net-(D25-A) net
13:36:01: [INFO] Add Net-(D26-A) net
13:36:01: [INFO] Add Net-(D27-A) net
13:36:01: [INFO] Add Net-(D28-A) net
13:36:01: [INFO] Add Net-(D29-A) net
13:36:01: [INFO] Add Net-(D3-A) net
13:36:01: [INFO] Add Net-(D30-A) net
13:36:01: [INFO] Add Net-(D31-A) net
13:36:01: [INFO] Add Net-(D32-A) net
13:36:01: [INFO] Add Net-(D33-A) net
13:36:01: [INFO] Add Net-(D34-A) net
13:36:01: [INFO] Add Net-(D35-A) net
13:36:01: [INFO] Add Net-(D36-A) net
13:36:01: [INFO] Add Net-(D37-A) net
13:36:01: [INFO] Add Net-(D38-A) net
13:36:01: [INFO] Add Net-(D39-A) net
13:36:01: [INFO] Add Net-(D4-A) net
13:36:01: [INFO] Add Net-(D40-A) net
13:36:01: [INFO] Add Net-(D41-A) net
13:36:01: [INFO] Add Net-(D42-A) net
13:36:01: [INFO] Add Net-(D43-A) net
13:36:01: [INFO] Add Net-(D44-A) net
13:36:01: [INFO] Add Net-(D45-A) net
13:36:01: [INFO] Add Net-(D46-A) net
13:36:01: [INFO] Add Net-(D47-A) net
13:36:01: [INFO] Add Net-(D48-A) net
13:36:01: [INFO] Add Net-(D49-A) net
13:36:01: [INFO] Add Net-(D5-A) net
13:36:01: [INFO] Add Net-(D50-A) net
13:36:01: [INFO] Add Net-(D51-A) net
13:36:01: [INFO] Add Net-(D52-A) net
13:36:01: [INFO] Add Net-(D53-A) net
13:36:01: [INFO] Add Net-(D54-A) net
13:36:01: [INFO] Add Net-(D55-A) net
13:36:01: [INFO] Add Net-(D56-A) net
13:36:01: [INFO] Add Net-(D57-A) net
13:36:01: [INFO] Add Net-(D58-A) net
13:36:01: [INFO] Add Net-(D59-A) net
13:36:01: [INFO] Add Net-(D6-A) net
13:36:01: [INFO] Add Net-(D60-A) net
13:36:01: [INFO] Add Net-(D61-A) net
13:36:01: [INFO] Add Net-(D62-A) net
13:36:01: [INFO] Add Net-(D63-A) net
