=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBmDDwBdDAKDClkVS3AGNLwBiAdlbfE2wX3CwmnjIATOhrcAjLzj9KwlDXrwmtFao5iMQqeG45t3ACz6MKYwDYpM+ENScdGZsYAcxgJzHxBDeMnet3vT46BhY2VnUuDHEjYjIrKhE7cR4ggQT5bAB3SnFbGmTfaWClRlU1JM1tZMDsZKN8kyqMC1TKG1FahyaXBvcGzyafS3Bs+FyO8AL-IsVsULCIyaiapeiiUmBwIRSitLkaUbhc5gntwohZ5TL6O23prYwV7frsbdMabZbdtrzXro+MD0-n0-gMAUNwdMLiEwuEDj9EuC9LFyHskCcFCEAIY43HaQ42RHYPDnYpza43Gh4e54FZ4F64RpU5rDNLtOx4RzMoGMkGMsHEqKktLjDnLdZxChjJAiTElXF4+HSongAxRYaHXIqtVQkY5GUTNU1eLIDJkpiwrlZfXajAveIoJDca3Kw0YEHQ+UKrH4m1ugUQTUGuxqiHfQTUbCXUrXRah+6hlahmIbCAAJ0oGOwabSrgNNDTAE9KI6s+Bi-AALSEs0E9Fulwok35qMw2G+6zBmhqxxN8AZqtltLV+s0CtwEfO82Mb0+pVwGwnEONPvD9pyuaWjsLrvYNUWQiEIA
13:34:26: [INFO] Add Net-(D53-A) net
13:34:26: [INFO] Add Net-(D54-A) net
13:34:26: [INFO] Add Net-(D55-A) net
13:34:26: [INFO] Add Net-(D56-A) net
13:34:26: [INFO] Add Net-(D57-A) net
13:34:26: [INFO] Add Net-(D58-A) net
13:34:26: [INFO] Add Net-(D59-A) net
13:34:26: [INFO] Add Net-(D6-A) net
13:34:26: [INFO] Add Net-(D60-A) net
13:34:26: [INFO] Add Net-(D61-A) net
13:34:26: [INFO] Add Net-(D62-A) net
13:34:26: [INFO] Add Net-(D63-A) net
13:34:26: [INFO] Add Net-(D64-A) net
13:34:26: [INFO] Add Net-(D65-A) net
13:34:26: [INFO] Add Net-(D66-A) net
13:34:26: [INFO] Add Net-(D67-A) net
13:34:26: [INFO] Add Net-(D68-A) net
13:34:26: [INFO] Add Net-(D69-A) net
13:34:26: [INFO] Add Net-(D7-A) net
13:34:26: [INFO] Add Net-(D70-A) net
13:34:26: [INFO] Add Net-(D71-A) net
13:34:26: [INFO] Add Net-(D8-A) net
13:34:26: [INFO] Add Net-(D9-A) net
13:34:26: [INFO] Add ROW0 net
13:34:26: [INFO] Add ROW1 net
13:34:26: [INFO] Add ROW2 net
13:34:26: [INFO] Add ROW3 net
13:34:26: [INFO] Add ROW4 net
13:34:26: [INFO] Add SW1 footprint
13:34:26: [INFO] Add D1 footprint
13:34:26: [INFO] Add SW2 footprint
13:34:26: [INFO] Add D2 footprint
13:34:26: [INFO] Add SW3 footprint
13:34:26: [INFO] Add D3 footprint
13:34:26: [INFO] Add SW4 footprint
13:34:26: [INFO] Add D4 footprint
13:34:26: [INFO] Add SW5 footprint
13:34:26: [INFO] Add D5 footprint
13:34:26: [INFO] Add SW6 footprint
13:34:26: [INFO] Add D6 footprint
13:34:26: [INFO] Add SW7 footprint
13:34:26: [INFO] Add D7 footprint
13:34:26: [INFO] Add SW8 footprint
13:34:26: [INFO] Add D8 footprint
13:34:26: [INFO] Add SW9 footprint
13:34:26: [INFO] Add D9 footprint
13:34:26: [INFO] Add SW10 footprint
13:34:26: [INFO] Add D10 footprint
