=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BGDVdLQgZnAF0UAoMKWOCtcAT2YFoMA6ATlKYUVPEyJCsAVlxx8zABySUhAEyz5EtuRy0GmuArad4PXgqnKA7LOELbWfg5UYN4uFwBsyz24JxvbRVCGnpGEw8+fksg1zF-QmV1eOZCZCDCGRStMhUbPUYE424o5RDsuEJA3KrQ-XdM4tM+dPRCFVE5dy41IXbdMINWdAizQTZ2zoNEiZQsrv8lWbU-VL6VAfr-TybI8xi2lF8KmcObWftZp2W4hbXlkIKIUaiD8Hbb6fXku6JW95U8y+y3ygwauzG63Kv0q1QBtSe7gQEJaQlU2FWRBIbHRlDqhWYww4JQEaJEmMqZKB7iW6FxP2BdI2+IMOxGJIsZOOMNO4HR5yZlyZ1yZxApvNxjzBLwEb3RnwaZIZDX+uOpCTJhFBW1SKNJOJU4rhuN8iP8yPZzV4-1YOBO2PQrDxZsJevGjvJJyErHVim9KmVGrYTs2BPgbOJVs5waOFLhTuhBi8-oF4FYQrTKBFmbFiJl0X9CqDHsDqRtgPF-q1LPBlr27pzRqrprB5r1-2Rdp5DvAyOdrdddchbGRU0VI7mFNpvYDlYnaRriz10fQyNTyIzyOzfdceZJBYnRfuq5Qpb+Qj7vpyM+rLqIbovhpOcL7LZ14d4qikbrYAHdUrwbzItyBgIIBf4AUBwQ0NQQA
13:36:57: [INFO] Add Net-(D86-A) net
13:36:57: [INFO] Add Net-(D87-A) net
13:36:57: [INFO] Add Net-(D88-A) net
13:36:57: [INFO] Add Net-(D89-A) net
13:36:57: [INFO] Add Net-(D9-A) net
13:36:57: [INFO] Add Net-(D90-A) net
13:36:57: [INFO] Add ROW0 net
13:36:57: [INFO] Add ROW1 net
13:36:57: [INFO] Add ROW2 net
13:36:57: [INFO] Add ROW3 net
13:36:57: [INFO] Add ROW4 net
13:36:57: [INFO] Add SW1 footprint
13:36:57: [INFO] Add D1 footprint
13:36:57: [INFO] Add SW2 footprint
13:36:57: [INFO] Add D2 footprint
13:36:57: [INFO] Add SW3 footprint
13:36:57: [INFO] Add D3 footprint
13:36:58: [INFO] Add SW4 footprint
13:36:58: [INFO] Add D4 footprint
13:36:58: [INFO] Add SW5 footprint
13:36:58: [INFO] Add D5 footprint
13:36:58: [INFO] Add SW6 footprint
13:36:58: [INFO] Add D6 footprint
13:36:58: [INFO] Add SW7 footprint
13:36:58: [INFO] Add D7 footprint
13:36:58: [INFO] Add SW8 footprint
13:36:58: [INFO] Add D8 footprint
13:36:58: [INFO] Add SW9 footprint
13:36:58: [INFO] Add D9 footprint
13:36:58: [INFO] Add SW10 footprint
13:36:58: [INFO] Add D10 footprint
13:36:58: [INFO] Add SW11 footprint
13:36:58: [INFO] Add D11 footprint
13:36:58: [INFO] Add SW12 footprint
13:36:58: [INFO] Add D12 footprint
13:36:58: [INFO] Add SW13 footprint
13:36:58: [INFO] Add D13 footprint
13:36:58: [INFO] Add SW14 footprint
13:36:58: [INFO] Add D14 footprint
13:36:58: [INFO] Add SW15 footprint
13:36:58: [INFO] Add D15 footprint
13:36:58: [INFO] Add SW16 footprint
13:36:58: [INFO] Add D16 footprint
13:36:58: [INFO] Add SW17 footprint
13:36:58: [INFO] Add D17 footprint
13:36:58: [INFO] Add SW18 footprint
13:36:58: [INFO] Add D18 footprint
13:36:58: [INFO] Add SW19 footprint
13:36:58: [INFO] Add D19 footprint
13:36:58: [INFO] Add SW20 footprint
13:36:58: [INFO] Add D20 footprint
13:36:58: [INFO] Add SW21 footprint
13:36:58: [INFO] Add D21 footprint
13:36:58: [INFO] Add SW22 footprint
13:36:58: [INFO] Add D22 footprint
13:36:58: [INFO] Add SW23 footprint
13:36:59: [INFO] Add D23 footprint
13:36:59: [INFO] Add SW24 footprint
13:36:59: [INFO] Add D24 footprint
13:36:59: [INFO] Add SW25 footprint
13:36:59: [INFO] Add D25 footprint
13:36:59: [INFO] Add SW26 footprint
13:36:59: [INFO] Add D26 footprint
13:36:59: [INFO] Add SW27 footprint
13:36:59: [INFO] Add D27 footprint
13:36:59: [INFO] Add SW28 footprint
13:36:59: [INFO] Add D28 footprint
13:36:59: [INFO] Add SW29 footprint
13:36:59: [INFO] Add D29 footprint
13:36:59: [INFO] Add SW30 footprint
13:36:59: [INFO] Add D30 footprint
13:36:59: [INFO] Add SW31 footprint
13:36:59: [INFO] Add D31 footprint
13:36:59: [INFO] Add SW32 footprint
13:36:59: [INFO] Add D32 footprint
13:36:59: [INFO] Add SW33 footprint
13:36:59: [INFO] Add D33 footprint
13:36:59: [INFO] Add SW34 footprint
13:36:59: [INFO] Add D34 footprint
13:36:59: [INFO] Add SW35 footprint
13:36:59: [INFO] Add D35 footprint
13:36:59: [INFO] Add SW36 footprint
13:36:59: [INFO] Add D36 footprint
13:36:59: [INFO] Add SW37 footprint
13:36:59: [INFO] Add D37 footprint
13:36:59: [INFO] Add SW38 footprint
13:36:59: [INFO] Add D38 footprint
13:36:59: [INFO] Add SW39 footprint
13:36:59: [INFO] Add D39 footprint
13:36:59: [INFO] Add SW40 footprint
13:36:59: [INFO] Add D40 footprint
13:36:59: [INFO] Add SW41 footprint
13:36:59: [INFO] Add D41 footprint
13:36:59: [INFO] Add SW42 footprint
13:37:00: [INFO] Add D42 footprint
13:37:00: [INFO] Add SW43 footprint
13:37:00: [INFO] Add D43 footprint
13:37:00: [INFO] Add SW44 footprint
13:37:00: [INFO] Add D44 footprint
13:37:00: [INFO] Add SW45 footprint
13:37:00: [INFO] Add D45 footprint
13:37:00: [INFO] Add SW46 footprint
13:37:00: [INFO] Add D46 footprint
13:37:00: [INFO] Add SW47 footprint
13:37:00: [INFO] Add D47 footprint
13:37:00: [INFO] Add SW48 footprint
13:37:00: [INFO] Add D48 footprint
13:37:00: [INFO] Add SW49 footprint
13:37:00: [INFO] Add D49 footprint
13:37:00: [INFO] Add SW50 footprint
13:37:00: [INFO] Add D50 footprint
13:37:00: [INFO] Add SW51 footprint
13:37:00: [INFO] Add D51 footprint
13:37:00: [INFO] Add SW52 footprint
13:37:00: [INFO] Add D52 footprint
13:37:00: [INFO] Add SW53 footprint
13:37:00: [INFO] Add D53 footprint
13:37:00: [INFO] Add SW54 footprint
13:37:00: [INFO] Add D54 footprint
13:37:00: [INFO] Add SW55 footprint
13:37:00: [INFO] Add D55 footprint
13:37:00: [INFO] Add SW56 footprint
13:37:00: [INFO] Add D56 footprint
13:37:00: [INFO] Add SW57 footprint
13:37:00: [INFO] Add D57 footprint
13:37:00: [INFO] Add SW58 footprint
13:37:00: [INFO] Add D58 footprint
13:37:00: [INFO] Add SW59 footprint
13:37:00: [INFO] Add D59 footprint
13:37:00: [INFO] Add SW60 footprint
13:37:00: [INFO] Add D60 footprint
13:37:00: [INFO] Add SW61 footprint
13:37:00: [INFO] Add D61 footprint
13:37:01: [INFO] Add SW62 footprint
13:37:01: [INFO] Add D62 footprint
13:37:01: [INFO] Add SW63 footprint
13:37:01: [INFO] Add D63 footprint
13:37:01: [INFO] Add SW64 footprint
13:37:01: [INFO] Add D64 footprint
13:37:01: [INFO] Add SW65 footprint
13:37:01: [INFO] Add D65 footprint
13:37:01: [INFO] Add SW66 footprint
13:37:01: [INFO] Add D66 footprint
13:37:01: [INFO] Add SW67 footprint
13:37:01: [INFO] Add D67 footprint
13:37:01: [INFO] Add SW68 footprint
13:37:01: [INFO] Add D68 footprint
13:37:01: [INFO] Add SW69 footprint
13:37:01: [INFO] Add D69 footprint
13:37:01: [INFO] Add SW70 footprint
13:37:01: [INFO] Add D70 footprint
13:37:01: [INFO] Add SW71 footprint
13:37:01: [INFO] Add D71 footprint
13:37:01: [INFO] Add SW72 footprint
13:37:01: [INFO] Add D72 footprint
13:37:01: [INFO] Add SW73 footprint
13:37:01: [INFO] Add D73 footprint
13:37:01: [INFO] Add SW74 footprint
13:37:01: [INFO] Add D74 footprint
13:37:01: [INFO] Add SW75 footprint
13:37:01: [INFO] Add D75 footprint
13:37:01: [INFO] Add SW76 footprint
13:37:01: [INFO] Add D76 footprint
13:37:01: [INFO] Add SW77 footprint
13:37:01: [INFO] Add D77 footprint
13:37:01: [INFO] Add SW78 footprint
13:37:01: [INFO] Add D78 footprint
13:37:01: [INFO] Add SW79 footprint
13:37:01: [INFO] Add D79 footprint
13:37:01: [INFO] Add SW80 footprint
13:37:01: [INFO] Add D80 footprint
13:37:01: [INFO] Add SW81 footprint
13:37:02: [INFO] Add D81 footprint
13:37:02: [INFO] Add SW82 footprint
13:37:02: [INFO] Add D82 footprint
13:37:02: [INFO] Add SW83 footprint
13:37:02: [INFO] Add D83 footprint
13:37:02: [INFO] Add SW84 footprint
13:37:02: [INFO] Add D84 footprint
13:37:02: [INFO] Add SW85 footprint
13:37:02: [INFO] Add D85 footprint
13:37:02: [INFO] Add SW86 footprint
13:37:02: [INFO] Add D86 footprint
13:37:02: [INFO] Add SW87 footprint
13:37:02: [INFO] Add D87 footprint
13:37:02: [INFO] Add SW88 footprint
13:37:02: [INFO] Add D88 footprint
13:37:02: [INFO] Add SW89 footprint
13:37:02: [INFO] Add D89 footprint
13:37:02: [INFO] Add SW90 footprint
13:37:02: [INFO] Add D90 footprint
