=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhNPEpBZZjuPgIxF5YBMjtWAzG-gCzdYBWfgDZ+Adn4AOfgE5+dQsSiwEKNKmpM6DALpYAUMHB0CAHQB2Fi-kVwSK8pQqbjWOlcvmbbE8w-WCH05-L0CaEx4Q73DBKLCEE2E421cxZKDJdJiZLIS3XFz7MjV1FxNtQvAADxU6ADpmAWw8gs8AhiVSVSdnZtd3NtCOvL9B+iCOOOHXSLG3IIEpoKS56ZM01Yyl7O28hV2i1XUNPvKBj3G9Q3BmMznbQ8cnF1vzz2iEW9GL+Jvg+7Yt1mPxSt0WAJotxWIMBWA2MMhWEyEM+WByKL++xRjxK6D6rzeAQe1VqDSaiNaP2GOJ60Hxbl2f2+73miMmm0RwJZ0zBjKhfLhAuRVNh6JFiKx4rsymKx2QLzchKG4CuRg4dwRCHVSo+4HVzKJbHV7M1eqwXMNNHV4NN6uhLJS6vhDqNSNyZrFLqt+Xd2p18QgNXg9UafXVlO5rv9031jONcfNBxl3R6bAA7ipmGHYhzpV0kHKXE6E8LI97Pe0oxHK96KptVRAAJ61GgZ4Nk04almsToORC0soMuY9kZxEeuE3doIW0Ljkw2qcxe0BOeC4dbdc7Td5vtiPf79OksTkvb+keB0mNGj53EaVuXk+uauhLi94oDzv+1+jubfidxP8IgAhZgKXUC8mdAJALdX8ggrF9GBxfcD3vdtj0-L8VQMMBkwLY5DzQx9bmffBz1w-tU3pA1Z1hScV1hGdSNhBd6MRZcaMRSCONRUtWNReCmKUNs4BDIifW3HFC3pOsfjIoMRLJVCFPQilwJpSjEWo-A-1uOiEM5cC-hY-TUXY7TYS48zEV4ky-gEzhEPAYTROkkiHLfI58OkzCGych9szc8dtTHRznI7b0tJYRybwHJTmDqFStUTCS-PgeLQ29Syoo8vDSiUlzyxC2tAtC-zazPRz5NE-LwqSty-2C2CIrU8jYoQYThFqs0zPcndZXwmqMqSyUWW-CAwqGs0ZNGlUdCAA
13:35:51: [INFO] Add SW13a footprint
13:35:51: [INFO] Add SW14 footprint
13:35:51: [INFO] Add D14 footprint
13:35:51: [INFO] Add SW14a footprint
13:35:51: [INFO] Add SW15 footprint
13:35:51: [INFO] Add D15 footprint
13:35:51: [INFO] Add SW15a footprint
13:35:51: [INFO] Add SW16 footprint
13:35:51: [INFO] Add D16 footprint
13:35:51: [INFO] Add SW16a footprint
13:35:51: [INFO] Add SW17 footprint
13:35:51: [INFO] Add D17 footprint
13:35:51: [INFO] Add SW17a footprint
13:35:51: [INFO] Add SW18 footprint
13:35:51: [INFO] Add D18 footprint
13:35:51: [INFO] Add SW18a footprint
13:35:51: [INFO] Add SW19 footprint
13:35:51: [INFO] Add D19 footprint
13:35:51: [INFO] Add SW19a footprint
13:35:51: [INFO] Add SW20 footprint
13:35:51: [INFO] Add D20 footprint
13:35:51: [INFO] Add SW20a footprint
13:35:51: [INFO] Add SW21 footprint
13:35:51: [INFO] Add D21 footprint
13:35:52: [INFO] Add SW21a footprint
13:35:52: [INFO] Add SW22 footprint
13:35:52: [INFO] Add D22 footprint
13:35:52: [INFO] Add SW22a footprint
13:35:52: [INFO] Add SW23 footprint
13:35:52: [INFO] Add D23 footprint
13:35:52: [INFO] Add SW24 footprint
13:35:52: [INFO] Add D24 footprint
13:35:52: [INFO] Add SW24a footprint
13:35:52: [INFO] Add SW25 footprint
13:35:52: [INFO] Add D25 footprint
13:35:52: [INFO] Add SW25a footprint
13:35:52: [INFO] Add SW26 footprint
13:35:52: [INFO] Add D26 footprint
13:35:52: [INFO] Add SW27 footprint
13:35:52: [INFO] Add D27 footprint
13:35:52: [INFO] Add SW27a footprint
13:35:52: [INFO] Add SW28 footprint
13:35:52: [INFO] Add D28 footprint
13:35:52: [INFO] Add SW28a footprint
13:35:52: [INFO] Add SW29 footprint
13:35:52: [INFO] Add D29 footprint
13:35:52: [INFO] Add SW29a footprint
13:35:52: [INFO] Add SW30 footprint
13:35:52: [INFO] Add D30 footprint
13:35:52: [INFO] Add SW30a footprint
13:35:52: [INFO] Add SW31 footprint
13:35:52: [INFO] Add D31 footprint
13:35:52: [INFO] Add SW31a footprint
13:35:52: [INFO] Add SW32 footprint
13:35:52: [INFO] Add D32 footprint
13:35:52: [INFO] Add SW32a footprint
13:35:52: [INFO] Add SW33 footprint
13:35:53: [INFO] Add D33 footprint
13:35:53: [INFO] Add SW33a footprint
13:35:53: [INFO] Add SW34 footprint
13:35:53: [INFO] Add D34 footprint
13:35:53: [INFO] Add SW34a footprint
13:35:53: [INFO] Add SW35 footprint
13:35:53: [INFO] Add D35 footprint
13:35:53: [INFO] Add SW35a footprint
13:35:53: [INFO] Add SW36 footprint
13:35:53: [INFO] Add D36 footprint
13:35:53: [INFO] Add SW37 footprint
13:35:53: [INFO] Add D37 footprint
13:35:53: [INFO] Add SW37a footprint
13:35:53: [INFO] Add SW38 footprint
13:35:53: [INFO] Add D38 footprint
13:35:53: [INFO] Add SW38a footprint
13:35:53: [INFO] Add SW39 footprint
13:35:53: [INFO] Add D39 footprint
13:35:53: [INFO] Add SW39a footprint
13:35:53: [INFO] Add SW39b footprint
13:35:53: [INFO] Add SW40 footprint
13:35:53: [INFO] Add D40 footprint
13:35:53: [INFO] Add SW41 footprint
13:35:53: [INFO] Add D41 footprint
