=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DGtMGIB2I48AXw3AAY1LwBdNAKDClwBYkD1MBPXAWkpIAHN2y5weLNJlkK1AMzgMEaPGGpymaggBM9JizVxdnMX3iCkATi1U0CZdrT6VreAiEo7OpW5zwkgCGIaFO4ADuuLo+DmwAOgB2SUnUtG7GQrre8nEpyYk64boOCvmpDgbMqrjI2RQWcFbZdgg0VUa1bA0CQsIUAfgysq0OjgzV7iaoPZZC1mKDwaEh4VEemhRtjv4SUsM4o65wNR5ClKN64dt+J5G1m5jbbB2niLNNWYt7K6t2JbQJp14KZ6rxemYKOtEGZ-pVdoF9sM5JgSsc3tZHuASggdqiHOjxIjiCQodEkC0KDiXkC3iVMEs8L8gmtyZTMAp4XdGQdDhROYTjJiLvyxuFOVcEfhmayQbDRQgygUkm10ndMhSxNDkFw7BKlfltuK8srEkbaVN6fcNjlMN08W9FZDMNqsfaaYYIAAnWrUTDGFAiD78ABsSD9RKGBxR9heuRQ4WoIcTaAIrymgYUo1u4DacaeaATWzQyYtAaQbFt2LQOZK+erRfxpc9GZsVc5Oc59c5jfAnObk2MBAGexJRFl03Z4G6jYgjJlZI2U+6A+BcED5ghC0XMKr3Q9kx9lk8FCFQfBx84I8RvJj1GEKesKc8z-GLbPbFGaeLD+LT+LL5lrgmK6lSqbFGgv74v++KAe+wFIFmorfhykHGjBfYOIC8HwJi3QMqOY4TqYoF2mhQEeKYCCbnMNjXtKvwTsge5YfQdBAA
13:36:47: [INFO] Add Net-(D64-A) net
13:36:47: [INFO] Add Net-(D65-A) net
13:36:47: [INFO] Add Net-(D66-A) net
13:36:47: [INFO] Add Net-(D7-A) net
13:36:47: [INFO] Add Net-(D8-A) net
13:36:47: [INFO] Add Net-(D9-A) net
13:36:47: [INFO] Add ROW0 net
13:36:47: [INFO] Add ROW1 net
13:36:47: [INFO] Add ROW2 net
13:36:47: [INFO] Add ROW3 net
13:36:47: [INFO] Add ROW4 net
13:36:47: [INFO] Add SW1 footprint
13:36:47: [INFO] Add D1 footprint
13:36:47: [INFO] Add SW2 footprint
13:36:48: [INFO] Add D2 footprint
13:36:48: [INFO] Add SW3 footprint
13:36:48: [INFO] Add D3 footprint
13:36:48: [INFO] Add SW4 footprint
13:36:48: [INFO] Add D4 footprint
13:36:48: [INFO] Add SW5 footprint
13:36:48: [INFO] Add D5 footprint
13:36:48: [INFO] Add SW6 footprint
13:36:48: [INFO] Add D6 footprint
13:36:48: [INFO] Add SW7 footprint
13:36:48: [INFO] Add D7 footprint
13:36:48: [INFO] Add SW8 footprint
13:36:48: [INFO] Add D8 footprint
13:36:48: [INFO] Add SW9 footprint
13:36:48: [INFO] Add D9 footprint
13:36:48: [INFO] Add SW10 footprint
13:36:48: [INFO] Add D10 footprint
13:36:48: [INFO] Add SW11 footprint
13:36:48: [INFO] Add D11 footprint
13:36:48: [INFO] Add SW12 footprint
13:36:48: [INFO] Add D12 footprint
13:36:48: [INFO] Add SW13 footprint
13:36:48: [INFO] Add D13 footprint
13:36:48: [INFO] Add SW14 footprint
13:36:48: [INFO] Add D14 footprint
13:36:48: [INFO] Add SW15 footprint
13:36:48: [INFO] Add D15 footprint
13:36:48: [INFO] Add ST15 footprint
13:36:48: [INFO] Add SW15a footprint
13:36:48: [INFO] Add SW16 footprint
13:36:48: [INFO] Add D16 footprint
13:36:48: [INFO] Add SW17 footprint
13:36:48: [INFO] Add D17 footprint
13:36:48: [INFO] Add SW18 footprint
13:36:48: [INFO] Add D18 footprint
13:36:48: [INFO] Add SW19 footprint
13:36:49: [INFO] Add D19 footprint
13:36:49: [INFO] Add SW20 footprint
13:36:49: [INFO] Add D20 footprint
13:36:49: [INFO] Add SW21 footprint
13:36:49: [INFO] Add D21 footprint
13:36:49: [INFO] Add SW22 footprint
13:36:49: [INFO] Add D22 footprint
13:36:49: [INFO] Add SW23 footprint
13:36:49: [INFO] Add D23 footprint
13:36:49: [INFO] Add SW24 footprint
13:36:49: [INFO] Add D24 footprint
13:36:49: [INFO] Add SW25 footprint
13:36:49: [INFO] Add D25 footprint
13:36:49: [INFO] Add SW26 footprint
13:36:49: [INFO] Add D26 footprint
13:36:49: [INFO] Add SW27 footprint
13:36:49: [INFO] Add D27 footprint
13:36:49: [INFO] Add SW28 footprint
13:36:49: [INFO] Add D28 footprint
13:36:49: [INFO] Add SW29 footprint
13:36:49: [INFO] Add D29 footprint
13:36:49: [INFO] Add SW30 footprint
13:36:49: [INFO] Add D30 footprint
13:36:49: [INFO] Add SW31 footprint
13:36:49: [INFO] Add D31 footprint
13:36:49: [INFO] Add SW32 footprint
13:36:49: [INFO] Add D32 footprint
13:36:49: [INFO] Add SW33 footprint
13:36:49: [INFO] Add D33 footprint
13:36:49: [INFO] Add SW34 footprint
13:36:49: [INFO] Add D34 footprint
13:36:49: [INFO] Add SW35 footprint
13:36:49: [INFO] Add D35 footprint
13:36:50: [INFO] Add SW36 footprint
13:36:50: [INFO] Add D36 footprint
13:36:50: [INFO] Add SW37 footprint
13:36:50: [INFO] Add D37 footprint
13:36:50: [INFO] Add SW38 footprint
13:36:50: [INFO] Add D38 footprint
13:36:50: [INFO] Add SW39 footprint
13:36:50: [INFO] Add D39 footprint
13:36:50: [INFO] Add SW40 footprint
13:36:50: [INFO] Add D40 footprint
13:36:50: [INFO] Add SW41 footprint
13:36:50: [INFO] Add D41 footprint
13:36:50: [INFO] Add SW42 footprint
13:36:50: [INFO] Add D42 footprint
13:36:50: [INFO] Add SW43 footprint
13:36:50: [INFO] Add D43 footprint
13:36:50: [INFO] Add SW44 footprint
13:36:50: [INFO] Add D44 footprint
13:36:50: [INFO] Add SW45 footprint
13:36:50: [INFO] Add D45 footprint
13:36:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:50: [INFO] Add ST45 footprint
13:36:50: [INFO] Add SW46 footprint
13:36:50: [INFO] Add D46 footprint
13:36:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:50: [INFO] Add ST46 footprint
13:36:50: [INFO] Add SW47 footprint
13:36:50: [INFO] Add D47 footprint
13:36:50: [INFO] Add SW48 footprint
13:36:50: [INFO] Add D48 footprint
13:36:50: [INFO] Add SW49 footprint
13:36:50: [INFO] Add D49 footprint
13:36:50: [INFO] Add SW50 footprint
13:36:50: [INFO] Add D50 footprint
13:36:50: [INFO] Add SW51 footprint
13:36:50: [INFO] Add D51 footprint
13:36:50: [INFO] Add SW52 footprint
13:36:51: [INFO] Add D52 footprint
13:36:51: [INFO] Add SW53 footprint
