=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2VdAVm3AF0UAoMKWOAFjXAE9GBaDAOgA5irLE1xx8jJiXDkR1OuPgAmVh3jceATkKShKRaIVw+U8vrn0CcculVx1fLVKykDDJSZQvzhgIwquvFqKpE4oPq6WPhge4d7sATwIfADsIboYEYw+ih4ZcZYI-mqByKx+OHhucILohBT5EkV2vAJSfiKVljq1KLK0FozKNgla3eB++p2Mxqx1Zv2G1vHF-I5lnpnusxsN8H7DK0Fp6H7hU3vR27ELy82JKUsAxozgAMTJH5-gbSgZ53DZVjPeBvR5g8HfbZ5G4FJrqDSldDKCpiKo1cDJeowxoHO4CVgAO0YABcAE4AVwAplJlB1UV1CSSKdTWJi+vIqkNbvDtDS9JsjFJMfMOZYlrZ7GskRt-jlWTtsXs4YFCME+Wd6VlLuhMdcORLeElUkCXq8AIYWy2Q6V-TV7LnA9CvcEQoW-KiKxDKzSI8CFFGGdF8LGinHclrowp0wxjYPsgZKb2jKSFSZ2wWsYMihNWb0OSMy9Ny9DBrye-bhzSq45+sICqJSYN6+gG+7G9COt6Wq0p93-QEd02fL6N927L24+G+lgBtEmkHOl3PKQaEM5rmtviKFiDhfdi3W8AsNOGYO7p1L5esVfZ3x50h8J6m-dmw8sDW+LDn0FLw+r5sQKSjAIF+4Ckgy6CkrYSyWLw4oJO24Cdua+6iOAAAWWQ8DWLDRkhQ7DskaGYXs2FSCwZYckBaggaw4FaqwlicIo2HeohJEAmR16FhAyEvsRWE1qusiUEAA
13:30:06: [INFO] Add D5 footprint
13:30:06: [INFO] Add SW6 footprint
13:30:06: [INFO] Add D6 footprint
13:30:06: [INFO] Add SW7 footprint
13:30:06: [INFO] Add D7 footprint
13:30:06: [INFO] Add SW8 footprint
13:30:06: [INFO] Add D8 footprint
13:30:06: [INFO] Add SW9 footprint
13:30:06: [INFO] Add D9 footprint
13:30:06: [INFO] Add SW10 footprint
13:30:06: [INFO] Add D10 footprint
13:30:06: [INFO] Add SW11 footprint
13:30:07: [INFO] Add D11 footprint
13:30:07: [INFO] Add SW12 footprint
13:30:07: [INFO] Add D12 footprint
13:30:07: [INFO] Add SW13 footprint
13:30:07: [INFO] Add D13 footprint
13:30:07: [INFO] Add SW14 footprint
13:30:07: [INFO] Add D14 footprint
13:30:07: [INFO] Add SW15 footprint
13:30:07: [INFO] Add D15 footprint
13:30:07: [INFO] Add SW16 footprint
13:30:07: [INFO] Add D16 footprint
13:30:07: [INFO] Add SW17 footprint
13:30:07: [INFO] Add D17 footprint
13:30:07: [INFO] Add SW18 footprint
13:30:07: [INFO] Add D18 footprint
13:30:07: [INFO] Add SW19 footprint
13:30:07: [INFO] Add D19 footprint
13:30:07: [INFO] Add SW20 footprint
13:30:07: [INFO] Add D20 footprint
13:30:07: [INFO] Add SW21 footprint
13:30:07: [INFO] Add D21 footprint
13:30:07: [INFO] Add SW22 footprint
13:30:07: [INFO] Add D22 footprint
13:30:07: [INFO] Add SW23 footprint
13:30:07: [INFO] Add D23 footprint
13:30:07: [INFO] Add SW24 footprint
13:30:07: [INFO] Add D24 footprint
13:30:07: [INFO] Add SW25 footprint
13:30:07: [INFO] Add D25 footprint
13:30:07: [INFO] Add SW26 footprint
13:30:07: [INFO] Add D26 footprint
13:30:07: [INFO] Add SW27 footprint
13:30:08: [INFO] Add D27 footprint
13:30:08: [INFO] Add SW28 footprint
13:30:08: [INFO] Add D28 footprint
13:30:08: [INFO] Add SW29 footprint
13:30:08: [INFO] Add D29 footprint
13:30:08: [INFO] Add SW30 footprint
13:30:08: [INFO] Add D30 footprint
13:30:08: [INFO] Add SW31 footprint
13:30:08: [INFO] Add D31 footprint
13:30:08: [INFO] Add SW32 footprint
13:30:08: [INFO] Add D32 footprint
13:30:08: [INFO] Add SW33 footprint
13:30:08: [INFO] Add D33 footprint
13:30:08: [INFO] Add SW34 footprint
13:30:08: [INFO] Add D34 footprint
13:30:08: [INFO] Add SW35 footprint
13:30:08: [INFO] Add D35 footprint
13:30:08: [INFO] Add SW36 footprint
13:30:08: [INFO] Add D36 footprint
13:30:08: [INFO] Add SW37 footprint
13:30:08: [INFO] Add D37 footprint
13:30:08: [INFO] Add SW38 footprint
13:30:08: [INFO] Add D38 footprint
13:30:08: [INFO] Add SW39 footprint
13:30:08: [INFO] Add D39 footprint
13:30:08: [INFO] Add SW40 footprint
13:30:08: [INFO] Add D40 footprint
13:30:08: [INFO] Add SW41 footprint
13:30:08: [INFO] Add D41 footprint
13:30:08: [INFO] Add SW42 footprint
13:30:08: [INFO] Add D42 footprint
13:30:08: [INFO] Add SW43 footprint
13:30:09: [INFO] Add D43 footprint
13:30:09: [INFO] Add SW44 footprint
13:30:09: [INFO] Add D44 footprint
13:30:09: [INFO] Add SW45 footprint
13:30:09: [INFO] Add D45 footprint
13:30:09: [INFO] Add SW46 footprint
13:30:09: [INFO] Add D46 footprint
13:30:09: [INFO] Add SW47 footprint
13:30:09: [INFO] Add D47 footprint
13:30:09: [INFO] Add SW48 footprint
13:30:09: [INFO] Add D48 footprint
13:30:09: [INFO] Add SW49 footprint
13:30:09: [INFO] Add D49 footprint
13:30:09: [INFO] Add SW50 footprint
13:30:09: [INFO] Add D50 footprint
13:30:09: [INFO] Add SW51 footprint
13:30:09: [INFO] Add D51 footprint
13:30:09: [INFO] Add SW52 footprint
13:30:09: [INFO] Add D52 footprint
13:30:09: [INFO] Add SW53 footprint
13:30:09: [INFO] Add D53 footprint
13:30:09: [INFO] Add SW54 footprint
13:30:09: [INFO] Add D54 footprint
13:30:09: [INFO] Add SW55 footprint
13:30:09: [INFO] Add D55 footprint
13:30:09: [INFO] Add SW56 footprint
13:30:09: [INFO] Add D56 footprint
13:30:09: [INFO] Add SW57 footprint
13:30:09: [INFO] Add D57 footprint
13:30:09: [INFO] Add SW58 footprint
13:30:10: [INFO] Add D58 footprint
13:30:10: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:10: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:10: [INFO] Layout offset: (28575000, 28575000)
13:30:10: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:10: [INFO] Placing additional elements for SW58
13:30:10: [INFO] Placing additional elements for SW57
13:30:10: [INFO] Placing additional elements for SW56
13:30:10: [INFO] Placing additional elements for SW55
13:30:10: [INFO] Placing additional elements for SW54
13:30:10: [INFO] Placing additional elements for SW53
13:30:10: [INFO] Placing additional elements for SW52
13:30:10: [INFO] Placing additional elements for SW51
13:30:10: [INFO] Placing additional elements for SW50
13:30:10: [INFO] Placing additional elements for SW49
13:30:10: [INFO] Placing additional elements for SW48
13:30:10: [INFO] Placing additional elements for SW47
13:30:10: [INFO] Placing additional elements for SW46
13:30:10: [INFO] Placing additional elements for SW45
13:30:10: [INFO] Placing additional elements for SW44
13:30:10: [INFO] Placing additional elements for SW43
13:30:10: [INFO] Placing additional elements for SW42
13:30:10: [INFO] Placing additional elements for SW41
13:30:10: [INFO] Placing additional elements for SW40
13:30:10: [INFO] Placing additional elements for SW39
13:30:10: [INFO] Placing additional elements for SW38
13:30:10: [INFO] Placing additional elements for SW37
13:30:10: [INFO] Placing additional elements for SW36
13:30:10: [INFO] Placing additional elements for SW35
13:30:10: [INFO] Placing additional elements for SW34
13:30:10: [INFO] Placing additional elements for SW33
13:30:10: [INFO] Placing additional elements for SW32
13:30:10: [INFO] Placing additional elements for SW31
13:30:10: [INFO] Placing additional elements for SW30
13:30:10: [INFO] Placing additional elements for SW29
13:30:10: [INFO] Placing additional elements for SW28
13:30:10: [INFO] Placing additional elements for SW27
13:30:10: [INFO] Placing additional elements for SW26
13:30:10: [INFO] Placing additional elements for SW25
13:30:10: [INFO] Placing additional elements for SW24
13:30:10: [INFO] Placing additional elements for SW23
13:30:10: [INFO] Placing additional elements for SW22
13:30:10: [INFO] Placing additional elements for SW21
13:30:10: [INFO] Placing additional elements for SW20
13:30:10: [INFO] Placing additional elements for SW19
13:30:10: [INFO] Placing additional elements for SW18
13:30:10: [INFO] Placing additional elements for SW17
13:30:10: [INFO] Placing additional elements for SW16
13:30:10: [INFO] Placing additional elements for SW15
13:30:10: [INFO] Placing additional elements for SW14
13:30:10: [INFO] Placing additional elements for SW13
13:30:10: [INFO] Placing additional elements for SW12
13:30:10: [INFO] Placing additional elements for SW11
13:30:10: [INFO] Placing additional elements for SW10
13:30:10: [INFO] Placing additional elements for SW9
13:30:10: [INFO] Placing additional elements for SW8
13:30:10: [INFO] Placing additional elements for SW7
13:30:10: [INFO] Placing additional elements for SW6
13:30:10: [INFO] Placing additional elements for SW5
13:30:10: [INFO] Placing additional elements for SW4
13:30:10: [INFO] Placing additional elements for SW3
13:30:10: [INFO] Placing additional elements for SW2
13:30:10: [INFO] Placing additional elements for SW1
13:30:10: [INFO] Routing SW58 with D58
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW58:2' at (185739137, 137205591) with pad 'D58:2' at (191778841, 142586665) using coordinate system rotated by 330.0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(185739137, 137205591), (188309135, 141656960)]
13:30:10: [INFO] Adding track segment (B.Cu): [(188309135, 141656960), (191778841, 142586665)]
13:30:10: [INFO] Routing SW57 with D57
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW57:2' at (202236921, 127680591) with pad 'D57:2' at (208276625, 133061665) using coordinate system rotated by 330.0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(202236921, 127680591), (204806919, 132131960)]
13:30:10: [INFO] Adding track segment (B.Cu): [(204806919, 132131960), (208276625, 133061665)]
13:30:10: [INFO] Routing SW56 with D56
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW56:2' at (231140000, 109220000) with pad 'D56:2' at (233680000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 109220000), (231140000, 114360000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 114360000), (233680000, 116900000)]
13:30:10: [INFO] Routing SW55 with D55
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW55:2' at (250190000, 112572800) with pad 'D55:2' at (252730000, 120252800) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 112572800), (250190000, 117712800)]
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 117712800), (252730000, 120252800)]
13:30:10: [INFO] Routing SW54 with D54
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW54:2' at (269240000, 115268375) with pad 'D54:2' at (271780000, 122948375) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 115268375), (269240000, 120408375)]
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 120408375), (271780000, 122948375)]
13:30:10: [INFO] Routing SW53 with D53
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW53:2' at (193040000, 95504000) with pad 'D53:2' at (195580000, 103184000) using coordinate system rotated by 0 degree(s)
