=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPAXRQFBhSxwBMa4AnqQLQYB0A7AKyrpZnhoTTwCM7TCgAs3DihZ5CxPnH6Ua8eszaUs-aUQhK4K1pQDGpcAGImFy+CFYMW2aQSK6jA+mPwzh7z+uUFOPjaJPAU6Lr6augKXDwh8kIKYv6S9rykCuEuqokomkHEEa4sRiamAIaVVX7RKHYF6fBOWcrFpZ6mPr5CFIEyjeTOrTmUFLFwA4KjouLgFFIN8ZnU2aw9eWkrw27gHugVVZU1c3Wbcs1bem3uZV3ex059wXJhl5FCTuOTHzOUTgv9JZDK4jdBOfKAoqqdr7Q5HH71QHnYHvSgibBnUivKFrNEoL5LITosSLKFRcDoxHBABOchY0PQ1N09JK6DkkRR-AYZFZuzKlislAAFhkGOT0QCaXIAGwMdGM3Sy5bnBgADl5ESVMK8d2OJSeDgEao1q3JJU0lBKBLkXIwQhKJKRpHp6pRxXtqUWMuNbtB4BK0sxTR9LRBuPQ0oxXtFrtDqIjG0oketortSZm0fgLpN23Jkclhrgstjb3d6cDmcQIdLfqYUadRpLOPJdYt6DrKaNafbGYbcGzvvD4DrBYGxZzYZbKArfYQ1ebQlV9eeMYn8fAS7bG-x4kmDG728dK6z89Ni89ffHg-JS5nx6rTbPlAAnMvCyoEEu49c+R04eVZhFUJuXFadd3iRgyAuPYzAFCxAKxEChFfOw4iA+QxWQxMJl-WE4WOV9OwwrAbg6O5jCwo933peUax2GCDkOY50TbSZIN5BjyIIi97yvb8GVwsx-24itcCAA
13:38:59: [INFO] Labels prefixes: for rows: 'ROW', for columns: 'COL'
13:38:59: [INFO] Matrix size: 9x6
13:38:59: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:59: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:00: [INFO] Add COL0 net
13:39:00: [INFO] Add COL1 net
13:39:00: [INFO] Add COL2 net
13:39:00: [INFO] Add COL3 net
13:39:00: [INFO] Add COL4 net
13:39:00: [INFO] Add COL5 net
13:39:00: [INFO] Add COL6 net
13:39:00: [INFO] Add Net-(D1-A) net
13:39:00: [INFO] Add Net-(D10-A) net
13:39:00: [INFO] Add Net-(D11-A) net
13:39:00: [INFO] Add Net-(D12-A) net
13:39:00: [INFO] Add Net-(D13-A) net
13:39:00: [INFO] Add Net-(D14-A) net
13:39:00: [INFO] Add Net-(D15-A) net
13:39:00: [INFO] Add Net-(D16-A) net
13:39:00: [INFO] Add Net-(D17-A) net
13:39:00: [INFO] Add Net-(D18-A) net
13:39:00: [INFO] Add Net-(D19-A) net
13:39:00: [INFO] Add Net-(D2-A) net
13:39:00: [INFO] Add Net-(D20-A) net
13:39:00: [INFO] Add Net-(D21-A) net
13:39:00: [INFO] Add Net-(D22-A) net
13:39:00: [INFO] Add Net-(D23-A) net
13:39:00: [INFO] Add Net-(D24-A) net
13:39:00: [INFO] Add Net-(D25-A) net
13:39:00: [INFO] Add Net-(D26-A) net
13:39:00: [INFO] Add Net-(D27-A) net
13:39:00: [INFO] Add Net-(D28-A) net
13:39:00: [INFO] Add Net-(D29-A) net
13:39:00: [INFO] Add Net-(D3-A) net
13:39:00: [INFO] Add Net-(D30-A) net
13:39:00: [INFO] Add Net-(D31-A) net
13:39:00: [INFO] Add Net-(D32-A) net
13:39:00: [INFO] Add Net-(D33-A) net
13:39:00: [INFO] Add Net-(D34-A) net
13:39:00: [INFO] Add Net-(D35-A) net
13:39:00: [INFO] Add Net-(D36-A) net
13:39:00: [INFO] Add Net-(D37-A) net
13:39:00: [INFO] Add Net-(D38-A) net
13:39:00: [INFO] Add Net-(D39-A) net
13:39:00: [INFO] Add Net-(D4-A) net
13:39:00: [INFO] Add Net-(D40-A) net
13:39:00: [INFO] Add Net-(D41-A) net
13:39:00: [INFO] Add Net-(D42-A) net
13:39:00: [INFO] Add Net-(D43-A) net
13:39:00: [INFO] Add Net-(D44-A) net
13:39:00: [INFO] Add Net-(D45-A) net
13:39:00: [INFO] Add Net-(D46-A) net
13:39:00: [INFO] Add Net-(D47-A) net
13:39:00: [INFO] Add Net-(D48-A) net
13:39:00: [INFO] Add Net-(D49-A) net
13:39:00: [INFO] Add Net-(D5-A) net
13:39:00: [INFO] Add Net-(D50-A) net
13:39:00: [INFO] Add Net-(D51-A) net
13:39:00: [INFO] Add Net-(D52-A) net
13:39:00: [INFO] Add Net-(D53-A) net
13:39:00: [INFO] Add Net-(D54-A) net
13:39:00: [INFO] Add Net-(D55-A) net
13:39:00: [INFO] Add Net-(D56-A) net
13:39:00: [INFO] Add Net-(D57-A) net
13:39:00: [INFO] Add Net-(D58-A) net
13:39:00: [INFO] Add Net-(D59-A) net
13:39:00: [INFO] Add Net-(D6-A) net
13:39:00: [INFO] Add Net-(D60-A) net
13:39:00: [INFO] Add Net-(D61-A) net
13:39:00: [INFO] Add Net-(D62-A) net
13:39:00: [INFO] Add Net-(D7-A) net
13:39:00: [INFO] Add Net-(D8-A) net
13:39:00: [INFO] Add Net-(D9-A) net
13:39:00: [INFO] Add ROW0 net
13:39:00: [INFO] Add ROW1 net
13:39:00: [INFO] Add ROW2 net
