=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMId5w8BDN9uzAd1wEZVymar04NczLJKlkK1BJypoAzAuoAWVWhSaAbJoKaAHJoCcm3rVlpeIq73n1s41uzYKe8fikGLeSgDoAdkFB1JZwENCeSAjomIz4xCQUHnD8sRQAFrgIKfLRceCZ+WkUkCUAtJQx3nYBwQ3ColB8SNTxzq5uKa21Qtb1IYFy4AC6aABQYC3wyH3gvDTNqfwE84u2EU5MeFLSPosOmIsqFIsaZ1oKi3qXBpfGl2aXFtfWm2I7SUTuOTUHAyGoSWjiicGqGQ6Oz2khkx2sCCBw2szTBXgB9iRI0cCWY33u3FasQxg0aaHk4ymn3wXRYv2ixIouV4SI2zVxuxhcPAuURDSCbNBuAhhQ5tO5uXCEFSyEZmGZrJBWw5MJwPlyp3laAuWu0TLQty1BJ5aEeWueWte+psCmZR2pzHFPWia3VAzGk2mYLmPiUNCRkuWRPmfpZ-MCgYofr5Q0jWxW-yjygDSodnL29LgBF9aAIKal2xpXUz6RD1ko+YUoZjDTj0uDOb8lcpXr+hQAnsKBEmK+HmUGCo2Ux9wAm5eBo8OB2lu5g-aSgv2cc5VZmEDmUFPHDLE3Pc1vlZ1i86Z2WTAf6wyyxYL6OG0nMX2Udveo2FxGUaNRkA
13:39:21: [INFO] Add SW8 footprint
13:39:21: [INFO] Add D8 footprint
13:39:21: [INFO] Add SW9 footprint
13:39:21: [INFO] Add D9 footprint
13:39:21: [INFO] Add SW10 footprint
13:39:21: [INFO] Add D10 footprint
13:39:21: [INFO] Add SW11 footprint
13:39:21: [INFO] Add D11 footprint
13:39:21: [INFO] Add SW12 footprint
13:39:21: [INFO] Add D12 footprint
13:39:21: [INFO] Add SW13 footprint
13:39:21: [INFO] Add D13 footprint
13:39:21: [INFO] Add SW14 footprint
13:39:21: [INFO] Add D14 footprint
13:39:21: [INFO] Add SW14a footprint
13:39:21: [INFO] Add ST14a footprint
13:39:21: [INFO] Add SW15 footprint
13:39:21: [INFO] Add D15 footprint
13:39:21: [INFO] Add SW16 footprint
13:39:21: [INFO] Add D16 footprint
13:39:21: [INFO] Add SW17 footprint
13:39:21: [INFO] Add D17 footprint
13:39:21: [INFO] Add SW18 footprint
13:39:21: [INFO] Add D18 footprint
13:39:21: [INFO] Add SW19 footprint
13:39:21: [INFO] Add D19 footprint
13:39:21: [INFO] Add SW20 footprint
13:39:21: [INFO] Add D20 footprint
13:39:21: [INFO] Add SW21 footprint
13:39:21: [INFO] Add D21 footprint
13:39:21: [INFO] Add SW22 footprint
13:39:21: [INFO] Add D22 footprint
13:39:22: [INFO] Add SW23 footprint
13:39:22: [INFO] Add D23 footprint
13:39:22: [INFO] Add SW24 footprint
13:39:22: [INFO] Add D24 footprint
13:39:22: [INFO] Add SW25 footprint
13:39:22: [INFO] Add D25 footprint
13:39:22: [INFO] Add SW26 footprint
13:39:22: [INFO] Add D26 footprint
13:39:22: [INFO] Add SW27 footprint
13:39:22: [INFO] Add D27 footprint
13:39:22: [INFO] Add SW28 footprint
13:39:22: [INFO] Add D28 footprint
13:39:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:22: [INFO] Add ST28 footprint
13:39:22: [INFO] Add SW28a footprint
13:39:22: [INFO] Add SW29 footprint
13:39:22: [INFO] Add D29 footprint
13:39:22: [INFO] Add SW30 footprint
13:39:22: [INFO] Add D30 footprint
13:39:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:22: [INFO] Add ST30 footprint
13:39:22: [INFO] Add SW30a footprint
13:39:22: [INFO] Add SW31 footprint
13:39:22: [INFO] Add D31 footprint
13:39:22: [INFO] Add SW32 footprint
13:39:22: [INFO] Add D32 footprint
13:39:22: [INFO] Add SW33 footprint
13:39:22: [INFO] Add D33 footprint
13:39:22: [INFO] Add SW34 footprint
13:39:22: [INFO] Add D34 footprint
13:39:22: [INFO] Add SW35 footprint
13:39:22: [INFO] Add D35 footprint
13:39:22: [INFO] Add SW36 footprint
13:39:22: [INFO] Add D36 footprint
13:39:22: [INFO] Add SW37 footprint
13:39:22: [INFO] Add D37 footprint
13:39:22: [INFO] Add SW38 footprint
13:39:22: [INFO] Add D38 footprint
13:39:22: [INFO] Add SW39 footprint
13:39:22: [INFO] Add D39 footprint
13:39:22: [INFO] Add SW40 footprint
13:39:22: [INFO] Add D40 footprint
13:39:23: [INFO] Add SW41 footprint
13:39:23: [INFO] Add D41 footprint
13:39:23: [INFO] Add SW42 footprint
13:39:23: [INFO] Add D42 footprint
13:39:23: [INFO] Add SW43 footprint
13:39:23: [INFO] Add D43 footprint
13:39:23: [INFO] Add SW44 footprint
13:39:23: [INFO] Add D44 footprint
13:39:23: [INFO] Add SW44a footprint
13:39:23: [INFO] Add SW45 footprint
13:39:23: [INFO] Add D45 footprint
13:39:23: [INFO] Add SW45a footprint
13:39:23: [INFO] Add SW46 footprint
13:39:23: [INFO] Add D46 footprint
13:39:23: [INFO] Add SW46a footprint
13:39:23: [INFO] Add SW47 footprint
13:39:23: [INFO] Add D47 footprint
13:39:23: [INFO] Add ST47 footprint
13:39:23: [INFO] Add SW48 footprint
13:39:23: [INFO] Add D48 footprint
13:39:23: [INFO] Add ST48 footprint
13:39:23: [INFO] Add SW48a footprint
13:39:23: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:23: [INFO] Add ST48a footprint
13:39:23: [INFO] Add SW49 footprint
13:39:23: [INFO] Add D49 footprint
13:39:23: [INFO] Add SW50 footprint
13:39:23: [INFO] Add D50 footprint
13:39:23: [INFO] Add SW50a footprint
13:39:23: [INFO] Add SW51 footprint
13:39:23: [INFO] Add D51 footprint
13:39:23: [INFO] Add SW51a footprint
13:39:23: [INFO] Add SW52 footprint
