=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3AAw4IAsAOgHaWVELh4QDGs+AxAIadfi760bUqFWuAC6OAFBgoLAEwoMecAE8WBFLOxKiBenAjR46zb0LE9Z2XqYtwrRg8c9tOAMwWiJDzgzek3tG8ADm8ATm8EXRcEOmiraPcGcGZ4Oy5uJQB3OVN+QRocKP0ZIw0tfARiX3EpAzkFU0qiutLNLJYEBqVK2OKUtkcnRpx4ircLSq9unwmcf2nA6ZDp8OnI2ZiN0fAexOLs+E7yneJyIUpXQusSuGNFfH609PZnfFkq-IoSK6TDRHR7uADv82vgABZyLJWQ4KJRg6GIJSQBEAWjupnepE+l16LVuZThOSUOIE5y+5hq0j+8mO72aNzu7RhmAx5iSj3sg2YrO27z24HeUzeMyU73mwsWwuWwtWwvWouIvQFxFGNlSHGeFmB8hMCqxZMu9L+6OJHzJ3yNagBSg5XO5etc2IpkmkHOeLyZIOOOM+PWutq5r3Al1kvrZxWNBIetg16SDhuukdBQPquvwPrJTX9Mbt8fGpqFwZF6bmFkukqL0qLsqL8pLm1NCFVyRj7q19RZjcdZLpiatafA331gkUltagOBnU79e7gkxZdOn3nv37gIh8FkpiHpJHztqNxpW5+EdXnqOR4QnyQx8HIyvx4gk66+G+s6E1-pAcG7fgaCPQXvT9W01M9n1vGJAIsIdQzJD9rifY4hzfSg4JXccLx3IRRzEF08Vca18FUcdQMQ4h71xcAABMWAAFwAJwAVwAUyPGDBGvCiEKPZCKA47N1VzT0-yUb4ANg8M1TYNsSIvS9xIo6j4Ho5iLzY98JJTGFSIQHi+MpPCCJUU98AQpRFLgZSWJEsjxO2b41JQkZ4I6MDX3vZsvycIT-3c-ipJAkyXO0uT2Kc6ym18pJTPwczLIvXSnNEUQgA
13:32:22: [INFO] Add Net-(D9-A) net
13:32:22: [INFO] Add ROW0 net
13:32:22: [INFO] Add ROW1 net
13:32:22: [INFO] Add ROW2 net
13:32:22: [INFO] Add ROW3 net
13:32:22: [INFO] Add ROW4 net
13:32:22: [INFO] Add SW1 footprint
13:32:22: [INFO] Add D1 footprint
13:32:22: [INFO] Add SW2 footprint
13:32:22: [INFO] Add D2 footprint
13:32:22: [INFO] Add SW3 footprint
13:32:22: [INFO] Add D3 footprint
13:32:22: [INFO] Add SW4 footprint
13:32:22: [INFO] Add D4 footprint
13:32:22: [INFO] Add SW5 footprint
13:32:22: [INFO] Add D5 footprint
13:32:22: [INFO] Add SW6 footprint
13:32:22: [INFO] Add D6 footprint
13:32:22: [INFO] Add SW7 footprint
13:32:22: [INFO] Add D7 footprint
13:32:22: [INFO] Add SW8 footprint
13:32:22: [INFO] Add D8 footprint
13:32:22: [INFO] Add SW9 footprint
13:32:22: [INFO] Add D9 footprint
13:32:22: [INFO] Add SW10 footprint
13:32:23: [INFO] Add D10 footprint
13:32:23: [INFO] Add SW11 footprint
13:32:23: [INFO] Add D11 footprint
13:32:23: [INFO] Add SW12 footprint
13:32:23: [INFO] Add D12 footprint
13:32:23: [INFO] Add SW13 footprint
13:32:23: [INFO] Add D13 footprint
13:32:23: [INFO] Add SW14 footprint
13:32:23: [INFO] Add D14 footprint
13:32:23: [INFO] Add SW15 footprint
13:32:23: [INFO] Add D15 footprint
13:32:23: [INFO] Add SW16 footprint
13:32:23: [INFO] Add D16 footprint
13:32:23: [INFO] Add ST16 footprint
13:32:23: [INFO] Add SW16a footprint
13:32:23: [INFO] Add SW17 footprint
13:32:23: [INFO] Add D17 footprint
13:32:23: [INFO] Add SW18 footprint
13:32:23: [INFO] Add D18 footprint
13:32:23: [INFO] Add SW19 footprint
13:32:23: [INFO] Add D19 footprint
