=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOAOgFZV0A2bcAXRQCgwpY4AmNcAT1YFoNihAOwVMKNrjj5WARlFYALJOnxKZUdSV4W8GcQwbxdRswJxSnHvH6DC8lKWU64C9Z2qP6TCFbg3hnADGrOAAxEIRkeD2GE7B8GGBScnRnFgyTmYybG5UKBna8ejhkRGpebFepqzU6L7+hEEhockp9pSZrDnk7igdVSqIlnwCPegyNNpmJGPgQjQDzhx1I4IinBMSU7KiE1pSzmqz8-uDegac8xKLZhYr1gKEdhsOnfCux6+L9Y-z6EVhACGwJB5XAE1ihWarSSYImBQOWW6onmCLmKEqJkGtW4qyeuz6b3YuXR-SxzgQwweJI4OG2RBJjRwNy6VL8v1EHC2iJ2nA4p0OjJQAqy+lEjWu5NubIanNe9JcQs85J+ayaCVCINBcshBwBLRhYI4CLOyM4jRN4H1pTK4oxxm8hxlj0a-2hhrlHQVZvQjTJjrMlPu7JJlLpPIZswAnAspazg-51uhKdyzqJKSKaiSY5ndGLODHJQHWHdcdT8ZxKY4FR9RDHlY7VQE3RqtcCwZTdRB9TDgun8kTstmBwX7SzVM7bP2vRHidHCd9Vtl1cU24CwQp7ZxN5bRWxZpvw933a0N8KiWoLuNFHFmmu4Vgj849PvdulJOCsJji-AcjIg2WIbNlaJ5tNuRgKjIAivhsWBFtUeb-qIFhohY3LgBYT7TMQMHjBM4bgpsH4yPCDrMAATl03ScORtzEJQpbkb4CDEEIpZmNBm7BgIDGiJuDYUawCjsbIrFcYBvB6JQfELuSlHWMJNFZBM6BmLwOTAb4AgYHIsGyY68l+Gw1GqXwegIH8EkCAg0l6Z4tBAA
13:31:46: [INFO] Placing additional elements for SW38
13:31:46: [INFO] Placing additional elements for SW37
13:31:46: [INFO] Placing additional elements for SW36
13:31:46: [INFO] Placing additional elements for SW35
13:31:46: [INFO] Placing additional elements for SW34
13:31:46: [INFO] Placing additional elements for SW33
13:31:46: [INFO] Placing additional elements for SW32
13:31:46: [INFO] Placing additional elements for SW31
13:31:46: [INFO] Placing additional elements for SW30
13:31:46: [INFO] Placing additional elements for SW29
13:31:46: [INFO] Placing additional elements for SW28
13:31:46: [INFO] Placing additional elements for SW27
13:31:46: [INFO] Placing additional elements for SW26
13:31:46: [INFO] Placing additional elements for SW25
13:31:46: [INFO] Placing additional elements for SW24
13:31:46: [INFO] Placing additional elements for SW23
13:31:46: [INFO] Placing additional elements for SW22
13:31:46: [INFO] Placing additional elements for SW21
13:31:46: [INFO] Placing additional elements for SW20
13:31:46: [INFO] Placing additional elements for SW19
13:31:46: [INFO] Placing additional elements for SW18
13:31:46: [INFO] Placing additional elements for SW17
13:31:46: [INFO] Placing additional elements for SW16
13:31:46: [INFO] Placing additional elements for SW15
13:31:46: [INFO] Placing additional elements for SW14
13:31:46: [INFO] Placing additional elements for SW13
13:31:46: [INFO] Placing additional elements for SW12
13:31:46: [INFO] Placing additional elements for SW11
13:31:46: [INFO] Placing additional elements for SW10
13:31:46: [INFO] Placing additional elements for SW9
13:31:46: [INFO] Placing additional elements for SW8
13:31:46: [INFO] Placing additional elements for SW7
13:31:46: [INFO] Placing additional elements for SW6
13:31:46: [INFO] Placing additional elements for SW5
13:31:46: [INFO] Placing additional elements for SW4
13:31:46: [INFO] Placing additional elements for SW3
13:31:46: [INFO] Placing additional elements for SW2
13:31:46: [INFO] Placing additional elements for SW1
13:31:46: [INFO] Routing SW76 with D76
13:31:46: [INFO] Using internal autorouter method
13:31:46: [INFO] Routing pad 'SW76:2' at (276479000, 137985500) with pad 'D76:2' at (279019000, 145665500) using coordinate system rotated by 0 degree(s)
13:31:46: [INFO] Adding track segment (B.Cu): [(276479000, 137985500), (276479000, 143125500)]
13:31:46: [INFO] Adding track segment (B.Cu): [(276479000, 143125500), (279019000, 145665500)]
13:31:46: [INFO] Routing SW75 with D75
13:31:46: [INFO] Using internal autorouter method
13:31:46: [INFO] Routing pad 'SW75:2' at (295529000, 137985500) with pad 'D75:2' at (298069000, 145665500) using coordinate system rotated by 0 degree(s)
13:31:46: [INFO] Adding track segment (B.Cu): [(295529000, 137985500), (295529000, 143125500)]
13:31:46: [INFO] Adding track segment (B.Cu): [(295529000, 143125500), (298069000, 145665500)]
13:31:46: [INFO] Routing SW74 with D74
13:31:46: [INFO] Using internal autorouter method
13:31:46: [INFO] Routing pad 'SW74:2' at (314579000, 137985500) with pad 'D74:2' at (317119000, 145665500) using coordinate system rotated by 0 degree(s)
13:31:46: [INFO] Adding track segment (B.Cu): [(314579000, 137985500), (314579000, 143125500)]
13:31:46: [INFO] Adding track segment (B.Cu): [(314579000, 143125500), (317119000, 145665500)]
13:31:46: [INFO] Routing SW73 with D73
13:31:46: [INFO] Using internal autorouter method
13:31:46: [INFO] Routing pad 'SW73:2' at (211274034, 133419052) with pad 'D73:2' at (218500665, 137053582) using coordinate system rotated by 315.0 degree(s)
13:31:46: [INFO] Adding track segment (B.Cu): [(211274034, 133419052), (214908563, 137053582)]
13:31:46: [INFO] Adding track segment (B.Cu): [(214908563, 137053582), (218500665, 137053582)]
13:31:46: [INFO] Routing SW72 with D72
13:31:46: [INFO] Using internal autorouter method
13:31:46: [INFO] Routing pad 'SW72:2' at (231599342, 120929471) with pad 'D72:2' at (236885004, 127052850) using coordinate system rotated by 337.5 degree(s)
13:31:46: [INFO] Adding track segment (B.Cu): [(231599342, 120929471), (233566334, 125678211)]
13:31:46: [INFO] Adding track segment (B.Cu): [(233566334, 125678211), (236885004, 127052850)]
13:31:47: [INFO] Routing SW71 with D71
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW71:2' at (254952500, 116459000) with pad 'D71:2' at (257492500, 124139000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(254952500, 116459000), (254952500, 121599000)]
13:31:47: [INFO] Adding track segment (B.Cu): [(254952500, 121599000), (257492500, 124139000)]
13:31:47: [INFO] Routing SW70 with D70
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW70:2' at (274002500, 116459000) with pad 'D70:2' at (276542500, 124139000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(274002500, 116459000), (274002500, 121599000)]
