=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwF8A0dwAYUPGzKBmXOCaeANgDoEBWVdG7Y8RogXRQCgwpY4BGPAE8+AWgyUAnPXz9ipPsjxYALMyw15veAmp08jDM0Zy0CnZQwzGajtwgj44ygA596LEbPaBu2tZRNOx4yRGExCX88QRxowi1Qqij0ciY8VPYuEL5BdEc4Z2k40xIfJXRBNTjNb1C-d3BUrxSUEvNESxlU2yyHCNcGwWb2-nquwPBg9oRwp0iGmdj0GaJaviSGgHY09G3M+x9c8HzCmRm2srOUKuWJtYtk8G3mp9bJ3uP+tyvhw7G8bZBD51WYFeYyAg7cCQ1alRJ6GQuKFI-Y8ABO+RUejwoVG2LyYl0-C213eBzRfAIWHQaPhjBp+XmOJyllBBEom3p4AAxnxwABiTZC4XMAAWLIakKBBxOEi54vg-EoktJU3AFPgnLwGMpzIsWoJirwvPgAoAhhbLeAZCo7uhbajphyGrabuBbTg1RqCgb1bjIQy+DR8T5RLbDQUsZyZJIobGjGrQmGY-E8LG5F6xFTtYy9QUqL78kraMa+YLhUKxRLESgE8CxMHC-15dW8EiM2wgA
13:40:16: [INFO] Add Net-(D50-A) net
13:40:16: [INFO] Add Net-(D51-A) net
13:40:16: [INFO] Add Net-(D52-A) net
13:40:16: [INFO] Add Net-(D6-A) net
13:40:16: [INFO] Add Net-(D7-A) net
13:40:16: [INFO] Add Net-(D8-A) net
13:40:16: [INFO] Add Net-(D9-A) net
13:40:16: [INFO] Add ROW0 net
13:40:16: [INFO] Add ROW1 net
13:40:16: [INFO] Add ROW2 net
13:40:16: [INFO] Add ROW3 net
13:40:16: [INFO] Add ROW4 net
13:40:16: [INFO] Add ROW5 net
13:40:16: [INFO] Add ROW6 net
13:40:16: [INFO] Add ROW7 net
13:40:16: [INFO] Add ROW8 net
13:40:16: [INFO] Add ROW9 net
13:40:16: [INFO] Add SW1 footprint
13:40:16: [INFO] Add D1 footprint
13:40:16: [INFO] Add SW2 footprint
13:40:16: [INFO] Add D2 footprint
13:40:16: [INFO] Add SW3 footprint
13:40:16: [INFO] Add D3 footprint
13:40:16: [INFO] Add SW4 footprint
13:40:16: [INFO] Add D4 footprint
13:40:16: [INFO] Add SW5 footprint
13:40:16: [INFO] Add D5 footprint
13:40:16: [INFO] Add SW6 footprint
13:40:16: [INFO] Add D6 footprint
13:40:16: [INFO] Add SW7 footprint
13:40:16: [INFO] Add D7 footprint
13:40:16: [INFO] Add SW8 footprint
13:40:16: [INFO] Add D8 footprint
13:40:16: [INFO] Add SW9 footprint
13:40:17: [INFO] Add D9 footprint
13:40:17: [INFO] Add SW10 footprint
13:40:17: [INFO] Add D10 footprint
13:40:17: [INFO] Add SW11 footprint
13:40:17: [INFO] Add D11 footprint
13:40:17: [INFO] Add SW12 footprint
13:40:17: [INFO] Add D12 footprint
13:40:17: [INFO] Add SW13 footprint
13:40:17: [INFO] Add D13 footprint
13:40:17: [INFO] Add SW14 footprint
13:40:17: [INFO] Add D14 footprint
13:40:17: [INFO] Add SW15 footprint
13:40:17: [INFO] Add D15 footprint
13:40:17: [INFO] Add SW16 footprint
13:40:17: [INFO] Add D16 footprint
13:40:17: [INFO] Add SW17 footprint
13:40:17: [INFO] Add D17 footprint
13:40:17: [INFO] Add SW18 footprint
13:40:17: [INFO] Add D18 footprint
13:40:17: [INFO] Add SW19 footprint
13:40:17: [INFO] Add D19 footprint
13:40:17: [INFO] Add SW20 footprint
13:40:17: [INFO] Add D20 footprint
13:40:17: [INFO] Add SW21 footprint
13:40:17: [INFO] Add D21 footprint
13:40:17: [INFO] Add SW22 footprint
13:40:17: [INFO] Add D22 footprint
13:40:17: [INFO] Add SW23 footprint
13:40:17: [INFO] Add D23 footprint
13:40:17: [INFO] Add SW24 footprint
13:40:17: [INFO] Add D24 footprint
13:40:17: [INFO] Add SW25 footprint
13:40:17: [INFO] Add D25 footprint
13:40:17: [INFO] Add SW26 footprint
13:40:18: [INFO] Add D26 footprint
13:40:18: [INFO] Add SW27 footprint
13:40:18: [INFO] Add D27 footprint
13:40:18: [INFO] Add SW28 footprint
13:40:18: [INFO] Add D28 footprint
13:40:18: [INFO] Add SW29 footprint
13:40:18: [INFO] Add D29 footprint
13:40:18: [INFO] Add SW30 footprint
13:40:18: [INFO] Add D30 footprint
13:40:18: [INFO] Add SW31 footprint
13:40:18: [INFO] Add D31 footprint
13:40:18: [INFO] Add SW32 footprint
13:40:18: [INFO] Add D32 footprint
13:40:18: [INFO] Add SW33 footprint
13:40:18: [INFO] Add D33 footprint
13:40:18: [INFO] Add SW34 footprint
13:40:18: [INFO] Add D34 footprint
13:40:18: [INFO] Add SW35 footprint
13:40:18: [INFO] Add D35 footprint
13:40:18: [INFO] Add SW36 footprint
13:40:18: [INFO] Add D36 footprint
13:40:18: [INFO] Add SW37 footprint
13:40:18: [INFO] Add D37 footprint
13:40:18: [INFO] Add SW38 footprint
13:40:18: [INFO] Add D38 footprint
13:40:18: [INFO] Add SW39 footprint
13:40:18: [INFO] Add D39 footprint
13:40:18: [INFO] Add SW40 footprint
13:40:18: [INFO] Add D40 footprint
13:40:18: [INFO] Add SW41 footprint
13:40:18: [INFO] Add D41 footprint
13:40:18: [INFO] Add SW42 footprint
13:40:18: [INFO] Add D42 footprint
13:40:18: [INFO] Add SW43 footprint
13:40:19: [INFO] Add D43 footprint
13:40:19: [INFO] Add SW44 footprint
13:40:19: [INFO] Add D44 footprint
13:40:19: [INFO] Add SW45 footprint
13:40:19: [INFO] Add D45 footprint
13:40:19: [INFO] Add SW46 footprint
13:40:19: [INFO] Add D46 footprint
13:40:19: [INFO] Add SW47 footprint
13:40:19: [INFO] Add D47 footprint
13:40:19: [INFO] Add SW48 footprint
13:40:19: [INFO] Add D48 footprint
13:40:19: [INFO] Add SW49 footprint
13:40:19: [INFO] Add D49 footprint
13:40:19: [INFO] Add SW50 footprint
13:40:19: [INFO] Add D50 footprint
13:40:19: [INFO] Add SW51 footprint
13:40:19: [INFO] Add D51 footprint
13:40:19: [INFO] Add SW52 footprint
13:40:19: [INFO] Add D52 footprint
13:40:19: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:19: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:19: [INFO] Layout offset: (28575000, 28575000)
13:40:19: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:19: [INFO] Placing additional elements for SW52
13:40:19: [INFO] Placing additional elements for SW51
13:40:19: [INFO] Placing additional elements for SW50
13:40:19: [INFO] Placing additional elements for SW49
13:40:19: [INFO] Placing additional elements for SW48
13:40:19: [INFO] Placing additional elements for SW47
13:40:19: [INFO] Placing additional elements for SW46
13:40:19: [INFO] Placing additional elements for SW45
13:40:19: [INFO] Placing additional elements for SW44
13:40:19: [INFO] Placing additional elements for SW43
13:40:19: [INFO] Placing additional elements for SW42
13:40:19: [INFO] Placing additional elements for SW41
13:40:19: [INFO] Placing additional elements for SW40
13:40:19: [INFO] Placing additional elements for SW39
13:40:19: [INFO] Placing additional elements for SW38
13:40:19: [INFO] Placing additional elements for SW37
13:40:19: [INFO] Placing additional elements for SW36
13:40:19: [INFO] Placing additional elements for SW35
13:40:19: [INFO] Placing additional elements for SW34
13:40:19: [INFO] Placing additional elements for SW33
13:40:19: [INFO] Placing additional elements for SW32
13:40:19: [INFO] Placing additional elements for SW31
13:40:19: [INFO] Placing additional elements for SW30
13:40:19: [INFO] Placing additional elements for SW29
13:40:19: [INFO] Placing additional elements for SW28
13:40:19: [INFO] Placing additional elements for SW27
13:40:19: [INFO] Placing additional elements for SW26
13:40:19: [INFO] Placing additional elements for SW25
13:40:19: [INFO] Placing additional elements for SW24
13:40:19: [INFO] Placing additional elements for SW23
13:40:19: [INFO] Placing additional elements for SW22
13:40:19: [INFO] Placing additional elements for SW21
13:40:19: [INFO] Placing additional elements for SW20
13:40:19: [INFO] Placing additional elements for SW19
13:40:19: [INFO] Placing additional elements for SW18
13:40:19: [INFO] Placing additional elements for SW17
13:40:19: [INFO] Placing additional elements for SW16
13:40:19: [INFO] Placing additional elements for SW15
13:40:19: [INFO] Placing additional elements for SW14
13:40:19: [INFO] Placing additional elements for SW13
13:40:19: [INFO] Placing additional elements for SW12
13:40:19: [INFO] Placing additional elements for SW11
13:40:19: [INFO] Placing additional elements for SW10
13:40:19: [INFO] Placing additional elements for SW9
13:40:19: [INFO] Placing additional elements for SW8
13:40:19: [INFO] Placing additional elements for SW7
13:40:19: [INFO] Placing additional elements for SW6
13:40:19: [INFO] Placing additional elements for SW5
13:40:19: [INFO] Placing additional elements for SW4
13:40:19: [INFO] Placing additional elements for SW3
13:40:19: [INFO] Placing additional elements for SW2
13:40:19: [INFO] Placing additional elements for SW1
13:40:19: [INFO] Routing SW52 with D52
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW52:2' at (194915854, 173198218) with pad 'D52:2' at (202991565, 172732496) using coordinate system rotated by 285.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(194915854, 173198218), (199880711, 174528546)]
13:40:19: [INFO] Adding track segment (B.Cu): [(199880711, 174528546), (202991565, 172732496)]
13:40:19: [INFO] Routing SW51 with D51
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW51:2' at (176514967, 168267716) with pad 'D51:2' at (184590678, 167801994) using coordinate system rotated by 285.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(176514967, 168267716), (181479824, 169598045)]
13:40:19: [INFO] Adding track segment (B.Cu): [(181479824, 169598045), (184590678, 167801994)]
13:40:19: [INFO] Routing SW50 with D50
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW50:2' at (199846357, 154797331) with pad 'D50:2' at (207922068, 154331609) using coordinate system rotated by 285.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(199846357, 154797331), (204811215, 156127660)]
13:40:19: [INFO] Adding track segment (B.Cu): [(204811215, 156127660), (207922068, 154331609)]
13:40:19: [INFO] Routing SW49 with D49
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW49:2' at (181445470, 149866829) with pad 'D49:2' at (189521181, 149401107) using coordinate system rotated by 285.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(181445470, 149866829), (186410327, 151197158)]
13:40:19: [INFO] Adding track segment (B.Cu): [(186410327, 151197158), (189521181, 149401107)]
13:40:19: [INFO] Routing SW48 with D48
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW48:2' at (254952500, 90170000) with pad 'D48:2' at (257492500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 90170000), (254952500, 95310000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 95310000), (257492500, 97850000)]
13:40:19: [INFO] Routing SW47 with D47
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW47:2' at (235902500, 90170000) with pad 'D47:2' at (238442500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 90170000), (235902500, 95310000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 95310000), (238442500, 97850000)]
13:40:19: [INFO] Routing SW46 with D46
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW46:2' at (213083839, 114156301) with pad 'D46:2' at (219123543, 119537375) using coordinate system rotated by 330.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(213083839, 114156301), (215653837, 118607669)]
13:40:19: [INFO] Adding track segment (B.Cu): [(215653837, 118607669), (219123543, 119537375)]
13:40:19: [INFO] Routing SW45 with D45
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW45:2' at (191823555, 115432409) with pad 'D45:2' at (197863259, 120813483) using coordinate system rotated by 330.0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(191823555, 115432409), (194393553, 119883777)]
13:40:19: [INFO] Adding track segment (B.Cu): [(194393553, 119883777), (197863259, 120813483)]
13:40:19: [INFO] Routing SW44 with D44
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW44:2' at (293052500, 75882500) with pad 'D44:2' at (295592500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 75882500), (293052500, 81022500)]
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 81022500), (295592500, 83562500)]
13:40:19: [INFO] Routing SW43 with D43
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW43:2' at (274002500, 73025000) with pad 'D43:2' at (276542500, 80705000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 73025000), (274002500, 78165000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 78165000), (276542500, 80705000)]
13:40:19: [INFO] Routing SW42 with D42
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW42:2' at (254952500, 71120000) with pad 'D42:2' at (257492500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 71120000), (254952500, 76260000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 76260000), (257492500, 78800000)]
13:40:19: [INFO] Routing SW41 with D41
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW41:2' at (235902500, 71120000) with pad 'D41:2' at (238442500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 71120000), (235902500, 76260000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 76260000), (238442500, 78800000)]
13:40:19: [INFO] Routing SW40 with D40
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW40:2' at (216852500, 73025000) with pad 'D40:2' at (219392500, 80705000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(216852500, 73025000), (216852500, 78165000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(216852500, 78165000), (219392500, 80705000)]
13:40:19: [INFO] Routing SW39 with D39
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW39:2' at (197802500, 73025000) with pad 'D39:2' at (200342500, 80705000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(197802500, 73025000), (197802500, 78165000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(197802500, 78165000), (200342500, 80705000)]
13:40:19: [INFO] Routing SW38 with D38
13:40:19: [INFO] Using internal autorouter method
