=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:36:00: [INFO] Add SW17 footprint
13:36:00: [INFO] Add D17 footprint
13:36:00: [INFO] Add SW18 footprint
13:36:00: [INFO] Add D18 footprint
13:36:00: [INFO] Add SW19 footprint
13:36:00: [INFO] Add D19 footprint
13:36:00: [INFO] Add SW20 footprint
13:36:00: [INFO] Add D20 footprint
13:36:00: [INFO] Add SW21 footprint
13:36:00: [INFO] Add D21 footprint
13:36:00: [INFO] Add SW22 footprint
13:36:00: [INFO] Add D22 footprint
13:36:00: [INFO] Add SW23 footprint
13:36:00: [INFO] Add D23 footprint
13:36:00: [INFO] Add SW24 footprint
13:36:00: [INFO] Add D24 footprint
13:36:00: [INFO] Add SW25 footprint
13:36:00: [INFO] Add D25 footprint
13:36:00: [INFO] Add SW25a footprint
13:36:00: [INFO] Add ST25a footprint
13:36:00: [INFO] Add SW26 footprint
13:36:00: [INFO] Add D26 footprint
13:36:00: [INFO] Add SW26a footprint
13:36:00: [INFO] Add ST26a footprint
13:36:00: [INFO] Add SW27 footprint
13:36:00: [INFO] Add D27 footprint
13:36:00: [INFO] Add SW28 footprint
13:36:00: [INFO] Add D28 footprint
13:36:00: [INFO] Add SW29 footprint
13:36:00: [INFO] Add D29 footprint
13:36:00: [INFO] Add SW30 footprint
13:36:00: [INFO] Add D30 footprint
13:36:00: [INFO] Add SW31 footprint
13:36:00: [INFO] Add D31 footprint
13:36:00: [INFO] Add SW32 footprint
13:36:00: [INFO] Add D32 footprint
13:36:00: [INFO] Add SW33 footprint
13:36:00: [INFO] Add D33 footprint
13:36:01: [INFO] Add SW34 footprint
13:36:01: [INFO] Add D34 footprint
13:36:01: [INFO] Add SW35 footprint
13:36:01: [INFO] Add D35 footprint
