=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3AAw4IDMAOgHaWVELh6HEAs1VFt4AujgFBhSw4aFEgwMAnoIIox+AMaDwAYgCGa9eFz5aGenAjR402eAXxlSS1c0MiBPRDP4lc125vbiexmm9ESfjhMgbq2OABsgUiBAByBAJyBCPZhCHSpvniOiqrqat4A7oJoWowILGw0OCn4TMxcvPyGQiLYDAjEofoCRjIMRfAIMqUdNdnmLm6uHuAd6fgdmQs4Ae1B3h1dsxEbONFrcWuJa8m7aWdLEAOIwwxoxGislKMOpjl5+SP1WT03Jk4WKyWQqCIaYBgAC2K-V8gz6+AhsMQDEgSIAtNJMF9SE8KHMGnwDMVWgwAbk8jN7ggukTeiZrkNRKV7mM3hMptNmV47jgluB7qt8PdgjytvdIjz9kKcIdpcdpaceecfmSgcD+sSsSdyJU8dVXmSPipKd9us1jKSchyFFyEI9dfjuIS2c4jSC4Vr8CRqriqQarRyZt6EL7uWapPCXco3aVgzTfhb8NdhJ7wN6CKHWWTrUHed5vYK0+sGN6tt6JV69vmZdX5UXFZXld1DR93TcmSWHtXSN3gk6msSO7VOq9zZGGeg2sOM7r068J6m6iHZ-qfgup+A6vbWHOVQGpm3wpPSnVwrjd833q2TzLz6vh-E7zVN8QZzv7y+m5++UuAv3aXATCThIEaiBqHobnUb5sMG86gseDBLne8xXPBi68sh-rsoG4FwEe6FniuKFRuSGi4WCkG3kRcEQTej7Uf+vxAeCSZoZR0GUN6lzgOuN7Lu+3G8YhGErtx2Y4ax8D4ZRhECVhrqtuRtzDjEd6CfBlH0XJjHNMx9IaTeHEUAWNF-Hxd6CuMzg5rhSA3rJMErPJ0aKZJZnCapK6WTxBnCVpjl-o0AF6Up7F3iK3QTpR-GORFVnKDZbl2cJDmccWl4TDGHnhaZQyaTlnCcEAA
13:36:19: [INFO] Add Net-(D8-A) net
13:36:19: [INFO] Add Net-(D9-A) net
13:36:19: [INFO] Add ROW0 net
13:36:19: [INFO] Add ROW1 net
13:36:19: [INFO] Add ROW2 net
13:36:19: [INFO] Add ROW3 net
13:36:19: [INFO] Add ROW4 net
13:36:20: [INFO] Add SW1 footprint
13:36:20: [INFO] Add D1 footprint
13:36:20: [INFO] Add SW2 footprint
13:36:20: [INFO] Add D2 footprint
13:36:20: [INFO] Add SW3 footprint
13:36:20: [INFO] Add D3 footprint
13:36:20: [INFO] Add SW4 footprint
13:36:20: [INFO] Add D4 footprint
13:36:20: [INFO] Add SW5 footprint
13:36:20: [INFO] Add D5 footprint
13:36:20: [INFO] Add SW6 footprint
13:36:20: [INFO] Add D6 footprint
13:36:20: [INFO] Add SW7 footprint
13:36:20: [INFO] Add D7 footprint
13:36:20: [INFO] Add SW8 footprint
13:36:20: [INFO] Add D8 footprint
13:36:20: [INFO] Add SW9 footprint
13:36:20: [INFO] Add D9 footprint
13:36:20: [INFO] Add SW10 footprint
13:36:20: [INFO] Add D10 footprint
13:36:20: [INFO] Add SW11 footprint
13:36:20: [INFO] Add D11 footprint
13:36:20: [INFO] Add SW12 footprint
13:36:20: [INFO] Add D12 footprint
13:36:20: [INFO] Add SW13 footprint
13:36:20: [INFO] Add D13 footprint
13:36:20: [INFO] Add SW14 footprint
13:36:20: [INFO] Add D14 footprint
13:36:20: [INFO] Add SW15 footprint
13:36:20: [INFO] Add D15 footprint
13:36:20: [INFO] Add ST15 footprint
13:36:20: [INFO] Add SW15a footprint
13:36:20: [INFO] Add SW16 footprint
13:36:20: [INFO] Add D16 footprint
13:36:20: [INFO] Add SW17 footprint
13:36:20: [INFO] Add D17 footprint
13:36:20: [INFO] Add SW18 footprint
13:36:21: [INFO] Add D18 footprint
13:36:21: [INFO] Add SW19 footprint
13:36:21: [INFO] Add D19 footprint
13:36:21: [INFO] Add SW20 footprint
13:36:21: [INFO] Add D20 footprint
13:36:21: [INFO] Add SW21 footprint
13:36:21: [INFO] Add D21 footprint
13:36:21: [INFO] Add SW22 footprint
13:36:21: [INFO] Add D22 footprint
13:36:21: [INFO] Add SW23 footprint
13:36:21: [INFO] Add D23 footprint
13:36:21: [INFO] Add SW24 footprint
13:36:21: [INFO] Add D24 footprint
13:36:21: [INFO] Add SW25 footprint
13:36:21: [INFO] Add D25 footprint
13:36:21: [INFO] Add SW26 footprint
13:36:21: [INFO] Add D26 footprint
13:36:21: [INFO] Add SW27 footprint
13:36:21: [INFO] Add D27 footprint
13:36:21: [INFO] Add SW28 footprint
13:36:21: [INFO] Add D28 footprint
13:36:21: [INFO] Add SW29 footprint
13:36:21: [INFO] Add D29 footprint
13:36:21: [INFO] Add SW30 footprint
13:36:21: [INFO] Add D30 footprint
13:36:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:21: [INFO] Add ST30 footprint
13:36:21: [INFO] Add SW30a footprint
13:36:21: [INFO] Add ST30a footprint
13:36:21: [INFO] Add SW31 footprint
13:36:21: [INFO] Add D31 footprint
13:36:21: [INFO] Add SW32 footprint
13:36:21: [INFO] Add D32 footprint
13:36:21: [INFO] Add SW33 footprint
13:36:21: [INFO] Add D33 footprint
13:36:21: [INFO] Add SW34 footprint
13:36:22: [INFO] Add D34 footprint
13:36:22: [INFO] Add SW35 footprint
13:36:22: [INFO] Add D35 footprint
13:36:22: [INFO] Add SW36 footprint
13:36:22: [INFO] Add D36 footprint
13:36:22: [INFO] Add SW37 footprint
13:36:22: [INFO] Add D37 footprint
13:36:22: [INFO] Add SW38 footprint
13:36:22: [INFO] Add D38 footprint
13:36:22: [INFO] Add SW39 footprint
13:36:22: [INFO] Add D39 footprint
13:36:22: [INFO] Add SW40 footprint
13:36:22: [INFO] Add D40 footprint
13:36:22: [INFO] Add SW41 footprint
13:36:22: [INFO] Add D41 footprint
13:36:22: [INFO] Add SW42 footprint
13:36:22: [INFO] Add D42 footprint
13:36:22: [INFO] Add SW43 footprint
13:36:22: [INFO] Add D43 footprint
13:36:22: [INFO] Add SW44 footprint
13:36:22: [INFO] Add D44 footprint
13:36:22: [INFO] Add SW45 footprint
13:36:22: [INFO] Add D45 footprint
13:36:22: [INFO] Add SW45a footprint
13:36:22: [INFO] Add SW46 footprint
13:36:22: [INFO] Add D46 footprint
13:36:22: [INFO] Add SW47 footprint
13:36:22: [INFO] Add D47 footprint
13:36:22: [INFO] Add SW48 footprint
13:36:22: [INFO] Add D48 footprint
13:36:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:22: [INFO] Add ST48 footprint
13:36:22: [INFO] Add SW48a footprint
13:36:22: [INFO] Add SW49 footprint
13:36:23: [INFO] Add D49 footprint
13:36:23: [INFO] Add SW50 footprint
13:36:23: [INFO] Add D50 footprint
13:36:23: [INFO] Add SW51 footprint
13:36:23: [INFO] Add D51 footprint
13:36:23: [INFO] Add SW52 footprint
13:36:23: [INFO] Add D52 footprint
13:36:23: [INFO] Add SW53 footprint
13:36:23: [INFO] Add D53 footprint
13:36:23: [INFO] Add SW54 footprint
13:36:23: [INFO] Add D54 footprint
13:36:23: [INFO] Add SW55 footprint
13:36:23: [INFO] Add D55 footprint
13:36:23: [INFO] Add SW56 footprint
13:36:23: [INFO] Add D56 footprint
13:36:23: [INFO] Add SW57 footprint
13:36:23: [INFO] Add D57 footprint
13:36:23: [INFO] Add SW58 footprint
13:36:23: [INFO] Add D58 footprint
13:36:23: [INFO] Add SW59 footprint
13:36:23: [INFO] Add D59 footprint
13:36:23: [INFO] Add SW60 footprint
13:36:23: [INFO] Add D60 footprint
13:36:23: [INFO] Add SW61 footprint
13:36:23: [INFO] Add D61 footprint
13:36:23: [INFO] Add SW62 footprint
13:36:23: [INFO] Add D62 footprint
13:36:23: [INFO] Add SW63 footprint
13:36:23: [INFO] Add D63 footprint
13:36:23: [INFO] Add SW64 footprint
13:36:24: [INFO] Add D64 footprint
13:36:24: [INFO] Add SW64a footprint
13:36:24: [INFO] Add SW65 footprint
13:36:24: [INFO] Add D65 footprint
13:36:24: [INFO] Add SW65a footprint
13:36:24: [INFO] Add SW66 footprint
13:36:24: [INFO] Add D66 footprint
13:36:24: [INFO] Add SW67 footprint
13:36:24: [INFO] Add D67 footprint
13:36:24: [INFO] Add ST67 footprint
13:36:24: [INFO] Add SW67a footprint
13:36:24: [INFO] Add ST67a footprint
13:36:24: [INFO] Add SW68 footprint
13:36:24: [INFO] Add D68 footprint
13:36:24: [INFO] Add SW68a footprint
13:36:24: [INFO] Add SW68b footprint
13:36:24: [INFO] Add SW69 footprint
13:36:24: [INFO] Add D69 footprint
13:36:24: [INFO] Add SW69a footprint
13:36:24: [INFO] Add SW69b footprint
13:36:24: [INFO] Add SW69c footprint
13:36:24: [INFO] Add SW70 footprint
13:36:24: [INFO] Add D70 footprint
13:36:24: [INFO] Add SW71 footprint
13:36:24: [INFO] Add D71 footprint
13:36:24: [INFO] Add SW72 footprint
13:36:24: [INFO] Add D72 footprint
13:36:24: [INFO] Add SW73 footprint
13:36:24: [INFO] Add D73 footprint
13:36:24: [INFO] Add SW74 footprint
13:36:24: [INFO] Add D74 footprint
13:36:24: [INFO] Add SW75 footprint
13:36:24: [INFO] Add D75 footprint
13:36:24: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:24: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:24: [INFO] Layout offset: (33337500, 38100000)
13:36:24: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:25: [INFO] Placing additional elements for SW75
13:36:25: [INFO] Placing additional elements for SW74
13:36:25: [INFO] Placing additional elements for SW73
13:36:25: [INFO] Placing additional elements for SW72
13:36:25: [INFO] Placing additional elements for SW71
13:36:25: [INFO] Placing additional elements for SW70
13:36:25: [INFO] Placing additional elements for SW69c
13:36:25: [INFO] Placing additional elements for SW69b
13:36:25: [INFO] Placing additional elements for SW69a
13:36:25: [INFO] Placing additional elements for SW69
13:36:25: [INFO] Placing additional elements for SW68b
13:36:25: [INFO] Placing additional elements for SW68a
13:36:25: [INFO] Placing additional elements for SW68
13:36:25: [INFO] Placing additional elements for SW67a
13:36:25: [INFO] Placing additional elements for SW67
13:36:25: [INFO] Placing additional elements for SW66
13:36:25: [INFO] Placing additional elements for SW65a
13:36:25: [INFO] Placing additional elements for SW65
13:36:25: [INFO] Placing additional elements for SW64a
13:36:25: [INFO] Placing additional elements for SW64
13:36:25: [INFO] Placing additional elements for SW63
13:36:25: [INFO] Placing additional elements for SW62
13:36:25: [INFO] Placing additional elements for SW61
13:36:25: [INFO] Placing additional elements for SW60
13:36:25: [INFO] Placing additional elements for SW59
13:36:25: [INFO] Placing additional elements for SW58
