=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgDZDV0BWbcAXRQCgwpY4AmNcATzYFoMxABwUuWdrjj42ARkqYUAFknT4VMqOpKVreDOIZ5NCQ2aq4NdL3gDhQ+Vio6CiDUZRPTLF6S7W4tgCcDiikzrJuXDRhXhD+QYRcAMZs4ADEhJlZ4CEYOinw6UnFJTliKDLhevrk7pV44AXoaQCGbe1lWnmxuoh+-IIIQsmpaSWl8jK0DS4ktVy+OD0unFYDwprgUxIzspPau2qR6L7Kh3D6hgsoJkzebJY860L2XFNO5wjH4L6ed+a+NY2QTBN6hKoXb6+GL-J7A4iBRLoJrpdodfZ5BoosbjFL7epSXoyGqbXwEiDYtFtTo-FDdWEuBD9eFDEaFHHjGmcHDnOabRJLBlsVZwgKCETyTg7QkuORcThnGUPb6JRXmS7yRK3My9R7xcWvdCcD5K+BfeboRJ-HU+ZlihGS8HnEma8E9fUIpGNUZUlpcun5Ua4vHyioQ4kqsNYn1UmmJek2thMoH21nIoO4mlMnmmuB8+TDQWJ+Aij0SrhM6Xq+RMtW677DOuygwFm70IVqO22F41jwQ82bYbW+7wQGioK9sLOhtu2EexFs5q+rMB6Ps4Mr8lEl1cYZbymx1sJkd9FO2IbyRTTXP5riBWjLYVd8WbK9VomXg659QW8D3psRFc6D3tqLAeoQVCfpi6BXluso7sBUaIceEAAE5Jlg6CoT4xCPKh-iKAiIouLYpbrFQXrYlk2RcAAZmwwzoAAFhEkFcFeMLFgE+hkfCiiMd67LLnRSafsOaH8AgmHgNhbCBMQ7CPCR4rJuOggUYu6TUZkkjgPR8ACSxei4fI96cSeggyF6HpUKpB5orp+mIKZfZ0HQQA
13:31:00: [INFO] Add D5 footprint
13:31:00: [INFO] Add SW6 footprint
13:31:00: [INFO] Add D6 footprint
13:31:00: [INFO] Add SW7 footprint
13:31:00: [INFO] Add D7 footprint
13:31:00: [INFO] Add SW8 footprint
13:31:00: [INFO] Add D8 footprint
13:31:00: [INFO] Add SW9 footprint
13:31:00: [INFO] Add D9 footprint
13:31:00: [INFO] Add SW10 footprint
13:31:00: [INFO] Add D10 footprint
13:31:00: [INFO] Add SW11 footprint
13:31:00: [INFO] Add D11 footprint
13:31:00: [INFO] Add SW12 footprint
13:31:00: [INFO] Add D12 footprint
13:31:00: [INFO] Add SW13 footprint
13:31:00: [INFO] Add D13 footprint
13:31:00: [INFO] Add SW14 footprint
13:31:00: [INFO] Add D14 footprint
13:31:00: [INFO] Add SW15 footprint
13:31:01: [INFO] Add D15 footprint
13:31:01: [INFO] Add SW16 footprint
13:31:01: [INFO] Add D16 footprint
13:31:01: [INFO] Add SW17 footprint
13:31:01: [INFO] Add D17 footprint
13:31:01: [INFO] Add SW18 footprint
13:31:01: [INFO] Add D18 footprint
13:31:01: [INFO] Add SW19 footprint
13:31:01: [INFO] Add D19 footprint
13:31:01: [INFO] Add SW20 footprint
13:31:01: [INFO] Add D20 footprint
13:31:01: [INFO] Add SW21 footprint
13:31:01: [INFO] Add D21 footprint
13:31:01: [INFO] Add SW22 footprint
13:31:01: [INFO] Add D22 footprint
13:31:01: [INFO] Add SW23 footprint
13:31:01: [INFO] Add D23 footprint
13:31:01: [INFO] Add SW24 footprint
13:31:01: [INFO] Add D24 footprint
13:31:01: [INFO] Add SW25 footprint
13:31:01: [INFO] Add D25 footprint
13:31:01: [INFO] Add SW26 footprint
13:31:01: [INFO] Add D26 footprint
13:31:01: [INFO] Add SW27 footprint
13:31:01: [INFO] Add D27 footprint
13:31:01: [INFO] Add SW28 footprint
13:31:01: [INFO] Add D28 footprint
13:31:01: [INFO] Add SW29 footprint
13:31:01: [INFO] Add D29 footprint
13:31:01: [INFO] Add SW30 footprint
13:31:01: [INFO] Add D30 footprint
13:31:01: [INFO] Add SW31 footprint
13:31:01: [INFO] Add D31 footprint
13:31:02: [INFO] Add SW32 footprint
13:31:02: [INFO] Add D32 footprint
13:31:02: [INFO] Add SW33 footprint
13:31:02: [INFO] Add D33 footprint
13:31:02: [INFO] Add SW34 footprint
13:31:02: [INFO] Add D34 footprint
13:31:02: [INFO] Add SW35 footprint
13:31:02: [INFO] Add D35 footprint
13:31:02: [INFO] Add SW36 footprint
13:31:02: [INFO] Add D36 footprint
13:31:02: [INFO] Add SW37 footprint
13:31:02: [INFO] Add D37 footprint
13:31:02: [INFO] Add SW38 footprint
13:31:02: [INFO] Add D38 footprint
13:31:02: [INFO] Add SW39 footprint
13:31:02: [INFO] Add D39 footprint
13:31:02: [INFO] Add SW40 footprint
13:31:02: [INFO] Add D40 footprint
13:31:02: [INFO] Add SW41 footprint
