=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0AGA7AGjuAnrHGigEwC+O4ArFkgDoB2jjJWC4OEAxoeAMQBDIcPAVcNDMyYNW7ALpYAUGCiESKACwJKBeMRI1cPePwxnzoymixoOcbrz5dnLy7mvtOq+AE4USJDFqLA07YKo7BxNBYSEwgHc1IIkpFhtI7yIUKiRKY1wnF2c3cGwMcAVlCGh4dRIADjzHWLjKRPgEbKDtWy98-iLi7rYMmrh6lB8NINzQylyI+doM9sQupclpRmte+0ziLSDG8q8xzvrsI0dzCzbCToNKAAs1NpJ77Of3jspIb7gALT6KhBbD0LYMDwVJQqMbEQzgfqFIolDRYRZ7OH+NFXaItAQJD4YEGUVi7KIFQY8IKyUaEPzkSjYOa4bAYimmG4nXCrOok1m0VKQ9KnQgHbS4ymDEo+LDc6pilDEmZyoVQyqwxX88BopB0vSfSX8fGE2qkbUAZhsQp6GSRVJKVs8mMIEw0GCOWAtYUaLI5MViprWysojQiGoVHQwSoRukBxGJTWiXPKnr1Ef2hvwhCB5qTUpRQTR8szCKRJruHXNRZFe1WD21aPeot8mkaPI+BiCsudEHr1cosveGbOqETuDjufHiOuXJlXrCspZ4Fl4ZhkbgrAnWvzxpaQYbQStaBtIz6jgdNYQp-k6-AACdXZR72cY781JNLtmDT4LUFrM27gLlYIRhNYGLgNY6Z3mMFqaB6lDaIB4DaN6iGgeha5VJkcEYIyuCsMhrBoXsDCEAALveACuACmNIYQR6LQthYwaKQ+HgFayFWiRnEMXxWGavAbF4buAYiJWaxdpQaIWkKx52he0qSXyNYaPJ6QjoQIlbt+WTTryA64Gi6kQk6il4vukmHjJXoabe2GPvAALtpk0YXDoOZsVQrn2tKyS1sEzrBMhNDelp8DRhaCG4LkuzgLkwW5MhuThTBhDRkgHHYOS4BkfAlG0aCZ4Csh2BpSxGUoAgunlvu3bLOe0SXqGgWNMFjTDulkXVbphkhrgsq2HIchAA
13:41:20: [INFO] Add ROW0 net
13:41:20: [INFO] Add ROW1 net
13:41:20: [INFO] Add ROW2 net
13:41:20: [INFO] Add ROW3 net
13:41:20: [INFO] Add ROW4 net
13:41:20: [INFO] Add ROW5 net
13:41:20: [INFO] Add ROW6 net
13:41:20: [INFO] Add ROW7 net
13:41:20: [INFO] Add ROW8 net
13:41:20: [INFO] Add ROW9 net
13:41:20: [INFO] Add SW1 footprint
13:41:20: [INFO] Add D1 footprint
13:41:20: [INFO] Add SW2 footprint
13:41:20: [INFO] Add D2 footprint
13:41:20: [INFO] Add SW3 footprint
13:41:20: [INFO] Add D3 footprint
13:41:20: [INFO] Add SW4 footprint
13:41:20: [INFO] Add D4 footprint
13:41:20: [INFO] Add SW5 footprint
13:41:20: [INFO] Add D5 footprint
13:41:20: [INFO] Add SW6 footprint
13:41:20: [INFO] Add D6 footprint
13:41:20: [INFO] Add SW7 footprint
13:41:20: [INFO] Add D7 footprint
13:41:20: [INFO] Add SW8 footprint
13:41:20: [INFO] Add D8 footprint
13:41:20: [INFO] Add SW9 footprint
13:41:20: [INFO] Add D9 footprint
13:41:20: [INFO] Add SW10 footprint
13:41:21: [INFO] Add D10 footprint
13:41:21: [INFO] Add SW11 footprint
13:41:21: [INFO] Add D11 footprint
13:41:21: [INFO] Add SW12 footprint
13:41:21: [INFO] Add D12 footprint
13:41:21: [INFO] Add SW13 footprint
13:41:21: [INFO] Add D13 footprint
13:41:21: [INFO] Add SW14 footprint
13:41:21: [INFO] Add D14 footprint
13:41:21: [INFO] Add SW15 footprint
13:41:21: [INFO] Add D15 footprint
13:41:21: [INFO] Add SW16 footprint
13:41:21: [INFO] Add D16 footprint
13:41:21: [INFO] Add SW17 footprint
13:41:21: [INFO] Add D17 footprint
13:41:21: [INFO] Add SW18 footprint
13:41:21: [INFO] Add D18 footprint
13:41:21: [INFO] Add SW19 footprint
13:41:21: [INFO] Add D19 footprint
13:41:21: [INFO] Add SW20 footprint
13:41:21: [INFO] Add D20 footprint
