=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsaCsAaO4CetEkEBGADixwGMDwBiAQ0afAF9twFMFxsJp4ATEjIIAbO2rw6lGbNbtOAZh5w+BUqnQoAnGxydiA8AF1MAKDBQCxdEVLt88ALTJSbiuEk4GTRivAA7gQCehyYxCgm5pb8cBF2AooOBC5I2uniVDS0snKhBsqmFmqCSKIopCjJzsjp2qT5mEZFMdZl6GLVcKl12hLZAOxDw-L64VHFVvDIAgKiAl2pxBFJWVI+vqPgxFwTrfCGSPY4jt21KOX967kyWzvLeyVxikckHqc9KBGh90a8U4QMgscEEDkh0D9wpEWk94gN0sc8ClanVIcRCtEnkJtAIcYsUelIc1MQDiKhFMQBvi0ukqWtvL4-OxQXFwWjHkiasIIihQgtuDDSbYBAMyNS3KQdvS6MMRszgkgBBD2AsIhzYmSBGRVpyzjT6lcGYz-CyyQNlThVSpYchFAhSHTPNkbtQ+eFiOqFdpROg+idkfrdCqmtbSbaENpFG7DJ74C8BBdgbrUggECF2EliZMNdjvY6PgSgzgkg9-rEU2mLeAS39VACK0rDXRGfQTQrzaES9CSbECZlk335aUlZ3xoKNURU+8A6nGyC2lWqh7x9ZREQLoiCzSBjrTWz2Evu5MAE7WJPH2IvSOkfvH04oYQRoesxeYDEn2IP0TpKXgO8EGYlURXtuR0akIx1LxpBuLZOEiBRMHQfxOFEZDMAGWM9TQbRfy3WcGnYHZlEIzB4JwHYkJI1CVy5YgfzdYjLVI-wFkopjqJ7ACkDtCNR0Y6tmIzRD-CSDiPwIWwUEURQqhwf94AfGS8XnYdXyQwULwIAYyhk897yOSkmw2ZhQiqMTLFPZxDHYTT4G0IhiDTGzTlcX1HSgnIYMaUg0O0NDHP85dOK5DonP9aZJwQKMSIwkifJIvySICmi9SVNM3Vipj4qYxKmOS4K9XNdKhMygTsoE3KBPy8S7MfchnIIB8cUSZ8hA7A9MB8jSNTJUhFFEW99JQAQn2lYymRUl9TPCAVjCAA
13:37:17: [INFO] Add ROW3 net
13:37:17: [INFO] Add ROW4 net
13:37:17: [INFO] Add SW1 footprint
13:37:17: [INFO] Add D1 footprint
13:37:17: [INFO] Add SW2 footprint
13:37:17: [INFO] Add D2 footprint
13:37:17: [INFO] Add SW3 footprint
13:37:17: [INFO] Add D3 footprint
13:37:17: [INFO] Add SW4 footprint
13:37:18: [INFO] Add D4 footprint
13:37:18: [INFO] Add SW5 footprint
13:37:18: [INFO] Add D5 footprint
13:37:18: [INFO] Add SW6 footprint
13:37:18: [INFO] Add D6 footprint
13:37:18: [INFO] Add SW7 footprint
13:37:18: [INFO] Add D7 footprint
13:37:18: [INFO] Add SW8 footprint
13:37:18: [INFO] Add D8 footprint
13:37:18: [INFO] Add SW9 footprint
13:37:18: [INFO] Add D9 footprint
13:37:18: [INFO] Add SW10 footprint
13:37:18: [INFO] Add D10 footprint
13:37:18: [INFO] Add SW11 footprint
13:37:18: [INFO] Add D11 footprint
13:37:18: [INFO] Add SW12 footprint
13:37:18: [INFO] Add D12 footprint
13:37:18: [INFO] Add SW13 footprint
13:37:18: [INFO] Add D13 footprint
13:37:18: [INFO] Add SW14 footprint
13:37:18: [INFO] Add D14 footprint
13:37:18: [INFO] Add SW15 footprint
13:37:18: [INFO] Add D15 footprint
13:37:18: [INFO] Add ST15 footprint
13:37:18: [INFO] Add SW16 footprint
13:37:18: [INFO] Add D16 footprint
13:37:18: [INFO] Add SW17 footprint
13:37:18: [INFO] Add D17 footprint
13:37:18: [INFO] Add SW18 footprint
13:37:18: [INFO] Add D18 footprint
13:37:18: [INFO] Add SW19 footprint
13:37:18: [INFO] Add D19 footprint
13:37:18: [INFO] Add SW20 footprint
13:37:18: [INFO] Add D20 footprint
13:37:19: [INFO] Add SW21 footprint
13:37:19: [INFO] Add D21 footprint
13:37:19: [INFO] Add SW22 footprint
13:37:19: [INFO] Add D22 footprint
13:37:19: [INFO] Add SW23 footprint
13:37:19: [INFO] Add D23 footprint
13:37:19: [INFO] Add SW24 footprint
13:37:19: [INFO] Add D24 footprint
13:37:19: [INFO] Add SW25 footprint
13:37:19: [INFO] Add D25 footprint
13:37:19: [INFO] Add SW26 footprint
13:37:19: [INFO] Add D26 footprint
13:37:19: [INFO] Add SW27 footprint
13:37:19: [INFO] Add D27 footprint
13:37:19: [INFO] Add SW28 footprint
13:37:19: [INFO] Add D28 footprint
13:37:19: [INFO] Add SW29 footprint
13:37:19: [INFO] Add D29 footprint
13:37:19: [INFO] Add SW30 footprint
13:37:19: [INFO] Add D30 footprint
13:37:19: [INFO] Add SW31 footprint
13:37:19: [INFO] Add D31 footprint
13:37:19: [INFO] Add SW32 footprint
13:37:19: [INFO] Add D32 footprint
13:37:19: [INFO] Add SW33 footprint
13:37:19: [INFO] Add D33 footprint
13:37:19: [INFO] Add SW34 footprint
13:37:19: [INFO] Add D34 footprint
13:37:19: [INFO] Add SW35 footprint
13:37:19: [INFO] Add D35 footprint
13:37:19: [INFO] Add SW36 footprint
13:37:19: [INFO] Add D36 footprint
13:37:20: [INFO] Add SW37 footprint
13:37:20: [INFO] Add D37 footprint
13:37:20: [INFO] Add SW38 footprint
13:37:20: [INFO] Add D38 footprint
13:37:20: [INFO] Add SW39 footprint
13:37:20: [INFO] Add D39 footprint
13:37:20: [INFO] Add SW40 footprint
13:37:20: [INFO] Add D40 footprint
13:37:20: [INFO] Add SW41 footprint
13:37:20: [INFO] Add D41 footprint
13:37:20: [INFO] Add SW42 footprint
13:37:20: [INFO] Add D42 footprint
13:37:20: [INFO] Add SW43 footprint
13:37:20: [INFO] Add D43 footprint
13:37:20: [INFO] Add SW44 footprint
13:37:20: [INFO] Add D44 footprint
13:37:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:20: [INFO] Add ST44 footprint
13:37:20: [INFO] Add SW45 footprint
13:37:20: [INFO] Add D45 footprint
13:37:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:20: [INFO] Add ST45 footprint
13:37:20: [INFO] Add SW46 footprint
13:37:20: [INFO] Add D46 footprint
13:37:20: [INFO] Add SW47 footprint
13:37:20: [INFO] Add D47 footprint
13:37:20: [INFO] Add SW48 footprint
13:37:20: [INFO] Add D48 footprint
13:37:20: [INFO] Add SW49 footprint
13:37:20: [INFO] Add D49 footprint
13:37:20: [INFO] Add SW50 footprint
13:37:20: [INFO] Add D50 footprint
13:37:20: [INFO] Add SW51 footprint
13:37:20: [INFO] Add D51 footprint
13:37:20: [INFO] Add SW52 footprint
13:37:20: [INFO] Add D52 footprint
13:37:21: [INFO] Add SW53 footprint
13:37:21: [INFO] Add D53 footprint
13:37:21: [INFO] Add SW54 footprint
13:37:21: [INFO] Add D54 footprint
13:37:21: [INFO] Add SW55 footprint
13:37:21: [INFO] Add D55 footprint
13:37:21: [INFO] Add SW56 footprint
13:37:21: [INFO] Add D56 footprint
13:37:21: [INFO] Add SW57 footprint
13:37:21: [INFO] Add D57 footprint
13:37:21: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:21: [INFO] Add ST57 footprint
13:37:21: [INFO] Add SW58 footprint
13:37:21: [INFO] Add D58 footprint
13:37:21: [INFO] Add SW59 footprint
13:37:21: [INFO] Add D59 footprint
13:37:21: [INFO] Add SW60 footprint
13:37:21: [INFO] Add D60 footprint
13:37:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:21: [INFO] Add ST60 footprint
13:37:21: [INFO] Add SW61 footprint
13:37:21: [INFO] Add D61 footprint
13:37:21: [INFO] Add SW62 footprint
13:37:21: [INFO] Add D62 footprint
13:37:21: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:21: [INFO] Add ST62 footprint
13:37:21: [INFO] Add SW63 footprint
13:37:21: [INFO] Add D63 footprint
