=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JBfANHcDsEBmAHQDtzyCFxd9CAWSis68AXWwCgwpY4ATOiR0AnvwAMKASLwBjfuADEaVWvA48E7BNpwI0eFNngF8ZXMtWNdbTVvYBe8NqLPtDPQckosDgGzu2GhBABxBAJxefEa+mi6Eug4I9lqETsluuN6xfmnIHNy8hoLCYj559El4bHQEGTXYWY2eddhIzgSBbSFt4W1RbQjV9Cmd6dFmeEoAhnPzzgDu-ALx1KQsVDqTikpW1muEHZw8OaUYdFPK8wt0y-AIcXQC29mmu-uWNngvqeAvDX+TWcL1aP3aIOw3XBvXB-XBg3Bw0hY2eEzeV1mNxmS34j0qvyYmzIL2qEExnwU8V+HTeJXxl12anUdzx0hMAAsVncnA9fHQObzEHRIEKALRSGTxIiMZjkX6FU4xc4mTHYnGsvkYaWvfTvcx7T7fcAyv4ywEy5om7Bg620vAy6HW2HW+HWxHW5F0U2pclM5ku+6lKXe2XE0k7A2U42m+1nYw64hykmERW8NXY3F8kN4Bg6ZOmyPTaPxPMIAupukVRkG9VZ4OVPMSCtk-XFo2lxzOPNWvO2vP28B5p15l15t15j1lkZl31t66ZzWIYSdhANP0GgMhVdgjft-bGsvHIpnIQXeS7OtLx458AiZvE7StoM3yoicuP3UQF-s+IiATJk+RYWEaS7+L+dD+FCgFfvOWI3PWr7xFBwwwc+bK3ihH7MEBVa5DW0xbsaKFWihtooceSolGeqqXoueA-m++afn874wXOjF-o47HAYaB5LmgyHQSxvFXgxbKVFhPHsOwQA
13:42:58: [INFO] Add Net-(D81-A) net
13:42:58: [INFO] Add Net-(D82-A) net
13:42:58: [INFO] Add Net-(D83-A) net
13:42:58: [INFO] Add Net-(D84-A) net
13:42:58: [INFO] Add Net-(D9-A) net
13:42:58: [INFO] Add ROW0 net
13:42:58: [INFO] Add ROW1 net
13:42:58: [INFO] Add ROW2 net
13:42:58: [INFO] Add ROW3 net
13:42:58: [INFO] Add ROW4 net
13:42:58: [INFO] Add ROW5 net
13:42:58: [INFO] Add ROW6 net
13:42:58: [INFO] Add SW1 footprint
13:42:58: [INFO] Add D1 footprint
13:42:58: [INFO] Add SW2 footprint
13:42:58: [INFO] Add D2 footprint
13:42:58: [INFO] Add SW3 footprint
13:42:58: [INFO] Add D3 footprint
13:42:58: [INFO] Add SW4 footprint
13:42:58: [INFO] Add D4 footprint
13:42:58: [INFO] Add SW5 footprint
13:42:58: [INFO] Add D5 footprint
13:42:58: [INFO] Add SW6 footprint
13:42:58: [INFO] Add D6 footprint
13:42:58: [INFO] Add SW7 footprint
13:42:58: [INFO] Add D7 footprint
13:42:58: [INFO] Add SW8 footprint
13:42:58: [INFO] Add D8 footprint
13:42:58: [INFO] Add SW9 footprint
13:42:58: [INFO] Add D9 footprint
13:42:58: [INFO] Add SW10 footprint
13:42:58: [INFO] Add D10 footprint
13:42:58: [INFO] Add SW11 footprint
13:42:58: [INFO] Add D11 footprint
13:42:58: [INFO] Add SW12 footprint
13:42:58: [INFO] Add D12 footprint
13:42:58: [INFO] Add SW13 footprint
13:42:59: [INFO] Add D13 footprint
13:42:59: [INFO] Add SW14 footprint
13:42:59: [INFO] Add D14 footprint
13:42:59: [INFO] Add SW15 footprint
13:42:59: [INFO] Add D15 footprint
13:42:59: [INFO] Add SW16 footprint
13:42:59: [INFO] Add D16 footprint
13:42:59: [INFO] Add SW17 footprint
13:42:59: [INFO] Add D17 footprint
13:42:59: [INFO] Add SW18 footprint
13:42:59: [INFO] Add D18 footprint
13:42:59: [INFO] Add SW19 footprint
13:42:59: [INFO] Add D19 footprint
13:42:59: [INFO] Add SW20 footprint
13:42:59: [INFO] Add D20 footprint
13:42:59: [INFO] Add SW21 footprint
13:42:59: [INFO] Add D21 footprint
13:42:59: [INFO] Add SW22 footprint
13:42:59: [INFO] Add D22 footprint
13:42:59: [INFO] Add SW23 footprint
13:42:59: [INFO] Add D23 footprint
13:42:59: [INFO] Add SW24 footprint
13:42:59: [INFO] Add D24 footprint
13:42:59: [INFO] Add SW25 footprint
13:42:59: [INFO] Add D25 footprint
13:42:59: [INFO] Add SW26 footprint
13:42:59: [INFO] Add D26 footprint
13:42:59: [INFO] Add SW27 footprint
13:42:59: [INFO] Add D27 footprint
13:42:59: [INFO] Add SW28 footprint
13:42:59: [INFO] Add D28 footprint
13:42:59: [INFO] Add ST28 footprint
13:42:59: [INFO] Add SW28a footprint
13:43:00: [INFO] Add SW29 footprint
13:43:00: [INFO] Add D29 footprint
13:43:00: [INFO] Add SW30 footprint
13:43:00: [INFO] Add D30 footprint
13:43:00: [INFO] Add SW31 footprint
13:43:00: [INFO] Add D31 footprint
13:43:00: [INFO] Add SW32 footprint
13:43:00: [INFO] Add D32 footprint
13:43:00: [INFO] Add SW33 footprint
13:43:00: [INFO] Add D33 footprint
13:43:00: [INFO] Add SW34 footprint
13:43:00: [INFO] Add D34 footprint
13:43:00: [INFO] Add SW35 footprint
13:43:00: [INFO] Add D35 footprint
13:43:00: [INFO] Add SW36 footprint
13:43:00: [INFO] Add D36 footprint
13:43:00: [INFO] Add SW37 footprint
13:43:00: [INFO] Add D37 footprint
13:43:00: [INFO] Add SW38 footprint
13:43:00: [INFO] Add D38 footprint
13:43:00: [INFO] Add SW39 footprint
13:43:00: [INFO] Add D39 footprint
13:43:00: [INFO] Add SW40 footprint
13:43:00: [INFO] Add D40 footprint
13:43:00: [INFO] Add SW41 footprint
13:43:00: [INFO] Add D41 footprint
13:43:00: [INFO] Add SW42 footprint
13:43:00: [INFO] Add D42 footprint
13:43:00: [INFO] Add SW43 footprint
13:43:00: [INFO] Add D43 footprint
13:43:00: [INFO] Add SW44 footprint
13:43:00: [INFO] Add D44 footprint
13:43:00: [INFO] Add SW45 footprint
13:43:00: [INFO] Add D45 footprint
13:43:01: [INFO] Add SW46 footprint
13:43:01: [INFO] Add D46 footprint
13:43:01: [INFO] Add SW47 footprint
13:43:01: [INFO] Add D47 footprint
13:43:01: [INFO] Add SW48 footprint
13:43:01: [INFO] Add D48 footprint
13:43:01: [INFO] Add SW49 footprint
13:43:01: [INFO] Add D49 footprint
13:43:01: [INFO] Add SW50 footprint
13:43:01: [INFO] Add D50 footprint
13:43:01: [INFO] Add SW51 footprint
13:43:01: [INFO] Add D51 footprint
13:43:01: [INFO] Add SW52 footprint
13:43:01: [INFO] Add D52 footprint
13:43:01: [INFO] Add SW53 footprint
13:43:01: [INFO] Add D53 footprint
13:43:01: [INFO] Add SW54 footprint
13:43:01: [INFO] Add D54 footprint
13:43:01: [INFO] Add SW55 footprint
13:43:01: [INFO] Add D55 footprint
13:43:01: [INFO] Add SW56 footprint
13:43:01: [INFO] Add D56 footprint
13:43:01: [INFO] Add SW57 footprint
13:43:01: [INFO] Add D57 footprint
13:43:01: [INFO] Add SW58 footprint
13:43:01: [INFO] Add D58 footprint
13:43:01: [INFO] Add SW59 footprint
13:43:01: [INFO] Add D59 footprint
13:43:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:01: [INFO] Add ST59 footprint
13:43:01: [INFO] Add SW59a footprint
13:43:01: [INFO] Add ST59a footprint
13:43:01: [INFO] Add SW60 footprint
13:43:01: [INFO] Add D60 footprint
13:43:01: [INFO] Add SW61 footprint
13:43:01: [INFO] Add D61 footprint
13:43:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:43:01: [INFO] Add ST61 footprint
13:43:02: [INFO] Add SW61a footprint
13:43:02: [INFO] Add SW62 footprint
13:43:02: [INFO] Add D62 footprint
13:43:02: [INFO] Add SW63 footprint
13:43:02: [INFO] Add D63 footprint
13:43:02: [INFO] Add SW64 footprint
13:43:02: [INFO] Add D64 footprint
13:43:02: [INFO] Add SW65 footprint
13:43:02: [INFO] Add D65 footprint
13:43:02: [INFO] Add SW66 footprint
13:43:02: [INFO] Add D66 footprint
13:43:02: [INFO] Add SW67 footprint
13:43:02: [INFO] Add D67 footprint
13:43:02: [INFO] Add SW68 footprint
13:43:02: [INFO] Add D68 footprint
13:43:02: [INFO] Add SW69 footprint
13:43:02: [INFO] Add D69 footprint
13:43:02: [INFO] Add SW70 footprint
13:43:02: [INFO] Add D70 footprint
13:43:02: [INFO] Add SW71 footprint
13:43:02: [INFO] Add D71 footprint
13:43:02: [INFO] Add SW72 footprint
13:43:02: [INFO] Add D72 footprint
13:43:02: [INFO] Add SW73 footprint
13:43:02: [INFO] Add D73 footprint
13:43:02: [INFO] Add SW74 footprint
13:43:02: [INFO] Add D74 footprint
13:43:02: [INFO] Add SW75 footprint
13:43:02: [INFO] Add D75 footprint
13:43:02: [INFO] Add SW76 footprint
13:43:03: [INFO] Add D76 footprint
13:43:03: [INFO] Add SW76a footprint
13:43:03: [INFO] Add SW77 footprint
13:43:03: [INFO] Add D77 footprint
13:43:03: [INFO] Add SW77a footprint
13:43:03: [INFO] Add SW78 footprint
13:43:03: [INFO] Add D78 footprint
13:43:03: [INFO] Add SW78a footprint
13:43:03: [INFO] Add SW79 footprint
13:43:03: [INFO] Add D79 footprint
13:43:03: [INFO] Add ST79 footprint
13:43:03: [INFO] Add SW79a footprint
13:43:03: [INFO] Add ST79a footprint
13:43:03: [INFO] Add SW80 footprint
13:43:03: [INFO] Add D80 footprint
13:43:03: [INFO] Add SW81 footprint
13:43:03: [INFO] Add D81 footprint
13:43:03: [INFO] Add SW81a footprint
13:43:03: [INFO] Add SW82 footprint
13:43:03: [INFO] Add D82 footprint
13:43:03: [INFO] Add SW83 footprint
13:43:03: [INFO] Add D83 footprint
13:43:03: [INFO] Add SW84 footprint
13:43:03: [INFO] Add D84 footprint
13:43:03: [INFO] Detected layout convertible to matrix annotated keyboard
13:43:03: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:43:03: [INFO] Layout offset: (33337500, 23812500)
13:43:03: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:43:03: [INFO] Placing additional elements for SW84
13:43:03: [INFO] Placing additional elements for SW83
13:43:03: [INFO] Placing additional elements for SW82
13:43:03: [INFO] Placing additional elements for SW81a
13:43:03: [INFO] Placing additional elements for SW81
13:43:03: [INFO] Placing additional elements for SW80
13:43:03: [INFO] Placing additional elements for SW79a
13:43:03: [INFO] Placing additional elements for SW79
13:43:03: [INFO] Placing additional elements for SW78a
13:43:03: [INFO] Placing additional elements for SW78
13:43:03: [INFO] Placing additional elements for SW77a
13:43:03: [INFO] Placing additional elements for SW77
13:43:03: [INFO] Placing additional elements for SW76a
13:43:03: [INFO] Placing additional elements for SW76
13:43:03: [INFO] Placing additional elements for SW75
13:43:03: [INFO] Placing additional elements for SW74
13:43:03: [INFO] Placing additional elements for SW73
13:43:03: [INFO] Placing additional elements for SW72
13:43:03: [INFO] Placing additional elements for SW71
13:43:03: [INFO] Placing additional elements for SW70
13:43:03: [INFO] Placing additional elements for SW69
13:43:03: [INFO] Placing additional elements for SW68
13:43:03: [INFO] Placing additional elements for SW67
13:43:03: [INFO] Placing additional elements for SW66
13:43:03: [INFO] Placing additional elements for SW65
13:43:03: [INFO] Placing additional elements for SW64
13:43:03: [INFO] Placing additional elements for SW63
13:43:03: [INFO] Placing additional elements for SW62
13:43:03: [INFO] Placing additional elements for SW61a
13:43:03: [INFO] Placing additional elements for SW61
13:43:03: [INFO] Placing additional elements for SW60
13:43:03: [INFO] Placing additional elements for SW59a
13:43:03: [INFO] Placing additional elements for SW59
13:43:03: [INFO] Placing additional elements for SW58
13:43:03: [INFO] Placing additional elements for SW57
13:43:03: [INFO] Placing additional elements for SW56
13:43:03: [INFO] Placing additional elements for SW55
13:43:03: [INFO] Placing additional elements for SW54
13:43:03: [INFO] Placing additional elements for SW53
13:43:03: [INFO] Placing additional elements for SW52
13:43:03: [INFO] Placing additional elements for SW51
13:43:03: [INFO] Placing additional elements for SW50
13:43:03: [INFO] Placing additional elements for SW49
13:43:03: [INFO] Placing additional elements for SW48
13:43:03: [INFO] Placing additional elements for SW47
13:43:03: [INFO] Placing additional elements for SW46
13:43:03: [INFO] Placing additional elements for SW45
13:43:03: [INFO] Placing additional elements for SW44
13:43:03: [INFO] Placing additional elements for SW43
13:43:03: [INFO] Placing additional elements for SW42
13:43:03: [INFO] Placing additional elements for SW41
13:43:03: [INFO] Placing additional elements for SW40
13:43:03: [INFO] Placing additional elements for SW39
13:43:03: [INFO] Placing additional elements for SW38
13:43:03: [INFO] Placing additional elements for SW37
13:43:03: [INFO] Placing additional elements for SW36
13:43:03: [INFO] Placing additional elements for SW35
13:43:03: [INFO] Placing additional elements for SW34
13:43:03: [INFO] Placing additional elements for SW33
13:43:03: [INFO] Placing additional elements for SW32
13:43:03: [INFO] Placing additional elements for SW31
13:43:03: [INFO] Placing additional elements for SW30
13:43:03: [INFO] Placing additional elements for SW29
13:43:03: [INFO] Placing additional elements for SW28a
13:43:03: [INFO] Placing additional elements for SW28
13:43:03: [INFO] Placing additional elements for SW27
13:43:03: [INFO] Placing additional elements for SW26
13:43:03: [INFO] Placing additional elements for SW25
13:43:03: [INFO] Placing additional elements for SW24
13:43:03: [INFO] Placing additional elements for SW23
13:43:03: [INFO] Placing additional elements for SW22
13:43:03: [INFO] Placing additional elements for SW21
13:43:03: [INFO] Placing additional elements for SW20
13:43:03: [INFO] Placing additional elements for SW19
13:43:03: [INFO] Placing additional elements for SW18
13:43:03: [INFO] Placing additional elements for SW17
