=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUfGzKFd0sAmI-AZnKwBZqUBWegNnoHZ6AOegTnoRx4sCQkIJkAuigBQYKLDgYAdGwZ4A7goRKSDVOgTZyh0QZRk8hqpZR0bTG6xscb3G3xsCiETfG2r9cBNCKVkIaHhlXQ0tFT08EiMEgnJEi3RE6wzbVMZcp2yXbLdsj2yvNB9Y3UDEkXBQuV9EHXj0CiS4Kr9WwI7TbpaavA70we1h9pQswZI+vMrwZrmRlALwDpKNlDLtiqn6iQkgA
13:33:46: [INFO] Add D45 footprint
13:33:46: [INFO] Add SW46 footprint
13:33:47: [INFO] Add D46 footprint
13:33:47: [INFO] Add SW47 footprint
13:33:47: [INFO] Add D47 footprint
13:33:47: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:47: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:47: [INFO] Layout offset: (28575000, 28575000)
13:33:47: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:47: [INFO] Placing additional elements for SW47
13:33:47: [INFO] Placing additional elements for SW46
13:33:47: [INFO] Placing additional elements for SW45
13:33:47: [INFO] Placing additional elements for SW44
13:33:47: [INFO] Placing additional elements for SW43
13:33:47: [INFO] Placing additional elements for SW42
13:33:47: [INFO] Placing additional elements for SW41
13:33:47: [INFO] Placing additional elements for SW40
13:33:47: [INFO] Placing additional elements for SW39
13:33:47: [INFO] Placing additional elements for SW38
13:33:47: [INFO] Placing additional elements for SW37
13:33:47: [INFO] Placing additional elements for SW36
13:33:47: [INFO] Placing additional elements for SW35
13:33:47: [INFO] Placing additional elements for SW34
13:33:47: [INFO] Placing additional elements for SW33
13:33:47: [INFO] Placing additional elements for SW32
13:33:47: [INFO] Placing additional elements for SW31
13:33:47: [INFO] Placing additional elements for SW30
13:33:47: [INFO] Placing additional elements for SW29
13:33:47: [INFO] Placing additional elements for SW28
13:33:47: [INFO] Placing additional elements for SW27
13:33:47: [INFO] Placing additional elements for SW26
13:33:47: [INFO] Placing additional elements for SW25
13:33:47: [INFO] Placing additional elements for SW24
13:33:47: [INFO] Placing additional elements for SW23
13:33:47: [INFO] Placing additional elements for SW22
13:33:47: [INFO] Placing additional elements for SW21
13:33:47: [INFO] Placing additional elements for SW20
13:33:47: [INFO] Placing additional elements for SW19
13:33:47: [INFO] Placing additional elements for SW18
13:33:47: [INFO] Placing additional elements for SW17
13:33:47: [INFO] Placing additional elements for SW16
13:33:47: [INFO] Placing additional elements for SW15
13:33:47: [INFO] Placing additional elements for SW14
13:33:47: [INFO] Placing additional elements for SW13
13:33:47: [INFO] Placing additional elements for SW12
13:33:47: [INFO] Placing additional elements for SW11
13:33:47: [INFO] Placing additional elements for SW10
13:33:47: [INFO] Placing additional elements for SW9
13:33:47: [INFO] Placing additional elements for SW8
13:33:47: [INFO] Placing additional elements for SW7
13:33:47: [INFO] Placing additional elements for SW6
13:33:47: [INFO] Placing additional elements for SW5
13:33:47: [INFO] Placing additional elements for SW4
13:33:47: [INFO] Placing additional elements for SW3
13:33:47: [INFO] Placing additional elements for SW2
13:33:47: [INFO] Placing additional elements for SW1
13:33:47: [INFO] Routing SW47 with D47
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW47:2' at (269240000, 90170000) with pad 'D47:2' at (271780000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(269240000, 90170000), (269240000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(269240000, 95310000), (271780000, 97850000)]
13:33:47: [INFO] Routing SW46 with D46
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW46:2' at (250190000, 90170000) with pad 'D46:2' at (252730000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 90170000), (250190000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 95310000), (252730000, 97850000)]
13:33:47: [INFO] Routing SW45 with D45
13:33:47: [INFO] Using internal autorouter method
