=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcDsEBmAHQDtzyAGQ8XcIw0ilmhcAXWwCgwpY4adFno0qdOBGjwqwnHjYTwNNEppE12ACwSpA2RnnLsSTQDZNAdk0AOXfxlzR2AJyaE45wnZfVuPY6GXhr+DnAGInhI2CFRJpw8fNKIliiRxgg6XLwBgsL0AJ4CALSylukEnngEPtXYfnWx+NpKBKb0BBYd2Nbddt1u3R6thLXNCA0QAO4CaEY1zJRkYgk5YUIY9DPwCGlGaNhV4AdjBw3HMUoHOvQH7XgHXQ89V9j9z4PPw7ejrxP220Qex+xHsyQi+0INy+pmySVm+TwgN25SMjCOjDGjHOjCajGhDHi9EYT0JvTwjHehM+hO+FN+oUBG3SmMmYQhxKhSkxsMS0wEuyCeC0hyW5BqShFCDFZAljIRQvAIqoMsqkvq6qaIoJIvuSuwpJF5P1VJFNKlRyltX58CEqPoUrQMoO4jhuQQqWieCK8FKKHtwq5bvWiPAPrgfs2SIFTjiVRtQMV0Wt4GRsfA0TZgLM6eiZhl6IBMaThHjqeL6WTKbTJf+weSCBzXrDJTKlaYSmTBOTvLWyTMhVboaZue0Bdo8p2o-zLHImKLtv97Zs45T4KXWxjAf1E2dE8DxD37A4HCAA
13:35:18: [INFO] Add Net-(D68-A) net
13:35:18: [INFO] Add Net-(D69-A) net
13:35:18: [INFO] Add Net-(D7-A) net
13:35:18: [INFO] Add Net-(D70-A) net
13:35:18: [INFO] Add Net-(D71-A) net
13:35:18: [INFO] Add Net-(D72-A) net
13:35:18: [INFO] Add Net-(D73-A) net
13:35:18: [INFO] Add Net-(D74-A) net
13:35:18: [INFO] Add Net-(D75-A) net
13:35:18: [INFO] Add Net-(D76-A) net
13:35:18: [INFO] Add Net-(D77-A) net
13:35:18: [INFO] Add Net-(D78-A) net
13:35:18: [INFO] Add Net-(D79-A) net
13:35:18: [INFO] Add Net-(D8-A) net
13:35:18: [INFO] Add Net-(D80-A) net
13:35:18: [INFO] Add Net-(D81-A) net
13:35:18: [INFO] Add Net-(D82-A) net
13:35:18: [INFO] Add Net-(D83-A) net
13:35:18: [INFO] Add Net-(D84-A) net
13:35:18: [INFO] Add Net-(D85-A) net
13:35:18: [INFO] Add Net-(D86-A) net
13:35:18: [INFO] Add Net-(D87-A) net
13:35:18: [INFO] Add Net-(D88-A) net
13:35:18: [INFO] Add Net-(D89-A) net
13:35:18: [INFO] Add Net-(D9-A) net
13:35:18: [INFO] Add Net-(D90-A) net
13:35:18: [INFO] Add ROW0 net
13:35:18: [INFO] Add ROW1 net
13:35:18: [INFO] Add ROW2 net
13:35:18: [INFO] Add ROW3 net
13:35:18: [INFO] Add ROW4 net
13:35:18: [INFO] Add ROW5 net
13:35:19: [INFO] Add SW1 footprint
13:35:19: [INFO] Add D1 footprint
13:35:19: [INFO] Add SW2 footprint
13:35:19: [INFO] Add D2 footprint
13:35:19: [INFO] Add SW3 footprint
13:35:19: [INFO] Add D3 footprint
13:35:19: [INFO] Add SW4 footprint
13:35:19: [INFO] Add D4 footprint
13:35:19: [INFO] Add SW5 footprint
13:35:19: [INFO] Add D5 footprint
13:35:19: [INFO] Add SW6 footprint
13:35:19: [INFO] Add D6 footprint
13:35:19: [INFO] Add SW7 footprint
13:35:19: [INFO] Add D7 footprint
13:35:19: [INFO] Add SW8 footprint
13:35:19: [INFO] Add D8 footprint
13:35:19: [INFO] Add SW9 footprint
13:35:19: [INFO] Add D9 footprint
13:35:19: [INFO] Add SW10 footprint
13:35:19: [INFO] Add D10 footprint
13:35:19: [INFO] Add SW11 footprint
13:35:19: [INFO] Add D11 footprint
13:35:19: [INFO] Add SW12 footprint
13:35:19: [INFO] Add D12 footprint
13:35:19: [INFO] Add SW13 footprint
13:35:19: [INFO] Add D13 footprint
13:35:19: [INFO] Add SW14 footprint
13:35:19: [INFO] Add D14 footprint
13:35:19: [INFO] Add SW15 footprint
13:35:19: [INFO] Add D15 footprint
13:35:19: [INFO] Add SW16 footprint
13:35:19: [INFO] Add D16 footprint
13:35:19: [INFO] Add SW17 footprint
13:35:20: [INFO] Add D17 footprint
13:35:20: [INFO] Add SW18 footprint
13:35:20: [INFO] Add D18 footprint
13:35:20: [INFO] Add SW19 footprint
13:35:20: [INFO] Add D19 footprint
13:35:20: [INFO] Add SW20 footprint
13:35:20: [INFO] Add D20 footprint
13:35:20: [INFO] Add SW21 footprint
13:35:20: [INFO] Add D21 footprint
13:35:20: [INFO] Add SW22 footprint
13:35:20: [INFO] Add D22 footprint
13:35:20: [INFO] Add SW23 footprint
13:35:20: [INFO] Add D23 footprint
13:35:20: [INFO] Add SW24 footprint
13:35:20: [INFO] Add D24 footprint
13:35:20: [INFO] Add SW25 footprint
13:35:20: [INFO] Add D25 footprint
13:35:20: [INFO] Add SW26 footprint
13:35:20: [INFO] Add D26 footprint
13:35:20: [INFO] Add SW27 footprint
13:35:20: [INFO] Add D27 footprint
13:35:20: [INFO] Add SW28 footprint
13:35:20: [INFO] Add D28 footprint
13:35:20: [INFO] Add SW29 footprint
13:35:20: [INFO] Add D29 footprint
13:35:20: [INFO] Add ST29 footprint
13:35:20: [INFO] Add SW29a footprint
13:35:20: [INFO] Add SW30 footprint
13:35:20: [INFO] Add D30 footprint
13:35:20: [INFO] Add SW31 footprint
13:35:20: [INFO] Add D31 footprint
13:35:20: [INFO] Add SW32 footprint
13:35:21: [INFO] Add D32 footprint
13:35:21: [INFO] Add SW33 footprint
13:35:21: [INFO] Add D33 footprint
13:35:21: [INFO] Add SW34 footprint
13:35:21: [INFO] Add D34 footprint
13:35:21: [INFO] Add SW35 footprint
13:35:21: [INFO] Add D35 footprint
13:35:21: [INFO] Add SW36 footprint
13:35:21: [INFO] Add D36 footprint
13:35:21: [INFO] Add SW37 footprint
13:35:21: [INFO] Add D37 footprint
13:35:21: [INFO] Add SW38 footprint
13:35:21: [INFO] Add D38 footprint
13:35:21: [INFO] Add SW39 footprint
13:35:21: [INFO] Add D39 footprint
13:35:21: [INFO] Add SW40 footprint
13:35:21: [INFO] Add D40 footprint
13:35:21: [INFO] Add SW41 footprint
13:35:21: [INFO] Add D41 footprint
13:35:21: [INFO] Add SW42 footprint
13:35:21: [INFO] Add D42 footprint
13:35:21: [INFO] Add SW43 footprint
13:35:21: [INFO] Add D43 footprint
13:35:21: [INFO] Add SW44 footprint
13:35:21: [INFO] Add D44 footprint
13:35:21: [INFO] Add SW45 footprint
13:35:21: [INFO] Add D45 footprint
13:35:21: [INFO] Add SW46 footprint
