=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUIDoDt98BWFDcNTFAJkILxLIqwGZbjTy4Jp4MA6EugDGsdAGIA7FOnhU6LABZOEEfHBihmrbKYoinSgDYDWCSZQAOcwE5zCRvOwI7VO8ztLdCfV+NoVouoAhiGhBgDuolRylAgSbHhYDtyi-BKC4KriWtoxWHEJ+QZU2PF0+EUAuigAUGDgABZRMQikCQwGrbjl9BwUrTQ9Hf0orEN9XFCpAhRZwaEhEaIIAi0onpNzGjkiaz7orX4HKGYjViO2I-adTjcIrlfuVxvgXfuv2EcQkfArRGsFHrMCYpX4zYSBSTSKRLMFUDJNeAldDhVxghFoxAUSCYgC0-HhMRKCEMCWBzmqdVBWIham2OR06GJ7Qm4BKg1owyZoxZySmvHBmUhC0WFB+iD46SJ62UQrpO12FBK7xKRzZJ2Klk1l251yVt31901CCeupexP2ATp0JhYqifEJhtJQJB-Lg-AyWwVjPA5LKtHJ4Ep9URcGiFGBGF5BnJ0Yj1Dj6GBY05rp47sFWxFQVhYYd-3jCgSCldXp2PuBauBpyTWvjOt92AcjYQznjRvbppbL3JRASJT5WZFuaokoLtZJ-bT0wy4pWUvbfZ6xNlZYZMXJztoK4oJEB2+wsvTaXHLaXB4em2Fw7tYIXE63dHZq8h3pie-9T+oQdq9XTrRRZoKBLDk6C5cASxTMDpwFT1rwWXMVkddASw2b5lnzGISy+cA50w4CNX8OVsnLW84EMfD0D3Zs91A-BWkHSEbTMd9sCg+jWT3IsegYgw93POheN3T4El44NqQA8AAE9pnhWZX3LPJsBZNtHDo3pVModiNKPGd5LpbNEMoxtuNoEtVKtEj13jAT8HM3T4AkMd9PEQyyKQ09aNEw8iLw5DwD3bSullPzPOwWy8GC3yMP8vdHw4ilf0s9Q3xGKNxk0roVJudS91lUNw25bS8uDdV0tTTTmQyzVcsPUrI2y9tGtrWqLMaIDa2KuqktwjqIOU6qCNaoNKiAA
13:29:01: [INFO] Add Net-(D71-A) net
13:29:01: [INFO] Add Net-(D72-A) net
13:29:01: [INFO] Add Net-(D73-A) net
13:29:01: [INFO] Add Net-(D74-A) net
13:29:01: [INFO] Add Net-(D75-A) net
13:29:01: [INFO] Add Net-(D76-A) net
13:29:01: [INFO] Add Net-(D77-A) net
13:29:01: [INFO] Add Net-(D78-A) net
13:29:01: [INFO] Add Net-(D79-A) net
13:29:01: [INFO] Add Net-(D8-A) net
13:29:01: [INFO] Add Net-(D80-A) net
13:29:01: [INFO] Add Net-(D81-A) net
13:29:01: [INFO] Add Net-(D82-A) net
13:29:01: [INFO] Add Net-(D83-A) net
13:29:01: [INFO] Add Net-(D84-A) net
13:29:01: [INFO] Add Net-(D9-A) net
13:29:01: [INFO] Add ROW0 net
13:29:01: [INFO] Add ROW1 net
13:29:01: [INFO] Add ROW2 net
13:29:01: [INFO] Add ROW3 net
13:29:01: [INFO] Add ROW4 net
13:29:01: [INFO] Add ROW5 net
13:29:01: [INFO] Add SW1 footprint
13:29:01: [INFO] Add D1 footprint
13:29:01: [INFO] Add SW2 footprint
13:29:01: [INFO] Add D2 footprint
13:29:01: [INFO] Add SW3 footprint
13:29:01: [INFO] Add D3 footprint
13:29:01: [INFO] Add SW4 footprint
13:29:01: [INFO] Add D4 footprint
13:29:01: [INFO] Add SW5 footprint
13:29:01: [INFO] Add D5 footprint
13:29:01: [INFO] Add SW6 footprint
13:29:01: [INFO] Add D6 footprint
13:29:01: [INFO] Add SW7 footprint
13:29:01: [INFO] Add D7 footprint
13:29:01: [INFO] Add SW8 footprint
13:29:01: [INFO] Add D8 footprint
13:29:01: [INFO] Add SW9 footprint
13:29:01: [INFO] Add D9 footprint
13:29:01: [INFO] Add SW10 footprint
13:29:01: [INFO] Add D10 footprint
13:29:01: [INFO] Add SW11 footprint
13:29:01: [INFO] Add D11 footprint
13:29:01: [INFO] Add SW12 footprint
13:29:01: [INFO] Add D12 footprint
13:29:01: [INFO] Add SW13 footprint
13:29:01: [INFO] Add D13 footprint
