=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIHdwLgAgIwDoCsBfANHcAGDPwtcMFDs8AmM4gZmrwBZ6MVmA2MiAD1jgdUzY2+asNJFhVCRjrSm01lgjR4ydNI4BdDACgwUXmsHgEIoqfHZTUqzOqn5txbY5LwPeP3XYA7Gd8k1H424H6yAY6hLJwGqgJEflq6+iqI8dgU-uCZltkYIZnheZGZznmucNy8XsYAHFn1ufUh9UX1kfXOyobp4PVJet1x3uA0WWO5YyFjRWORY13uvGy9AJyBROsh60XrkeuLqUabGAP6HnA4vQxZN7k3ITfhVapXIwh4RR8Ykd9l32cIAAnXg0PDYIEXFYoIhAgCe1SQFBh2AuyHB4AR8AAtFdkUQABY9EY3VjaQaY3i41CE4nGG5Mcn6EHwHwopbwCg07BYuDYrkjGFlGF0JkvOAC4wwyIwqhi8Asvls2FosaoqleIi87HIZHGBCmL4WcDyi7YmrmBz2awm5LAqlgohmzI8qno2nDfV4Uimt1aqlvD1pd6UE2aIA
13:40:21: [INFO] Add D1 footprint
13:40:21: [INFO] Add SW2 footprint
13:40:21: [INFO] Add D2 footprint
13:40:21: [INFO] Add SW3 footprint
13:40:21: [INFO] Add D3 footprint
13:40:21: [INFO] Add SW4 footprint
13:40:21: [INFO] Add D4 footprint
13:40:21: [INFO] Add SW5 footprint
13:40:21: [INFO] Add D5 footprint
13:40:21: [INFO] Add SW6 footprint
13:40:21: [INFO] Add D6 footprint
13:40:21: [INFO] Add SW7 footprint
13:40:21: [INFO] Add D7 footprint
13:40:21: [INFO] Add SW8 footprint
13:40:21: [INFO] Add D8 footprint
13:40:21: [INFO] Add SW9 footprint
13:40:21: [INFO] Add D9 footprint
13:40:21: [INFO] Add SW10 footprint
13:40:21: [INFO] Add D10 footprint
13:40:21: [INFO] Add SW11 footprint
13:40:21: [INFO] Add D11 footprint
13:40:21: [INFO] Add SW12 footprint
13:40:22: [INFO] Add D12 footprint
13:40:22: [INFO] Add SW13 footprint
13:40:22: [INFO] Add D13 footprint
13:40:22: [INFO] Add SW14 footprint
13:40:22: [INFO] Add D14 footprint
13:40:22: [INFO] Add SW15 footprint
13:40:22: [INFO] Add D15 footprint
13:40:22: [INFO] Add SW16 footprint
13:40:22: [INFO] Add D16 footprint
13:40:22: [INFO] Add SW17 footprint
13:40:22: [INFO] Add D17 footprint
13:40:22: [INFO] Add SW18 footprint
13:40:22: [INFO] Add D18 footprint
13:40:22: [INFO] Add SW19 footprint
13:40:22: [INFO] Add D19 footprint
13:40:22: [INFO] Add SW20 footprint
13:40:22: [INFO] Add D20 footprint
13:40:22: [INFO] Add SW21 footprint
13:40:22: [INFO] Add D21 footprint
13:40:22: [INFO] Add SW22 footprint
13:40:22: [INFO] Add D22 footprint
13:40:22: [INFO] Add SW23 footprint
13:40:22: [INFO] Add D23 footprint
13:40:22: [INFO] Add SW24 footprint
13:40:22: [INFO] Add D24 footprint
13:40:22: [INFO] Add SW25 footprint
13:40:22: [INFO] Add D25 footprint
13:40:22: [INFO] Add SW26 footprint
13:40:22: [INFO] Add D26 footprint
13:40:22: [INFO] Add SW27 footprint
13:40:22: [INFO] Add D27 footprint
13:40:22: [INFO] Add SW28 footprint
13:40:23: [INFO] Add D28 footprint
13:40:23: [INFO] Add SW29 footprint
13:40:23: [INFO] Add D29 footprint
13:40:23: [INFO] Add SW30 footprint
13:40:23: [INFO] Add D30 footprint
13:40:23: [INFO] Add SW31 footprint
13:40:23: [INFO] Add D31 footprint
13:40:23: [INFO] Add SW32 footprint
13:40:23: [INFO] Add D32 footprint
13:40:23: [INFO] Add SW33 footprint
13:40:23: [INFO] Add D33 footprint
13:40:23: [INFO] Add SW34 footprint
13:40:23: [INFO] Add D34 footprint
13:40:23: [INFO] Add SW35 footprint
13:40:23: [INFO] Add D35 footprint
13:40:23: [INFO] Add SW36 footprint
