=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYC+AaO4AMaEGYAdAO2OJwXA3ACZdrSSjzwBdNAKDCljjyoE8eWAHQBWKgGMe4AMQB2BYvDpMOLJTgQp8WRL37lVZkbTUN2NHnM4ALNbSj7Se3PsAOewE57CdSYQU-mYYWtIyAIaRUeYA7jzUKhb4DGRofqq4dmycENDwfJhx8AhiiQhpGqE6MvoGZbjm5cGY5VZU5XbtDo1ozl2uXR5d3l2+PQHjzRBFiKWjhIzE5elVmBFRkYYtmZXcxWKSYYpKVDMl1OKYABbxp2b7l+BX94hUkC8AtCIXibTJi0RyhRslw8rxDtUNptTjwSnJRL8KiFwNo1rU9FsaA0qLRmli2phaJ1Cd0cb1zLQBiShiSRiSxmSJsjUbJjgpYvFhD9GQsGMtdiz1htMX9ibkhAdMIL0VJEQh6ACgawOFxBVDwhz9tzMHwsCkiH8BWEZZibGgbPrDciwSJ4RC1urNXBqFyEVRdZakZoUcb0Zi+IEdaZzHwCeA+MTw6Sg30g1SozSo3SowzvWqoU64W6g0yc2GA1kVeL8jCtdnwGaVuAzq7EmbA9NYbWqGapj7qibS3AkFzUC2HPrdbswV9hFhylKwo6u+dy2a6Y2y3XcFWbXNMPXAxXcGH64Wcntu8I7ZhBPBvo9pX6uy7tdveYwA7sa3ezaJB9jvTMXfDl3IP8CLBAA
13:32:12: [INFO] Add D2 footprint
13:32:12: [INFO] Add SW3 footprint
13:32:12: [INFO] Add D3 footprint
13:32:12: [INFO] Add SW4 footprint
13:32:12: [INFO] Add D4 footprint
13:32:12: [INFO] Add SW5 footprint
13:32:12: [INFO] Add D5 footprint
13:32:12: [INFO] Add SW6 footprint
13:32:12: [INFO] Add D6 footprint
13:32:12: [INFO] Add SW7 footprint
13:32:12: [INFO] Add D7 footprint
13:32:12: [INFO] Add SW8 footprint
13:32:12: [INFO] Add D8 footprint
13:32:12: [INFO] Add SW9 footprint
13:32:12: [INFO] Add D9 footprint
13:32:12: [INFO] Add SW10 footprint
13:32:12: [INFO] Add D10 footprint
13:32:12: [INFO] Add SW11 footprint
13:32:12: [INFO] Add D11 footprint
13:32:12: [INFO] Add SW12 footprint
13:32:12: [INFO] Add D12 footprint
13:32:13: [INFO] Add SW13 footprint
13:32:13: [INFO] Add D13 footprint
13:32:13: [INFO] Add SW14 footprint
13:32:13: [INFO] Add D14 footprint
13:32:13: [INFO] Add ST14 footprint
13:32:13: [INFO] Add SW14a footprint
13:32:13: [INFO] Add SW15 footprint
13:32:13: [INFO] Add D15 footprint
13:32:13: [INFO] Add SW16 footprint
13:32:13: [INFO] Add D16 footprint
13:32:13: [INFO] Add SW17 footprint
13:32:13: [INFO] Add D17 footprint
13:32:13: [INFO] Add SW18 footprint
13:32:13: [INFO] Add D18 footprint
13:32:13: [INFO] Add SW19 footprint
13:32:13: [INFO] Add D19 footprint
13:32:13: [INFO] Add SW20 footprint
13:32:13: [INFO] Add D20 footprint
13:32:13: [INFO] Add SW21 footprint
13:32:13: [INFO] Add D21 footprint
13:32:13: [INFO] Add SW22 footprint
13:32:13: [INFO] Add D22 footprint
13:32:13: [INFO] Add SW23 footprint
13:32:13: [INFO] Add D23 footprint
13:32:13: [INFO] Add SW24 footprint
13:32:13: [INFO] Add D24 footprint
13:32:13: [INFO] Add SW25 footprint
13:32:13: [INFO] Add D25 footprint
13:32:13: [INFO] Add SW26 footprint
13:32:13: [INFO] Add D26 footprint
13:32:13: [INFO] Add SW27 footprint
13:32:13: [INFO] Add D27 footprint
13:32:13: [INFO] Add SW28 footprint
13:32:13: [INFO] Add D28 footprint
13:32:14: [INFO] Add SW29 footprint
13:32:14: [INFO] Add D29 footprint
13:32:14: [INFO] Add SW30 footprint
13:32:14: [INFO] Add D30 footprint
13:32:14: [INFO] Add SW31 footprint
13:32:14: [INFO] Add D31 footprint
13:32:14: [INFO] Add SW32 footprint
13:32:14: [INFO] Add D32 footprint
13:32:14: [INFO] Add SW33 footprint
13:32:14: [INFO] Add D33 footprint
13:32:14: [INFO] Add SW34 footprint
13:32:14: [INFO] Add D34 footprint
13:32:14: [INFO] Add SW35 footprint
13:32:14: [INFO] Add D35 footprint
13:32:14: [INFO] Add SW36 footprint
13:32:14: [INFO] Add D36 footprint
13:32:14: [INFO] Add SW37 footprint
13:32:14: [INFO] Add D37 footprint
13:32:14: [INFO] Add SW38 footprint
13:32:14: [INFO] Add D38 footprint
13:32:14: [INFO] Add SW39 footprint
13:32:14: [INFO] Add D39 footprint
13:32:14: [INFO] Add SW40 footprint
13:32:14: [INFO] Add D40 footprint
13:32:14: [INFO] Add SW41 footprint
13:32:14: [INFO] Add D41 footprint
13:32:14: [INFO] Add SW42 footprint
13:32:14: [INFO] Add D42 footprint
13:32:14: [INFO] Add SW43 footprint
13:32:14: [INFO] Add D43 footprint
13:32:14: [INFO] Add SW43a footprint
13:32:14: [INFO] Add SW44 footprint
13:32:14: [INFO] Add D44 footprint
13:32:14: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:14: [INFO] Add ST44 footprint
13:32:14: [INFO] Add SW44a footprint
13:32:14: [INFO] Add ST44a footprint
13:32:14: [INFO] Add SW45 footprint
13:32:15: [INFO] Add D45 footprint
13:32:15: [INFO] Add SW46 footprint
13:32:15: [INFO] Add D46 footprint
13:32:15: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:15: [INFO] Add ST46 footprint
13:32:15: [INFO] Add SW46a footprint
13:32:15: [INFO] Add SW47 footprint
13:32:15: [INFO] Add D47 footprint
13:32:15: [INFO] Add SW48 footprint
13:32:15: [INFO] Add D48 footprint
13:32:15: [INFO] Add SW49 footprint
13:32:15: [INFO] Add D49 footprint
13:32:15: [INFO] Add SW50 footprint
13:32:15: [INFO] Add D50 footprint
13:32:15: [INFO] Add SW51 footprint
13:32:15: [INFO] Add D51 footprint
13:32:15: [INFO] Add SW52 footprint
13:32:15: [INFO] Add D52 footprint
13:32:15: [INFO] Add SW53 footprint
13:32:15: [INFO] Add D53 footprint
13:32:15: [INFO] Add SW54 footprint
13:32:15: [INFO] Add D54 footprint
