=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4DOBbWmAnAewBcB9AUwGMBGG8AXw3ATQQB0A7Ln7v3rhQTgMEaPGTpMVfOADEAdiXKRmXLMbNWNLgFEAygGFVY-MgBMU8DPjyAhg8ebMrc6pZoAzCaj4AnEieKEwuaDRuWmHeor4SSJYhHjQALD7iiPHBkTQo4AC6aABQYLEZClYAnmaZzDaYclSNTc7gNGxp1VZ19o4OLW30Md0NTY39aBGYbdFwpvAAHEgAbFlTYZOtUT7DvX3MAO745okDqTHpyEsnYbkFxXMZXbIjoy3m7eedtc+7du6H8BoqES70Gs2sz1GYxBEw6gOQQRh4XcoJmDwsT1simUSn++CBlmYAAsjgc3IDUMTyXA2phINSALQYpFncEXQLfLG-N43fJFErswnSSFQlqeD5sr7Crm7PEU8qJcVgiDDKEyRWwz7wAJXZhKjZKmbgJWsh5A8qc+rcjU5Pn3CFYtUtZIS9GU6VW2UHfGZRIu5UO+pOv2azAutGlAJ+Vbgf0RnZezAAmlIBXMf2pO4C-EKVPMKrwJmpzH1HG4kO2rMQAtwItCwPyYPMdDCLWPS09XpylMJZthHzJgkx9BuKulGhLPOYGtFi0e+RlhQtdA0I0r1ngFe3fkQAj4JbMdIoJAu6f4Bm5hAlztORKsDesXJt5mRJbuVhLsdH1CVar11WitcG5tE+axvswbSfjupTJEgfgwka7wbu8oHgO8b5fvgMbika4obuKqHihh0Hfoi6ZoBuLqoS64FhmgUH2qR15yNy3oUr2mDoPGIqvGxcDmL6famg2LGyok6AMSUe6FgedL4sgV75uesEcR48zvmgfhwhkqnaK2oR0Ha2baieSlxP+PHNNc6kQZp7gDPpmyGZhCxwTCS7MO8NmYO8WmeWEjmgvQLlwAEyQat5xp2XqAXuEqwUkfgizzDGLqRS6fl0TQjn+mCsbrEZDzJVYyYCSgw5oN5Ko-GJfZaXkeRAA
13:39:01: [INFO] Add SW85 footprint
13:39:01: [INFO] Add D85 footprint
13:39:01: [WARNING] Requested width 2.55u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:39:01: [INFO] Add SW86 footprint
13:39:01: [INFO] Add D86 footprint
13:39:01: [WARNING] Unexpected stabilizer width 2.55u, no footprint will be set
13:39:01: [INFO] Add SW87 footprint
13:39:01: [INFO] Add D87 footprint
13:39:01: [INFO] Add SW88 footprint
13:39:01: [INFO] Add D88 footprint
13:39:01: [INFO] Add SW89 footprint
13:39:01: [INFO] Add D89 footprint
13:39:01: [INFO] Add SW90 footprint
13:39:01: [INFO] Add D90 footprint
13:39:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:01: [INFO] Layout offset: (38100000, 28575000)
13:39:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:01: [INFO] Placing additional elements for SW90
13:39:01: [INFO] Placing additional elements for SW89
13:39:01: [INFO] Placing additional elements for SW88
13:39:01: [INFO] Placing additional elements for SW87
13:39:01: [INFO] Placing additional elements for SW86
13:39:01: [INFO] Placing additional elements for SW85
13:39:01: [INFO] Placing additional elements for SW84
13:39:01: [INFO] Placing additional elements for SW83
13:39:01: [INFO] Placing additional elements for SW82
13:39:01: [INFO] Placing additional elements for SW81
13:39:01: [INFO] Placing additional elements for SW80
13:39:01: [INFO] Placing additional elements for SW79
13:39:01: [INFO] Placing additional elements for SW78
13:39:01: [INFO] Placing additional elements for SW77
13:39:01: [INFO] Placing additional elements for SW76
13:39:01: [INFO] Placing additional elements for SW75
13:39:01: [INFO] Placing additional elements for SW74
13:39:01: [INFO] Placing additional elements for SW73
13:39:01: [INFO] Placing additional elements for SW72
13:39:01: [INFO] Placing additional elements for SW71
