=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxFwmwIpqrV5YBMjtWAZj74ALMKwBWcQDZxycQA5GEAB4sJ2BNIJ9tDGtt4HBurGONTjs4-ONKAulgBQwcHR3EoLcpQqc3WPoI7kbBJjTu5mGWYdZhtmFKnmrwGjTIHggZQeAZobnhWWZ8GTEFcQUJzGRs7P4ZDs6u3JnVrACGnV3+LTktoW0+vj2F4C1RY5J8LRUtCZNJTOApcGkICpngGzkb+RtCNBsTG2UbFRvzG40ug7XomuACrV41Xd0PTzlPAy+svn4fUZPCZPMpPCpPeZPRaqdQPACcm0ROUR+URBwQiImiLKiLit3YHARWHmiOurhEm0pQVub06-kpP1If3+DNGlImlLKlIqlPmlJhyzhEXwhBFgT4dHw+Slo1lE1lMVpdP8svxvyQhPkD1lVQ1iH+0B1+HJBMJ-gkm0tNP1hotPGU+rp7XtGPAlomlqVttZD0tFUteuZmvNfqwgpWazc7jFS2DBt9EXcOToIUd8edqvcbtTxSTU088a1WawFVz81zDnsQA
13:33:50: [INFO] Add Net-(D90-A) net
13:33:50: [INFO] Add Net-(D91-A) net
13:33:50: [INFO] Add Net-(D92-A) net
13:33:50: [INFO] Add Net-(D93-A) net
13:33:50: [INFO] Add Net-(D94-A) net
13:33:50: [INFO] Add Net-(D95-A) net
13:33:50: [INFO] Add Net-(D96-A) net
13:33:50: [INFO] Add Net-(D97-A) net
13:33:50: [INFO] Add Net-(D98-A) net
13:33:50: [INFO] Add Net-(D99-A) net
13:33:50: [INFO] Add ROW0 net
13:33:50: [INFO] Add ROW1 net
13:33:50: [INFO] Add ROW10 net
13:33:50: [INFO] Add ROW11 net
13:33:50: [INFO] Add ROW2 net
13:33:50: [INFO] Add ROW3 net
13:33:50: [INFO] Add ROW4 net
13:33:50: [INFO] Add ROW5 net
13:33:50: [INFO] Add ROW6 net
13:33:50: [INFO] Add ROW7 net
13:33:50: [INFO] Add ROW8 net
13:33:50: [INFO] Add ROW9 net
13:33:50: [INFO] Add SW1 footprint
13:33:50: [INFO] Add D1 footprint
13:33:50: [INFO] Add SW2 footprint
13:33:50: [INFO] Add D2 footprint
13:33:50: [INFO] Add SW3 footprint
13:33:50: [INFO] Add D3 footprint
13:33:50: [INFO] Add SW4 footprint
13:33:50: [INFO] Add D4 footprint
13:33:50: [INFO] Add SW5 footprint
13:33:50: [INFO] Add D5 footprint
13:33:50: [INFO] Add SW6 footprint
13:33:50: [INFO] Add D6 footprint
13:33:50: [INFO] Add SW7 footprint
13:33:50: [INFO] Add D7 footprint
13:33:50: [INFO] Add SW8 footprint
13:33:50: [INFO] Add D8 footprint
13:33:50: [INFO] Add SW9 footprint
13:33:50: [INFO] Add D9 footprint
13:33:50: [INFO] Add SW10 footprint
13:33:50: [INFO] Add D10 footprint
13:33:50: [INFO] Add SW11 footprint
13:33:50: [INFO] Add D11 footprint
13:33:50: [INFO] Add SW12 footprint
13:33:50: [INFO] Add D12 footprint
13:33:50: [INFO] Add SW13 footprint
13:33:50: [INFO] Add D13 footprint
13:33:50: [INFO] Add SW14 footprint
13:33:50: [INFO] Add D14 footprint
13:33:50: [INFO] Add SW15 footprint
13:33:50: [INFO] Add D15 footprint
13:33:50: [INFO] Add SW16 footprint
13:33:50: [INFO] Add D16 footprint
13:33:50: [INFO] Add SW17 footprint
13:33:51: [INFO] Add D17 footprint
13:33:51: [INFO] Add SW18 footprint
13:33:51: [INFO] Add D18 footprint
13:33:51: [INFO] Add SW19 footprint
13:33:51: [INFO] Add D19 footprint
13:33:51: [INFO] Add SW20 footprint
13:33:51: [INFO] Add D20 footprint
13:33:51: [INFO] Add SW21 footprint
13:33:51: [INFO] Add D21 footprint
13:33:51: [INFO] Add SW22 footprint
13:33:51: [INFO] Add D22 footprint
13:33:51: [INFO] Add SW23 footprint
13:33:51: [INFO] Add D23 footprint
13:33:51: [INFO] Add SW24 footprint
13:33:51: [INFO] Add D24 footprint
13:33:51: [INFO] Add SW25 footprint
13:33:51: [INFO] Add D25 footprint
13:33:51: [INFO] Add SW26 footprint
13:33:51: [INFO] Add D26 footprint
13:33:51: [INFO] Add SW27 footprint
13:33:51: [INFO] Add D27 footprint
13:33:51: [INFO] Add SW28 footprint
13:33:51: [INFO] Add D28 footprint
13:33:51: [INFO] Add SW29 footprint
13:33:51: [INFO] Add D29 footprint
13:33:51: [INFO] Add SW30 footprint
13:33:51: [INFO] Add D30 footprint
13:33:51: [INFO] Add SW31 footprint
13:33:51: [INFO] Add D31 footprint
13:33:51: [INFO] Add SW32 footprint
