=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgiQ7h8NOkaaJWNk9vHQRvAzCMEQpvCRiMKUMoYxRTZB4ACzwrYIxpAB0AOyKi6k16cCzLD3i5EuLCst9k-0CWdnjleLV4jR4Q0K89CL8EVNMeNxze6IrGMbboXIKG0r1+jDrVxvWHZ1GTNMnsmoQ+HyT55jaOs-WKc4jwc9nn8R5zxIqADzw+QkonnOXTuPTufQeekG530zSu4zMOBO1nBswOARuQLy9TW0M2OJ23D2Ll+8GkJAoAE88ABaSgUhDwtLpChVdwo8BCbHbJpJNnTBBcrb1JrEiDU+B0hmuZGeLnldGLW6c+6C-g8LmvLlxNVfCCkuD-QEULkglVglUQtX4QZc2GXFLM47VDl2tEtBaYk3ckWqlXChpccBij2HCbmWUUMQXBDRwbRvgE7zlcDRoRJmOKm4R+BCTzR4gZhUy3P5jCKItwx1HMsaStRqH12PDZpTU6pvT2Jwkv7thMZ+NRAdV1rZpFkssreohEdjJ21yjDhs24chg3-Dn97bhHhpjNPaNifez66BZ2GsuF7fqpJuPhlivXkahhGoZXRlTH5eLp+7xu-tde03fgM1ePdrzA8RQL-K9pyiE8MTPHMLwbKcGm8d0mRrBtHzgyDPwgv860I5d8GgwD4A3ZCBQ7RNrx1LMkPHOA5EnDMGJfJ1qL7f84IkOw7CAA
13:31:28: [INFO] Add Net-(D9-A) net
13:31:28: [INFO] Add ROW0 net
13:31:28: [INFO] Add ROW1 net
13:31:28: [INFO] Add ROW2 net
13:31:28: [INFO] Add ROW3 net
13:31:28: [INFO] Add ROW4 net
13:31:28: [INFO] Add SW1 footprint
13:31:28: [INFO] Add D1 footprint
13:31:28: [INFO] Add SW2 footprint
13:31:28: [INFO] Add D2 footprint
13:31:28: [INFO] Add SW3 footprint
13:31:28: [INFO] Add D3 footprint
13:31:28: [INFO] Add SW4 footprint
13:31:28: [INFO] Add D4 footprint
13:31:28: [INFO] Add SW5 footprint
13:31:28: [INFO] Add D5 footprint
13:31:28: [INFO] Add SW6 footprint
13:31:28: [INFO] Add D6 footprint
13:31:28: [INFO] Add SW7 footprint
13:31:28: [INFO] Add D7 footprint
13:31:28: [INFO] Add SW8 footprint
13:31:28: [INFO] Add D8 footprint
13:31:28: [INFO] Add SW9 footprint
13:31:28: [INFO] Add D9 footprint
13:31:28: [INFO] Add SW10 footprint
13:31:28: [INFO] Add D10 footprint
13:31:28: [INFO] Add SW11 footprint
13:31:28: [INFO] Add D11 footprint
13:31:28: [INFO] Add SW12 footprint
13:31:28: [INFO] Add D12 footprint
13:31:28: [INFO] Add SW13 footprint
13:31:28: [INFO] Add D13 footprint
13:31:28: [INFO] Add SW14 footprint
13:31:28: [INFO] Add D14 footprint
13:31:29: [INFO] Add SW15 footprint
13:31:29: [INFO] Add D15 footprint
13:31:29: [INFO] Add SW16 footprint
13:31:29: [INFO] Add D16 footprint
13:31:29: [INFO] Add SW17 footprint
13:31:29: [INFO] Add D17 footprint
13:31:29: [INFO] Add SW18 footprint
13:31:29: [INFO] Add D18 footprint
13:31:29: [INFO] Add SW19 footprint
13:31:29: [INFO] Add D19 footprint
13:31:29: [INFO] Add SW20 footprint
13:31:29: [INFO] Add D20 footprint
13:31:29: [INFO] Add SW21 footprint
13:31:29: [INFO] Add D21 footprint
13:31:29: [INFO] Add SW21a footprint
13:31:29: [INFO] Add SW22 footprint
13:31:29: [INFO] Add D22 footprint
13:31:29: [INFO] Add SW22a footprint
13:31:29: [INFO] Add SW23 footprint
13:31:29: [INFO] Add D23 footprint
13:31:29: [INFO] Add SW24 footprint
13:31:29: [INFO] Add D24 footprint
13:31:29: [INFO] Add SW25 footprint
13:31:29: [INFO] Add D25 footprint
13:31:29: [INFO] Add SW26 footprint
13:31:29: [INFO] Add D26 footprint
13:31:29: [INFO] Add SW27 footprint
13:31:29: [INFO] Add D27 footprint
13:31:29: [INFO] Add SW28 footprint
13:31:29: [INFO] Add D28 footprint
13:31:29: [INFO] Add SW29 footprint
13:31:29: [INFO] Add D29 footprint
13:31:29: [INFO] Add SW30 footprint
13:31:29: [INFO] Add D30 footprint
13:31:29: [INFO] Add SW31 footprint
13:31:30: [INFO] Add D31 footprint
13:31:30: [INFO] Add SW32 footprint
13:31:30: [INFO] Add D32 footprint
13:31:30: [INFO] Add SW33 footprint
13:31:30: [INFO] Add D33 footprint
13:31:30: [INFO] Add SW34 footprint
13:31:30: [INFO] Add D34 footprint
13:31:30: [INFO] Add SW35 footprint
13:31:30: [INFO] Add D35 footprint
13:31:30: [INFO] Add SW36 footprint
13:31:30: [INFO] Add D36 footprint
13:31:30: [INFO] Add SW37 footprint
13:31:30: [INFO] Add D37 footprint
13:31:30: [INFO] Add SW38 footprint
13:31:30: [INFO] Add D38 footprint
13:31:30: [INFO] Add SW39 footprint
13:31:30: [INFO] Add D39 footprint
13:31:30: [INFO] Add SW40 footprint
13:31:30: [INFO] Add D40 footprint
13:31:30: [INFO] Add SW41 footprint
13:31:30: [INFO] Add D41 footprint
13:31:30: [INFO] Add SW42 footprint
13:31:30: [INFO] Add D42 footprint
13:31:30: [INFO] Add SW43 footprint
13:31:30: [INFO] Add D43 footprint
13:31:30: [INFO] Add SW44 footprint
13:31:30: [INFO] Add D44 footprint
13:31:30: [INFO] Add SW45 footprint
13:31:30: [INFO] Add D45 footprint
13:31:30: [INFO] Add SW46 footprint
13:31:30: [INFO] Add D46 footprint
13:31:30: [INFO] Add SW47 footprint
13:31:30: [INFO] Add D47 footprint
13:31:30: [INFO] Add SW48 footprint
13:31:30: [INFO] Add D48 footprint
13:31:30: [INFO] Add SW49 footprint
13:31:31: [INFO] Add D49 footprint
13:31:31: [INFO] Add SW49a footprint
13:31:31: [INFO] Add SW50 footprint
13:31:31: [INFO] Add D50 footprint
13:31:31: [INFO] Add SW50a footprint
13:31:31: [INFO] Add SW51 footprint
13:31:31: [INFO] Add D51 footprint
13:31:31: [INFO] Add SW52 footprint
13:31:31: [INFO] Add D52 footprint
13:31:31: [INFO] Add SW53 footprint
13:31:31: [INFO] Add D53 footprint
13:31:31: [INFO] Add SW54 footprint
13:31:31: [INFO] Add D54 footprint
13:31:31: [INFO] Add SW55 footprint
13:31:31: [INFO] Add D55 footprint
13:31:31: [INFO] Add SW56 footprint
13:31:31: [INFO] Add D56 footprint
13:31:31: [INFO] Add SW57 footprint
13:31:31: [INFO] Add D57 footprint
13:31:31: [INFO] Add SW58 footprint
13:31:31: [INFO] Add D58 footprint
13:31:31: [INFO] Add SW59 footprint
13:31:31: [INFO] Add D59 footprint
13:31:31: [INFO] Add SW59a footprint
13:31:31: [INFO] Add SW60 footprint
13:31:31: [INFO] Add D60 footprint
13:31:31: [INFO] Add SW61 footprint
13:31:31: [INFO] Add D61 footprint
13:31:31: [INFO] Add SW62 footprint
13:31:31: [INFO] Add D62 footprint
13:31:31: [INFO] Add ST62 footprint
13:31:31: [INFO] Add SW62a footprint
13:31:31: [INFO] Add ST62a footprint
13:31:31: [INFO] Add SW63 footprint
13:31:32: [INFO] Add D63 footprint
13:31:32: [INFO] Add ST63 footprint
13:31:32: [INFO] Add SW64 footprint
