=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQOybgDGe4AxAdTeAL7ECM6C4mE08jAbEgsWXiUAhqLH1i-RgBZwAXXQAoMFDwBmQsVzwAtMgCcGLIKwUS5ixKz8ATGzgc8ADiTcG19I0bylKznEZNLG04PSRDd3B+VklPe0cuZDdYxjt2UnIKMXFiAHc8G0ipNQAdADty8uj41XgNAiLPUoqWqXtwaU9GSta4hWUE-DUjHDwwxkibFhr-HiRpSc9Zfr88RjUtMYMRk0oLS0jmLx8B2oDUTd1tgUzs0Xb8rlRDuPTds32yF7SHM8ZkBAvVLtI5qGrvO7CB5rZ5MJYnVbwZCMEYhcaRDasFaDQIbYJbcJ5GEEFCLbxvTKfL7EKY-Qb6JDDMnkrBTYEUoRUGjUaHwGxIGykmlNBE4vg7W53XlwfmCjGvX7vKlWcAbOlnFxOeXHYgbdmKyXZaWBEnasHYv4EJDMfFXQgSzncnna5a+MUIVEEwU3TmQ42wrCdbwW2a8G2jO0kn2mJ0EFVBn4dEXEIOu04AJzW-Cw-mkhNtoV4Huje0+Kv4YNisliKHa-G4orOeYWcMrWGY1fb6FrcIbIbwee4QtZ6Db4CmnfH3faUz7brOKGt8rHG0nGx7WA2c9O-l4wyJfIFw6TG4gEKlkU628RcDzTk9dsMB-Ox865vnmd0-2I-k1l1C-LFsYlJlo0caxE4dboPoUH-I2v6Mi84FdpBcIwXCcH9vALhoIsyFTqhI7oSOmHzghEy6ug+EbIRqrQe0epYmRzjWs+-Kmim6CQVhATIE43D-mET7Ab6UrPoEr6eFichAA
13:33:10: [INFO] Add Net-(D63-A) net
13:33:10: [INFO] Add Net-(D64-A) net
13:33:10: [INFO] Add Net-(D65-A) net
13:33:10: [INFO] Add Net-(D66-A) net
13:33:10: [INFO] Add Net-(D67-A) net
13:33:10: [INFO] Add Net-(D68-A) net
13:33:10: [INFO] Add Net-(D69-A) net
13:33:10: [INFO] Add Net-(D7-A) net
13:33:10: [INFO] Add Net-(D70-A) net
13:33:10: [INFO] Add Net-(D8-A) net
13:33:10: [INFO] Add Net-(D9-A) net
13:33:10: [INFO] Add ROW0 net
13:33:10: [INFO] Add ROW1 net
13:33:10: [INFO] Add ROW2 net
13:33:10: [INFO] Add ROW3 net
13:33:10: [INFO] Add ROW4 net
13:33:10: [INFO] Add SW1 footprint
13:33:10: [INFO] Add D1 footprint
13:33:10: [INFO] Add SW2 footprint
13:33:10: [INFO] Add D2 footprint
13:33:10: [INFO] Add SW3 footprint
13:33:10: [INFO] Add D3 footprint
13:33:10: [INFO] Add SW4 footprint
13:33:10: [INFO] Add D4 footprint
13:33:10: [INFO] Add SW5 footprint
13:33:10: [INFO] Add D5 footprint
13:33:10: [INFO] Add SW6 footprint
13:33:10: [INFO] Add D6 footprint
13:33:10: [INFO] Add SW7 footprint
13:33:10: [INFO] Add D7 footprint
13:33:10: [INFO] Add SW8 footprint
13:33:10: [INFO] Add D8 footprint
13:33:10: [INFO] Add SW9 footprint
13:33:10: [INFO] Add D9 footprint
13:33:10: [INFO] Add SW10 footprint
13:33:10: [INFO] Add D10 footprint
13:33:10: [INFO] Add SW11 footprint
13:33:11: [INFO] Add D11 footprint
13:33:11: [INFO] Add SW12 footprint
13:33:11: [INFO] Add D12 footprint
13:33:11: [INFO] Add SW13 footprint
13:33:11: [INFO] Add D13 footprint
13:33:11: [INFO] Add SW14 footprint
13:33:11: [INFO] Add D14 footprint
13:33:11: [INFO] Add ST14 footprint
13:33:11: [INFO] Add SW14a footprint
13:33:11: [INFO] Add SW15 footprint
13:33:11: [INFO] Add D15 footprint
13:33:11: [INFO] Add SW16 footprint
13:33:11: [INFO] Add D16 footprint
13:33:11: [INFO] Add SW17 footprint
13:33:11: [INFO] Add D17 footprint
13:33:11: [INFO] Add SW18 footprint
13:33:11: [INFO] Add D18 footprint
13:33:11: [INFO] Add SW19 footprint
13:33:11: [INFO] Add D19 footprint
13:33:11: [INFO] Add SW20 footprint
13:33:11: [INFO] Add D20 footprint
13:33:11: [INFO] Add SW21 footprint
13:33:11: [INFO] Add D21 footprint
13:33:11: [INFO] Add SW22 footprint
13:33:11: [INFO] Add D22 footprint
13:33:11: [INFO] Add SW23 footprint
13:33:11: [INFO] Add D23 footprint
13:33:11: [INFO] Add SW24 footprint
13:33:11: [INFO] Add D24 footprint
13:33:11: [INFO] Add SW25 footprint
13:33:11: [INFO] Add D25 footprint
13:33:11: [INFO] Add SW26 footprint
13:33:11: [INFO] Add D26 footprint
13:33:12: [INFO] Add SW27 footprint
13:33:12: [INFO] Add D27 footprint
13:33:12: [INFO] Add SW28 footprint
13:33:12: [INFO] Add D28 footprint
13:33:12: [INFO] Add SW29 footprint
13:33:12: [INFO] Add D29 footprint
13:33:12: [INFO] Add SW30 footprint
13:33:12: [INFO] Add D30 footprint
13:33:12: [INFO] Add SW31 footprint
13:33:12: [INFO] Add D31 footprint
13:33:12: [INFO] Add SW32 footprint
13:33:12: [INFO] Add D32 footprint
13:33:12: [INFO] Add SW33 footprint
13:33:12: [INFO] Add D33 footprint
13:33:12: [INFO] Add SW34 footprint
13:33:12: [INFO] Add D34 footprint
13:33:12: [INFO] Add SW35 footprint
13:33:12: [INFO] Add D35 footprint
13:33:12: [INFO] Add SW36 footprint
13:33:12: [INFO] Add D36 footprint
13:33:12: [INFO] Add SW37 footprint
13:33:12: [INFO] Add D37 footprint
13:33:12: [INFO] Add SW38 footprint
13:33:12: [INFO] Add D38 footprint
13:33:12: [INFO] Add SW39 footprint
13:33:12: [INFO] Add D39 footprint
13:33:12: [INFO] Add SW40 footprint
13:33:12: [INFO] Add D40 footprint
13:33:12: [INFO] Add SW41 footprint
13:33:12: [INFO] Add D41 footprint
13:33:12: [INFO] Add SW42 footprint
13:33:13: [INFO] Add D42 footprint
13:33:13: [INFO] Add SW43 footprint
13:33:13: [INFO] Add D43 footprint
13:33:13: [INFO] Add SW44 footprint
13:33:13: [INFO] Add D44 footprint
13:33:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:13: [INFO] Add ST44 footprint
13:33:13: [INFO] Add SW45 footprint
13:33:13: [INFO] Add D45 footprint
13:33:13: [INFO] Add SW46 footprint
13:33:13: [INFO] Add D46 footprint
13:33:13: [INFO] Add SW47 footprint
13:33:13: [INFO] Add D47 footprint
13:33:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:13: [INFO] Add ST47 footprint
13:33:13: [INFO] Add SW48 footprint
13:33:13: [INFO] Add D48 footprint
13:33:13: [INFO] Add SW49 footprint
13:33:13: [INFO] Add D49 footprint
13:33:13: [INFO] Add SW50 footprint
13:33:13: [INFO] Add D50 footprint
13:33:13: [INFO] Add SW51 footprint
13:33:13: [INFO] Add D51 footprint
13:33:13: [INFO] Add SW52 footprint
13:33:13: [INFO] Add D52 footprint
13:33:13: [INFO] Add SW53 footprint
13:33:13: [INFO] Add D53 footprint
13:33:13: [INFO] Add SW54 footprint
13:33:13: [INFO] Add D54 footprint
13:33:13: [INFO] Add SW55 footprint
13:33:13: [INFO] Add D55 footprint
13:33:13: [INFO] Add SW56 footprint
13:33:13: [INFO] Add D56 footprint
13:33:13: [INFO] Add SW57 footprint
13:33:13: [INFO] Add D57 footprint
13:33:13: [INFO] Add SW58 footprint
13:33:14: [INFO] Add D58 footprint
13:33:14: [INFO] Add SW59 footprint
13:33:14: [INFO] Add D59 footprint
13:33:14: [INFO] Add SW60 footprint
13:33:14: [INFO] Add D60 footprint
13:33:14: [INFO] Add SW61 footprint
13:33:14: [INFO] Add D61 footprint
13:33:14: [INFO] Add SW62 footprint
13:33:14: [INFO] Add D62 footprint
13:33:14: [INFO] Add SW63 footprint
13:33:14: [INFO] Add D63 footprint
13:33:14: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:14: [INFO] Add ST63 footprint
13:33:14: [INFO] Add SW64 footprint
13:33:14: [INFO] Add D64 footprint
13:33:14: [INFO] Add SW65 footprint
13:33:14: [INFO] Add D65 footprint
13:33:14: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:14: [INFO] Add ST65 footprint
13:33:14: [INFO] Add SW66 footprint
13:33:14: [INFO] Add D66 footprint
13:33:14: [INFO] Add SW67 footprint
13:33:14: [INFO] Add D67 footprint
13:33:14: [INFO] Add SW68 footprint
13:33:14: [INFO] Add D68 footprint
13:33:14: [INFO] Add SW69 footprint
13:33:14: [INFO] Add D69 footprint
13:33:14: [INFO] Add SW70 footprint
13:33:14: [INFO] Add D70 footprint
13:33:14: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:14: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:14: [INFO] Layout offset: (37147500, 34290000)
13:33:14: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:14: [INFO] Placing additional elements for SW70
13:33:14: [INFO] Placing additional elements for SW69
13:33:14: [INFO] Placing additional elements for SW68
13:33:14: [INFO] Placing additional elements for SW67
13:33:14: [INFO] Placing additional elements for SW66
13:33:14: [INFO] Placing additional elements for SW65
13:33:14: [INFO] Placing additional elements for SW64
13:33:14: [INFO] Placing additional elements for SW63
13:33:14: [INFO] Placing additional elements for SW62
13:33:14: [INFO] Placing additional elements for SW61
13:33:14: [INFO] Placing additional elements for SW60
13:33:14: [INFO] Placing additional elements for SW59
13:33:14: [INFO] Placing additional elements for SW58
13:33:14: [INFO] Placing additional elements for SW57
13:33:14: [INFO] Placing additional elements for SW56
13:33:14: [INFO] Placing additional elements for SW55
