=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgJwDoDsBWANHcBjW2BiFYk8AXy3AA4MAGcAXQwCgwp9l0LsaBGRlm2jxOabtQwAmAawjC4VJJMzYAnvl6U88cARz6D4SgGcAtvnAAnAPYAXAPoBTHL37iaaADoA7Hz8kYvH6+IcGO-FgQACb4tpYAro7uGF6h3gG0wVkhjtJMsrgWRCTERthmFuSUAMx02bSBZRAVOjYOzq5V2LWZaQ292WH0kezwvNVKYpQoKdmaA2lh0iMt2F3gM6nBmvz5Qvgok5Tq8LRH2NqEBobitQAsZRt1aT2PM7uCcviKyibmrXYnC43NNnsFakFFmlHNUZGxLBoGth5BMVOATnAALSKXgBcr-NbiBqwvZfeCSJBojGYs5UKhEqRNUZwXhIWgMh6UBpoOFkuBnKn4GmoNGXXQlUoM4ZwCBivTXPAMj4FFGU45Cs7VFDiTQkz7MimC+DCuk6xkjeSs9mUTSc7CaHmk5kC9XGs7oLRFACGPt963mTLlCsVNsaTtVRqxmu1lACepV+ENrqjSFNsfNMuZVvEATt4ACjv18hdag1Is9OgIvr9ObogaKwfWAWV+3gADZzuj8CXCpXqz7HgALDSU24YeOtuB3TvU91o4djUc1RojBcspfdRlOhHG3hIqyW6do+SYo-Js-YNesqbYGZ5ItC1HJ4Uey8jm9PWGr9-iGYPbeWmg5bIo+bLJpqNAXA2CrrHcW4PsaQH7rOqb0pQcHSuAcERJmlpsuIcETnymJWs+c4ERgdqyt6-awSkvLMpiEzIWWWoVlcMHiJg94JohYGlm6qFcXWlCYDhfLZqJ44MSepECSmXBSVRvaEBKKDrJgha8VizFkUgbFQZWjbiG28HaZiSF6Wm2CmZhpniVm+GUKZRGMXJXaCYpNmUfWfa0SZ9EMAwQA
13:39:55: [INFO] Add D17 footprint
13:39:55: [INFO] Add SW18 footprint
13:39:55: [INFO] Add D18 footprint
13:39:55: [INFO] Add SW19 footprint
13:39:55: [INFO] Add D19 footprint
13:39:55: [INFO] Add SW19a footprint
13:39:55: [INFO] Add SW20 footprint
13:39:55: [INFO] Add D20 footprint
13:39:55: [INFO] Add SW21 footprint
13:39:56: [INFO] Add D21 footprint
13:39:56: [INFO] Add SW22 footprint
13:39:56: [INFO] Add D22 footprint
13:39:56: [INFO] Add SW23 footprint
13:39:56: [INFO] Add D23 footprint
13:39:56: [INFO] Add SW24 footprint
13:39:56: [INFO] Add D24 footprint
13:39:56: [INFO] Add SW25 footprint
13:39:56: [INFO] Add D25 footprint
13:39:56: [INFO] Add SW26 footprint
13:39:56: [INFO] Add D26 footprint
13:39:56: [INFO] Add SW27 footprint
13:39:56: [INFO] Add D27 footprint
13:39:56: [INFO] Add SW28 footprint
13:39:56: [INFO] Add D28 footprint
13:39:56: [INFO] Add SW29 footprint
13:39:56: [INFO] Add D29 footprint
13:39:56: [INFO] Add SW30 footprint
13:39:56: [INFO] Add D30 footprint
13:39:56: [INFO] Add SW31 footprint
13:39:56: [INFO] Add D31 footprint
13:39:56: [INFO] Add SW32 footprint
13:39:56: [INFO] Add D32 footprint
13:39:56: [INFO] Add SW33 footprint
13:39:56: [INFO] Add D33 footprint
13:39:56: [INFO] Add SW34 footprint
13:39:56: [INFO] Add D34 footprint
13:39:56: [INFO] Add SW35 footprint
13:39:56: [INFO] Add D35 footprint
13:39:56: [INFO] Add SW36 footprint
13:39:56: [INFO] Add D36 footprint
13:39:56: [INFO] Add SW37 footprint
13:39:56: [INFO] Add D37 footprint
13:39:56: [INFO] Add SW38 footprint
13:39:57: [INFO] Add D38 footprint
13:39:57: [INFO] Add SW39 footprint
