=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoBMBWAvgGjuADFiuDhNPAOxLmY7hqHgC6WAUGFLHGqvbgJ6cAtHiQAOatlwEAzMTilOARiR5J+LIrkL43CbXqaSHeMtX6ss5m21xRPWgPjCxeqVjxbjcaVRq56HlbsjnDO4n7qonLq5NEECJ5kcCLoagRocVgALIlKyq502dH0GUE2yOgOQiLSBYoMRkmUBQgMZV7clfzVLhH1so1KKmr1hvIdvmqtYzamUxZMrOxJdl3gIWF17rnwPi3b7Rsi4SNYUbT1sRdYCYPwKX1YGdc5d3CK+RGtr7itpUvlezdJw1AooBrjJqTWjkNoAiZrI69NTggaQoZmXDgmYTAqwnFJOYwhbtFZA9Y9E60cEeN57CKwwLwwlVEHI6lYK7okw8FFPaLgn6zT5qWE-cCw-7WLwVXgUtm1CLSCE2ZoRURw6VJTpypFU3DKtGzYa0ZUEzi6dUaHbvE24DWWZmcVa6ykFZW07neaH2g7wvXus7RZVc8DK25eh5qZXPA1FN4fH3gDXijVS5YW3ys0IiRRrADGnHAAGIAIblivgNRZBa0GtEN7IAoATgh4Fbjq1nDV2ecBRr5vgWSTrc07QATpxpARcOOks2s7OQsO1klnIienLC-AS+Q9-vogALTgoat+6WTpzT2hzpTcOXj5dIOVrnwbpwocnH+Cn2itwKMEAA
13:33:30: [INFO] Add SW2 footprint
13:33:30: [INFO] Add D2 footprint
13:33:30: [INFO] Add SW3 footprint
13:33:30: [INFO] Add D3 footprint
13:33:30: [INFO] Add SW4 footprint
13:33:30: [INFO] Add D4 footprint
13:33:30: [INFO] Add SW5 footprint
13:33:30: [INFO] Add D5 footprint
13:33:30: [INFO] Add SW6 footprint
13:33:30: [INFO] Add D6 footprint
13:33:30: [INFO] Add SW7 footprint
13:33:30: [INFO] Add D7 footprint
13:33:30: [INFO] Add SW8 footprint
13:33:30: [INFO] Add D8 footprint
13:33:30: [INFO] Add SW9 footprint
13:33:30: [INFO] Add D9 footprint
13:33:30: [INFO] Add SW10 footprint
13:33:31: [INFO] Add D10 footprint
13:33:31: [INFO] Add SW11 footprint
13:33:31: [INFO] Add D11 footprint
13:33:31: [INFO] Add SW12 footprint
13:33:31: [INFO] Add D12 footprint
13:33:31: [INFO] Add SW13 footprint
13:33:31: [INFO] Add D13 footprint
13:33:31: [INFO] Add SW14 footprint
13:33:31: [INFO] Add D14 footprint
13:33:31: [INFO] Add SW15 footprint
13:33:31: [INFO] Add D15 footprint
13:33:31: [INFO] Add SW16 footprint
13:33:31: [INFO] Add D16 footprint
13:33:31: [INFO] Add SW17 footprint
13:33:31: [INFO] Add D17 footprint
13:33:31: [INFO] Add SW18 footprint
13:33:31: [INFO] Add D18 footprint
13:33:31: [INFO] Add SW19 footprint
13:33:31: [INFO] Add D19 footprint
13:33:31: [INFO] Add SW20 footprint
13:33:31: [INFO] Add D20 footprint
13:33:31: [INFO] Add SW21 footprint
13:33:31: [INFO] Add D21 footprint
13:33:31: [INFO] Add SW22 footprint
13:33:31: [INFO] Add D22 footprint
13:33:31: [INFO] Add SW23 footprint
13:33:31: [INFO] Add D23 footprint
13:33:31: [INFO] Add SW24 footprint
13:33:31: [INFO] Add D24 footprint
13:33:31: [INFO] Add SW25 footprint
13:33:31: [INFO] Add D25 footprint
13:33:31: [INFO] Add SW26 footprint
13:33:32: [INFO] Add D26 footprint
13:33:32: [INFO] Add SW27 footprint
13:33:32: [INFO] Add D27 footprint
13:33:32: [INFO] Add SW28 footprint
13:33:32: [INFO] Add D28 footprint
13:33:32: [INFO] Add SW29 footprint
13:33:32: [INFO] Add D29 footprint
13:33:32: [INFO] Add SW30 footprint
13:33:32: [INFO] Add D30 footprint
13:33:32: [INFO] Add SW31 footprint
13:33:32: [INFO] Add D31 footprint
13:33:32: [INFO] Add SW32 footprint
13:33:32: [INFO] Add D32 footprint
13:33:32: [INFO] Add SW33 footprint
13:33:32: [INFO] Add D33 footprint
13:33:32: [INFO] Add SW34 footprint
13:33:32: [INFO] Add D34 footprint
13:33:32: [INFO] Add SW35 footprint
13:33:32: [INFO] Add D35 footprint
13:33:32: [INFO] Add ST35 footprint
13:33:32: [INFO] Add SW36 footprint
13:33:32: [INFO] Add D36 footprint
13:33:32: [INFO] Add SW37 footprint
13:33:32: [INFO] Add D37 footprint
13:33:32: [INFO] Add SW38 footprint
13:33:32: [INFO] Add D38 footprint
13:33:32: [INFO] Add SW39 footprint
13:33:32: [INFO] Add D39 footprint
13:33:32: [INFO] Add SW40 footprint
13:33:32: [INFO] Add D40 footprint
13:33:32: [INFO] Add SW41 footprint
13:33:33: [INFO] Add D41 footprint
13:33:33: [INFO] Add SW42 footprint
13:33:33: [INFO] Add D42 footprint
13:33:33: [INFO] Add SW43 footprint
13:33:33: [INFO] Add D43 footprint
13:33:33: [INFO] Add SW44 footprint
13:33:33: [INFO] Add D44 footprint
13:33:33: [INFO] Add SW45 footprint
13:33:33: [INFO] Add D45 footprint
13:33:33: [INFO] Add SW46 footprint
13:33:33: [INFO] Add D46 footprint
13:33:33: [INFO] Add SW47 footprint
13:33:33: [INFO] Add D47 footprint
13:33:33: [INFO] Add SW48 footprint
13:33:33: [INFO] Add D48 footprint
13:33:33: [INFO] Add SW49 footprint
13:33:33: [INFO] Add D49 footprint
13:33:33: [INFO] Add SW50 footprint
13:33:33: [INFO] Add D50 footprint
13:33:33: [INFO] Add SW51 footprint
13:33:33: [INFO] Add D51 footprint
13:33:33: [INFO] Add SW52 footprint
13:33:33: [INFO] Add D52 footprint
13:33:33: [INFO] Add SW53 footprint
13:33:33: [INFO] Add D53 footprint
13:33:33: [INFO] Add SW54 footprint
13:33:33: [INFO] Add D54 footprint
13:33:33: [INFO] Add SW55 footprint
13:33:33: [INFO] Add D55 footprint
13:33:33: [INFO] Add SW56 footprint
13:33:33: [INFO] Add D56 footprint
13:33:33: [INFO] Add SW57 footprint
13:33:34: [INFO] Add D57 footprint
13:33:34: [INFO] Add SW58 footprint
13:33:34: [INFO] Add D58 footprint
13:33:34: [INFO] Add SW59 footprint
13:33:34: [INFO] Add D59 footprint
13:33:34: [INFO] Add SW60 footprint
13:33:34: [INFO] Add D60 footprint
