=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:41:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbFfcAXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMrcaaoqzIKlNKQ2Ya4KLtj7xBSUeOx4U6g3ABs26hldmWJHDyNDYCwmJKeKRugaQq3uA00foAxmzgAMQAhjm54MYYOPRMAWwUIbxhSACc1U7KRf4WXhW2cPZCQtxp8Jkp-QP5EhgeMWzx9TSjTe7IrVX1pLT6seVKHrQzgZzzduGLGFIrckbcS3oy7lr1GxcW8orcG6YlFla77ftKS67H8C3rXzFczuYLcNodCJnDDJS6xCaA2HgDaNV7ucrgqq1Co9bDZXI5IbYJaokGBFqYvYOLrYXF9Ab9IngJajP5wBFPEbA0rwOaUz4JdjLOFyNbcESbNHbayVKmOJRCo4iwyPbBCu5XBISjWxU7YCUvMlsd78yH1IW-ZWeLVArYnD5mhUwsZkDn653iwrciwY0JU7HddL4glMoWknnWh3CGngOkZBmMp2sq1u8AS6ZSth8v0C+oIYX3MXYLoEO3wHamr7cfNK+568D5nVsa5KLpNlWtw7e9wmnOO6tAtkA7hdPyZwxRhxQ7D52H3VNdOexoMiVdrpldcM+mUQijYpT5regj4Udj1aqSkEAJ0CKm4V7apAqgXsDvISAQIiUd9LaKvbA2bAX19WV2geQNemDPJv1Ubt-zIIUgIWU1wNpFc11XJk7zHa85AqG8AJlB9xiQM9KxlOMCUJA8uRmeCghjAj4DvbBiLIZ9kL7d9PwgvEEzSGCM1wuxSEY2Je3cV8UIoT8lAvISWHo-gn3vWJ81Ytp4jIpCRPInEgyorIN1ov8BFIRDwCYoIJLY6zuGAnczJkiU0MgjDMLk21TLsQDJJAiFUOXSDDKZC81DoOggA
14:41:16: [INFO] Add D8 footprint
14:41:16: [INFO] Add SW9 footprint
14:41:16: [INFO] Add D9 footprint
14:41:16: [INFO] Add SW10 footprint
14:41:16: [INFO] Add D10 footprint
14:41:16: [INFO] Add SW11 footprint
14:41:16: [INFO] Add D11 footprint
14:41:16: [INFO] Add SW12 footprint
14:41:16: [INFO] Add D12 footprint
14:41:16: [INFO] Add SW13 footprint
14:41:17: [INFO] Add D13 footprint
14:41:17: [INFO] Add SW14 footprint
14:41:17: [INFO] Add D14 footprint
14:41:17: [INFO] Add SW15 footprint
14:41:17: [INFO] Add D15 footprint
14:41:17: [INFO] Add SW16 footprint
14:41:17: [INFO] Add D16 footprint
14:41:17: [INFO] Add SW17 footprint
14:41:17: [INFO] Add D17 footprint
14:41:17: [INFO] Add SW18 footprint
14:41:17: [INFO] Add D18 footprint
14:41:17: [INFO] Add SW19 footprint
14:41:17: [INFO] Add D19 footprint
14:41:17: [INFO] Add SW20 footprint
14:41:17: [INFO] Add D20 footprint
14:41:17: [INFO] Add SW21 footprint
14:41:17: [INFO] Add D21 footprint
14:41:17: [INFO] Add SW22 footprint
14:41:17: [INFO] Add D22 footprint
14:41:17: [INFO] Add SW23 footprint
14:41:17: [INFO] Add D23 footprint
14:41:17: [INFO] Add SW24 footprint
14:41:17: [INFO] Add D24 footprint
14:41:17: [INFO] Add SW25 footprint
14:41:17: [INFO] Add D25 footprint
14:41:17: [INFO] Add SW26 footprint
14:41:17: [INFO] Add D26 footprint
14:41:17: [INFO] Add SW27 footprint
14:41:17: [INFO] Add D27 footprint
14:41:17: [INFO] Add SW28 footprint
14:41:17: [INFO] Add D28 footprint
14:41:17: [INFO] Add SW29 footprint
14:41:17: [INFO] Add D29 footprint
14:41:17: [INFO] Add SW30 footprint
14:41:17: [INFO] Add D30 footprint
14:41:18: [INFO] Add SW31 footprint
