=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:45: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGLAOgHbfds28eQwZRaY4EAB4EWAOgBMAVmZ4C4RszadhXLeKkyFyhNHhIA7JavjwAdwI1Zipgn76oaxJG8+NrjPI2bADMQRgALGGKYQBsYeZhABxhAJxhNGKaGHTpgVgQpggoaKg29vCOzlk0oQC6GABQYODSFUYu4DTs7q1wckrM5XCO5lUIXfT5HmZePt5+nQE2XaHMXZFrGNGbcZsJm8mbaZsZy9mTEtNFVtaDBPLtJ3WNzb2OAyaeJaUd8t1TvX6xjs90eCD+FwKnjm81+S2Yf1W4IiNj+22Ru2R+2Rh2Rx0uQxGY3AEMyl0KFhuCThNDy5K+3wWEOeTQMbSUHWC-0ugKMd3ZxK5F3AXLpEEJYJFGCRUJmMOg-LgMUlXJigm4XTJsqK32QZQcKuyWqulJuCyFwqFdKlNXA9VZLQIMWYAE9DB8TbM5vr4A8OcwuYp1VwJu4Jf6EKrg6GpkMHqNORhzNHsnbakA
13:32:47: [INFO] Add D10 footprint
13:32:47: [INFO] Add SW11 footprint
13:32:47: [INFO] Add D11 footprint
13:32:47: [INFO] Add SW12 footprint
13:32:47: [INFO] Add D12 footprint
13:32:47: [INFO] Add SW13 footprint
13:32:47: [INFO] Add D13 footprint
13:32:47: [INFO] Add SW14 footprint
13:32:47: [INFO] Add D14 footprint
13:32:47: [INFO] Add SW15 footprint
13:32:47: [INFO] Add D15 footprint
13:32:47: [INFO] Add SW16 footprint
13:32:47: [INFO] Add D16 footprint
13:32:47: [INFO] Add SW17 footprint
13:32:47: [INFO] Add D17 footprint
13:32:47: [INFO] Add SW18 footprint
13:32:47: [INFO] Add D18 footprint
13:32:47: [INFO] Add SW19 footprint
13:32:47: [INFO] Add D19 footprint
13:32:47: [INFO] Add SW20 footprint
13:32:47: [INFO] Add D20 footprint
13:32:47: [INFO] Add SW21 footprint
13:32:47: [INFO] Add D21 footprint
13:32:47: [INFO] Add SW22 footprint
13:32:47: [INFO] Add D22 footprint
13:32:47: [INFO] Add SW23 footprint
13:32:47: [INFO] Add D23 footprint
13:32:47: [INFO] Add SW24 footprint
13:32:47: [INFO] Add D24 footprint
13:32:48: [INFO] Add SW25 footprint
13:32:48: [INFO] Add D25 footprint
13:32:48: [INFO] Add SW26 footprint
13:32:48: [INFO] Add D26 footprint
13:32:48: [INFO] Add SW27 footprint
13:32:48: [INFO] Add D27 footprint
13:32:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:48: [INFO] Add ST27 footprint
13:32:48: [INFO] Add SW28 footprint
13:32:48: [INFO] Add D28 footprint
13:32:48: [INFO] Add SW29 footprint
13:32:48: [INFO] Add D29 footprint
13:32:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:48: [INFO] Add ST29 footprint
13:32:48: [INFO] Add SW30 footprint
13:32:48: [INFO] Add D30 footprint
13:32:48: [INFO] Add SW31 footprint
13:32:48: [INFO] Add D31 footprint
13:32:48: [INFO] Add SW32 footprint
13:32:48: [INFO] Add D32 footprint
13:32:48: [INFO] Add SW33 footprint
13:32:48: [INFO] Add D33 footprint
13:32:48: [INFO] Add SW34 footprint
13:32:48: [INFO] Add D34 footprint
13:32:48: [INFO] Add SW35 footprint
13:32:48: [INFO] Add D35 footprint
13:32:48: [INFO] Add SW36 footprint
13:32:48: [INFO] Add D36 footprint
13:32:48: [INFO] Add SW37 footprint
13:32:48: [INFO] Add D37 footprint
13:32:48: [INFO] Add SW38 footprint
13:32:48: [INFO] Add D38 footprint
13:32:48: [INFO] Add SW39 footprint
13:32:48: [INFO] Add D39 footprint
13:32:48: [INFO] Add SW40 footprint
13:32:48: [INFO] Add D40 footprint
13:32:48: [INFO] Add SW41 footprint
13:32:49: [INFO] Add D41 footprint
13:32:49: [INFO] Add SW42 footprint
13:32:49: [INFO] Add D42 footprint
13:32:49: [INFO] Add SW43 footprint
13:32:49: [INFO] Add D43 footprint
13:32:49: [INFO] Add SW44 footprint
13:32:49: [INFO] Add D44 footprint
13:32:49: [INFO] Add SW45 footprint
13:32:49: [INFO] Add D45 footprint
13:32:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:49: [INFO] Add ST45 footprint
13:32:49: [INFO] Add SW46 footprint
13:32:49: [INFO] Add D46 footprint
13:32:49: [INFO] Add ST46 footprint
13:32:49: [INFO] Add SW46a footprint
13:32:49: [INFO] Add SW47 footprint
13:32:49: [INFO] Add D47 footprint
13:32:49: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:49: [INFO] Add ST47 footprint
13:32:49: [INFO] Add SW48 footprint
13:32:49: [INFO] Add D48 footprint
13:32:49: [INFO] Add SW49 footprint
13:32:49: [INFO] Add D49 footprint
13:32:49: [INFO] Add SW50 footprint
13:32:49: [INFO] Add D50 footprint
13:32:49: [INFO] Add SW51 footprint
13:32:49: [INFO] Add D51 footprint
13:32:49: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:49: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:49: [INFO] Layout offset: (23812500, 28575000)
13:32:49: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:49: [INFO] Placing additional elements for SW51
13:32:49: [INFO] Placing additional elements for SW50
13:32:49: [INFO] Placing additional elements for SW49
13:32:49: [INFO] Placing additional elements for SW48
13:32:49: [INFO] Placing additional elements for SW47
13:32:49: [INFO] Placing additional elements for SW46a
13:32:49: [INFO] Placing additional elements for SW46
13:32:49: [INFO] Placing additional elements for SW45
13:32:49: [INFO] Placing additional elements for SW44
13:32:49: [INFO] Placing additional elements for SW43
13:32:49: [INFO] Placing additional elements for SW42
13:32:49: [INFO] Placing additional elements for SW41
13:32:49: [INFO] Placing additional elements for SW40
13:32:49: [INFO] Placing additional elements for SW39
13:32:49: [INFO] Placing additional elements for SW38
13:32:49: [INFO] Placing additional elements for SW37
13:32:49: [INFO] Placing additional elements for SW36
13:32:49: [INFO] Placing additional elements for SW35
13:32:49: [INFO] Placing additional elements for SW34
13:32:49: [INFO] Placing additional elements for SW33
13:32:49: [INFO] Placing additional elements for SW32
13:32:49: [INFO] Placing additional elements for SW31
13:32:49: [INFO] Placing additional elements for SW30
13:32:49: [INFO] Placing additional elements for SW29
13:32:49: [INFO] Placing additional elements for SW28
13:32:49: [INFO] Placing additional elements for SW27
13:32:49: [INFO] Placing additional elements for SW26
13:32:49: [INFO] Placing additional elements for SW25
13:32:49: [INFO] Placing additional elements for SW24
13:32:49: [INFO] Placing additional elements for SW23
13:32:49: [INFO] Placing additional elements for SW22
13:32:49: [INFO] Placing additional elements for SW21
13:32:49: [INFO] Placing additional elements for SW20
13:32:49: [INFO] Placing additional elements for SW19
13:32:49: [INFO] Placing additional elements for SW18
13:32:49: [INFO] Placing additional elements for SW17
13:32:49: [INFO] Placing additional elements for SW16
13:32:49: [INFO] Placing additional elements for SW15
13:32:49: [INFO] Placing additional elements for SW14
13:32:49: [INFO] Placing additional elements for SW13
13:32:49: [INFO] Placing additional elements for SW12
13:32:49: [INFO] Placing additional elements for SW11
13:32:49: [INFO] Placing additional elements for SW10
13:32:49: [INFO] Placing additional elements for SW9
13:32:49: [INFO] Placing additional elements for SW8
13:32:49: [INFO] Placing additional elements for SW7
13:32:49: [INFO] Placing additional elements for SW6
13:32:49: [INFO] Placing additional elements for SW5
13:32:49: [INFO] Placing additional elements for SW4
13:32:49: [INFO] Placing additional elements for SW3
13:32:49: [INFO] Placing additional elements for SW2
13:32:49: [INFO] Placing additional elements for SW1a
13:32:49: [INFO] Placing additional elements for SW1
13:32:49: [INFO] Routing SW51 with D51
13:32:49: [INFO] Using internal autorouter method
13:32:49: [INFO] Routing pad 'SW51:2' at (331152500, 90170000) with pad 'D51:2' at (333692500, 97850000) using coordinate system rotated by 0 degree(s)
13:32:49: [INFO] Adding track segment (B.Cu): [(331152500, 90170000), (331152500, 95310000)]
13:32:49: [INFO] Adding track segment (B.Cu): [(331152500, 95310000), (333692500, 97850000)]
13:32:49: [INFO] Routing SW50 with D50
13:32:49: [INFO] Using internal autorouter method
13:32:49: [INFO] Routing pad 'SW50:2' at (312102500, 90170000) with pad 'D50:2' at (314642500, 97850000) using coordinate system rotated by 0 degree(s)
13:32:49: [INFO] Adding track segment (B.Cu): [(312102500, 90170000), (312102500, 95310000)]
13:32:49: [INFO] Adding track segment (B.Cu): [(312102500, 95310000), (314642500, 97850000)]
13:32:49: [INFO] Routing SW49 with D49
13:32:49: [INFO] Using internal autorouter method
13:32:49: [INFO] Routing pad 'SW49:2' at (293052500, 90170000) with pad 'D49:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:32:49: [INFO] Adding track segment (B.Cu): [(293052500, 90170000), (293052500, 95310000)]
13:32:49: [INFO] Adding track segment (B.Cu): [(293052500, 95310000), (295592500, 97850000)]
