=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14BGQ1dAFhQCZwBdFAKDCljkrXAE8WBaDAOgAcANlKYquOPhYl2WMhKnwAnKIqEFzIquy0GTAnACs7LvF6CRslIY0GA7Noy7GEU3HPD2AYxbgAxACGQcHgolhOeOA+8P5ecfGhVuqRBoSG2vKR0eiBwUGJ5NbO+iwIJjz8ZGzo2bHxcQXghDop0jLoxtR0Lpqs5Wb8wqLN1K1a7M2Zkr0q7MbJ06mixjjdJfDG6G4elujNNmNwDnMoTmuuFRbevrl5jc0R07V+9Q3DKAuKcGnLKFMQzzy+V+NnOvTKW0uVWuMRer0abBwh2IoiE4jBBmqnEuQ3YbFGi2kojY-xmqI+tiJ7DRqz0X022IGFmJRUOx3QaLOdMZ7kGaJqNyBAQRpw0z1ePhZn16P2pfzFgqBjTRoO5BgQfAZ234hAEojKjy+hH4GFEdnR3IATtIGZaDIY+JRbW4NUp2AZzFrLul2GV1GDrfAEFh0HaWEI+HZnSwyHwEPzeuYo-1eZGGQALaSa-UWnqB9zB9hhohY7Vp9iZojZ9jmrl5nhpIupDXJ0Muvhu9Ae-hepk+9Dm-00IA
13:37:13: [INFO] Add D3 footprint
13:37:13: [INFO] Add SW4 footprint
13:37:13: [INFO] Add D4 footprint
13:37:13: [INFO] Add SW5 footprint
13:37:13: [INFO] Add D5 footprint
13:37:13: [INFO] Add SW6 footprint
13:37:13: [INFO] Add D6 footprint
13:37:13: [INFO] Add SW7 footprint
13:37:13: [INFO] Add D7 footprint
13:37:13: [INFO] Add SW8 footprint
13:37:13: [INFO] Add D8 footprint
13:37:13: [INFO] Add SW9 footprint
13:37:13: [INFO] Add D9 footprint
13:37:13: [INFO] Add SW10 footprint
13:37:13: [INFO] Add D10 footprint
13:37:13: [INFO] Add SW11 footprint
13:37:13: [INFO] Add D11 footprint
13:37:13: [INFO] Add SW12 footprint
13:37:13: [INFO] Add D12 footprint
13:37:13: [INFO] Add SW13 footprint
13:37:13: [INFO] Add D13 footprint
13:37:13: [INFO] Add SW14 footprint
13:37:13: [INFO] Add D14 footprint
13:37:13: [INFO] Add SW15 footprint
13:37:13: [INFO] Add D15 footprint
13:37:13: [INFO] Add SW16 footprint
13:37:13: [INFO] Add D16 footprint
13:37:13: [INFO] Add SW17 footprint
13:37:13: [INFO] Add D17 footprint
13:37:13: [INFO] Add SW18 footprint
13:37:13: [INFO] Add D18 footprint
13:37:13: [INFO] Add SW19 footprint
13:37:13: [INFO] Add D19 footprint
13:37:13: [INFO] Add SW20 footprint
13:37:13: [INFO] Add D20 footprint
13:37:13: [INFO] Add SW21 footprint
13:37:13: [INFO] Add D21 footprint
13:37:14: [INFO] Add SW22 footprint
13:37:14: [INFO] Add D22 footprint
13:37:14: [INFO] Add SW23 footprint
13:37:14: [INFO] Add D23 footprint
13:37:14: [INFO] Add SW24 footprint
13:37:14: [INFO] Add D24 footprint
13:37:14: [INFO] Add SW25 footprint
13:37:14: [INFO] Add D25 footprint
13:37:14: [INFO] Add SW26 footprint
13:37:14: [INFO] Add D26 footprint
13:37:14: [INFO] Add SW27 footprint
13:37:14: [INFO] Add D27 footprint
13:37:14: [INFO] Add SW28 footprint
13:37:14: [INFO] Add D28 footprint
13:37:14: [INFO] Add SW29 footprint
13:37:14: [INFO] Add D29 footprint
13:37:14: [INFO] Add SW30 footprint
13:37:14: [INFO] Add D30 footprint
13:37:14: [INFO] Add SW31 footprint
13:37:14: [INFO] Add D31 footprint
13:37:14: [INFO] Add SW32 footprint
13:37:14: [INFO] Add D32 footprint
13:37:14: [INFO] Add SW33 footprint
13:37:14: [INFO] Add D33 footprint
13:37:14: [INFO] Add SW34 footprint
13:37:14: [INFO] Add D34 footprint
13:37:14: [INFO] Add SW35 footprint
13:37:14: [INFO] Add D35 footprint
13:37:14: [INFO] Add SW36 footprint
13:37:14: [INFO] Add D36 footprint
13:37:14: [INFO] Add SW37 footprint
13:37:14: [INFO] Add D37 footprint
13:37:14: [INFO] Add SW38 footprint
13:37:14: [INFO] Add D38 footprint
13:37:14: [INFO] Add SW39 footprint
13:37:14: [INFO] Add D39 footprint
13:37:14: [INFO] Add SW40 footprint
13:37:15: [INFO] Add D40 footprint
13:37:15: [INFO] Add SW41 footprint
13:37:15: [INFO] Add D41 footprint
13:37:15: [INFO] Add SW42 footprint
13:37:15: [INFO] Add D42 footprint
13:37:15: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:15: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:15: [INFO] Layout offset: (28575000, 28575000)
13:37:15: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:15: [INFO] Placing additional elements for SW42
13:37:15: [INFO] Placing additional elements for SW41
13:37:15: [INFO] Placing additional elements for SW40
13:37:15: [INFO] Placing additional elements for SW39
13:37:15: [INFO] Placing additional elements for SW38
13:37:15: [INFO] Placing additional elements for SW37
13:37:15: [INFO] Placing additional elements for SW36
13:37:15: [INFO] Placing additional elements for SW35
13:37:15: [INFO] Placing additional elements for SW34
13:37:15: [INFO] Placing additional elements for SW33
13:37:15: [INFO] Placing additional elements for SW32
13:37:15: [INFO] Placing additional elements for SW31
13:37:15: [INFO] Placing additional elements for SW30
13:37:15: [INFO] Placing additional elements for SW29
13:37:15: [INFO] Placing additional elements for SW28
13:37:15: [INFO] Placing additional elements for SW27
13:37:15: [INFO] Placing additional elements for SW26
13:37:15: [INFO] Placing additional elements for SW25
13:37:15: [INFO] Placing additional elements for SW24
13:37:15: [INFO] Placing additional elements for SW23
13:37:15: [INFO] Placing additional elements for SW22
13:37:15: [INFO] Placing additional elements for SW21
13:37:15: [INFO] Placing additional elements for SW20
13:37:15: [INFO] Placing additional elements for SW19
13:37:15: [INFO] Placing additional elements for SW18
13:37:15: [INFO] Placing additional elements for SW17
13:37:15: [INFO] Placing additional elements for SW16
13:37:15: [INFO] Placing additional elements for SW15
13:37:15: [INFO] Placing additional elements for SW14
13:37:15: [INFO] Placing additional elements for SW13
13:37:15: [INFO] Placing additional elements for SW12
13:37:15: [INFO] Placing additional elements for SW11
13:37:15: [INFO] Placing additional elements for SW10
13:37:15: [INFO] Placing additional elements for SW9
13:37:15: [INFO] Placing additional elements for SW8
13:37:15: [INFO] Placing additional elements for SW7
13:37:15: [INFO] Placing additional elements for SW6
13:37:15: [INFO] Placing additional elements for SW5
