=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ArDlOUpE85nfgIxF5YBMX4+AMz98AFhFZqEgGwTkEgBwSAnBPa4AOgDtt2-ITZZ27XTq36uEaPCRp0dAO7ke2butN6j4ALpYAUGDgAJ7kVDy0CNYIiACGcfGsCOwE-MmcdMl8GVjC2eLZUtmy2fLZStmq2eqW9DYodqUITvDsNK7gaSZm2skGcBDNcK3U7Z0eWmk1ZC2UyBHgg63hdAAWzo58M-Mrm0N0JLsAtGEjVV2mmT7+gYuU4e08KcS10fEJD150j1kIj7m-WHyAMKAOKAMa4Ee5QBlQB7m6Eye-Retga-Fu9y+RnOZl6U3Ix1m80GPDupzhOJ6n2R0woRLoUUYzCYiUhRk0CMuvgCVgY9Ts6PIrTm7UESN5dWZLNF1PAYp+cpy-DFQMVIMVYMVELF0MVsIl0QaENuIroYuq3MCtKopoQoiR4HtCvtgnGjz6A2cZPa9tEbvFCy9tsdWGk-r6IeQ4Zqg2QPsB-vSNIJyEouHjuvtqm83iAA
13:32:30: [INFO] Adding track segment (B.Cu): [(245427500, 113982500), (245427500, 119122500)]
13:32:30: [INFO] Adding track segment (B.Cu): [(245427500, 119122500), (247967500, 121662500)]
13:32:30: [INFO] Routing SW54 with D54
13:32:30: [INFO] Using internal autorouter method
13:32:30: [INFO] Routing pad 'SW54:2' at (226377500, 113982500) with pad 'D54:2' at (228917500, 121662500) using coordinate system rotated by 0 degree(s)
13:32:30: [INFO] Adding track segment (B.Cu): [(226377500, 113982500), (226377500, 119122500)]
13:32:30: [INFO] Adding track segment (B.Cu): [(226377500, 119122500), (228917500, 121662500)]
13:32:30: [INFO] Routing SW53 with D53
13:32:30: [INFO] Using internal autorouter method
13:32:30: [INFO] Routing pad 'SW53:2' at (207327500, 113982500) with pad 'D53:2' at (209867500, 121662500) using coordinate system rotated by 0 degree(s)
13:32:30: [INFO] Adding track segment (B.Cu): [(207327500, 113982500), (207327500, 119122500)]
13:32:31: [INFO] Adding track segment (B.Cu): [(207327500, 119122500), (209867500, 121662500)]
13:32:31: [INFO] Routing SW52 with D52
13:32:31: [INFO] Using internal autorouter method
13:32:31: [INFO] Routing pad 'SW52:2' at (171608750, 113982500) with pad 'D52:2' at (174148750, 121662500) using coordinate system rotated by 0 degree(s)
13:32:31: [INFO] Adding track segment (B.Cu): [(171608750, 113982500), (171608750, 119122500)]
