=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBPWc0kBOAXy3AA4MBGcAXQwCgwp8AWcveAWgAZjyAY3zgAxCgmTwZbAGYMANnBYIw+GMGat08vJTLsHJStbwKSBGhnheGfeWp2DqkaICGHzwfAB3fAmsEOwAdADswsNteZ1M4bmRbbDVsUS1tQMUI8NDbWhNksU8vDJQsyJp6JhZoeGRMbC44-kck1zTNHWwqaIZmCBq4WVR63Hw+AVb1dyK3bz94aiQrXQw2GILU9s7weTQYgfN0a0c9h0VvINO4FymZ2fJ5uEXl7CC13ur-CxHG8ZbwDbtYTWKgISp9WJDH5jfhEISuO5zfCLI4rMH5NpbazyWT7fBEb7HDC4s5rDFTSRSB5fSwZXEffr4IaWeG3GZI2qElZ5a4AzFpbYcHmMszDIk88COdG8jaI6mc1GvGhlUKOYWxeLDeVPMXkILUFWOaJ6jAIQ0YHpVEWDb7a57Yi14hZQu1LDKWiEAJ2RQWwB1tDTGCiWrJSQMFTnImGM2Ew9mwCnODNiKF1hlW3g4V3AmDJsYwe2TB2sHBJ+elOeJ3kT9KtsXML3AHArmAlibbpvBn1FLMmKTl2Ee9vIHGNvMeASjFpV+qdcQS2uQtKnvBnjpMA3Gvd8yK5Cen2TCs43Y0WvGsidXh9CQQ9LG9PGovtiBOhPH4I0BWPIifj4BQ5zkABf62EoRb4heGY-gW3gAdmtiFnWAwEsu2AAWW-5QdgtgYbY7xIfghyNgBEoARWuTeLYYLgaK6ChoU7KLmmNjruOu6Nka9B0EAA
13:30:44: [INFO] Add D7 footprint
13:30:44: [INFO] Add SW8 footprint
13:30:44: [INFO] Add D8 footprint
13:30:44: [INFO] Add SW9 footprint
13:30:44: [INFO] Add D9 footprint
13:30:44: [INFO] Add SW10 footprint
13:30:44: [INFO] Add D10 footprint
13:30:44: [INFO] Add SW11 footprint
13:30:44: [INFO] Add D11 footprint
13:30:44: [INFO] Add SW12 footprint
13:30:44: [INFO] Add D12 footprint
13:30:44: [INFO] Add SW13 footprint
13:30:44: [INFO] Add D13 footprint
13:30:45: [INFO] Add SW14 footprint
13:30:45: [INFO] Add D14 footprint
13:30:45: [INFO] Add SW15 footprint
13:30:45: [INFO] Add D15 footprint
13:30:45: [INFO] Add SW16 footprint
13:30:45: [INFO] Add D16 footprint
13:30:45: [INFO] Add SW17 footprint
13:30:45: [INFO] Add D17 footprint
13:30:45: [INFO] Add SW18 footprint
13:30:45: [INFO] Add D18 footprint
13:30:45: [INFO] Add SW18a footprint
13:30:45: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:30:45: [INFO] Add ST18a footprint
13:30:45: [INFO] Add SW19 footprint
13:30:45: [INFO] Add D19 footprint
13:30:45: [INFO] Add SW20 footprint
13:30:45: [INFO] Add D20 footprint
13:30:45: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:45: [INFO] Add ST20 footprint
13:30:45: [INFO] Add SW21 footprint
13:30:45: [INFO] Add D21 footprint
13:30:45: [INFO] Add SW22 footprint
13:30:45: [INFO] Add D22 footprint
13:30:45: [INFO] Add SW23 footprint
13:30:45: [INFO] Add D23 footprint
13:30:45: [INFO] Add SW24 footprint
13:30:45: [INFO] Add D24 footprint
13:30:45: [INFO] Add ST24 footprint
13:30:45: [INFO] Add SW24a footprint
13:30:45: [INFO] Add SW25 footprint
13:30:45: [INFO] Add D25 footprint
13:30:45: [INFO] Add SW26 footprint
13:30:45: [INFO] Add D26 footprint
13:30:45: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:45: [INFO] Add ST26 footprint
13:30:45: [INFO] Add SW27 footprint
13:30:45: [INFO] Add D27 footprint
13:30:45: [INFO] Add SW28 footprint
13:30:45: [INFO] Add D28 footprint
13:30:45: [INFO] Add SW29 footprint
13:30:46: [INFO] Add D29 footprint
13:30:46: [INFO] Add SW30 footprint
13:30:46: [INFO] Add D30 footprint
13:30:46: [INFO] Add SW31 footprint
13:30:46: [INFO] Add D31 footprint
13:30:46: [INFO] Add SW32 footprint
13:30:46: [INFO] Add D32 footprint
13:30:46: [INFO] Add SW33 footprint
13:30:46: [INFO] Add D33 footprint
13:30:46: [INFO] Add SW34 footprint
13:30:46: [INFO] Add D34 footprint
13:30:46: [INFO] Add SW35 footprint
13:30:46: [INFO] Add D35 footprint
13:30:46: [INFO] Add SW36 footprint
13:30:46: [INFO] Add D36 footprint
13:30:46: [INFO] Add SW37 footprint
13:30:46: [INFO] Add D37 footprint
13:30:46: [INFO] Add SW38 footprint
13:30:46: [INFO] Add D38 footprint
13:30:46: [INFO] Add SW39 footprint
13:30:46: [INFO] Add D39 footprint
13:30:46: [INFO] Add SW40 footprint
13:30:46: [INFO] Add D40 footprint
13:30:46: [INFO] Add SW41 footprint
13:30:46: [INFO] Add D41 footprint
13:30:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:30:46: [INFO] Add ST41 footprint
13:30:46: [INFO] Add SW41a footprint
13:30:46: [INFO] Add ST41a footprint
13:30:46: [INFO] Add SW42 footprint
13:30:46: [INFO] Add D42 footprint
13:30:46: [INFO] Add SW43 footprint
13:30:46: [INFO] Add D43 footprint
13:30:46: [INFO] Add SW44 footprint
13:30:46: [INFO] Add D44 footprint
13:30:46: [INFO] Add SW45 footprint
13:30:46: [INFO] Add D45 footprint
