=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0BWANHcBPWcAGFAdi3AGN9wBiAQ3ofAF8yCME0AdAOx57YLgsEAM4BbKgCcA9gBcA+gFNyCBM1bsuvbWwR9t+nosEBdDACgwUfACYSmbHngBaIgE4yleDXK+-Q7HEqdWw2GwCIaHgADhQAFhZQ9jUzS0j8ImIHXHxXFGjsr2xqYlKykPABCIoqaj9-RMr2aqjEIgSNBHDhGu86BnoA8AB3W0bdAGZwVKtW5HsyJzg8mzRGhE1pi1mM9EXczOzR+AR0dYxBHqKfespztR7WtxQ3e+7sDYQpq9qBwbJjogzmRPnEtmlrCdSI4DihVo0bJsZul4ERVvsXIcAfhTlkERdqtc6rcKoiHnAUXBnmsyGTyeAye8IES-rQhoC7PDaewpsiRrY4TTsBMCT8+rc7mQReTKQgsdgWX92Tj7I1pUzIcs7FlPLUJRVpSltrKkBjlvLesUyuU1ewwXylitCr8ldiTsDsHECXy5tlHRaidbShUvV8hqGwWRQ2hwVZJDi7NlJEs0dlWl6YZiUBsFXqSeMMN8kpGkjGNEhY5SJh7wBt3rXC0MNiWGzGffhq3jufXEUWGRgW4i28bNXFBbb6yK+yKWyLhxD07q+qzle6heAvRqifq3XBOeuvUXmS6BiGMBW+fGXF09thWsRbzlr+hneL8xpiEM2NEvxg3L+5UrTViHOT8QQwH9wP-cDAJgo0F3wB8uWwREwJQiChkRaD0MA9t4AfdcRTQ8ARUg4U-yGaVTBHe9BV3bUDwwNDj2XV1sEBU5GNwkwgA
13:34:13: [INFO] Add SW5 footprint
13:34:13: [INFO] Add D5 footprint
13:34:13: [INFO] Add SW6 footprint
13:34:13: [INFO] Add D6 footprint
13:34:13: [INFO] Add SW7 footprint
13:34:13: [INFO] Add D7 footprint
13:34:13: [INFO] Add SW8 footprint
13:34:13: [INFO] Add D8 footprint
13:34:13: [INFO] Add SW9 footprint
13:34:13: [INFO] Add D9 footprint
13:34:13: [INFO] Add SW10 footprint
13:34:13: [INFO] Add D10 footprint
13:34:13: [INFO] Add SW11 footprint
13:34:14: [INFO] Add D11 footprint
13:34:14: [INFO] Add SW12 footprint
13:34:14: [INFO] Add D12 footprint
13:34:14: [INFO] Add SW13 footprint
13:34:14: [INFO] Add D13 footprint
13:34:14: [INFO] Add SW14 footprint
13:34:14: [INFO] Add D14 footprint
13:34:14: [INFO] Add ST14 footprint
13:34:14: [INFO] Add SW15 footprint
13:34:14: [INFO] Add D15 footprint
13:34:14: [INFO] Add SW15a footprint
13:34:14: [INFO] Add SW16 footprint
13:34:14: [INFO] Add D16 footprint
13:34:14: [INFO] Add SW17 footprint
13:34:14: [INFO] Add D17 footprint
13:34:14: [INFO] Add SW18 footprint
13:34:14: [INFO] Add D18 footprint
13:34:14: [INFO] Add SW19 footprint
13:34:14: [INFO] Add D19 footprint
13:34:14: [INFO] Add SW20 footprint
13:34:14: [INFO] Add D20 footprint
13:34:14: [INFO] Add SW21 footprint
13:34:14: [INFO] Add D21 footprint
13:34:14: [INFO] Add SW22 footprint
13:34:14: [INFO] Add D22 footprint
13:34:14: [INFO] Add SW23 footprint
13:34:14: [INFO] Add D23 footprint
13:34:14: [INFO] Add SW24 footprint
13:34:14: [INFO] Add D24 footprint
13:34:14: [INFO] Add SW25 footprint
13:34:14: [INFO] Add D25 footprint
13:34:14: [INFO] Add SW26 footprint
13:34:14: [INFO] Add D26 footprint
13:34:15: [INFO] Add SW27 footprint
13:34:15: [INFO] Add D27 footprint
13:34:15: [INFO] Add SW28 footprint
13:34:15: [INFO] Add D28 footprint
13:34:15: [INFO] Add SW29 footprint
13:34:15: [INFO] Add D29 footprint
13:34:15: [INFO] Add SW30 footprint
13:34:15: [INFO] Add D30 footprint
13:34:15: [INFO] Add SW31 footprint
13:34:15: [INFO] Add D31 footprint
13:34:15: [INFO] Add SW32 footprint
13:34:15: [INFO] Add D32 footprint
13:34:15: [INFO] Add SW33 footprint
13:34:15: [INFO] Add D33 footprint
13:34:15: [INFO] Add SW34 footprint
13:34:15: [INFO] Add D34 footprint
13:34:15: [INFO] Add SW35 footprint
13:34:15: [INFO] Add D35 footprint
13:34:15: [INFO] Add SW36 footprint
13:34:15: [INFO] Add D36 footprint
13:34:15: [INFO] Add SW37 footprint
13:34:15: [INFO] Add D37 footprint
13:34:15: [INFO] Add SW38 footprint
13:34:15: [INFO] Add D38 footprint
13:34:15: [INFO] Add SW39 footprint
13:34:15: [INFO] Add D39 footprint
13:34:15: [INFO] Add SW40 footprint
13:34:15: [INFO] Add D40 footprint
13:34:15: [INFO] Add SW41 footprint
13:34:15: [INFO] Add D41 footprint
13:34:16: [INFO] Add SW42 footprint
13:34:16: [INFO] Add D42 footprint
13:34:16: [INFO] Add SW43 footprint
13:34:16: [INFO] Add D43 footprint
13:34:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:16: [INFO] Add ST43 footprint
13:34:16: [INFO] Add SW44 footprint
13:34:16: [INFO] Add D44 footprint
13:34:16: [INFO] Add SW45 footprint
13:34:16: [INFO] Add D45 footprint
13:34:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:16: [INFO] Add ST45 footprint
13:34:16: [INFO] Add SW46 footprint
13:34:16: [INFO] Add D46 footprint
13:34:16: [INFO] Add SW47 footprint
13:34:16: [INFO] Add D47 footprint
13:34:16: [INFO] Add SW48 footprint
13:34:16: [INFO] Add D48 footprint
13:34:16: [INFO] Add SW49 footprint
13:34:16: [INFO] Add D49 footprint
13:34:16: [INFO] Add SW50 footprint
13:34:16: [INFO] Add D50 footprint
13:34:16: [INFO] Add SW51 footprint
13:34:16: [INFO] Add D51 footprint
13:34:16: [INFO] Add SW52 footprint
13:34:16: [INFO] Add D52 footprint
13:34:16: [INFO] Add SW53 footprint
13:34:16: [INFO] Add D53 footprint
13:34:16: [INFO] Add SW54 footprint
13:34:16: [INFO] Add D54 footprint
13:34:16: [INFO] Add SW55 footprint
13:34:16: [INFO] Add D55 footprint
13:34:16: [INFO] Add SW56 footprint
13:34:16: [INFO] Add D56 footprint
13:34:16: [INFO] Add SW57 footprint
13:34:17: [INFO] Add D57 footprint
13:34:17: [INFO] Add SW58 footprint
13:34:17: [INFO] Add D58 footprint
13:34:17: [INFO] Add SW59 footprint
13:34:17: [INFO] Add D59 footprint
13:34:17: [INFO] Add SW60 footprint
13:34:17: [INFO] Add D60 footprint
13:34:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:17: [INFO] Add ST60 footprint
13:34:17: [INFO] Add SW61 footprint
13:34:17: [INFO] Add D61 footprint
13:34:17: [INFO] Add SW62 footprint
13:34:17: [INFO] Add D62 footprint
13:34:17: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:34:17: [INFO] Add ST62 footprint
13:34:17: [INFO] Add SW63 footprint
13:34:17: [INFO] Add D63 footprint
13:34:17: [INFO] Add SW64 footprint
13:34:17: [INFO] Add D64 footprint
13:34:17: [INFO] Add SW65 footprint
13:34:17: [INFO] Add D65 footprint
13:34:17: [INFO] Add SW66 footprint
13:34:17: [INFO] Add D66 footprint
13:34:17: [INFO] Detected layout convertible to matrix annotated keyboard
13:34:17: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:34:17: [INFO] Layout offset: (38100000, 34290000)
13:34:17: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:34:17: [INFO] Placing additional elements for SW66
13:34:17: [INFO] Placing additional elements for SW65
13:34:17: [INFO] Placing additional elements for SW64
13:34:17: [INFO] Placing additional elements for SW63
13:34:17: [INFO] Placing additional elements for SW62
13:34:17: [INFO] Placing additional elements for SW61
13:34:17: [INFO] Placing additional elements for SW60
13:34:17: [INFO] Placing additional elements for SW59
13:34:17: [INFO] Placing additional elements for SW58
13:34:17: [INFO] Placing additional elements for SW57
13:34:17: [INFO] Placing additional elements for SW56
13:34:17: [INFO] Placing additional elements for SW55
13:34:17: [INFO] Placing additional elements for SW54
13:34:17: [INFO] Placing additional elements for SW53
13:34:17: [INFO] Placing additional elements for SW52
13:34:17: [INFO] Placing additional elements for SW51
13:34:17: [INFO] Placing additional elements for SW50
13:34:17: [INFO] Placing additional elements for SW49
13:34:17: [INFO] Placing additional elements for SW48
13:34:17: [INFO] Placing additional elements for SW47
13:34:17: [INFO] Placing additional elements for SW46
13:34:17: [INFO] Placing additional elements for SW45
13:34:17: [INFO] Placing additional elements for SW44
13:34:17: [INFO] Placing additional elements for SW43
13:34:17: [INFO] Placing additional elements for SW42
13:34:17: [INFO] Placing additional elements for SW41
13:34:17: [INFO] Placing additional elements for SW40
13:34:17: [INFO] Placing additional elements for SW39
13:34:17: [INFO] Placing additional elements for SW38
13:34:17: [INFO] Placing additional elements for SW37
13:34:17: [INFO] Placing additional elements for SW36
13:34:17: [INFO] Placing additional elements for SW35
13:34:17: [INFO] Placing additional elements for SW34
13:34:17: [INFO] Placing additional elements for SW33
13:34:17: [INFO] Placing additional elements for SW32
13:34:17: [INFO] Placing additional elements for SW31
13:34:17: [INFO] Placing additional elements for SW30
13:34:17: [INFO] Placing additional elements for SW29
13:34:17: [INFO] Placing additional elements for SW28
13:34:17: [INFO] Placing additional elements for SW27
13:34:17: [INFO] Placing additional elements for SW26
13:34:17: [INFO] Placing additional elements for SW25
13:34:17: [INFO] Placing additional elements for SW24
13:34:17: [INFO] Placing additional elements for SW23
13:34:17: [INFO] Placing additional elements for SW22
13:34:17: [INFO] Placing additional elements for SW21
13:34:17: [INFO] Placing additional elements for SW20
13:34:17: [INFO] Placing additional elements for SW19
13:34:17: [INFO] Placing additional elements for SW18
13:34:17: [INFO] Placing additional elements for SW17
13:34:17: [INFO] Placing additional elements for SW16
13:34:17: [INFO] Placing additional elements for SW15a
13:34:17: [INFO] Placing additional elements for SW15
13:34:17: [INFO] Placing additional elements for SW14
13:34:17: [INFO] Placing additional elements for SW13
13:34:17: [INFO] Placing additional elements for SW12
13:34:17: [INFO] Placing additional elements for SW11
13:34:17: [INFO] Placing additional elements for SW10
13:34:17: [INFO] Placing additional elements for SW9
13:34:17: [INFO] Placing additional elements for SW8
13:34:17: [INFO] Placing additional elements for SW7
13:34:17: [INFO] Placing additional elements for SW6
13:34:17: [INFO] Placing additional elements for SW5
13:34:17: [INFO] Placing additional elements for SW4
13:34:17: [INFO] Placing additional elements for SW3
13:34:17: [INFO] Placing additional elements for SW2
13:34:17: [INFO] Placing additional elements for SW1
13:34:17: [INFO] Routing SW66 with D66
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW66:2' at (374015000, 137795000) with pad 'D66:2' at (376555000, 145475000) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(374015000, 137795000), (374015000, 142935000)]
13:34:17: [INFO] Adding track segment (B.Cu): [(374015000, 142935000), (376555000, 145475000)]
13:34:17: [INFO] Routing SW65 with D65
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW65:2' at (354965000, 137795000) with pad 'D65:2' at (357505000, 145475000) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(354965000, 137795000), (354965000, 142935000)]
13:34:17: [INFO] Adding track segment (B.Cu): [(354965000, 142935000), (357505000, 145475000)]
