=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiAQxNPAF8twAGDa8LCaeapBTbPecAlP-ilVoBGBnAhdCOaTMHZaCMTQwBmJbQAs6jGm0A2bSm0AObQE5tw+kIzDRN4YodrGufD1JkqAd3wJK8rYaADoAdmFhtNbiUPis7FSSPDKyAcrCBg5GDqauzHDCbGhpIiHh5SJiEu7EnkRy6WgRFbbgALoYAFBgsfDI6GnCdFW9cPEc4L7whcVUQ-YxSQQp0g1DTthDLpsYWnM6SkOZO9k7uTsW+1aHtgvg8xv3ttvV3LWeSlMFSLM7wk3lMJDaJMOJFRI1FZ4Qa2Y5PYSneHnUF9JC0Tg1Or1Hz4QoJbAACz8PkU0x+VAJpIKVEgVIAtOM0ghbADmvN2l0evl+r9wMyQaNxjiyQMqMyFq8pCsGszHsztnzdkpmboxRg4czEczzorLthxdFFXZlbYNpKePwBMLEEUmSzmkDhnl8BpwRi3liZc8HaF2R1uhAvnjeSpbD7xSMllCGqGEOHWs6WOT3YRPWlQwL8kLsF9kOx02HAaF+ZHIdKCwrQ3tsKHVTX1UpQ4jQzrQ3rwKHrlRO3dO2a3B66p9cagQ96ixnG-aJ06YvlgwWESN58nJn5R4uVD7OxyA6MNNaF1QD8IfQeBUHbceMHGi+eRpf89et3fZ+bltLrXor9gD3oz2+A6pkOh4-uAJ6nq+F4jk+v6mgB0FkrB4Hjs096uI+vInqy5ToXOYLISecInoiJ6mP6XIulQACeBETJeWGFmhCZwbezESmuZKMS+7Glm80bWigaR-gBHFLJ6oGMY4olKCePG4SxgYjlJOFhCe7RtEAA
13:29:11: [INFO] Add Net-(D77-A) net
13:29:11: [INFO] Add Net-(D78-A) net
13:29:11: [INFO] Add Net-(D79-A) net
13:29:11: [INFO] Add Net-(D8-A) net
13:29:11: [INFO] Add Net-(D9-A) net
13:29:11: [INFO] Add ROW0 net
13:29:11: [INFO] Add ROW1 net
13:29:11: [INFO] Add ROW2 net
13:29:11: [INFO] Add ROW3 net
13:29:11: [INFO] Add ROW4 net
13:29:11: [INFO] Add SW1 footprint
13:29:11: [INFO] Add D1 footprint
13:29:11: [INFO] Add SW2 footprint
13:29:11: [INFO] Add D2 footprint
13:29:11: [INFO] Add SW3 footprint
13:29:11: [INFO] Add D3 footprint
13:29:11: [INFO] Add SW4 footprint
13:29:11: [INFO] Add D4 footprint
13:29:11: [INFO] Add SW5 footprint
13:29:11: [INFO] Add D5 footprint
13:29:11: [INFO] Add SW6 footprint
13:29:11: [INFO] Add D6 footprint
13:29:11: [INFO] Add SW7 footprint
13:29:11: [INFO] Add D7 footprint
13:29:11: [INFO] Add SW8 footprint
13:29:11: [INFO] Add D8 footprint
13:29:11: [INFO] Add SW9 footprint
13:29:11: [INFO] Add D9 footprint
13:29:11: [INFO] Add SW10 footprint
13:29:11: [INFO] Add D10 footprint
13:29:11: [INFO] Add SW11 footprint
13:29:11: [INFO] Add D11 footprint
13:29:11: [INFO] Add SW12 footprint
13:29:11: [INFO] Add D12 footprint
13:29:11: [INFO] Add SW13 footprint
13:29:11: [INFO] Add D13 footprint
13:29:11: [INFO] Add SW14 footprint
13:29:11: [INFO] Add D14 footprint
13:29:11: [INFO] Add SW15 footprint
13:29:11: [INFO] Add D15 footprint
13:29:11: [INFO] Add ST15 footprint
13:29:11: [INFO] Add SW15a footprint
