=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4AOVTbFfcAXQwCgwpY4AmVLcAT1YFocSUgHZ0XPG0JxirAIxIclXBgAsUmfABsFLtTVEW8eYt0ZJ9JhrgpO2XvAFDRSvCnWG4KnVQxuLzEjh5ajt+QRExbDxZd0DZDkjwahj-K0EQnjCnDIBjVnAAYmFikvAXDBxYuS9c-IKchsay00rUj2QM+zhHRNkaA0DyRM0aNsCEri7HCKU+yQG5BVnVKq1vcBH9aQ9jJRHzRgDWG06sma4+twX4Gr3fOkOrYMmz5wuMGOughLuUx490i8HOFRFw8vBCgBDaEw5rYPqVL6yGpguqNJp3Vr-QIdIHddJKNj9baDdbCUbY1gTULA7KEsyrIJLLhErZWbSJclsnbM7Dkg6WDwnPHTN7YIlXEmsW5ccl+SlGWyZWnncUfRnxMnqsasQE0-HZVEQgow2H0xFSowo7Dg7D1dF5JTkrGCwIckWCMXgFT3L4-LgATnuOvguP1ji9CGJViGSlIFNdVKVUxBiSj80tTJM2Cj3Ld63jecW2fA8YFR3gwvDqaUUclVhl2Hj8sTitOKsj6qR-qb2oVcD1yoNESNdtN0Lh4CjFqejdLFQercQHqQCC9Pr+S591aQAfXDK+wnWQYz4CDm4r1hXAaUPoIX0HtsKJVKXAAFotEj6i-BqeAP22ShBj+A5Kk+JrjpOQYELQtBAA
13:33:01: [INFO] Add ROW5 net
13:33:01: [INFO] Add ROW6 net
13:33:01: [INFO] Add ROW7 net
13:33:01: [INFO] Add ROW8 net
13:33:01: [INFO] Add ROW9 net
13:33:01: [INFO] Add SW1 footprint
13:33:01: [INFO] Add D1 footprint
13:33:01: [INFO] Add SW2 footprint
13:33:01: [INFO] Add D2 footprint
13:33:01: [INFO] Add SW3 footprint
13:33:01: [INFO] Add D3 footprint
13:33:01: [INFO] Add SW4 footprint
13:33:01: [INFO] Add D4 footprint
13:33:01: [INFO] Add SW5 footprint
13:33:01: [INFO] Add D5 footprint
13:33:01: [INFO] Add SW6 footprint
13:33:01: [INFO] Add D6 footprint
13:33:01: [INFO] Add SW7 footprint
13:33:01: [INFO] Add D7 footprint
13:33:01: [INFO] Add SW8 footprint
13:33:01: [INFO] Add D8 footprint
13:33:01: [INFO] Add SW9 footprint
13:33:01: [INFO] Add D9 footprint
13:33:01: [INFO] Add SW10 footprint
13:33:01: [INFO] Add D10 footprint
13:33:01: [INFO] Add SW11 footprint
13:33:01: [INFO] Add D11 footprint
13:33:01: [INFO] Add SW12 footprint
13:33:01: [INFO] Add D12 footprint
13:33:01: [INFO] Add SW13 footprint
13:33:01: [INFO] Add D13 footprint
13:33:01: [INFO] Add SW14 footprint
13:33:01: [INFO] Add D14 footprint
13:33:01: [INFO] Add SW15 footprint
13:33:01: [INFO] Add D15 footprint
13:33:01: [INFO] Add SW16 footprint
13:33:02: [INFO] Add D16 footprint
13:33:02: [INFO] Add SW17 footprint
13:33:02: [INFO] Add D17 footprint
13:33:02: [INFO] Add SW18 footprint
13:33:02: [INFO] Add D18 footprint
13:33:02: [INFO] Add SW19 footprint
13:33:02: [INFO] Add D19 footprint
13:33:02: [INFO] Add SW20 footprint
13:33:02: [INFO] Add D20 footprint
13:33:02: [INFO] Add SW21 footprint
13:33:02: [INFO] Add D21 footprint
13:33:02: [INFO] Add SW22 footprint
13:33:02: [INFO] Add D22 footprint
13:33:02: [INFO] Add SW23 footprint
13:33:02: [INFO] Add D23 footprint
13:33:02: [INFO] Add SW24 footprint
13:33:02: [INFO] Add D24 footprint
13:33:02: [INFO] Add SW25 footprint
13:33:02: [INFO] Add D25 footprint
13:33:02: [INFO] Add SW26 footprint
13:33:02: [INFO] Add D26 footprint
13:33:02: [INFO] Add SW27 footprint
