=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:06: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIJwbgDGu4AxAOzU3gC+RCaC4AumgFBhS4DMSldJhzwAtMnxCSZcsTnz6RAIxol4DBGjwAHEgAsDTEwBsbTty1wlAqSLjiCKQ+BUtGq9XE24lyA8rRTDWl4CgBDCMjPcAB3XAAmZz1AgB0AO3T0pjcvHnhkXiciZONMjLSmNSJtVTKsj3Yub3ykeNtcBxVMUlDZeTlFTHjmMya8q14iOwdJZ0mUUYsfVCmOiSkezHJIqKI4+GsizEmciE2KfoHnYarcy18kBGvA6Mmg3P2rVGd0U0buabIJRJEb-ZpfNqrMQSIjnbY7MLRT7WQQ-EbBOGXUgg27g-D6NELIjGF4YmQ0Wh7BKtI7gSgvMHjLohLYIxFU+DxGnOEmnFkXS6DOnou64XTaWkkomYenSs4yNlI5ao6qkzCEP7mcHM5HfVV8+7WCUcr60mp6aKEC3Be6PZyEBaMgBOdmQkMw92MSGNwlwehszhqjq14CdPmGmBduCYHtwKCQzMxgucTHi0RUafcvHTaGzjMs-uMcw8RGGmeOaHL4GGeZDBe9tPQt3AySr6CryVrY0s8d4PJLMoH4BJVfpafzuC9KCkn0SqvL4OQCA2CoRSoO3KIhHHdbjUPsyG0hEwutphDUzo6Sgj410enaYkOiZkWKFTGtmBUH-ATGlLjQwbdmKjy0pM2almg36TN+wyAUsOitGi4GYMk37oN+yRweClABsSubRPSyHDpBBEkRO8A4YIJpciqmA1F28FWMg077jMsKrjs66mva+GsKwQA
13:31:10: [INFO] Placing additional elements for SW47
13:31:10: [INFO] Placing additional elements for SW46
13:31:10: [INFO] Placing additional elements for SW45
13:31:10: [INFO] Placing additional elements for SW44
13:31:10: [INFO] Placing additional elements for SW43
13:31:10: [INFO] Placing additional elements for SW42
13:31:10: [INFO] Placing additional elements for SW41
13:31:10: [INFO] Placing additional elements for SW40
13:31:10: [INFO] Placing additional elements for SW39
13:31:10: [INFO] Placing additional elements for SW38
13:31:10: [INFO] Placing additional elements for SW37
13:31:10: [INFO] Placing additional elements for SW36
13:31:10: [INFO] Placing additional elements for SW35a
13:31:10: [INFO] Placing additional elements for SW35
13:31:10: [INFO] Placing additional elements for SW34
13:31:10: [INFO] Placing additional elements for SW33
13:31:10: [INFO] Placing additional elements for SW32
13:31:10: [INFO] Placing additional elements for SW31
13:31:10: [INFO] Placing additional elements for SW30
13:31:10: [INFO] Placing additional elements for SW29
13:31:10: [INFO] Placing additional elements for SW28
13:31:10: [INFO] Placing additional elements for SW27
13:31:10: [INFO] Placing additional elements for SW26
13:31:10: [INFO] Placing additional elements for SW25
13:31:10: [INFO] Placing additional elements for SW24
13:31:10: [INFO] Placing additional elements for SW23
13:31:10: [INFO] Placing additional elements for SW22
13:31:10: [INFO] Placing additional elements for SW21
13:31:10: [INFO] Placing additional elements for SW20
13:31:10: [INFO] Placing additional elements for SW19
13:31:10: [INFO] Placing additional elements for SW18
13:31:10: [INFO] Placing additional elements for SW17
13:31:10: [INFO] Placing additional elements for SW16
13:31:10: [INFO] Placing additional elements for SW15
13:31:10: [INFO] Placing additional elements for SW14
