=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgFZV1TtwBdFAKDCljgBY1wBPFgWg2IAcFTCla44+FqTLCqYuo0nwATB27w+xAJzCsy8UrjLdKUgebwEMjlTN4LR4hlkp9CpuribWJjOJEAjOYEcAEB1pQoQTYofu6GCGq8-DocAdT2ISTkHABs1PEO7OiemkJposFSEeD58gxMIaolydrC6fqZLMYVdhIOVjno+X2Gyk7C+W4NEKX8PhV+FdH9IWE1+Su1sbQzA0kaKcKqOF1ENYQFeyHFXK3l6KpiZ3DSQ+CX9YoOzXeHbRxVJ1Vt1jqYqpYLuCXuNnBxLtNvnNiAtHjtAVEIaFwu9LltLnFrixEi1-ql0IlTiDzu8BFdvjcDl5+A9wIlntTXjU6V9Gt0mZpyWzXFiehToZzBsI6aMfhMOHTER5WqjhUtxStDOtaZiFTtCiErCS-nB+FR0ABnAC2LHAACcAPYAFwA+gBTADGYXAwnYCAAOgA7INBrABEPByMRt3qwy5AHoLTYCNB9LhqMZoNuoKFO2G7QcO2eLTEAKEc0OTT5UleViCcsca22n0cP0pwNYQnfPMsdbVyvzAV1gTl4RJgMZ9Jdph23sVnuQpPoEJVof197sHN7WeWLDL1r90rhOHodhKiA7tgVlf8Q+8Y++yq53isedrcL9m8otcj95J3kXrwCB7gO341jwD4cEm572ve14qgKkGJpiNA0EAA
13:38:16: [INFO] Add D8 footprint
13:38:16: [INFO] Add SW9 footprint
13:38:16: [INFO] Add D9 footprint
13:38:16: [INFO] Add SW10 footprint
13:38:16: [INFO] Add D10 footprint
13:38:16: [INFO] Add SW11 footprint
13:38:16: [INFO] Add D11 footprint
13:38:16: [INFO] Add SW12 footprint
13:38:16: [INFO] Add D12 footprint
13:38:16: [INFO] Add SW13 footprint
13:38:16: [INFO] Add D13 footprint
13:38:16: [INFO] Add SW14 footprint
13:38:16: [INFO] Add D14 footprint
13:38:16: [INFO] Add SW15 footprint
13:38:16: [INFO] Add D15 footprint
13:38:16: [INFO] Add SW16 footprint
13:38:16: [INFO] Add D16 footprint
13:38:16: [INFO] Add SW17 footprint
13:38:16: [INFO] Add D17 footprint
13:38:16: [INFO] Add SW18 footprint
13:38:16: [INFO] Add D18 footprint
13:38:16: [INFO] Add SW19 footprint
13:38:16: [INFO] Add D19 footprint
13:38:16: [INFO] Add SW20 footprint
13:38:16: [INFO] Add D20 footprint
13:38:16: [INFO] Add SW21 footprint
13:38:17: [INFO] Add D21 footprint
13:38:17: [INFO] Add SW22 footprint
13:38:17: [INFO] Add D22 footprint
13:38:17: [INFO] Add SW23 footprint
13:38:17: [INFO] Add D23 footprint
13:38:17: [INFO] Add SW24 footprint
13:38:17: [INFO] Add D24 footprint
13:38:17: [INFO] Add SW25 footprint
13:38:17: [INFO] Add D25 footprint
13:38:17: [INFO] Add SW26 footprint
13:38:17: [INFO] Add D26 footprint
13:38:17: [INFO] Add SW27 footprint
13:38:17: [INFO] Add D27 footprint
13:38:17: [INFO] Add SW27a footprint
13:38:17: [INFO] Add SW28 footprint
13:38:17: [INFO] Add D28 footprint
13:38:17: [INFO] Add SW29 footprint
13:38:17: [INFO] Add D29 footprint
13:38:17: [INFO] Add SW30 footprint
13:38:17: [INFO] Add D30 footprint
13:38:17: [INFO] Add SW31 footprint
13:38:17: [INFO] Add D31 footprint
13:38:17: [INFO] Add SW32 footprint
