=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4Ces4AYkAmDcAY13AGIBDWu8AXxLzQXAwmngWRScxYJC4ALpoAUGCi4CxTDngBaAgE50mcvCoB2XXsbM0ednE64EAFiQIAbOrIUadWgYGsAzCbPwC7930NLUQkpLkQbJDV+cHdWC2DJb3wkbXsFOGUU+01MSlJ8gtdwYmMSYjYOaW5VAMxy4TKPLwctJ2ci8vixRKrEbSISdMzCWvALOITQmVRB3EzUkgB3c1Ro2NLTFtyCwrXWZrCEAgtR2J4TGNYGzZyqZxclldOm7qnufpPZpVlR9CDXpI-L4ZAgLTDLbhZaLjDYQW55HbkaH7SphFSRUbjI4XLEVG6OPT6R7wQhETFXSZwxz3agXCFwUkjaLoWFbKiIpEkP4HcyyZmsVnwml0lapfnnAG9WxIT7yOag7IEwnaIp-TySoZAjTU+4iyGjGxGSlSlAytLyrIkeHKlXRQ1CC72zwke1dEIQABOhxYmDCin65p8A21rWF0RY1yS6NGgjYkr9-RGwIICEVrQ5HTQkd6AA4MdFynH3eAPeY5CWwnn7B70u4Zr65qb-MDFIy07kw4ZnW54qjpkzDCgLiwbMa-VYc4HkkmQ9tEZnu8U0L26mgh41R-HG0h-HtrpdF7EV5ch1ulKaEMj9+NF+Nj+NT8Xx0gbPz9+hF+hj+hHz1n4bZzuXViUQVYXSzZp4QzEgAAcKAAZQABQAQQAYQAUT1Bk7WXSCdXaHDfykUslCEEga1wOsZ16OscxbUk8BjAUeSUKwBzcFVDBzFjpyYlQx2mWI5SDaioPnAs0E41duMafjGmxM8QSIPZRxIWIpMuGTMFiOTtOYxSCEY5FVMwcYNPGLSxjQfiDJ3fkTPAdANPQSz0Bsp8LXLelSTFcCpKpUNgPBJ4cJskQgA
13:36:15: [INFO] Add Net-(D77-A) net
13:36:15: [INFO] Add Net-(D78-A) net
13:36:15: [INFO] Add Net-(D79-A) net
13:36:15: [INFO] Add Net-(D8-A) net
13:36:15: [INFO] Add Net-(D80-A) net
13:36:15: [INFO] Add Net-(D81-A) net
13:36:15: [INFO] Add Net-(D82-A) net
13:36:15: [INFO] Add Net-(D9-A) net
13:36:15: [INFO] Add ROW0 net
13:36:15: [INFO] Add ROW2 net
13:36:15: [INFO] Add ROW3 net
13:36:15: [INFO] Add ROW4 net
13:36:15: [INFO] Add ROW5 net
13:36:15: [INFO] Add ROW6 net
13:36:15: [INFO] Add SW1 footprint
13:36:15: [INFO] Add D1 footprint
13:36:15: [INFO] Add SW2 footprint
13:36:15: [INFO] Add D2 footprint
13:36:15: [INFO] Add SW3 footprint
13:36:16: [INFO] Add D3 footprint
13:36:16: [INFO] Add SW4 footprint
13:36:16: [INFO] Add D4 footprint
13:36:16: [INFO] Add SW5 footprint
13:36:16: [INFO] Add D5 footprint
13:36:16: [INFO] Add SW6 footprint
13:36:16: [INFO] Add D6 footprint
13:36:16: [INFO] Add SW7 footprint
13:36:16: [INFO] Add D7 footprint
13:36:16: [INFO] Add SW8 footprint
13:36:16: [INFO] Add D8 footprint
13:36:16: [INFO] Add SW9 footprint
13:36:16: [INFO] Add D9 footprint
13:36:16: [INFO] Add SW10 footprint
13:36:16: [INFO] Add D10 footprint
13:36:16: [INFO] Add SW11 footprint
13:36:16: [INFO] Add D11 footprint
13:36:16: [INFO] Add SW12 footprint
13:36:16: [INFO] Add D12 footprint
13:36:16: [INFO] Add SW13 footprint
13:36:16: [INFO] Add D13 footprint
13:36:16: [INFO] Add SW14 footprint
13:36:16: [INFO] Add D14 footprint
13:36:16: [INFO] Add SW15 footprint
13:36:16: [INFO] Add D15 footprint
13:36:16: [INFO] Add SW16 footprint
13:36:16: [INFO] Add D16 footprint
13:36:16: [INFO] Add SW17 footprint
13:36:16: [INFO] Add D17 footprint
13:36:16: [INFO] Add SW18 footprint
13:36:16: [INFO] Add D18 footprint
13:36:16: [INFO] Add SW19 footprint
13:36:16: [INFO] Add D19 footprint
13:36:17: [INFO] Add SW20 footprint
13:36:17: [INFO] Add D20 footprint
13:36:17: [INFO] Add SW21 footprint
13:36:17: [INFO] Add D21 footprint
13:36:17: [INFO] Add SW22 footprint
13:36:17: [INFO] Add D22 footprint
13:36:17: [INFO] Add SW23 footprint
13:36:17: [INFO] Add D23 footprint
13:36:17: [INFO] Add SW24 footprint
13:36:17: [INFO] Add D24 footprint
13:36:17: [INFO] Add SW25 footprint
13:36:17: [INFO] Add D25 footprint
13:36:17: [INFO] Add SW26 footprint
13:36:17: [INFO] Add D26 footprint
13:36:17: [INFO] Add SW27 footprint
13:36:17: [INFO] Add D27 footprint
13:36:17: [INFO] Add SW28 footprint
13:36:17: [INFO] Add D28 footprint
13:36:17: [INFO] Add SW29 footprint
13:36:17: [INFO] Add D29 footprint
13:36:17: [INFO] Add SW30 footprint
13:36:17: [INFO] Add D30 footprint
13:36:17: [INFO] Add SW31 footprint
13:36:17: [INFO] Add D31 footprint
13:36:17: [INFO] Add SW32 footprint
13:36:17: [INFO] Add D32 footprint
13:36:17: [INFO] Add SW33 footprint
13:36:17: [INFO] Add D33 footprint
13:36:17: [INFO] Add SW34 footprint
13:36:17: [INFO] Add D34 footprint
