=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0dwA9ZwEwDoB2AVjXAE9sBaJPBAX1NQGZwBdFAKDE2wUJPQV41PADYiDdKhzg0ELPD5JJ4VABY2nbgrgicA8lRrEVqJLKkoEmrvOxr+pIbpoBOUyiI3t2fMSdGhCoIKCzstjyKjoKB4sEoMnKRiHjKpCEa4T7CNPoBOfzx5ulW3nbwDv4xBe4lXlnluNGGBQQqOKFlyXxVLS5iEqQdiXCNSu0omVqNegbOIiZDKMXoHdYNyZVzgbWrnl06ftutKkydGzo9x-1xpGcjY6mnkweBedX9i+hnK+Bn69NNs15m5nvVAYdgYECKQAMbYcAAYgAhqi0eAVGpzhDeFCCrd0FiHt0nqQsVMIjpZvlPoNCcsLOAsQDKfY8f1dkz9hdsER2ZQ+AAOAwAC1xdL+KFEXWgwmQpEgOlEeAMkGcIXQkPefREGvA8PgSNhxpNGMYKFcryi2pBAw8gosjzSlmQVrgDht0IlqAQ1nNCBkPPguWuIk5qAIbvwnpOJUtQZSMZuEpCDqSl1J6BCroTHtDxhTVj9WasgZxwbwSbD8UjCej+aCS3j5cTDYJ4A6adGJOdHas5lzlYbXz7vsZazLrIrVdBS1rLfrNIWz2bU9bS5o7bOXadzxzLbzG8KdyLjP+k+ycBDR85Z3na8XHwWcIRKLRqLN9NXl74M7tZJQHce0xfs3UPJ8CxAscAIDN1rwgvBOSxe9LwWUMhVFcUQOlVhWCAA
13:36:58: [INFO] Add D13 footprint
13:36:58: [INFO] Add SW14 footprint
13:36:58: [INFO] Add D14 footprint
13:36:58: [INFO] Add SW15 footprint
13:36:58: [INFO] Add D15 footprint
13:36:58: [INFO] Add SW16 footprint
13:36:58: [INFO] Add D16 footprint
13:36:58: [INFO] Add SW17 footprint
13:36:58: [INFO] Add D17 footprint
13:36:58: [INFO] Add SW18 footprint
13:36:58: [INFO] Add D18 footprint
13:36:58: [INFO] Add SW19 footprint
13:36:58: [INFO] Add D19 footprint
13:36:58: [INFO] Add SW20 footprint
13:36:59: [INFO] Add D20 footprint
13:36:59: [INFO] Add SW21 footprint
13:36:59: [INFO] Add D21 footprint
13:36:59: [INFO] Add SW22 footprint
13:36:59: [INFO] Add D22 footprint
13:36:59: [INFO] Add SW23 footprint
13:36:59: [INFO] Add D23 footprint
13:36:59: [INFO] Add SW24 footprint
13:36:59: [INFO] Add D24 footprint
13:36:59: [INFO] Add SW25 footprint
13:36:59: [INFO] Add D25 footprint
13:36:59: [INFO] Add SW26 footprint
13:36:59: [INFO] Add D26 footprint
13:36:59: [INFO] Add SW27 footprint
13:36:59: [INFO] Add D27 footprint
13:36:59: [INFO] Add SW28 footprint
13:36:59: [INFO] Add D28 footprint
13:36:59: [INFO] Add SW29 footprint
13:36:59: [INFO] Add D29 footprint
13:36:59: [INFO] Add SW30 footprint
13:36:59: [INFO] Add D30 footprint
13:36:59: [INFO] Add SW31 footprint
13:36:59: [INFO] Add D31 footprint
13:36:59: [INFO] Add SW32 footprint
13:36:59: [INFO] Add D32 footprint
13:36:59: [INFO] Add SW33 footprint
13:36:59: [INFO] Add D33 footprint
13:36:59: [INFO] Add SW34 footprint
13:36:59: [INFO] Add D34 footprint
13:36:59: [INFO] Add SW35 footprint
13:36:59: [INFO] Add D35 footprint
13:36:59: [INFO] Add SW36 footprint
13:37:00: [INFO] Add D36 footprint
13:37:00: [INFO] Add SW37 footprint
13:37:00: [INFO] Add D37 footprint
13:37:00: [INFO] Add SW38 footprint
13:37:00: [INFO] Add D38 footprint
13:37:00: [INFO] Add SW39 footprint
13:37:00: [INFO] Add D39 footprint
13:37:00: [INFO] Add SW40 footprint
13:37:00: [INFO] Add D40 footprint
13:37:00: [INFO] Add SW41 footprint
13:37:00: [INFO] Add D41 footprint
13:37:00: [INFO] Add SW42 footprint
13:37:00: [INFO] Add D42 footprint
13:37:00: [INFO] Add SW43 footprint
13:37:00: [INFO] Add D43 footprint
13:37:00: [INFO] Add SW44 footprint
13:37:00: [INFO] Add D44 footprint
13:37:00: [INFO] Add SW45 footprint
13:37:00: [INFO] Add D45 footprint
13:37:00: [INFO] Add SW46 footprint
13:37:00: [INFO] Add D46 footprint
