=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:53: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwGYB0BWANHcBjW2BiAQxNPAF8twEM1wBdDAKDCnwCZ0q95wCB2QUIpUADBlHgsEHoRzyFI7DUliMCKcvWbw49jpr61SAxhNqALKatq603Pj6kylbEloNmraPE6ZsAO74CCjsaK7g7BKaMo4ECooR7qrYURpU7umpGEZuOTpR5nlFkRg2eeWxvAJCgjpB8CH84VRRdIwsED5wftxxziT1wSjNERbR9rJ8CfJK4ONZ4JiL47lL+VTjJZgl4+Xr++N2cFWEA0RDjaEt2JjtXl0c6BEAbBIAOgB2X1-iKeD8D7fYF-HRvBA-EETE4OaozPBUBo9a4RQEQ4G-aEAnKQzEpCBIzijKhvCy4z6gyb9AZzQFkjEUrFvNDkynYQEshmgjreJ7+cAAT3wohRJKBkPEi0BolZ2nsSJCYVe6llWVO0xmlzgL1F7JxXLlMKmxBpiOGSrFnIlhoJ5pu2KtUI09HoQA
13:27:55: [INFO] Add SW30 footprint
13:27:55: [INFO] Add D30 footprint
13:27:55: [INFO] Add SW31 footprint
13:27:55: [INFO] Add D31 footprint
13:27:55: [INFO] Add SW32 footprint
13:27:55: [INFO] Add D32 footprint
13:27:55: [INFO] Add SW33 footprint
13:27:55: [INFO] Add D33 footprint
13:27:55: [INFO] Add SW34 footprint
13:27:55: [INFO] Add D34 footprint
13:27:55: [INFO] Add SW35 footprint
13:27:55: [INFO] Add D35 footprint
13:27:55: [INFO] Add SW36 footprint
13:27:55: [INFO] Add D36 footprint
13:27:55: [INFO] Add SW37 footprint
13:27:55: [INFO] Add D37 footprint
13:27:55: [INFO] Add SW37a footprint
13:27:55: [INFO] Add SW38 footprint
13:27:56: [INFO] Add D38 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:27:56: [INFO] Add ST38 footprint
13:27:56: [INFO] Add SW39 footprint
13:27:56: [INFO] Add D39 footprint
13:27:56: [INFO] Add SW39a footprint
13:27:56: [INFO] Add SW40 footprint
13:27:56: [INFO] Add D40 footprint
13:27:56: [INFO] Add SW41 footprint
13:27:56: [INFO] Add D41 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:56: [INFO] Add ST41 footprint
13:27:56: [INFO] Add SW42 footprint
13:27:56: [INFO] Add D42 footprint
13:27:56: [INFO] Add SW42a footprint
13:27:56: [INFO] Add ST42a footprint
13:27:56: [INFO] Add SW43 footprint
13:27:56: [INFO] Add D43 footprint
13:27:56: [INFO] Add SW44 footprint
13:27:56: [INFO] Add D44 footprint
13:27:56: [INFO] Add SW44a footprint
13:27:56: [INFO] Detected layout convertible to matrix annotated keyboard
13:27:56: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:27:56: [INFO] Layout offset: (38100000, 28575000)
13:27:56: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:27:56: [INFO] Placing additional elements for SW44a
13:27:56: [INFO] Placing additional elements for SW44
13:27:56: [INFO] Placing additional elements for SW43
13:27:56: [INFO] Placing additional elements for SW42a
13:27:56: [INFO] Placing additional elements for SW42
13:27:56: [INFO] Placing additional elements for SW41
13:27:56: [INFO] Placing additional elements for SW40
13:27:56: [INFO] Placing additional elements for SW39a
13:27:56: [INFO] Placing additional elements for SW39
13:27:56: [INFO] Placing additional elements for SW38
13:27:56: [INFO] Placing additional elements for SW37a
13:27:56: [INFO] Placing additional elements for SW37
13:27:56: [INFO] Placing additional elements for SW36
13:27:56: [INFO] Placing additional elements for SW35
13:27:56: [INFO] Placing additional elements for SW34
13:27:56: [INFO] Placing additional elements for SW33
13:27:56: [INFO] Placing additional elements for SW32
13:27:56: [INFO] Placing additional elements for SW31
13:27:56: [INFO] Placing additional elements for SW30
13:27:56: [INFO] Placing additional elements for SW29
13:27:56: [INFO] Placing additional elements for SW28
