=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQViwAwA6AdqaQCxYCM4OEAHrHNQHQBM+C08Sk-AuggAmzAC4AnAK4BTbHkLkyJKgSGNmbLlGZIA7AcOYc4fO3Xgm8Ah208EiAYPmmsAZiGuKn-Lh9YANgsrOBtOE3skNHQXfD1-AA5gzVYCF2pqGk8MrHN6S2Ywu11HJ2h0zI8THO9qzL86wOTrWwqsePzReElZNoSlUjdCZrhcVL6BkiHaAF0sACgwcABPQtsIkujUYwQCRWVKLJM96kmqWnyQoo3eUqdPLrgeuWP9pVULR+eXE7Phy7WxVuW2QO3AezycAgkTuzleVV2WFqiIaiKCrw6iKSAPgbDSJgC-wQhIuxNynkJCPAhOR1KwqOhmy2ngA7sx2C5CXpJns1PkYWVoCYvtIXmT+gcpkSNC09ECHCCwYSAjyjmTuZKTiN2K0CVgJUppuA5otwJliJLztkaH9STLQutuCVBQ9xKL0m9lB9Om7etUbZbpQUWvKosyTGzcaxcB7IYzbi6PVTMrT6tb0QhMpj7XiXHoieB86TC+STPmqfnafnUSWMxBIyxo3n2pNzZ9fWKSwblEM+VDg3AdXsnbdDEYIylwggABbsiPmKPaacLlgmBgrgC0RRcCRbksydoHbDlNwVzOb3cGWRNwHA7E9h2L99OgcPV0dOgTZVd3XdJnvFrvEGIp+ggz5-H29o2KGKDhggDbHjG-6lv2Arfi495UvetL3jW94Zne7QjLmJi7n24C7sWu6QhR7ieLutK7gyn4OGOBisuyuoILuGpKG2-LOt+wodju+qTL2xHjKRgStmq9puKkp5htEYK7peUqzAst69ranjTLpOIOlOLF8EJIgiSYOmBpB4AgZ2+nWSM0FKbBKkTvAOqcC4QzsJMAEWGh9zeUien0qFBFDJi4BDNi-YhCRCAAJwFslxbJTRyVUslFCTPgNkwoq7mDqwcouMlKqSnlAWCfcwm-qB4DJepEmGTYpUmNluVySZrnoEViFlTJlVqo1e5KPgb6AoNzXXlp4CqAZCDnItUEfoFgh1U8f5LQ+KjARZO0vkBNnvjBhXwZOSE7XG4AIVx810fkd1eSYVDIvWl0uFQuCTGR1VfrVF0efdVC8cof2GXiRU6u1ma-JKhL5UyblA42L1w7kkz5jZz1XWaexuFjQa4+kewVUo2MWCT1R7GDpCUwJAMbeZ9WdtQewzSdawniOZ4o7dKSw6NOXDRlQ3jSho10yQZhOU2NNiZKRo3vaFAldo1MID5fkjUMhOSs+kka5x6MPT9kqUVTn2vWN4PdfFimo2wpvs7tJJW4upMBko7sK75kpFtkBNE8WrsixTI2u+TyiBwr0uByrA4JNG-Ug-Sv2S1Q0ekNRHto3joMZ+YMwzEAA
13:36:17: [INFO] Add Net-(D59-A) net
13:36:17: [INFO] Add Net-(D6-A) net
13:36:17: [INFO] Add Net-(D60-A) net
13:36:17: [INFO] Add Net-(D61-A) net
13:36:17: [INFO] Add Net-(D62-A) net
13:36:17: [INFO] Add Net-(D63-A) net
13:36:17: [INFO] Add Net-(D64-A) net
13:36:17: [INFO] Add Net-(D65-A) net
13:36:17: [INFO] Add Net-(D66-A) net
13:36:17: [INFO] Add Net-(D67-A) net
13:36:17: [INFO] Add Net-(D68-A) net
13:36:17: [INFO] Add Net-(D69-A) net
13:36:17: [INFO] Add Net-(D7-A) net
13:36:17: [INFO] Add Net-(D70-A) net
13:36:17: [INFO] Add Net-(D71-A) net
13:36:17: [INFO] Add Net-(D72-A) net
13:36:17: [INFO] Add Net-(D73-A) net
13:36:17: [INFO] Add Net-(D74-A) net
13:36:17: [INFO] Add Net-(D75-A) net
13:36:17: [INFO] Add Net-(D76-A) net
13:36:17: [INFO] Add Net-(D77-A) net
13:36:17: [INFO] Add Net-(D78-A) net
13:36:17: [INFO] Add Net-(D79-A) net
13:36:17: [INFO] Add Net-(D8-A) net
13:36:17: [INFO] Add Net-(D80-A) net
13:36:17: [INFO] Add Net-(D81-A) net
13:36:17: [INFO] Add Net-(D82-A) net
13:36:17: [INFO] Add Net-(D83-A) net
13:36:17: [INFO] Add Net-(D84-A) net
13:36:17: [INFO] Add Net-(D85-A) net
13:36:17: [INFO] Add Net-(D86-A) net
13:36:17: [INFO] Add Net-(D87-A) net
13:36:17: [INFO] Add Net-(D88-A) net
13:36:17: [INFO] Add Net-(D89-A) net
13:36:17: [INFO] Add Net-(D9-A) net
13:36:17: [INFO] Add Net-(D90-A) net
13:36:17: [INFO] Add Net-(D91-A) net
13:36:17: [INFO] Add Net-(D92-A) net
13:36:17: [INFO] Add Net-(D93-A) net
13:36:17: [INFO] Add Net-(D94-A) net
13:36:17: [INFO] Add Net-(D95-A) net
13:36:17: [INFO] Add Net-(D96-A) net
13:36:17: [INFO] Add Net-(D97-A) net
13:36:17: [INFO] Add Net-(D98-A) net
13:36:17: [INFO] Add Net-(D99-A) net
13:36:17: [INFO] Add ROW0 net
13:36:17: [INFO] Add ROW1 net
13:36:17: [INFO] Add ROW10 net
13:36:17: [INFO] Add ROW11 net
13:36:17: [INFO] Add ROW2 net
13:36:17: [INFO] Add ROW3 net
13:36:17: [INFO] Add ROW4 net
13:36:17: [INFO] Add ROW5 net
13:36:17: [INFO] Add ROW6 net
13:36:17: [INFO] Add ROW7 net
13:36:17: [INFO] Add ROW8 net
13:36:17: [INFO] Add ROW9 net
13:36:17: [INFO] Add SW1 footprint
13:36:17: [INFO] Add D1 footprint
13:36:17: [INFO] Add SW2 footprint
